Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 19 Sep 1999 (37),Ethnikos Asteras FC (1),1-0,0-0,Kavala FC (1)
?,(Sun) 19 Sep 1999 (37),Kalamata FC (1),0-0,0-0,OFI Crete FC (1)
?,(Sun) 19 Sep 1999 (37),Panionios GSS (1),1-2,0-2,Paniliakos FC (1)
?,(Sun) 19 Sep 1999 (37),Proodeftiki FC (1),0-3,0-2,Olympiacos Piraeus FC (1)
?,(Mon) 20 Sep 1999 (38),Iraklis 1908 Thessaloniki FC (1),1-0,0-0,Apollon Smyrnis FC (1)
?,(Mon) 20 Sep 1999 (38),Panachaiki FC (1),1-1,1-1,Ionikos FC (1)
?,(Mon) 20 Sep 1999 (38),Panathinaikos FC (1),2-0,0-0,Trikala FC (1)
?,(Mon) 20 Sep 1999 (38),PAOK FC (1),4-4,2-3,AEK Athens FC (1)
?,(Mon) 20 Sep 1999 (38),Xanthi FC (1),0-0,0-0,Aris Thessaloniki FC (1)
?,(Sat) 25 Sep 1999 (38),Apollon Smyrnis FC (2),0-0,0-0,Paniliakos FC (2)
?,(Sat) 25 Sep 1999 (38),Olympiacos Piraeus FC (2),5-0,3-0,Panionios GSS (2)
?,(Sun) 26 Sep 1999 (38),AEK Athens FC (2),1-2,1-1,Panathinaikos FC (2)
?,(Sun) 26 Sep 1999 (38),Aris Thessaloniki FC (2),2-0,1-0,Panachaiki FC (2)
?,(Sun) 26 Sep 1999 (38),Ionikos FC (2),2-0,0-0,Proodeftiki FC (2)
?,(Sun) 26 Sep 1999 (38),OFI Crete FC (2),2-1,1-1,Xanthi FC (2)
?,(Sun) 26 Sep 1999 (38),PAOK FC (2),4-2,2-1,Kalamata FC (2)
?,(Sun) 26 Sep 1999 (38),Trikala FC (2),1-2,1-2,Ethnikos Asteras FC (2)
?,(Mon) 27 Sep 1999 (39),Kavala FC (2),3-1,1-1,Iraklis 1908 Thessaloniki FC (2)
?,(Sun) 3 Oct 1999 (39),Apollon Smyrnis FC (3),0-1,0-0,Olympiacos Piraeus FC (3)
?,(Sun) 3 Oct 1999 (39),Ethnikos Asteras FC (3),1-3,0-0,AEK Athens FC (3)
?,(Sun) 3 Oct 1999 (39),Iraklis 1908 Thessaloniki FC (3),4-1,1-0,Trikala FC (3)
?,(Sun) 3 Oct 1999 (39),Kalamata FC (3),0-0,0-0,Xanthi FC (3)
?,(Sun) 3 Oct 1999 (39),Panachaiki FC (3),3-1,2-0,OFI Crete FC (3)
?,(Sun) 3 Oct 1999 (39),Panathinaikos FC (3),1-1,0-0,PAOK FC (3)
?,(Sun) 3 Oct 1999 (39),Paniliakos FC (3),2-0,1-0,Kavala FC (3)
?,(Mon) 4 Oct 1999 (40),Panionios GSS (3),2-0,1-0,Ionikos FC (3)
