Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Sat Aug 18 2018,AC Chievo Verona,2-3,1-1,Juventus FC,
1,Sat Aug 18 2018,SS Lazio,1-2,1-1,SSC Napoli,
1,Sun Aug 19 2018,Torino FC,0-1,0-0,AS Roma,
1,Sun Aug 19 2018,Bologna FC 1909,0-1,0-0,SPAL 2013,
1,Sun Aug 19 2018,Parma Calcio 1913,2-2,1-0,Udinese Calcio,
1,Sun Aug 19 2018,Empoli FC,2-0,1-0,Cagliari Calcio,
1,Sun Aug 19 2018,US Sassuolo Calcio,1-0,1-0,FC Internazionale Milano,
1,Mon Aug 20 2018,Atalanta BC,4-0,1-0,Frosinone Calcio,
2,Sat Aug 25 2018,Juventus FC,2-0,1-0,SS Lazio,
2,Sat Aug 25 2018,SSC Napoli,3-2,0-1,AC Milan,
2,Sun Aug 26 2018,SPAL 2013,1-0,0-0,Parma Calcio 1913,
2,Sun Aug 26 2018,ACF Fiorentina,6-1,2-0,AC Chievo Verona,
2,Sun Aug 26 2018,Cagliari Calcio,2-2,1-0,US Sassuolo Calcio,
2,Sun Aug 26 2018,FC Internazionale Milano,2-2,2-0,Torino FC,
2,Sun Aug 26 2018,Genoa CFC,2-1,2-0,Empoli FC,
2,Sun Aug 26 2018,Frosinone Calcio,0-0,0-0,Bologna FC 1909,
2,Sun Aug 26 2018,Udinese Calcio,1-0,1-0,UC Sampdoria,
2,Mon Aug 27 2018,AS Roma,3-3,1-3,Atalanta BC,
3,Fri Aug 31 2018,AC Milan,2-1,1-0,AS Roma,
3,Sat Sep 1 2018,Bologna FC 1909,0-3,0-0,FC Internazionale Milano,
3,Sat Sep 1 2018,Parma Calcio 1913,1-2,1-1,Juventus FC,
3,Sun Sep 2 2018,ACF Fiorentina,1-0,0-0,Udinese Calcio,
3,Sun Sep 2 2018,SS Lazio,1-0,0-0,Frosinone Calcio,
3,Sun Sep 2 2018,UC Sampdoria,3-0,2-0,SSC Napoli,
3,Sun Sep 2 2018,Torino FC,1-0,0-0,SPAL 2013,
3,Sun Sep 2 2018,US Sassuolo Calcio,5-3,4-1,Genoa CFC,
3,Sun Sep 2 2018,Atalanta BC,0-1,0-1,Cagliari Calcio,
3,Sun Sep 2 2018,AC Chievo Verona,0-0,0-0,Empoli FC,
4,Sat Sep 15 2018,FC Internazionale Milano,0-1,0-0,Parma Calcio 1913,
4,Sat Sep 15 2018,SSC Napoli,1-0,0-0,ACF Fiorentina,
4,Sat Sep 15 2018,Frosinone Calcio,0-5,0-1,UC Sampdoria,
4,Sun Sep 16 2018,AS Roma,2-2,2-0,AC Chievo Verona,
4,Sun Sep 16 2018,Juventus FC,2-1,0-0,US Sassuolo Calcio,
4,Sun Sep 16 2018,Udinese Calcio,1-1,1-0,Torino FC,
4,Sun Sep 16 2018,Genoa CFC,1-0,0-0,Bologna FC 1909,
4,Sun Sep 16 2018,Empoli FC,0-1,0-0,SS Lazio,
4,Sun Sep 16 2018,Cagliari Calcio,1-1,1-0,AC Milan,
4,Mon Sep 17 2018,SPAL 2013,2-0,0-0,Atalanta BC,
1,Wed Sep 19 2018,UC Sampdoria,1-1,0-1,ACF Fiorentina,
5,Fri Sep 21 2018,US Sassuolo Calcio,3-1,1-1,Empoli FC,
5,Sat Sep 22 2018,Parma Calcio 1913,2-0,1-0,Cagliari Calcio,
5,Sat Sep 22 2018,ACF Fiorentina,3-0,2-0,SPAL 2013,
5,Sat Sep 22 2018,UC Sampdoria,0-1,0-0,FC Internazionale Milano,
5,Sun Sep 23 2018,Torino FC,1-3,0-2,SSC Napoli,
5,Sun Sep 23 2018,SS Lazio,4-1,2-0,Genoa CFC,
5,Sun Sep 23 2018,AC Chievo Verona,0-2,0-0,Udinese Calcio,
5,Sun Sep 23 2018,Bologna FC 1909,2-0,1-0,AS Roma,
5,Sun Sep 23 2018,AC Milan,2-2,1-0,Atalanta BC,
5,Sun Sep 23 2018,Frosinone Calcio,0-2,0-0,Juventus FC,
6,Tue Sep 25 2018,FC Internazionale Milano,2-1,1-0,ACF Fiorentina,
6,Wed Sep 26 2018,Udinese Calcio,1-2,0-0,SS Lazio,
6,Wed Sep 26 2018,Juventus FC,2-0,2-0,Bologna FC 1909,
6,Wed Sep 26 2018,SSC Napoli,3-0,1-0,Parma Calcio 1913,
6,Wed Sep 26 2018,AS Roma,4-0,3-0,Frosinone Calcio,
6,Wed Sep 26 2018,Atalanta BC,0-0,0-0,Torino FC,
6,Wed Sep 26 2018,Cagliari Calcio,0-0,0-0,UC Sampdoria,
6,Wed Sep 26 2018,Genoa CFC,2-0,1-0,AC Chievo Verona,
6,Thu Sep 27 2018,SPAL 2013,0-2,0-0,US Sassuolo Calcio,
6,Thu Sep 27 2018,Empoli FC,1-1,0-1,AC Milan,
7,Sat Sep 29 2018,AS Roma,3-1,1-0,SS Lazio,
7,Sat Sep 29 2018,Juventus FC,3-1,1-1,SSC Napoli,
7,Sat Sep 29 2018,FC Internazionale Milano,2-0,1-0,Cagliari Calcio,
7,Sun Sep 30 2018,Bologna FC 1909,2-1,1-1,Udinese Calcio,
7,Sun Sep 30 2018,ACF Fiorentina,2-0,0-0,Atalanta BC,
7,Sun Sep 30 2018,AC Chievo Verona,0-1,0-0,Torino FC,
7,Sun Sep 30 2018,Frosinone Calcio,1-2,1-2,Genoa CFC,
7,Sun Sep 30 2018,Parma Calcio 1913,1-0,1-0,Empoli FC,
