Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 10 2018,PEC Zwolle,2-3,1-3,SC Heerenveen,
1,Sat Aug 11 2018,AFC Ajax,1-1,0-0,Heracles Almelo,
1,Sat Aug 11 2018,Willem II Tilburg,0-1,0-1,VVV Venlo,
1,Sat Aug 11 2018,PSV,4-0,1-0,FC Utrecht,
1,Sat Aug 11 2018,SBV Excelsior,1-1,1-0,Fortuna Sittard,
1,Sun Aug 12 2018,ADO Den Haag,1-2,0-2,FC Emmen,
1,Sun Aug 12 2018,SBV Vitesse,5-1,2-1,FC Groningen,
1,Sun Aug 12 2018,VBV De Graafschap,2-0,1-0,Feyenoord Rotterdam,
1,Sun Aug 12 2018,AZ,5-0,3-0,NAC Breda,
2,Fri Aug 17 2018,FC Groningen,0-1,0-1,Willem II Tilburg,
2,Sat Aug 18 2018,NAC Breda,3-0,1-0,VBV De Graafschap,
2,Sat Aug 18 2018,VVV Venlo,0-1,0-0,AFC Ajax,
2,Sat Aug 18 2018,Heracles Almelo,4-2,3-2,ADO Den Haag,
2,Sat Aug 18 2018,Fortuna Sittard,1-2,0-1,PSV,
2,Sun Aug 19 2018,FC Utrecht,2-0,2-0,PEC Zwolle,
2,Sun Aug 19 2018,Feyenoord Rotterdam,3-0,1-0,SBV Excelsior,
2,Sun Aug 19 2018,FC Emmen,1-4,1-3,AZ,
2,Sun Aug 19 2018,SC Heerenveen,1-1,1-0,SBV Vitesse,
3,Fri Aug 24 2018,ADO Den Haag,3-1,2-0,Fortuna Sittard,
3,Sat Aug 25 2018,AFC Ajax,5-0,2-0,FC Emmen,
3,Sat Aug 25 2018,VBV De Graafschap,0-1,0-1,FC Groningen,
3,Sat Aug 25 2018,NAC Breda,0-2,0-1,SBV Excelsior,
3,Sat Aug 25 2018,PEC Zwolle,1-2,0-1,PSV,
3,Sun Aug 26 2018,Willem II Tilburg,5-0,3-0,Heracles Almelo,
3,Sun Aug 26 2018,SC Heerenveen,3-5,0-3,Feyenoord Rotterdam,
3,Sun Aug 26 2018,FC Utrecht,1-1,1-0,VVV Venlo,
3,Sun Aug 26 2018,AZ,0-0,0-0,SBV Vitesse,
4,Fri Aug 31 2018,FC Emmen,1-1,0-0,VBV De Graafschap,
4,Sat Sep 1 2018,VVV Venlo,1-1,0-1,SC Heerenveen,
4,Sat Sep 1 2018,PSV,6-1,4-0,Willem II Tilburg,
4,Sat Sep 1 2018,SBV Excelsior,2-4,0-2,ADO Den Haag,
4,Sat Sep 1 2018,Fortuna Sittard,1-1,0-0,FC Utrecht,
4,Sun Sep 2 2018,FC Groningen,0-1,0-0,PEC Zwolle,
4,Sun Sep 2 2018,SBV Vitesse,0-4,0-3,AFC Ajax,
4,Sun Sep 2 2018,Heracles Almelo,3-2,1-1,AZ,
4,Sun Sep 2 2018,Feyenoord Rotterdam,4-2,1-1,NAC Breda,
5,Sat Sep 15 2018,ADO Den Haag,0-7,0-2,PSV,
5,Sat Sep 15 2018,VBV De Graafschap,1-2,0-2,VVV Venlo,
5,Sat Sep 15 2018,AFC Ajax,3-0,1-0,FC Groningen,
5,Sat Sep 15 2018,Willem II Tilburg,2-2,0-1,SBV Excelsior,
5,Sun Sep 16 2018,AZ,1-1,1-1,Feyenoord Rotterdam,
5,Sun Sep 16 2018,SC Heerenveen,3-5,1-1,Heracles Almelo,
5,Sun Sep 16 2018,FC Utrecht,1-2,1-0,FC Emmen,
5,Sun Sep 16 2018,NAC Breda,2-3,1-1,Fortuna Sittard,
5,Sun Sep 16 2018,PEC Zwolle,0-2,0-2,SBV Vitesse,
6,Fri Sep 21 2018,Heracles Almelo,4-0,1-0,VBV De Graafschap,
6,Sat Sep 22 2018,Fortuna Sittard,4-4,2-2,Willem II Tilburg,
6,Sat Sep 22 2018,VVV Venlo,3-0,2-0,NAC Breda,
6,Sat Sep 22 2018,SBV Excelsior,3-3,2-0,SC Heerenveen,
6,Sat Sep 22 2018,SBV Vitesse,1-1,1-0,ADO Den Haag,
6,Sun Sep 23 2018,Feyenoord Rotterdam,1-0,0-0,FC Utrecht,
6,Sun Sep 23 2018,FC Emmen,0-1,0-1,PEC Zwolle,
6,Sun Sep 23 2018,FC Groningen,1-3,1-1,AZ,
6,Sun Sep 23 2018,PSV,3-0,3-0,AFC Ajax,
7,Sat Sep 29 2018,SC Heerenveen,1-1,1-1,ADO Den Haag,
7,Sat Sep 29 2018,NAC Breda,0-2,0-0,PSV,
7,Sat Sep 29 2018,Fortuna Sittard,0-2,0-0,AFC Ajax,
7,Sat Sep 29 2018,SBV Excelsior,1-0,1-0,VVV Venlo,
7,Sun Sep 30 2018,Heracles Almelo,2-1,2-0,FC Emmen,
7,Sun Sep 30 2018,VBV De Graafschap,2-1,1-0,Willem II Tilburg,
7,Sun Sep 30 2018,AZ,2-2,1-1,PEC Zwolle,
7,Sun Sep 30 2018,FC Groningen,1-1,0-1,FC Utrecht,
7,Sun Sep 30 2018,Feyenoord Rotterdam,2-1,0-1,SBV Vitesse,
8,Fri Oct 5 2018,FC Utrecht,2-1,1-0,NAC Breda,
8,Sat Oct 6 2018,ADO Den Haag,1-0,1-0,FC Groningen,
8,Sat Oct 6 2018,PSV,4-0,1-0,VVV Venlo,
8,Sat Oct 6 2018,PEC Zwolle,2-0,1-0,SBV Excelsior,
8,Sat Oct 6 2018,VBV De Graafschap,0-5,0-4,SC Heerenveen,
8,Sun Oct 7 2018,FC Emmen,3-3,1-0,Fortuna Sittard,
8,Sun Oct 7 2018,SBV Vitesse,4-0,2-0,Heracles Almelo,
8,Sun Oct 7 2018,Willem II Tilburg,1-1,0-0,Feyenoord Rotterdam,
8,Sun Oct 7 2018,AFC Ajax,5-0,1-0,AZ,
9,Sat Oct 20 2018,PSV,6-0,4-0,FC Emmen,
9,Sat Oct 20 2018,SBV Excelsior,2-0,1-0,SBV Vitesse,
9,Sat Oct 20 2018,SC Heerenveen,0-4,0-2,AFC Ajax,
9,Sat Oct 20 2018,FC Utrecht,2-1,1-1,AZ,
9,Sun Oct 21 2018,NAC Breda,2-2,1-2,Willem II Tilburg,
9,Sun Oct 21 2018,Feyenoord Rotterdam,3-0,2-0,PEC Zwolle,
9,Sun Oct 21 2018,Heracles Almelo,4-1,1-1,FC Groningen,
9,Sun Oct 21 2018,VVV Venlo,2-0,1-0,ADO Den Haag,
9,Sun Oct 21 2018,Fortuna Sittard,3-1,1-0,VBV De Graafschap,
10,Fri Oct 26 2018,FC Emmen,1-1,0-1,VVV Venlo,
10,Sat Oct 27 2018,ADO Den Haag,1-1,1-1,NAC Breda,
10,Sat Oct 27 2018,FC Groningen,1-2,1-1,PSV,
10,Sat Oct 27 2018,VBV De Graafschap,4-1,1-1,SBV Excelsior,
10,Sat Oct 27 2018,PEC Zwolle,1-1,0-1,Heracles Almelo,
10,Sun Oct 28 2018,SBV Vitesse,2-1,1-1,Fortuna Sittard,
10,Sun Oct 28 2018,AFC Ajax,3-0,2-0,Feyenoord Rotterdam,
10,Sun Oct 28 2018,Willem II Tilburg,0-1,0-0,FC Utrecht,
