Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 24 2018,FC Bayern München,3-1,1-0,TSG 1899 Hoffenheim,
1,Sat Aug 25 2018,SV Werder Bremen,1-1,0-0,Hannover 96,
1,Sat Aug 25 2018,Hertha BSC,1-0,1-0,1. FC Nürnberg,
1,Sat Aug 25 2018,TSV Fortuna 95 Düsseldorf,1-2,1-0,FC Augsburg,
1,Sat Aug 25 2018,SC Freiburg,0-2,0-1,Eintracht Frankfurt,
1,Sat Aug 25 2018,VfL Wolfsburg,2-1,1-0,FC Schalke 04,
1,Sat Aug 25 2018,Borussia Mönchengladbach,2-0,0-0,Bayer 04 Leverkusen,
1,Sun Aug 26 2018,1. FSV Mainz 05,1-0,0-0,VfB Stuttgart,
1,Sun Aug 26 2018,BV Borussia 09 Dortmund,4-1,3-1,RB Leipzig,
2,Fri Aug 31 2018,Hannover 96,0-0,0-0,BV Borussia 09 Dortmund,
2,Sat Sep 1 2018,Eintracht Frankfurt,1-2,0-1,SV Werder Bremen,
2,Sat Sep 1 2018,1. FC Nürnberg,1-1,0-1,1. FSV Mainz 05,
2,Sat Sep 1 2018,Bayer 04 Leverkusen,1-3,1-1,VfL Wolfsburg,
2,Sat Sep 1 2018,TSG 1899 Hoffenheim,3-1,0-1,SC Freiburg,
2,Sat Sep 1 2018,FC Augsburg,1-1,1-0,Borussia Mönchengladbach,
2,Sat Sep 1 2018,VfB Stuttgart,0-3,0-1,FC Bayern München,
2,Sun Sep 2 2018,RB Leipzig,1-1,0-0,TSV Fortuna 95 Düsseldorf,
2,Sun Sep 2 2018,FC Schalke 04,0-2,0-1,Hertha BSC,
3,Fri Sep 14 2018,BV Borussia 09 Dortmund,3-1,1-0,Eintracht Frankfurt,
3,Sat Sep 15 2018,FC Bayern München,3-1,2-1,Bayer 04 Leverkusen,
3,Sat Sep 15 2018,TSV Fortuna 95 Düsseldorf,2-1,1-0,TSG 1899 Hoffenheim,
3,Sat Sep 15 2018,VfL Wolfsburg,2-2,0-0,Hertha BSC,
3,Sat Sep 15 2018,1. FSV Mainz 05,2-1,0-0,FC Augsburg,
3,Sat Sep 15 2018,RB Leipzig,3-2,2-1,Hannover 96,
3,Sat Sep 15 2018,Borussia Mönchengladbach,2-1,1-0,FC Schalke 04,
3,Sun Sep 16 2018,SV Werder Bremen,1-1,1-0,1. FC Nürnberg,
3,Sun Sep 16 2018,SC Freiburg,3-3,1-1,VfB Stuttgart,
4,Fri Sep 21 2018,VfB Stuttgart,0-0,0-0,TSV Fortuna 95 Düsseldorf,
4,Sat Sep 22 2018,1. FC Nürnberg,2-0,0-0,Hannover 96,
4,Sat Sep 22 2018,Hertha BSC,4-2,2-1,Borussia Mönchengladbach,
4,Sat Sep 22 2018,VfL Wolfsburg,1-3,0-2,SC Freiburg,
4,Sat Sep 22 2018,TSG 1899 Hoffenheim,1-1,1-0,BV Borussia 09 Dortmund,
4,Sat Sep 22 2018,FC Augsburg,2-3,1-2,SV Werder Bremen,
4,Sat Sep 22 2018,FC Schalke 04,0-2,0-1,FC Bayern München,
4,Sun Sep 23 2018,Bayer 04 Leverkusen,1-0,0-0,1. FSV Mainz 05,
4,Sun Sep 23 2018,Eintracht Frankfurt,1-1,1-0,RB Leipzig,
5,Tue Sep 25 2018,SV Werder Bremen,3-1,2-0,Hertha BSC,
5,Tue Sep 25 2018,Hannover 96,1-3,0-1,TSG 1899 Hoffenheim,
5,Tue Sep 25 2018,FC Bayern München,1-1,0-0,FC Augsburg,
5,Tue Sep 25 2018,SC Freiburg,1-0,0-0,FC Schalke 04,
5,Wed Sep 26 2018,TSV Fortuna 95 Düsseldorf,1-2,0-0,Bayer 04 Leverkusen,
5,Wed Sep 26 2018,BV Borussia 09 Dortmund,7-0,2-0,1. FC Nürnberg,
5,Wed Sep 26 2018,Borussia Mönchengladbach,3-1,0-0,Eintracht Frankfurt,
5,Wed Sep 26 2018,1. FSV Mainz 05,0-0,0-0,VfL Wolfsburg,
5,Wed Sep 26 2018,RB Leipzig,2-0,1-0,VfB Stuttgart,
6,Fri Sep 28 2018,Hertha BSC,2-0,2-0,FC Bayern München,
6,Sat Sep 29 2018,VfB Stuttgart,2-1,1-0,SV Werder Bremen,
6,Sat Sep 29 2018,FC Schalke 04,1-0,1-0,1. FSV Mainz 05,
6,Sat Sep 29 2018,1. FC Nürnberg,3-0,1-0,TSV Fortuna 95 Düsseldorf,
6,Sat Sep 29 2018,VfL Wolfsburg,2-2,1-1,Borussia Mönchengladbach,
6,Sat Sep 29 2018,TSG 1899 Hoffenheim,1-2,0-0,RB Leipzig,
6,Sat Sep 29 2018,Bayer 04 Leverkusen,2-4,2-0,BV Borussia 09 Dortmund,
6,Sun Sep 30 2018,Eintracht Frankfurt,4-1,2-0,Hannover 96,
6,Sun Sep 30 2018,FC Augsburg,4-1,2-0,SC Freiburg,
7,Fri Oct 5 2018,SV Werder Bremen,2-0,1-0,VfL Wolfsburg,
7,Sat Oct 6 2018,BV Borussia 09 Dortmund,4-3,0-1,FC Augsburg,
7,Sat Oct 6 2018,Hannover 96,3-1,2-0,VfB Stuttgart,
7,Sat Oct 6 2018,TSV Fortuna 95 Düsseldorf,0-2,0-0,FC Schalke 04,
