Date,Team 1,Team 2,FT,HT
2000-09-16,Olympiakos,Eth Asteras,6-0,2-0
2000-09-16,Panathinaikos,Yiannina,2-1,1-0
2000-09-17,Ionikos,Athinaikos,1-0,1-0
2000-09-17,Kalamata,PAOK,0-0,0-0
2000-09-17,Panahaiki,Xanthi,1-1,1-0
2000-09-17,Paniliakos,Panionios,1-1,1-1
2000-09-18,AEK,Iraklis,2-0,1-0
2000-09-18,OFI,Aris,2-3,2-1
2000-09-23,Panionios,Panathinaikos,0-2,0-1
2000-09-24,Aris,Paniliakos,1-0,1-0
2000-09-24,Athinaikos,AEK,0-3,0-2
2000-09-24,Eth Asteras,Ionikos,1-0,1-0
2000-09-24,Iraklis,Panahaiki,2-0,0-0
2000-09-24,OFI,Olympiakos,1-2,0-1
2000-09-24,Yiannina,PAOK,1-3,1-2
2000-09-25,Xanthi,Kalamata,2-1,2-0
2000-09-30,Yiannina,Xanthi,1-1,0-1
2000-10-01,AEK,Eth Asteras,2-2,2-0
2000-10-01,Kalamata,Iraklis,0-0,0-0
2000-10-01,Olympiakos,Ionikos,3-3,0-1
2000-10-01,Panahaiki,Athinaikos,3-1,2-0
2000-10-01,Panathinaikos,Aris,2-2,0-1
2000-10-01,Paniliakos,OFI,0-0,0-0
2000-10-02,PAOK,Panionios,1-1,1-0
2000-10-29,Athinaikos,Kalamata,3-2,0-1
2000-10-29,Ionikos,AEK,0-2,0-0
2000-10-29,Iraklis,Yiannina,2-1,0-1
2000-10-29,OFI,Panathinaikos,0-0,0-0
2000-10-29,Paniliakos,Olympiakos,0-4,0-1
2000-10-29,Panionios,Xanthi,0-0,0-0
2000-10-30,Eth Asteras,Panahaiki,3-1,1-1
2000-11-01,Aris,PAOK,4-0,2-0
2000-11-04,Olympiakos,AEK,4-1,1-1
2000-11-05,Kalamata,Eth Asteras,2-2,0-2
2000-11-05,Panathinaikos,Paniliakos,2-0,0-0
2000-11-05,Panionios,Iraklis,1-1,0-1
2000-11-05,PAOK,OFI,4-1,2-0
2000-11-05,Xanthi,Aris,1-0,1-0
2000-11-05,Yiannina,Athinaikos,3-1,0-0
2000-11-06,Panahaiki,Ionikos,2-3,0-1
2000-11-11,Athinaikos,Panionios,2-0,0-0
2000-11-12,AEK,Panahaiki,2-1,2-0
2000-11-12,Aris,Iraklis,0-2,0-1
2000-11-12,Eth Asteras,Yiannina,2-1,1-1
2000-11-12,Ionikos,Kalamata,4-1,2-0
2000-11-12,Panathinaikos,Olympiakos,0-0,0-0
2000-11-12,Paniliakos,PAOK,1-1,1-0
2000-11-13,OFI,Xanthi,0-1,0-0
2000-11-18,PAOK,Panathinaikos,2-2,2-0
2000-11-19,Aris,Athinaikos,2-0,0-0
2000-11-19,Iraklis,OFI,3-0,0-0
2000-11-19,Kalamata,AEK,3-1,1-0
2000-11-19,Olympiakos,Panahaiki,3-0,2-0
2000-11-19,Xanthi,Paniliakos,2-0,1-0
2000-11-20,Panionios,Eth Asteras,4-3,3-0
2000-11-20,Yiannina,Ionikos,1-1,1-0
2000-11-25,Panathinaikos,Xanthi,3-0,1-0
2000-11-26,Eth Asteras,Aris,1-0,1-0
2000-11-26,Ionikos,Panionios,2-0,2-0
2000-11-26,OFI,Athinaikos,5-3,2-1
2000-11-26,Panahaiki,Kalamata,3-2,3-0
2000-11-26,Paniliakos,Iraklis,1-2,1-1
2000-11-27,AEK,Yiannina,4-2,2-1
2000-11-27,PAOK,Olympiakos,2-4,0-1
2000-12-02,Panionios,AEK,2-0,2-0
2000-12-03,Aris,Ionikos,0-0,0-0
2000-12-03,Eth Asteras,OFI,1-0,1-0
2000-12-03,Iraklis,Panathinaikos,0-1,0-0
2000-12-03,Olympiakos,Kalamata,5-2,2-0
2000-12-03,Xanthi,PAOK,0-2,0-0
2000-12-03,Yiannina,Panahaiki,1-1,1-0
2000-12-04,Athinaikos,Paniliakos,1-1,1-0
2000-12-09,Ionikos,OFI,1-0,0-0
2000-12-10,AEK,Aris,3-1,2-1
2000-12-10,Kalamata,Yiannina,3-4,0-2
2000-12-10,Panahaiki,Panionios,1-1,0-0
2000-12-10,Panathinaikos,Athinaikos,1-0,1-0
2000-12-10,Paniliakos,Eth Asteras,1-0,0-0
2000-12-10,PAOK,Iraklis,4-2,2-1
2000-12-11,Xanthi,Olympiakos,0-3,0-1
2000-12-16,Iraklis,Xanthi,1-0,0-0
2000-12-17,Aris,Panahaiki,0-0,0-0
2000-12-17,Athinaikos,PAOK,3-4,1-3
2000-12-17,Eth Asteras,Panathinaikos,0-3,0-1
2000-12-17,Ionikos,Paniliakos,3-1,2-1
2000-12-17,Olympiakos,Yiannina,3-1,1-0
2000-12-17,Panionios,Kalamata,1-1,1-0
2000-12-18,OFI,AEK,3-3,3-1
2001-01-03,AEK,Paniliakos,2-1,1-0
2001-01-03,Iraklis,Olympiakos,2-1,0-0
2001-01-03,Kalamata,Aris,1-1,1-0
2001-01-03,Panahaiki,OFI,2-1,1-0
2001-01-03,Panathinaikos,Ionikos,4-1,2-1
2001-01-03,Xanthi,Athinaikos,1-0,0-0
2001-01-04,PAOK,Eth Asteras,2-1,1-0
2001-01-07,AEK,Panathinaikos,1-1,0-1
2001-01-07,Aris,Yiannina,1-0,0-0
2001-01-07,Athinaikos,Iraklis,2-0,1-0
2001-01-07,OFI,Kalamata,1-1,1-1
2001-01-07,Olympiakos,Panionios,2-0,2-0
2001-01-07,Paniliakos,Panahaiki,2-2,1-0
2001-01-08,Eth Asteras,Xanthi,1-0,1-0
2001-01-08,Ionikos,PAOK,2-2,0-2
2001-01-11,Yiannina,Panionios,2-2,1-1
2001-01-13,Xanthi,Ionikos,0-1,0-0
2001-01-14,Iraklis,Eth Asteras,4-0,2-0
2001-01-14,Kalamata,Paniliakos,1-1,0-1
2001-01-14,Panahaiki,Panathinaikos,1-2,1-0
2001-01-14,Panionios,Aris,2-0,0-0
2001-01-14,PAOK,AEK,2-1,0-1
2001-01-14,Yiannina,OFI,1-2,0-0
2001-01-15,Athinaikos,Olympiakos,1-5,1-2
2001-01-20,Eth Asteras,Athinaikos,2-2,2-0
2001-01-21,AEK,Xanthi,2-0,1-0
2001-01-21,Ionikos,Iraklis,2-2,1-2
2001-01-21,Olympiakos,Aris,4-1,2-0
2001-01-21,Panahaiki,PAOK,1-2,0-1
2001-01-21,Panathinaikos,Kalamata,1-0,1-0
2001-01-21,Paniliakos,Yiannina,1-0,1-0
2001-01-22,OFI,Panionios,1-1,0-0
2001-01-27,Aris,OFI,2-0,0-0
