Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Sat Apr 27 2019,São Paulo FC,2-0,1-0,Botafogo FR,
1,Sat Apr 27 2019,Chapecoense AF,2-0,1-0,SC Internacional,
1,Sat Apr 27 2019,CA Mineiro,2-1,1-0,Avaí FC,
1,Sun Apr 28 2019,CR Flamengo,3-1,1-1,Cruzeiro EC,
1,Sun Apr 28 2019,Grêmio FBPA,1-2,0-2,Santos FC,
1,Sun Apr 28 2019,CA Paranaense,4-1,2-0,CR Vasco da Gama,
1,Sun Apr 28 2019,Ceará SC,4-0,2-0,CS Alagoano,
1,Sun Apr 28 2019,EC Bahia,3-2,1-1,SC Corinthians Paulista,
1,Sun Apr 28 2019,Fluminense FC,0-1,0-0,Goiás EC,
1,Sun Apr 28 2019,SE Palmeiras,4-0,1-0,Fortaleza EC,
2,Wed May 1 2019,SC Internacional,2-1,1-1,CR Flamengo,
2,Wed May 1 2019,SC Corinthians Paulista,1-0,0-0,Chapecoense AF,
2,Wed May 1 2019,CS Alagoano,1-1,0-1,SE Palmeiras,
2,Wed May 1 2019,Cruzeiro EC,1-0,0-0,Ceará SC,
2,Wed May 1 2019,Avaí FC,1-1,0-1,Grêmio FBPA,
2,Thu May 2 2019,CR Vasco da Gama,1-2,0-0,CA Mineiro,
2,Thu May 2 2019,Goiás EC,1-2,1-2,São Paulo FC,
2,Thu May 2 2019,Fortaleza EC,2-1,1-1,CA Paranaense,
2,Thu May 2 2019,Santos FC,2-1,0-0,Fluminense FC,
2,Thu May 2 2019,Botafogo FR,3-2,3-1,EC Bahia,
3,Sat May 4 2019,CR Vasco da Gama,1-1,1-1,SC Corinthians Paulista,
3,Sat May 4 2019,SE Palmeiras,1-0,1-0,SC Internacional,
3,Sun May 5 2019,Ceará SC,1-2,1-1,CA Mineiro,
3,Sun May 5 2019,Chapecoense AF,1-1,0-0,CA Paranaense,
3,Sun May 5 2019,São Paulo FC,1-1,0-1,CR Flamengo,
3,Sun May 5 2019,Cruzeiro EC,2-1,0-0,Goiás EC,
3,Sun May 5 2019,Botafogo FR,1-0,0-0,Fortaleza EC,
3,Sun May 5 2019,CS Alagoano,0-0,0-0,Santos FC,
3,Sun May 5 2019,Grêmio FBPA,4-5,3-2,Fluminense FC,
3,Sun May 5 2019,EC Bahia,1-0,1-0,Avaí FC,
4,Sat May 11 2019,Fluminense FC,0-1,0-0,Botafogo FR,
