Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 31 Aug 1997 (34),Apollon Smyrnis FC (1),0-2,?,Ionikos (1)
?,(Sun) 31 Aug 1997 (34),Olympiacos FC (1),3-1,?,Ethnikos Piraeus (1)
?,(Sun) 31 Aug 1997 (34),Panahaiki (1),0-1,?,Heracles Almelo (1)
?,(Sun) 31 Aug 1997 (34),Panionios GSS (1),0-3,?,Panathinaikos FC (1)
?,(Sun) 31 Aug 1997 (34),PAOK FC (1),0-0,?,AEK Athens FC (1)
?,(Sun) 31 Aug 1997 (34),Proodeytiki (1),3-0,?,Athinaikos (1)
?,(Sun) 31 Aug 1997 (34),Veroia (1),4-2,?,Kavala (1)
?,(Sun) 31 Aug 1997 (34),Xanthi FC (1),2-1,?,OFI (1)
?,(Mon) 1 Sep 1997 (35),Kalamata (1),1-2,?,Paniliakos (1)
?,(Sun) 14 Sep 1997 (36),AEK Athens FC (2),2-1,?,Proodeytiki (2)
?,(Sun) 14 Sep 1997 (36),Athinaikos (2),1-2,?,Olympiacos FC (2)
?,(Sun) 14 Sep 1997 (36),Ethnikos Piraeus (2),2-0,?,Kavala (2)
?,(Sun) 14 Sep 1997 (36),Heracles Almelo (2),3-0,?,Veroia (2)
?,(Sun) 14 Sep 1997 (36),Ionikos (2),5-0,?,Panahaiki (2)
?,(Sun) 14 Sep 1997 (36),OFI (2),2-1,?,PAOK FC (2)
?,(Sun) 14 Sep 1997 (36),Xanthi FC (2),1-1,?,Kalamata (2)
?,(Mon) 15 Sep 1997 (37),Panathinaikos FC (2),1-0,?,Apollon Smyrnis FC (2)
?,(Mon) 15 Sep 1997 (37),Paniliakos (2),0-2,?,Panionios GSS (2)
?,(Sun) 21 Sep 1997 (37),Apollon Smyrnis FC (3),2-0,?,Paniliakos (3)
?,(Sun) 21 Sep 1997 (37),Ethnikos Piraeus (3),0-1,?,Heracles Almelo (3)
?,(Sun) 21 Sep 1997 (37),Kalamata (3),0-0,?,Panionios GSS (3)
?,(Sun) 21 Sep 1997 (37),Kavala (3),1-0,?,Athinaikos (3)
?,(Sun) 21 Sep 1997 (37),Panahaiki (3),0-1,?,Panathinaikos FC (3)
?,(Sun) 21 Sep 1997 (37),PAOK FC (3),1-1,?,Xanthi FC (3)
?,(Sun) 21 Sep 1997 (37),Proodeytiki (3),2-2,?,OFI (3)
?,(Sun) 21 Sep 1997 (37),Veroia (3),0-1,?,Ionikos (3)
?,(Mon) 22 Sep 1997 (38),Olympiacos FC (3),0-1,?,AEK Athens FC (3)
?,(Sun) 28 Sep 1997 (38),AEK Athens FC (4),1-0,?,Kavala (4)
?,(Sun) 28 Sep 1997 (38),Athinaikos (4),0-0,?,Heracles Almelo (4)
?,(Sun) 28 Sep 1997 (38),Ionikos (4),1-0,?,Ethnikos Piraeus (4)
?,(Sun) 28 Sep 1997 (38),OFI (4),2-3,?,Olympiacos FC (4)
?,(Sun) 28 Sep 1997 (38),Panathinaikos FC (4),2-0,?,Veroia (4)
?,(Sun) 28 Sep 1997 (38),Panionios GSS (4),1-3,?,Apollon Smyrnis FC (4)
?,(Sun) 28 Sep 1997 (38),PAOK FC (4),4-0,?,Kalamata (4)
?,(Sun) 28 Sep 1997 (38),Xanthi FC (4),4-0,?,Proodeytiki (4)
?,(Wed) 1 Oct 1997 (39),Paniliakos (4),2-0,?,Panahaiki (4)
?,(Sun) 5 Oct 1997 (39),Athinaikos (5),0-1,?,Ionikos (5)
?,(Sun) 5 Oct 1997 (39),Ethnikos Piraeus (5),0-2,?,Panathinaikos FC (5)
?,(Sun) 5 Oct 1997 (39),Kalamata (5),0-1,?,Apollon Smyrnis FC (5)
?,(Sun) 5 Oct 1997 (39),Kavala (5),3-3,?,OFI (5)
?,(Sun) 5 Oct 1997 (39),Olympiacos FC (5),6-1,?,Xanthi FC (5)
?,(Sun) 5 Oct 1997 (39),Panahaiki (5),3-2,?,Panionios GSS (5)
?,(Sun) 5 Oct 1997 (39),Proodeytiki (5),3-3,?,PAOK FC (5)
?,(Sun) 5 Oct 1997 (39),Veroia (5),3-1,?,Paniliakos (5)
?,(Tue) 7 Oct 1997 (40),Heracles Almelo (5),1-4,?,AEK Athens FC (5)
?,(Sun) 19 Oct 1997 (41),AEK Athens FC (6),0-2,?,Ionikos (6)
?,(Sun) 19 Oct 1997 (41),Apollon Smyrnis FC (6),2-1,?,Panahaiki (6)
?,(Sun) 19 Oct 1997 (41),OFI (6),1-0,?,Heracles Almelo (6)
?,(Sun) 19 Oct 1997 (41),Paniliakos (6),2-0,?,Ethnikos Piraeus (6)
?,(Sun) 19 Oct 1997 (41),Panionios GSS (6),3-1,?,Veroia (6)
?,(Sun) 19 Oct 1997 (41),PAOK FC (6),2-1,?,Olympiacos FC (6)
?,(Sun) 19 Oct 1997 (41),Proodeytiki (6),1-0,?,Kalamata (6)
?,(Sun) 19 Oct 1997 (41),Xanthi FC (6),5-2,?,Kavala (6)
?,(Mon) 20 Oct 1997 (42),Panathinaikos FC (6),4-1,?,Athinaikos (6)
?,(Sun) 26 Oct 1997 (42),AEK Athens FC (7),2-1,?,Panathinaikos FC (7)
?,(Sun) 26 Oct 1997 (42),Athinaikos (7),4-3,?,Paniliakos (7)
?,(Sun) 26 Oct 1997 (42),Ethnikos Piraeus (7),1-0,?,Panionios GSS (7)
?,(Sun) 26 Oct 1997 (42),Heracles Almelo (7),2-0,?,Xanthi FC (7)
?,(Sun) 26 Oct 1997 (42),Ionikos (7),5-0,?,OFI (7)
