Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 10 2018,Sport Lisboa e Benfica,3-2,3-0,Vitória Guimarães,
1,Sat Aug 11 2018,Vitória Setúbal,2-0,1-0,CD Aves,
1,Sat Aug 11 2018,CD Tondela,0-1,0-0,Os Belenenses Futebol,
1,Sat Aug 11 2018,FC Porto,5-0,3-0,GD Chaves,
1,Sun Aug 12 2018,CS Marítimo,1-0,0-0,CD Santa Clara,
1,Sun Aug 12 2018,CD Feirense,2-0,2-0,Rio Ave FC,
1,Sun Aug 12 2018,Moreirense FC,1-3,1-1,Sporting Clube de Portugal,
1,Sun Aug 12 2018,Sporting Clube de Braga,4-2,2-2,CD Nacional,
1,Mon Aug 13 2018,Portimonense SC,0-2,0-0,Boavista FC,
2,Fri Aug 17 2018,CD Aves,2-2,1-1,CD Tondela,
2,Sat Aug 18 2018,GD Chaves,2-0,2-0,Portimonense SC,
2,Sat Aug 18 2018,Boavista FC,0-2,0-1,Sport Lisboa e Benfica,
2,Sat Aug 18 2018,Sporting Clube de Portugal,2-1,1-1,Vitória Setúbal,
2,Sun Aug 19 2018,CD Nacional,1-2,0-1,Moreirense FC,
2,Sun Aug 19 2018,Rio Ave FC,3-1,2-0,CS Marítimo,
2,Sun Aug 19 2018,Os Belenenses Futebol,2-3,0-1,FC Porto,
2,Sun Aug 19 2018,CD Santa Clara,3-3,0-3,Sporting Clube de Braga,
2,Mon Aug 20 2018,Vitória Guimarães,0-1,0-0,CD Feirense,
3,Fri Aug 24 2018,CS Marítimo,2-1,0-1,GD Chaves,
3,Sat Aug 25 2018,Portimonense SC,2-2,0-1,CD Santa Clara,
3,Sat Aug 25 2018,Sport Lisboa e Benfica,1-1,0-0,Sporting Clube de Portugal,
3,Sat Aug 25 2018,FC Porto,2-3,2-0,Vitória Guimarães,
3,Sun Aug 26 2018,Vitória Setúbal,1-2,0-1,CD Nacional,
3,Sun Aug 26 2018,CD Feirense,1-1,0-1,Boavista FC,
3,Sun Aug 26 2018,CD Tondela,1-1,0-1,Rio Ave FC,
3,Sun Aug 26 2018,Sporting Clube de Braga,3-1,0-0,CD Aves,
3,Mon Aug 27 2018,Moreirense FC,1-1,0-0,Os Belenenses Futebol,
4,Fri Aug 31 2018,GD Chaves,0-1,0-1,Sporting Clube de Braga,
4,Fri Aug 31 2018,Vitória Guimarães,1-0,1-0,CD Tondela,
4,Sat Sep 1 2018,Os Belenenses Futebol,0-0,0-0,Vitória Setúbal,
4,Sat Sep 1 2018,CD Santa Clara,4-2,1-1,Boavista FC,
4,Sat Sep 1 2018,Sporting Clube de Portugal,1-0,0-0,CD Feirense,
4,Sun Sep 2 2018,Rio Ave FC,2-1,0-1,Portimonense SC,
4,Sun Sep 2 2018,CD Aves,0-1,0-1,CS Marítimo,
4,Sun Sep 2 2018,CD Nacional,0-4,0-2,Sport Lisboa e Benfica,
4,Sun Sep 2 2018,FC Porto,3-0,2-0,Moreirense FC,
5,Fri Sep 21 2018,Boavista FC,1-2,0-1,GD Chaves,
5,Sat Sep 22 2018,CD Santa Clara,1-3,0-0,Rio Ave FC,
5,Sat Sep 22 2018,CS Marítimo,0-0,0-0,Os Belenenses Futebol,
5,Sat Sep 22 2018,Vitória Setúbal,0-2,0-1,FC Porto,
5,Sun Sep 23 2018,CD Feirense,0-0,0-0,CD Nacional,
5,Sun Sep 23 2018,CD Tondela,2-0,1-0,Moreirense FC,
5,Sun Sep 23 2018,Sport Lisboa e Benfica,2-0,1-0,CD Aves,
5,Sun Sep 23 2018,Portimonense SC,3-2,1-0,Vitória Guimarães,
5,Mon Sep 24 2018,Sporting Clube de Braga,1-0,0-0,Sporting Clube de Portugal,
6,Thu Sep 27 2018,GD Chaves,2-2,0-1,Sport Lisboa e Benfica,
6,Fri Sep 28 2018,FC Porto,1-0,0-0,CD Tondela,
6,Sat Sep 29 2018,Moreirense FC,1-0,0-0,CD Feirense,
6,Sat Sep 29 2018,Rio Ave FC,2-1,2-0,Boavista FC,
6,Sat Sep 29 2018,Sporting Clube de Portugal,2-0,2-0,CS Marítimo,
6,Sun Sep 30 2018,CD Nacional,0-3,0-1,CD Santa Clara,
6,Sun Sep 30 2018,Vitória Guimarães,1-1,0-0,Vitória Setúbal,
6,Sun Sep 30 2018,Os Belenenses Futebol,0-3,0-2,Sporting Clube de Braga,
6,Mon Oct 1 2018,CD Aves,3-0,1-0,Portimonense SC,
7,Fri Oct 5 2018,CD Tondela,1-1,0-0,CD Nacional,
7,Fri Oct 5 2018,CD Santa Clara,1-0,0-0,GD Chaves,
7,Fri Oct 5 2018,CD Feirense,0-0,0-0,Os Belenenses Futebol,
7,Sat Oct 6 2018,Vitória Setúbal,3-0,1-0,Moreirense FC,
7,Sat Oct 6 2018,CS Marítimo,1-3,0-1,Vitória Guimarães,
7,Sat Oct 6 2018,Sporting Clube de Braga,1-1,1-1,Rio Ave FC,
7,Sun Oct 7 2018,Boavista FC,1-0,0-0,CD Aves,
7,Sun Oct 7 2018,Sport Lisboa e Benfica,1-0,0-0,FC Porto,
7,Sun Oct 7 2018,Portimonense SC,4-2,2-0,Sporting Clube de Portugal,
8,Fri Oct 26 2018,CD Nacional,0-1,0-1,Portimonense SC,
8,Fri Oct 26 2018,Vitória Guimarães,1-1,1-1,Sporting Clube de Braga,
8,Sat Oct 27 2018,CD Aves,1-2,0-2,CD Santa Clara,
8,Sat Oct 27 2018,Rio Ave FC,1-0,0-0,GD Chaves,
