Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 10 2018,Olympique de Marseille,4-0,1-0,Toulouse FC,
1,Sat Aug 11 2018,FC Nantes,1-3,0-0,AS Monaco FC,
1,Sat Aug 11 2018,Montpellier HSC,1-2,1-0,Dijon Football Côte d'Or,
1,Sat Aug 11 2018,Lille OSC,3-1,1-1,Stade Rennais FC 1901,
1,Sat Aug 11 2018,AS Saint-Étienne,2-1,1-0,En Avant Guingamp,
1,Sat Aug 11 2018,OGC Nice,0-1,0-1,Stade de Reims,
1,Sat Aug 11 2018,Angers SCO,3-4,1-1,Nîmes Olympique,
1,Sun Aug 12 2018,Olympique Lyonnais,2-0,1-0,Amiens SC,
1,Sun Aug 12 2018,FC Girondins de Bordeaux,0-2,0-0,RC Strasbourg Alsace,
1,Sun Aug 12 2018,Paris Saint-Germain FC,3-0,2-0,SM Caen,
2,Fri Aug 17 2018,Stade de Reims,1-0,1-0,Olympique Lyonnais,
2,Sat Aug 18 2018,En Avant Guingamp,1-3,1-0,Paris Saint-Germain FC,
2,Sat Aug 18 2018,Stade Rennais FC 1901,1-0,0-0,Angers SCO,
2,Sat Aug 18 2018,AS Monaco FC,0-0,0-0,Lille OSC,
2,Sat Aug 18 2018,SM Caen,1-1,0-0,OGC Nice,
2,Sat Aug 18 2018,Dijon Football Côte d'Or,2-0,1-0,FC Nantes,
2,Sat Aug 18 2018,Amiens SC,1-2,0-0,Montpellier HSC,
2,Sun Aug 19 2018,RC Strasbourg Alsace,1-1,0-0,AS Saint-Étienne,
2,Sun Aug 19 2018,Toulouse FC,2-1,1-0,FC Girondins de Bordeaux,
2,Sun Aug 19 2018,Nîmes Olympique,3-1,1-0,Olympique de Marseille,
3,Fri Aug 24 2018,Olympique Lyonnais,2-0,1-0,RC Strasbourg Alsace,
3,Sat Aug 25 2018,Paris Saint-Germain FC,3-1,1-1,Angers SCO,
3,Sat Aug 25 2018,Montpellier HSC,0-0,0-0,AS Saint-Étienne,
3,Sat Aug 25 2018,Toulouse FC,1-0,0-0,Nîmes Olympique,
3,Sat Aug 25 2018,OGC Nice,0-4,0-0,Dijon Football Côte d'Or,
3,Sat Aug 25 2018,FC Nantes,1-1,0-1,SM Caen,
3,Sat Aug 25 2018,Amiens SC,4-1,1-0,Stade de Reims,
