Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 23 Aug 2014 (33),Kerkyra FC (1),2-1,2-0,Panthrakikos FC (1)
?,(Sat) 23 Aug 2014 (33),OFI Crete FC (1),1-0,0-0,Panetolikos GFS (1)
?,(Sat) 23 Aug 2014 (33),Olympiacos Piraeus FC (1),3-1,3-0,Niki Volou FC (1)
?,(Sun) 24 Aug 2014 (33),Atromitos FC (1),1-0,1-0,Platanias FC (1)
?,(Sun) 24 Aug 2014 (33),PAS Giannina FC (1),3-1,0-1,Asteras Tripolis FC (1)
?,(Sun) 24 Aug 2014 (33),Levadiakos FC (1),1-1,0-0,Panathinaikos FC (1)
?,(Sun) 24 Aug 2014 (33),PAOK FC (1),1-1,0-0,AEL Kalloni FC (1)
?,(Sun) 24 Aug 2014 (33),Veria FC (1),3-2,1-0,Xanthi FC (1)
?,(Mon) 25 Aug 2014 (34),Panionios GSS (1),2-1,1-1,Ergotelis FC (1)
?,(Sat) 30 Aug 2014 (34),AEL Kalloni FC (2),2-0,1-0,Ergotelis FC (2)
?,(Sat) 30 Aug 2014 (34),Panetolikos GFS (2),1-1,0-0,Olympiacos Piraeus FC (2)
?,(Sat) 30 Aug 2014 (34),Panthrakikos FC (2),1-1,0-1,PAS Giannina FC (2)
?,(Sun) 31 Aug 2014 (34),Asteras Tripolis FC (2),2-1,1-1,Levadiakos FC (2)
?,(Sun) 31 Aug 2014 (34),Niki Volou FC (2),0-1,0-1,Atromitos FC (2)
?,(Sun) 31 Aug 2014 (34),Panathinaikos FC (2),2-1,0-0,Panionios GSS (2)
?,(Sun) 31 Aug 2014 (34),Platanias FC (2),0-4,0-1,PAOK FC (2)
?,(Sun) 31 Aug 2014 (34),Xanthi FC (2),0-0,0-0,Kerkyra FC (2)
?,(Mon) 1 Sep 2014 (35),OFI Crete FC (2),0-1,0-0,Veria FC (2)
?,(Sat) 13 Sep 2014 (36),Olympiacos Piraeus FC (3),3-0,2-0,OFI Crete FC (3)
?,(Sat) 13 Sep 2014 (36),PAOK FC (3),3-0,1-0,Niki Volou FC (3)
?,(Sat) 13 Sep 2014 (36),Veria FC (3),2-1,1-1,Kerkyra FC (3)
?,(Sun) 14 Sep 2014 (36),Atromitos FC (3),0-0,0-0,Panetolikos GFS (3)
?,(Sun) 14 Sep 2014 (36),PAS Giannina FC (3),2-2,0-1,Xanthi FC (3)
?,(Sun) 14 Sep 2014 (36),AEL Kalloni FC (3),1-0,1-0,Panathinaikos FC (3)
?,(Sun) 14 Sep 2014 (36),Levadiakos FC (3),1-1,1-1,Panthrakikos FC (3)
?,(Sun) 14 Sep 2014 (36),Panionios GSS (3),2-1,2-1,Asteras Tripolis FC (3)
?,(Mon) 15 Sep 2014 (37),Ergotelis FC (3),0-3,0-1,Platanias FC (3)
?,(Sat) 20 Sep 2014 (37),OFI Crete FC (4),1-0,0-0,Atromitos FC (4)
?,(Sat) 20 Sep 2014 (37),Olympiacos Piraeus FC (4),3-0,1-0,Veria FC (4)
?,(Sat) 20 Sep 2014 (37),Xanthi FC (4),2-0,1-0,Levadiakos FC (4)
?,(Sun) 21 Sep 2014 (37),Asteras Tripolis FC (4),1-0,1-0,AEL Kalloni FC (4)
?,(Sun) 21 Sep 2014 (37),Kerkyra FC (4),2-0,1-0,PAS Giannina FC (4)
?,(Sun) 21 Sep 2014 (37),Niki Volou FC (4),1-4,1-1,Ergotelis FC (4)
?,(Sun) 21 Sep 2014 (37),Panthrakikos FC (4),1-0,0-0,Panionios GSS (4)
?,(Sun) 21 Sep 2014 (37),Platanias FC (4),2-3,1-1,Panathinaikos FC (4)
?,(Mon) 22 Sep 2014 (38),Panetolikos GFS (4),0-1,0-1,PAOK FC (4)
?,(Sat) 27 Sep 2014 (38),Atromitos FC (5),1-0,1-0,Olympiacos Piraeus FC (5)
?,(Sat) 27 Sep 2014 (38),Panionios GSS (5),1-1,1-1,Xanthi FC (5)
?,(Sat) 27 Sep 2014 (38),Platanias FC (5),0-1,0-0,Asteras Tripolis FC (5)
?,(Sun) 28 Sep 2014 (38),Ergotelis FC (5),1-1,0-1,Panetolikos GFS (5)
?,(Sun) 28 Sep 2014 (38),Levadiakos FC (5),2-3,1-2,Kerkyra FC (5)
?,(Sun) 28 Sep 2014 (38),Panathinaikos FC (5),1-0,1-0,Niki Volou FC (5)
?,(Sun) 28 Sep 2014 (38),PAOK FC (5),4-0,4-0,OFI Crete FC (5)
?,(Sun) 28 Sep 2014 (38),Veria FC (5),2-0,0-0,PAS Giannina FC (5)
?,(Mon) 29 Sep 2014 (39),AEL Kalloni FC (5),2-0,1-0,Panthrakikos FC (5)
?,(Sat) 18 Oct 2014 (41),Asteras Tripolis FC (6),1-1,1-1,Panetolikos GFS (6)
?,(Sat) 18 Oct 2014 (41),Ergotelis FC (6),2-3,1-1,Olympiacos Piraeus FC (6)
?,(Sat) 18 Oct 2014 (41),Niki Volou FC (6),1-0,1-0,Panthrakikos FC (6)
?,(Sun) 19 Oct 2014 (41),AEL Kalloni FC (6),1-0,0-0,Kerkyra FC (6)
?,(Sun) 19 Oct 2014 (41),Panathinaikos FC (6),1-2,0-1,OFI Crete FC (6)
?,(Sun) 19 Oct 2014 (41),PAOK FC (6),2-1,2-0,Atromitos FC (6)
?,(Sun) 19 Oct 2014 (41),Platanias FC (6),1-0,0-0,Xanthi FC (6)
?,(Sun) 19 Oct 2014 (41),Veria FC (6),2-1,2-1,Levadiakos FC (6)
?,(Mon) 20 Oct 2014 (42),Panionios GSS (6),0-1,0-0,PAS Giannina FC (6)
?,(Sat) 25 Oct 2014 (42),Atromitos FC (7),1-1,0-0,Ergotelis FC (7)
?,(Sat) 25 Oct 2014 (42),PAS Giannina FC (7),0-0,0-0,AEL Kalloni FC (7)
?,(Sat) 25 Oct 2014 (42),Levadiakos FC (7),1-0,0-0,Panionios GSS (7)
?,(Sun) 26 Oct 2014 (42),Kerkyra FC (7),1-2,1-1,Platanias FC (7)
?,(Sun) 26 Oct 2014 (42),OFI Crete FC (7),2-3,0-1,Asteras Tripolis FC (7)
?,(Sun) 26 Oct 2014 (42),Olympiacos Piraeus FC (7),1-0,0-0,Panathinaikos FC (7)
?,(Sun) 26 Oct 2014 (42),Panetolikos GFS (7),3-1,1-0,Panthrakikos FC (7)
?,(Sun) 26 Oct 2014 (42),PAOK FC (7),4-1,2-0,Veria FC (7)
?,(Mon) 27 Oct 2014 (43),Xanthi FC (7),2-0,0-0,Niki Volou FC (7)
?,(Sat) 1 Nov 2014 (43),Asteras Tripolis FC (8),0-0,0-0,Olympiacos Piraeus FC (8)
?,(Sat) 1 Nov 2014 (43),Platanias FC (8),0-0,0-0,PAS Giannina FC (8)
?,(Sat) 1 Nov 2014 (43),Veria FC (8),2-2,2-1,Panionios GSS (8)
?,(Sun) 2 Nov 2014 (43),Ergotelis FC (8),0-2,0-1,PAOK FC (8)
?,(Sun) 2 Nov 2014 (43),Niki Volou FC (8),0-0,0-0,Kerkyra FC (8)
?,(Sun) 2 Nov 2014 (43),Panathinaikos FC (8),2-0,1-0,Atromitos FC (8)
?,(Sun) 2 Nov 2014 (43),Panetolikos GFS (8),5-2,2-2,Xanthi FC (8)
?,(Sun) 2 Nov 2014 (43),Panthrakikos FC (8),0-0,0-0,OFI Crete FC (8)
?,(Mon) 3 Nov 2014 (44),AEL Kalloni FC (8),0-0,0-0,Levadiakos FC (8)
?,(Sat) 8 Nov 2014 (44),Ergotelis FC (9),2-2,2-1,Veria FC (9)
?,(Sat) 8 Nov 2014 (44),Kerkyra FC (9),1-2,0-2,Panetolikos GFS (9)
?,(Sat) 8 Nov 2014 (44),Xanthi FC (9),2-1,2-1,OFI Crete FC (9)
?,(Sun) 9 Nov 2014 (44),PAS Giannina FC (9),4-0,1-0,Niki Volou FC (9)
?,(Sun) 9 Nov 2014 (44),Levadiakos FC (9),0-0,0-0,Platanias FC (9)
?,(Sun) 9 Nov 2014 (44),Olympiacos Piraeus FC (9),5-1,2-0,Panthrakikos FC (9)
?,(Sun) 9 Nov 2014 (44),Panionios GSS (9),0-2,0-0,AEL Kalloni FC (9)
?,(Sun) 9 Nov 2014 (44),PAOK FC (9),1-2,0-0,Panathinaikos FC (9)
?,(Mon) 10 Nov 2014 (45),Atromitos FC (9),4-3,3-1,Asteras Tripolis FC (9)
?,(Sat) 29 Nov 2014 (47),Atromitos FC (10),2-0,1-0,Xanthi FC (10)
?,(Sat) 29 Nov 2014 (47),AEL Kalloni FC (10),0-0,0-0,Platanias FC (10)
