Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Sat Aug 24 2019,Parma Calcio 1913,0-1,0-1,Juventus FC,
1,Sat Aug 24 2019,ACF Fiorentina,3-4,1-2,SSC Napoli,
1,Sun Aug 25 2019,Udinese Calcio,1-0,0-0,AC Milan,
1,Sun Aug 25 2019,AS Roma,3-3,2-2,Genoa CFC,
1,Sun Aug 25 2019,UC Sampdoria,0-3,0-1,SS Lazio,
1,Sun Aug 25 2019,Cagliari Calcio,0-1,0-0,Brescia Calcio,
1,Sun Aug 25 2019,Torino FC,2-1,1-0,US Sassuolo Calcio,
1,Sun Aug 25 2019,Hellas Verona FC,1-1,1-1,Bologna FC 1909,
1,Sun Aug 25 2019,SPAL 2013,2-3,2-1,Atalanta BC,
1,Mon Aug 26 2019,FC Internazionale Milano,4-0,2-0,US Lecce,
2,Fri Aug 30 2019,Bologna FC 1909,1-0,0-0,SPAL 2013,
2,Sat Aug 31 2019,AC Milan,1-0,1-0,Brescia Calcio,
2,Sat Aug 31 2019,Juventus FC,4-3,2-0,SSC Napoli,
2,Sun Sep 1 2019,SS Lazio,1-1,0-1,AS Roma,
2,Sun Sep 1 2019,Udinese Calcio,1-3,1-1,Parma Calcio 1913,
2,Sun Sep 1 2019,Atalanta BC,2-3,1-1,Torino FC,
2,Sun Sep 1 2019,Cagliari Calcio,1-2,0-1,FC Internazionale Milano,
2,Sun Sep 1 2019,Genoa CFC,2-1,1-0,ACF Fiorentina,
2,Sun Sep 1 2019,US Sassuolo Calcio,4-1,3-0,UC Sampdoria,
2,Sun Sep 1 2019,US Lecce,0-1,0-0,Hellas Verona FC,
3,Sat Sep 14 2019,ACF Fiorentina,0-0,0-0,Juventus FC,
3,Sat Sep 14 2019,SSC Napoli,2-0,1-0,UC Sampdoria,
3,Sat Sep 14 2019,FC Internazionale Milano,1-0,1-0,Udinese Calcio,
3,Sun Sep 15 2019,Genoa CFC,1-2,0-0,Atalanta BC,
3,Sun Sep 15 2019,Parma Calcio 1913,1-3,0-2,Cagliari Calcio,
3,Sun Sep 15 2019,Brescia Calcio,3-4,3-1,Bologna FC 1909,
3,Sun Sep 15 2019,SPAL 2013,2-1,0-1,SS Lazio,
3,Sun Sep 15 2019,AS Roma,4-2,4-0,US Sassuolo Calcio,
3,Sun Sep 15 2019,Hellas Verona FC,0-1,0-0,AC Milan,
3,Mon Sep 16 2019,Torino FC,1-2,0-1,US Lecce,
4,Fri Sep 20 2019,Cagliari Calcio,3-1,0-0,Genoa CFC,
4,Sat Sep 21 2019,Udinese Calcio,0-1,0-0,Brescia Calcio,
4,Sat Sep 21 2019,Juventus FC,2-1,1-1,Hellas Verona FC,
4,Sat Sep 21 2019,AC Milan,0-2,0-0,FC Internazionale Milano,
4,Sun Sep 22 2019,US Sassuolo Calcio,3-0,2-0,SPAL 2013,
4,Sun Sep 22 2019,UC Sampdoria,1-0,0-0,Torino FC,
4,Sun Sep 22 2019,Bologna FC 1909,1-2,0-0,AS Roma,
4,Sun Sep 22 2019,US Lecce,1-4,0-2,SSC Napoli,
4,Sun Sep 22 2019,Atalanta BC,2-2,0-1,ACF Fiorentina,
4,Sun Sep 22 2019,SS Lazio,2-0,1-0,Parma Calcio 1913,
5,Tue Sep 24 2019,Hellas Verona FC,0-0,0-0,Udinese Calcio,
5,Tue Sep 24 2019,Brescia Calcio,1-2,1-1,Juventus FC,
5,Wed Sep 25 2019,AS Roma,0-2,0-0,Atalanta BC,
5,Wed Sep 25 2019,SSC Napoli,0-1,0-0,Cagliari Calcio,
5,Wed Sep 25 2019,FC Internazionale Milano,1-0,1-0,SS Lazio,
5,Wed Sep 25 2019,ACF Fiorentina,2-1,1-0,UC Sampdoria,
5,Wed Sep 25 2019,Parma Calcio 1913,1-0,0-0,US Sassuolo Calcio,
5,Wed Sep 25 2019,Genoa CFC,0-0,0-0,Bologna FC 1909,
5,Wed Sep 25 2019,SPAL 2013,1-3,1-1,US Lecce,
5,Thu Sep 26 2019,Torino FC,2-1,0-1,AC Milan,
6,Sat Sep 28 2019,Juventus FC,2-0,1-0,SPAL 2013,
6,Sat Sep 28 2019,UC Sampdoria,1-3,0-2,FC Internazionale Milano,
6,Sat Sep 28 2019,US Sassuolo Calcio,1-4,0-4,Atalanta BC,
6,Sun Sep 29 2019,SSC Napoli,2-1,2-0,Brescia Calcio,
6,Sun Sep 29 2019,SS Lazio,4-0,2-0,Genoa CFC,
6,Sun Sep 29 2019,Udinese Calcio,1-0,1-0,Bologna FC 1909,
6,Sun Sep 29 2019,US Lecce,0-1,0-0,AS Roma,
6,Sun Sep 29 2019,Cagliari Calcio,1-1,1-0,Hellas Verona FC,
6,Sun Sep 29 2019,AC Milan,1-3,0-1,ACF Fiorentina,
6,Mon Sep 30 2019,Parma Calcio 1913,3-2,2-2,Torino FC,
7,Sat Oct 5 2019,SPAL 2013,1-0,1-0,Parma Calcio 1913,
7,Sat Oct 5 2019,Hellas Verona FC,2-0,1-0,UC Sampdoria,
7,Sat Oct 5 2019,Genoa CFC,1-2,1-0,AC Milan,
7,Sun Oct 6 2019,ACF Fiorentina,1-0,0-0,Udinese Calcio,
7,Sun Oct 6 2019,AS Roma,1-1,1-1,Cagliari Calcio,
7,Sun Oct 6 2019,Atalanta BC,3-1,2-0,US Lecce,
7,Sun Oct 6 2019,Bologna FC 1909,2-2,2-2,SS Lazio,
7,Sun Oct 6 2019,Torino FC,0-0,0-0,SSC Napoli,
7,Sun Oct 6 2019,FC Internazionale Milano,1-2,1-1,Juventus FC,
8,Sat Oct 19 2019,SS Lazio,3-3,0-3,Atalanta BC,
8,Sat Oct 19 2019,SSC Napoli,2-0,1-0,Hellas Verona FC,
8,Sat Oct 19 2019,Juventus FC,2-1,1-1,Bologna FC 1909,
8,Sun Oct 20 2019,US Sassuolo Calcio,3-4,1-3,FC Internazionale Milano,
8,Sun Oct 20 2019,Udinese Calcio,1-0,1-0,Torino FC,
8,Sun Oct 20 2019,UC Sampdoria,0-0,0-0,AS Roma,
8,Sun Oct 20 2019,Cagliari Calcio,2-0,1-0,SPAL 2013,
8,Sun Oct 20 2019,Parma Calcio 1913,5-1,3-0,Genoa CFC,
8,Sun Oct 20 2019,AC Milan,2-2,1-0,US Lecce,
8,Mon Oct 21 2019,Brescia Calcio,0-0,0-0,ACF Fiorentina,
9,Fri Oct 25 2019,Hellas Verona FC,0-1,0-0,US Sassuolo Calcio,
9,Sat Oct 26 2019,US Lecce,1-1,0-0,Juventus FC,
9,Sat Oct 26 2019,FC Internazionale Milano,2-2,1-2,Parma Calcio 1913,
9,Sat Oct 26 2019,Genoa CFC,3-1,0-1,Brescia Calcio,
9,Sun Oct 27 2019,Bologna FC 1909,2-1,0-0,UC Sampdoria,
9,Sun Oct 27 2019,Atalanta BC,7-1,3-1,Udinese Calcio,
9,Sun Oct 27 2019,Torino FC,1-1,0-1,Cagliari Calcio,
9,Sun Oct 27 2019,SPAL 2013,1-1,1-1,SSC Napoli,
9,Sun Oct 27 2019,AS Roma,2-1,1-0,AC Milan,
9,Sun Oct 27 2019,ACF Fiorentina,1-2,1-1,SS Lazio,
10,Tue Oct 29 2019,Parma Calcio 1913,0-1,0-1,Hellas Verona FC,
10,Tue Oct 29 2019,Brescia Calcio,1-2,0-1,FC Internazionale Milano,
10,Wed Oct 30 2019,SSC Napoli,2-2,1-1,Atalanta BC,
10,Wed Oct 30 2019,Juventus FC,2-1,1-1,Genoa CFC,
10,Wed Oct 30 2019,SS Lazio,4-0,2-0,Torino FC,
10,Wed Oct 30 2019,Udinese Calcio,0-4,0-1,AS Roma,
10,Wed Oct 30 2019,UC Sampdoria,1-1,0-1,US Lecce,
10,Wed Oct 30 2019,Cagliari Calcio,3-2,0-1,Bologna FC 1909,
10,Wed Oct 30 2019,US Sassuolo Calcio,1-2,1-0,ACF Fiorentina,
10,Thu Oct 31 2019,AC Milan,1-0,0-0,SPAL 2013,
11,Sat Nov 2 2019,AS Roma,2-1,1-0,SSC Napoli,
11,Sat Nov 2 2019,Bologna FC 1909,1-2,0-0,FC Internazionale Milano,
11,Sat Nov 2 2019,Torino FC,0-1,0-0,Juventus FC,
11,Sun Nov 3 2019,Atalanta BC,0-2,0-1,Cagliari Calcio,
11,Sun Nov 3 2019,Genoa CFC,1-3,1-1,Udinese Calcio,
11,Sun Nov 3 2019,Hellas Verona FC,2-1,0-0,Brescia Calcio,
11,Sun Nov 3 2019,US Lecce,2-2,2-1,US Sassuolo Calcio,
11,Sun Nov 3 2019,ACF Fiorentina,1-1,0-1,Parma Calcio 1913,
11,Sun Nov 3 2019,AC Milan,1-2,1-1,SS Lazio,
11,Mon Nov 4 2019,SPAL 2013,0-1,0-0,UC Sampdoria,
12,Fri Nov 8 2019,US Sassuolo Calcio,3-1,1-0,Bologna FC 1909,
12,Sat Nov 9 2019,Brescia Calcio,0-4,0-2,Torino FC,
12,Sat Nov 9 2019,FC Internazionale Milano,2-1,0-1,Hellas Verona FC,
12,Sat Nov 9 2019,SSC Napoli,0-0,0-0,Genoa CFC,
12,Sun Nov 10 2019,Cagliari Calcio,5-2,3-0,ACF Fiorentina,
12,Sun Nov 10 2019,SS Lazio,4-2,1-1,US Lecce,
12,Sun Nov 10 2019,Udinese Calcio,0-0,0-0,SPAL 2013,
12,Sun Nov 10 2019,UC Sampdoria,0-0,0-0,Atalanta BC,
12,Sun Nov 10 2019,Parma Calcio 1913,2-0,0-0,AS Roma,
12,Sun Nov 10 2019,Juventus FC,1-0,0-0,AC Milan,
13,Sat Nov 23 2019,Atalanta BC,1-3,0-0,Juventus FC,
13,Sat Nov 23 2019,AC Milan,1-1,1-1,SSC Napoli,
13,Sat Nov 23 2019,Torino FC,0-3,0-2,FC Internazionale Milano,
13,Sun Nov 24 2019,Bologna FC 1909,2-2,1-1,Parma Calcio 1913,
13,Sun Nov 24 2019,AS Roma,3-0,0-0,Brescia Calcio,
13,Sun Nov 24 2019,Hellas Verona FC,1-0,0-0,ACF Fiorentina,
13,Sun Nov 24 2019,US Sassuolo Calcio,1-2,1-1,SS Lazio,
13,Sun Nov 24 2019,UC Sampdoria,2-1,1-1,Udinese Calcio,
13,Mon Nov 25 2019,US Lecce,2-2,0-1,Cagliari Calcio,
13,Mon Nov 25 2019,SPAL 2013,1-1,0-0,Genoa CFC,
14,Sat Nov 30 2019,Brescia Calcio,0-3,0-1,Atalanta BC,
14,Sat Nov 30 2019,Genoa CFC,0-1,0-0,Torino FC,
14,Sat Nov 30 2019,ACF Fiorentina,0-1,0-0,US Lecce,
14,Sun Dec 1 2019,Juventus FC,2-2,1-1,US Sassuolo Calcio,
14,Sun Dec 1 2019,FC Internazionale Milano,2-1,2-0,SPAL 2013,
14,Sun Dec 1 2019,SS Lazio,3-0,3-0,Udinese Calcio,
14,Sun Dec 1 2019,Parma Calcio 1913,0-1,0-0,AC Milan,
14,Sun Dec 1 2019,SSC Napoli,1-2,1-0,Bologna FC 1909,
14,Sun Dec 1 2019,Hellas Verona FC,1-3,1-2,AS Roma,
14,Mon Dec 2 2019,Cagliari Calcio,4-3,0-1,UC Sampdoria,
15,Fri Dec 6 2019,FC Internazionale Milano,0-0,0-0,AS Roma,
15,Sat Dec 7 2019,Atalanta BC,3-2,1-1,Hellas Verona FC,
15,Sat Dec 7 2019,Udinese Calcio,1-1,1-0,SSC Napoli,
15,Sat Dec 7 2019,SS Lazio,3-1,1-1,Juventus FC,
15,Sun Dec 8 2019,US Lecce,2-2,0-2,Genoa CFC,
15,Sun Dec 8 2019,Torino FC,2-1,1-0,ACF Fiorentina,
15,Sun Dec 8 2019,US Sassuolo Calcio,2-2,2-0,Cagliari Calcio,
15,Sun Dec 8 2019,SPAL 2013,0-1,0-0,Brescia Calcio,
15,Sun Dec 8 2019,UC Sampdoria,0-1,0-1,Parma Calcio 1913,
15,Sun Dec 8 2019,Bologna FC 1909,2-3,1-2,AC Milan,
16,Sat Dec 14 2019,Brescia Calcio,3-0,2-0,US Lecce,
16,Sat Dec 14 2019,SSC Napoli,1-2,0-1,Parma Calcio 1913,
16,Sat Dec 14 2019,Genoa CFC,0-1,0-0,UC Sampdoria,
16,Sun Dec 15 2019,Hellas Verona FC,3-3,0-1,Torino FC,
16,Sun Dec 15 2019,Juventus FC,3-1,3-0,Udinese Calcio,
16,Sun Dec 15 2019,AC Milan,0-0,0-0,US Sassuolo Calcio,
16,Sun Dec 15 2019,Bologna FC 1909,2-1,1-0,Atalanta BC,
16,Sun Dec 15 2019,AS Roma,3-1,0-1,SPAL 2013,
16,Sun Dec 15 2019,ACF Fiorentina,1-1,0-1,FC Internazionale Milano,
16,Mon Dec 16 2019,Cagliari Calcio,1-2,1-0,SS Lazio,
17,Wed Dec 18 2019,UC Sampdoria,1-2,1-2,Juventus FC,
7,Wed Dec 18 2019,Brescia Calcio,0-2,0-1,US Sassuolo Calcio,
17,Fri Dec 20 2019,ACF Fiorentina,1-4,1-2,AS Roma,
17,Sat Dec 21 2019,Udinese Calcio,2-1,1-0,Cagliari Calcio,
17,Sat Dec 21 2019,FC Internazionale Milano,4-0,2-0,Genoa CFC,
17,Sat Dec 21 2019,Torino FC,1-2,1-1,SPAL 2013,
17,Sun Dec 22 2019,Atalanta BC,5-0,1-0,AC Milan,
17,Sun Dec 22 2019,Parma Calcio 1913,1-1,0-0,Brescia Calcio,
17,Sun Dec 22 2019,US Lecce,2-3,0-1,Bologna FC 1909,
17,Sun Dec 22 2019,US Sassuolo Calcio,1-2,1-0,SSC Napoli,
18,Sun Jan 5 2020,Brescia Calcio,1-2,1-1,SS Lazio,
18,Sun Jan 5 2020,SPAL 2013,0-2,0-1,Hellas Verona FC,
18,Sun Jan 5 2020,Genoa CFC,2-1,1-1,US Sassuolo Calcio,
18,Sun Jan 5 2020,AS Roma,0-2,0-1,Torino FC,
18,Mon Jan 6 2020,Bologna FC 1909,1-1,0-1,ACF Fiorentina,
18,Mon Jan 6 2020,Juventus FC,4-0,0-0,Cagliari Calcio,
18,Mon Jan 6 2020,AC Milan,0-0,0-0,UC Sampdoria,
18,Mon Jan 6 2020,Atalanta BC,5-0,3-0,Parma Calcio 1913,
18,Mon Jan 6 2020,US Lecce,0-1,0-0,Udinese Calcio,
18,Mon Jan 6 2020,SSC Napoli,1-3,1-2,FC Internazionale Milano,
19,Sat Jan 11 2020,Cagliari Calcio,0-2,0-0,AC Milan,
19,Sat Jan 11 2020,SS Lazio,1-0,0-0,SSC Napoli,
19,Sat Jan 11 2020,FC Internazionale Milano,1-1,1-0,Atalanta BC,
19,Sun Jan 12 2020,Udinese Calcio,3-0,1-0,US Sassuolo Calcio,
19,Sun Jan 12 2020,ACF Fiorentina,1-0,0-0,SPAL 2013,
19,Sun Jan 12 2020,UC Sampdoria,5-1,2-1,Brescia Calcio,
19,Sun Jan 12 2020,Torino FC,1-0,1-0,Bologna FC 1909,
19,Sun Jan 12 2020,Hellas Verona FC,2-1,0-1,Genoa CFC,
19,Sun Jan 12 2020,AS Roma,1-2,0-2,Juventus FC,
19,Mon Jan 13 2020,Parma Calcio 1913,2-0,0-0,US Lecce,
20,Sat Jan 18 2020,SS Lazio,5-1,3-0,UC Sampdoria,
20,Sat Jan 18 2020,US Sassuolo Calcio,2-1,0-1,Torino FC,
20,Sat Jan 18 2020,SSC Napoli,0-2,0-1,ACF Fiorentina,
20,Sun Jan 19 2020,AC Milan,3-2,0-1,Udinese Calcio,
20,Sun Jan 19 2020,Bologna FC 1909,1-1,1-0,Hellas Verona FC,
20,Sun Jan 19 2020,Brescia Calcio,2-2,1-1,Cagliari Calcio,
20,Sun Jan 19 2020,US Lecce,1-1,0-0,FC Internazionale Milano,
20,Sun Jan 19 2020,Genoa CFC,1-3,1-2,AS Roma,
20,Sun Jan 19 2020,Juventus FC,2-1,1-0,Parma Calcio 1913,
20,Mon Jan 20 2020,Atalanta BC,1-2,1-0,SPAL 2013,
21,Fri Jan 24 2020,Brescia Calcio,0-1,0-0,AC Milan,
21,Sat Jan 25 2020,SPAL 2013,1-3,1-1,Bologna FC 1909,
21,Sat Jan 25 2020,ACF Fiorentina,0-0,0-0,Genoa CFC,
21,Sat Jan 25 2020,Torino FC,0-7,0-3,Atalanta BC,
21,Sun Jan 26 2020,FC Internazionale Milano,1-1,1-0,Cagliari Calcio,
21,Sun Jan 26 2020,Parma Calcio 1913,2-0,2-0,Udinese Calcio,
21,Sun Jan 26 2020,UC Sampdoria,0-0,0-0,US Sassuolo Calcio,
21,Sun Jan 26 2020,Hellas Verona FC,3-0,2-0,US Lecce,
21,Sun Jan 26 2020,AS Roma,1-1,1-1,SS Lazio,
21,Sun Jan 26 2020,SSC Napoli,2-1,0-0,Juventus FC,
22,Sat Feb 1 2020,Bologna FC 1909,2-1,1-1,Brescia Calcio,
22,Sat Feb 1 2020,Cagliari Calcio,2-2,1-1,Parma Calcio 1913,
22,Sat Feb 1 2020,US Sassuolo Calcio,4-2,3-0,AS Roma,
22,Sun Feb 2 2020,Juventus FC,3-0,1-0,ACF Fiorentina,
22,Sun Feb 2 2020,SS Lazio,5-1,4-0,SPAL 2013,
22,Sun Feb 2 2020,AC Milan,1-1,1-1,Hellas Verona FC,
22,Sun Feb 2 2020,Atalanta BC,2-2,2-2,Genoa CFC,
22,Sun Feb 2 2020,US Lecce,4-0,2-0,Torino FC,
22,Sun Feb 2 2020,Udinese Calcio,0-2,0-0,FC Internazionale Milano,
22,Mon Feb 3 2020,UC Sampdoria,2-4,1-2,SSC Napoli,
17,Wed Feb 5 2020,SS Lazio,0-0,0-0,Hellas Verona FC,
23,Fri Feb 7 2020,AS Roma,2-3,1-2,Bologna FC 1909,
23,Sat Feb 8 2020,ACF Fiorentina,1-2,1-0,Atalanta BC,
23,Sat Feb 8 2020,Torino FC,1-3,0-0,UC Sampdoria,
23,Sat Feb 8 2020,Hellas Verona FC,2-1,0-0,Juventus FC,
23,Sun Feb 9 2020,SPAL 2013,1-2,1-0,US Sassuolo Calcio,
23,Sun Feb 9 2020,SSC Napoli,2-3,0-1,US Lecce,
23,Sun Feb 9 2020,Genoa CFC,1-0,1-0,Cagliari Calcio,
23,Sun Feb 9 2020,Brescia Calcio,1-1,0-0,Udinese Calcio,
23,Sun Feb 9 2020,Parma Calcio 1913,0-1,0-1,SS Lazio,
23,Sun Feb 9 2020,FC Internazionale Milano,4-2,0-2,AC Milan,
24,Sat Feb 15 2020,US Lecce,2-1,1-0,SPAL 2013,
24,Sat Feb 15 2020,Bologna FC 1909,0-3,0-2,Genoa CFC,
24,Sat Feb 15 2020,Atalanta BC,2-1,0-1,AS Roma,
24,Sun Feb 16 2020,Udinese Calcio,0-0,0-0,Hellas Verona FC,
24,Sun Feb 16 2020,Juventus FC,2-0,1-0,Brescia Calcio,
24,Sun Feb 16 2020,UC Sampdoria,1-5,0-3,ACF Fiorentina,
24,Sun Feb 16 2020,US Sassuolo Calcio,0-1,0-1,Parma Calcio 1913,
24,Sun Feb 16 2020,Cagliari Calcio,0-1,0-0,SSC Napoli,
24,Sun Feb 16 2020,SS Lazio,2-1,0-1,FC Internazionale Milano,
24,Mon Feb 17 2020,AC Milan,1-0,1-0,Torino FC,
25,Fri Feb 21 2020,Brescia Calcio,1-2,1-0,SSC Napoli,
25,Sat Feb 22 2020,Bologna FC 1909,1-1,0-1,Udinese Calcio,
25,Sat Feb 22 2020,SPAL 2013,1-2,0-1,Juventus FC,
25,Sat Feb 22 2020,ACF Fiorentina,1-1,0-0,AC Milan,
25,Sun Feb 23 2020,Genoa CFC,2-3,0-1,SS Lazio,
25,Sun Feb 23 2020,AS Roma,4-0,2-0,US Lecce,
26,Sat Feb 29 2020,SS Lazio,2-0,2-0,Bologna FC 1909,
26,Sat Feb 29 2020,SSC Napoli,2-1,1-0,Torino FC,
26,Sun Mar 1 2020,US Lecce,2-7,2-2,Atalanta BC,
26,Sun Mar 1 2020,Cagliari Calcio,3-4,1-2,AS Roma,
26,Sun Mar 8 2020,Parma Calcio 1913,0-1,0-0,SPAL 2013,
26,Sun Mar 8 2020,AC Milan,1-2,0-2,Genoa CFC,
26,Sun Mar 8 2020,UC Sampdoria,2-1,0-1,Hellas Verona FC,
26,Sun Mar 8 2020,Udinese Calcio,0-0,0-0,ACF Fiorentina,
26,Sun Mar 8 2020,Juventus FC,2-0,0-0,FC Internazionale Milano,
26,Mon Mar 9 2020,US Sassuolo Calcio,3-0,1-0,Brescia Calcio,
25,Sat Jun 20 2020,Torino FC,1-1,1-1,Parma Calcio 1913,
25,Sat Jun 20 2020,Hellas Verona FC,2-1,2-1,Cagliari Calcio,
25,Sun Jun 21 2020,Atalanta BC,4-1,3-0,US Sassuolo Calcio,
25,Sun Jun 21 2020,FC Internazionale Milano,2-1,2-0,UC Sampdoria,
27,Mon Jun 22 2020,ACF Fiorentina,1-1,1-1,Brescia Calcio,
27,Mon Jun 22 2020,US Lecce,1-4,0-1,AC Milan,
27,Mon Jun 22 2020,Bologna FC 1909,0-2,0-2,Juventus FC,
27,Tue Jun 23 2020,Hellas Verona FC,0-2,0-1,SSC Napoli,
27,Tue Jun 23 2020,SPAL 2013,0-1,0-0,Cagliari Calcio,
27,Tue Jun 23 2020,Torino FC,1-0,1-0,Udinese Calcio,
27,Tue Jun 23 2020,Genoa CFC,1-4,0-2,Parma Calcio 1913,
27,Wed Jun 24 2020,FC Internazionale Milano,3-3,2-1,US Sassuolo Calcio,
27,Wed Jun 24 2020,AS Roma,2-1,0-1,UC Sampdoria,
27,Wed Jun 24 2020,Atalanta BC,3-2,1-2,SS Lazio,
28,Fri Jun 26 2020,Juventus FC,,,US Lecce,
28,Sat Jun 27 2020,Brescia Calcio,,,Genoa CFC,
28,Sat Jun 27 2020,Cagliari Calcio,,,Torino FC,
28,Sat Jun 27 2020,SS Lazio,,,ACF Fiorentina,
