Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Sat Apr 14 2018,Cruzeiro EC,0-1,0-0,Grêmio FBPA,
1,Sat Apr 14 2018,EC Vitória,2-2,1-1,CR Flamengo,
1,Sun Apr 15 2018,Santos FC,2-0,1-0,Ceará SC,
1,Sun Apr 15 2018,América MG,3-0,3-0,SC Recife,
1,Sun Apr 15 2018,SC Internacional,2-0,1-0,EC Bahia,
1,Sun Apr 15 2018,CR Vasco da Gama,2-1,0-1,CA Mineiro,
1,Sun Apr 15 2018,SC Corinthians Paulista,2-1,1-0,Fluminense FC,
1,Sun Apr 15 2018,CA Paranaense,5-1,0-0,Chapecoense AF,
1,Mon Apr 16 2018,São Paulo FC,1-0,1-0,Paraná Clube,
1,Mon Apr 16 2018,Botafogo FR,1-1,0-0,SE Palmeiras,
2,Sat Apr 21 2018,EC Bahia,1-0,0-0,Santos FC,
2,Sat Apr 21 2018,CR Flamengo,2-0,2-0,América MG,
2,Sun Apr 22 2018,Paraná Clube,0-4,0-2,SC Corinthians Paulista,
2,Sun Apr 22 2018,CA Mineiro,2-1,1-0,EC Vitória,
2,Sun Apr 22 2018,Fluminense FC,1-0,0-0,Cruzeiro EC,
2,Sun Apr 22 2018,SE Palmeiras,1-0,1-0,SC Internacional,
2,Sun Apr 22 2018,Ceará SC,0-0,0-0,São Paulo FC,
2,Sun Apr 22 2018,Chapecoense AF,1-1,1-0,CR Vasco da Gama,
2,Sun Apr 22 2018,Grêmio FBPA,0-0,0-0,CA Paranaense,
2,Mon Apr 23 2018,SC Recife,1-1,0-0,Botafogo FR,
3,Sat Apr 28 2018,Botafogo FR,2-1,1-1,Grêmio FBPA,
3,Sun Apr 29 2018,SE Palmeiras,0-0,0-0,Chapecoense AF,
3,Sun Apr 29 2018,Ceará SC,0-3,0-1,CR Flamengo,
3,Sun Apr 29 2018,Paraná Clube,1-2,0-1,SC Recife,
3,Sun Apr 29 2018,EC Bahia,0-0,0-0,CA Paranaense,
3,Sun Apr 29 2018,CA Mineiro,1-0,0-0,SC Corinthians Paulista,
3,Sun Apr 29 2018,Fluminense FC,1-1,0-1,São Paulo FC,
3,Sun Apr 29 2018,SC Internacional,0-0,0-0,Cruzeiro EC,
3,Mon Apr 30 2018,América MG,2-1,2-0,EC Vitória,
4,Sat May 5 2018,São Paulo FC,2-2,1-0,CA Mineiro,
4,Sat May 5 2018,CR Vasco da Gama,4-1,0-1,América MG,
4,Sun May 6 2018,SC Corinthians Paulista,1-1,1-1,Ceará SC,
4,Sun May 6 2018,Cruzeiro EC,1-0,0-0,Botafogo FR,
4,Sun May 6 2018,CR Flamengo,2-0,0-0,SC Internacional,
4,Sun May 6 2018,CA Paranaense,1-3,0-1,SE Palmeiras,
4,Sun May 6 2018,EC Vitória,1-2,1-0,Fluminense FC,
4,Sun May 6 2018,Grêmio FBPA,5-1,2-1,Santos FC,
4,Sun May 6 2018,SC Recife,2-0,1-0,EC Bahia,
4,Mon May 7 2018,Chapecoense AF,1-1,0-0,Paraná Clube,
5,Sat May 12 2018,Grêmio FBPA,0-0,0-0,SC Internacional,
5,Sun May 13 2018,Cruzeiro EC,2-0,1-0,SC Recife,
5,Sun May 13 2018,EC Bahia,2-2,2-1,São Paulo FC,
5,Sun May 13 2018,CR Vasco da Gama,2-3,1-1,EC Vitória,
5,Sun May 13 2018,SC Corinthians Paulista,1-0,1-0,SE Palmeiras,
5,Sun May 13 2018,CA Paranaense,1-2,1-0,CA Mineiro,
5,Sun May 13 2018,Chapecoense AF,3-2,1-0,CR Flamengo,
5,Sun May 13 2018,Santos FC,3-1,0-0,Paraná Clube,
5,Mon May 14 2018,Botafogo FR,2-1,1-1,Fluminense FC,
5,Mon May 14 2018,Ceará SC,2-2,1-2,América MG,
6,Sat May 19 2018,CA Mineiro,1-0,0-0,Cruzeiro EC,
6,Sat May 19 2018,CR Flamengo,1-1,1-1,CR Vasco da Gama,
6,Sun May 20 2018,SE Palmeiras,3-0,3-0,EC Bahia,
6,Sun May 20 2018,EC Vitória,2-1,1-0,Ceará SC,
6,Sun May 20 2018,São Paulo FC,1-0,0-0,Santos FC,
6,Sun May 20 2018,SC Recife,1-1,0-0,SC Corinthians Paulista,
6,Sun May 20 2018,América MG,1-0,0-0,Botafogo FR,
6,Sun May 20 2018,Paraná Clube,0-0,0-0,Grêmio FBPA,
6,Sun May 20 2018,Fluminense FC,2-0,2-0,CA Paranaense,
6,Mon May 21 2018,SC Internacional,3-0,1-0,Chapecoense AF,
7,Sat May 26 2018,Fluminense FC,3-1,2-0,Chapecoense AF,
7,Sat May 26 2018,SE Palmeiras,2-3,1-0,SC Recife,
7,Sun May 27 2018,CA Mineiro,0-1,0-0,CR Flamengo,
7,Sun May 27 2018,Paraná Clube,0-0,0-0,CA Paranaense,
7,Sun May 27 2018,SC Internacional,2-1,0-1,SC Corinthians Paulista,
7,Sun May 27 2018,Santos FC,0-1,0-0,Cruzeiro EC,
7,Sun May 27 2018,Botafogo FR,1-1,1-1,EC Vitória,
7,Sun May 27 2018,EC Bahia,3-0,0-0,CR Vasco da Gama,
7,Sun May 27 2018,Ceará SC,0-1,0-0,Grêmio FBPA,
7,Sun May 27 2018,América MG,1-3,1-2,São Paulo FC,
8,Wed May 30 2018,CR Vasco da Gama,1-0,1-0,Paraná Clube,
8,Wed May 30 2018,SC Recife,3-2,1-0,CA Mineiro,
8,Wed May 30 2018,EC Vitória,2-3,1-2,SC Internacional,
8,Thu May 31 2018,São Paulo FC,3-2,3-1,Botafogo FR,
8,Thu May 31 2018,Chapecoense AF,2-0,0-0,Ceará SC,
8,Thu May 31 2018,Cruzeiro EC,1-0,0-0,SE Palmeiras,
8,Thu May 31 2018,Grêmio FBPA,0-0,0-0,Fluminense FC,
8,Thu May 31 2018,CR Flamengo,2-0,2-0,EC Bahia,
8,Thu May 31 2018,SC Corinthians Paulista,1-0,0-0,América MG,
8,Fri Jun 1 2018,CA Paranaense,2-0,1-0,Santos FC,
9,Sat Jun 2 2018,SC Internacional,0-0,0-0,SC Recife,
9,Sat Jun 2 2018,CA Mineiro,3-3,2-2,Chapecoense AF,
9,Sat Jun 2 2018,CR Vasco da Gama,1-2,0-2,Botafogo FR,
9,Sun Jun 3 2018,SE Palmeiras,3-1,0-1,São Paulo FC,
9,Sun Jun 3 2018,EC Bahia,0-2,0-1,Grêmio FBPA,
9,Sun Jun 3 2018,Santos FC,5-2,4-0,EC Vitória,
9,Sun Jun 3 2018,CR Flamengo,1-0,0-0,SC Corinthians Paulista,
9,Sun Jun 3 2018,América MG,3-1,1-1,CA Paranaense,
9,Sun Jun 3 2018,Ceará SC,0-1,0-1,Cruzeiro EC,
9,Mon Jun 4 2018,Paraná Clube,2-1,0-0,Fluminense FC,
10,Wed Jun 6 2018,São Paulo FC,0-0,0-0,SC Internacional,
10,Wed Jun 6 2018,Botafogo FR,0-0,0-0,Ceará SC,
10,Wed Jun 6 2018,EC Vitória,1-0,0-0,Chapecoense AF,
10,Thu Jun 7 2018,SC Corinthians Paulista,1-1,0-0,Santos FC,
10,Thu Jun 7 2018,SC Recife,1-0,0-0,CA Paranaense,
10,Thu Jun 7 2018,Grêmio FBPA,0-2,0-0,SE Palmeiras,
10,Thu Jun 7 2018,Cruzeiro EC,1-1,0-1,CR Vasco da Gama,
10,Thu Jun 7 2018,Fluminense FC,0-2,0-1,CR Flamengo,
10,Thu Jun 7 2018,Paraná Clube,1-0,0-0,EC Bahia,
10,Fri Jun 8 2018,América MG,1-3,0-2,CA Mineiro,
11,Sat Jun 9 2018,CA Paranaense,0-1,0-0,São Paulo FC,
11,Sat Jun 9 2018,CR Vasco da Gama,3-2,2-1,SC Recife,
11,Sat Jun 9 2018,Chapecoense AF,2-0,0-0,Cruzeiro EC,
11,Sun Jun 10 2018,SC Corinthians Paulista,0-0,0-0,EC Vitória,
