Date,Team 1,Team 2,FT,HT
2005-08-27,Kallithea,Egaleo,1-1,0-1
2005-08-27,Xanthi,PAOK,1-0,1-0
2005-08-28,Akratitos,Iraklis,3-1,1-0
2005-08-28,Kalamaria,OFI,2-1,1-1
2005-08-28,Panathinaikos,Olympiakos,0-2,0-1
2005-08-28,Panionios,Larisa,1-1,0-0
2005-08-29,Atromitos,AEK,0-0,0-0
2005-09-04,Levadeiakos,Ionikos,1-1,0-1
2005-09-10,Olympiakos,Panionios,5-0,1-0
2005-09-10,PAOK,Atromitos,2-2,2-0
2005-09-11,AEK,Iraklis,2-0,2-0
2005-09-11,Egaleo,Akratitos,1-0,1-0
2005-09-11,Ionikos,Panathinaikos,1-1,1-0
2005-09-11,Kalamaria,Levadeiakos,1-1,0-0
2005-09-11,OFI,Xanthi,1-1,0-1
2005-09-12,Larisa,Kallithea,2-0,2-0
2005-09-17,Akratitos,Larisa,0-0,0-0
2005-09-17,Kallithea,Olympiakos,0-3,0-0
2005-09-18,AEK,Egaleo,1-1,0-0
2005-09-18,Atromitos,OFI,4-0,1-0
2005-09-18,Levadeiakos,Panathinaikos,0-0,0-0
2005-09-18,Panionios,Ionikos,3-3,2-2
2005-09-18,Xanthi,Kalamaria,2-0,2-0
2005-09-19,Iraklis,PAOK,0-0,0-0
2005-09-24,Olympiakos,Akratitos,2-0,2-0
2005-09-24,Panathinaikos,Panionios,3-0,3-0
2005-09-25,Ionikos,Kallithea,2-1,2-0
2005-09-25,Larisa,AEK,0-1,0-0
2005-09-25,OFI,Iraklis,0-1,0-1
2005-09-25,PAOK,Egaleo,2-0,2-0
2005-09-25,Xanthi,Levadeiakos,1-0,0-0
2005-09-26,Kalamaria,Atromitos,1-2,0-1
2005-10-01,Kallithea,Panathinaikos,2-4,2-1
2005-10-01,Levadeiakos,Panionios,3-2,3-2
2005-10-02,AEK,Olympiakos,1-3,1-0
2005-10-02,Akratitos,Ionikos,0-0,0-0
2005-10-02,Iraklis,Kalamaria,0-1,0-0
2005-10-02,PAOK,Larisa,2-2,0-1
2005-10-03,Atromitos,Xanthi,0-1,0-1
2005-10-09,Egaleo,OFI,0-0,0-0
2005-10-15,Atromitos,Levadeiakos,1-0,1-0
2005-10-15,Kalamaria,Egaleo,0-0,0-0
2005-10-15,Panathinaikos,Akratitos,1-0,1-0
2005-10-16,Ionikos,AEK,0-1,0-1
2005-10-16,OFI,Larisa,3-2,2-0
2005-10-16,Olympiakos,PAOK,1-2,0-0
2005-10-16,Panionios,Kallithea,1-0,0-0
2005-10-17,Xanthi,Iraklis,4-1,2-1
2005-10-22,Iraklis,Atromitos,2-0,0-0
2005-10-23,AEK,Panathinaikos,3-0,0-0
2005-10-23,Akratitos,Panionios,0-1,0-1
2005-10-23,Egaleo,Xanthi,3-2,0-2
2005-10-23,Levadeiakos,Kallithea,1-0,1-0
2005-10-23,OFI,Olympiakos,1-0,0-0
2005-10-23,PAOK,Ionikos,6-1,3-1
2005-10-24,Larisa,Kalamaria,4-1,1-0
2005-10-29,Kalamaria,Olympiakos,1-2,0-1
2005-10-29,Kallithea,Akratitos,2-0,0-0
2005-10-30,Atromitos,Egaleo,0-0,0-0
2005-10-30,Ionikos,OFI,1-1,0-1
2005-10-30,Iraklis,Levadeiakos,2-0,1-0
2005-10-30,Panathinaikos,PAOK,1-0,1-0
2005-10-30,Xanthi,Larisa,1-0,1-0
2005-10-31,Panionios,AEK,0-2,0-1
2005-11-05,AEK,Kallithea,2-0,1-0
2005-11-05,Larisa,Atromitos,2-1,0-0
2005-11-06,Ionikos,Kalamaria,2-0,1-0
2005-11-06,Levadeiakos,Akratitos,1-1,0-0
2005-11-06,OFI,Panathinaikos,0-2,0-0
2005-11-06,Olympiakos,Xanthi,2-0,1-0
2005-11-06,PAOK,Panionios,1-0,1-0
2005-11-07,Egaleo,Iraklis,1-1,0-1
2005-11-19,Atromitos,Olympiakos,0-1,0-0
2005-11-19,Panathinaikos,Kalamaria,3-0,1-0
2005-11-19,Xanthi,Ionikos,1-1,0-1
2005-11-20,Egaleo,Levadeiakos,1-0,1-0
2005-11-20,Iraklis,Larisa,2-1,2-0
2005-11-20,Kallithea,PAOK,1-1,0-1
2005-11-20,Panionios,OFI,1-1,0-0
2005-11-21,Akratitos,AEK,1-2,0-1
2005-11-26,Larisa,Egaleo,1-1,1-0
2005-11-26,Panathinaikos,Xanthi,2-1,2-1
2005-11-27,Ionikos,Atromitos,3-1,2-1
2005-11-27,Kalamaria,Panionios,1-0,1-0
2005-11-27,Levadeiakos,AEK,0-1,0-1
2005-11-27,OFI,Kallithea,0-0,0-0
2005-11-27,PAOK,Akratitos,2-0,0-0
2005-11-28,Olympiakos,Iraklis,2-1,1-1
2005-12-03,Atromitos,Panathinaikos,1-0,0-0
2005-12-03,Egaleo,Olympiakos,1-3,0-1
2005-12-03,Kallithea,Kalamaria,0-0,0-0
2005-12-04,AEK,PAOK,2-1,1-1
2005-12-04,Akratitos,OFI,1-1,0-0
2005-12-04,Iraklis,Ionikos,2-1,0-1
2005-12-04,Larisa,Levadeiakos,1-0,0-0
2005-12-05,Panionios,Xanthi,0-2,0-0
2005-12-10,Levadeiakos,PAOK,2-2,1-0
2005-12-10,OFI,AEK,0-1,0-0
2005-12-11,Ionikos,Egaleo,4-1,3-1
2005-12-11,Kalamaria,Akratitos,3-0,1-0
2005-12-11,Panathinaikos,Iraklis,2-2,1-1
2005-12-11,Panionios,Atromitos,2-0,0-0
2005-12-11,Xanthi,Kallithea,2-2,1-0
2005-12-12,Olympiakos,Larisa,4-0,2-0
2005-12-17,AEK,Kalamaria,2-1,0-0
2005-12-17,Olympiakos,Levadeiakos,1-0,1-0
2005-12-18,Egaleo,Panathinaikos,0-2,0-0
2005-12-18,Iraklis,Panionios,1-0,0-0
2005-12-18,Kallithea,Atromitos,2-3,2-0
2005-12-18,Larisa,Ionikos,0-0,0-0
2005-12-18,PAOK,OFI,2-0,2-0
2005-12-19,Akratitos,Xanthi,2-0,1-0
2006-01-07,Panathinaikos,Larisa,3-0,0-0
2006-01-07,Panionios,Egaleo,0-1,0-0
2006-01-08,Atromitos,Akratitos,2-0,1-0
2006-01-08,Ionikos,Olympiakos,0-1,0-0
2006-01-08,Kallithea,Iraklis,0-0,0-0
2006-01-08,Levadeiakos,OFI,1-0,1-0
2006-01-08,Xanthi,AEK,0-0,0-0
2006-01-09,Kalamaria,PAOK,2-2,2-0
2006-01-14,AEK,Atromitos,2-1,1-1
2006-01-14,Iraklis,Akratitos,1-0,0-0
2006-01-15,Ionikos,Levadeiakos,2-0,1-0
2006-01-15,OFI,Kalamaria,1-2,1-1
2006-01-15,Olympiakos,Panathinaikos,3-2,1-1
2006-01-15,PAOK,Xanthi,1-0,0-0
2006-01-16,Larisa,Panionios,1-0,0-0
2006-01-22,Egaleo,Kallithea,1-0,0-0
2006-01-28,Akratitos,Egaleo,0-3,0-2
2006-01-28,Kallithea,Larisa,2-1,2-1
2006-01-29,Atromitos,PAOK,2-1,0-1
2006-01-29,Iraklis,AEK,4-0,1-0
2006-01-29,Panathinaikos,Ionikos,1-0,1-0
2006-01-29,Xanthi,OFI,0-0,0-0
2006-01-30,Panionios,Olympiakos,2-3,2-2
2006-02-01,Levadeiakos,Kalamaria,1-0,1-0
2006-02-04,Egaleo,AEK,0-2,0-0
2006-02-04,Panathinaikos,Levadeiakos,2-0,2-0
2006-02-05,Ionikos,Panionios,0-1,0-0
2006-02-05,Kalamaria,Xanthi,2-1,2-0
2006-02-05,Larisa,Akratitos,2-1,1-1
2006-02-05,OFI,Atromitos,0-0,0-0
2006-02-05,PAOK,Iraklis,1-0,1-0
2006-02-06,Olympiakos,Kallithea,2-1,1-1
2006-02-11,Iraklis,OFI,2-0,2-0
2006-02-11,Kallithea,Ionikos,3-3,1-2
2006-02-12,AEK,Larisa,1-0,1-0
2006-02-12,Atromitos,Kalamaria,1-1,1-0
2006-02-12,Egaleo,PAOK,1-0,1-0
2006-02-12,Levadeiakos,Xanthi,0-2,0-2
2006-02-12,Panionios,Panathinaikos,2-4,0-0
2006-02-13,Akratitos,Olympiakos,0-1,0-0
2006-02-18,Larisa,PAOK,2-1,1-0
2006-02-18,OFI,Egaleo,1-0,0-0
2006-02-19,Ionikos,Akratitos,3-2,2-0
2006-02-19,Olympiakos,AEK,3-0,1-0
2006-02-19,Panathinaikos,Kallithea,2-0,0-0
2006-02-19,Panionios,Levadeiakos,1-1,0-0
2006-02-19,Xanthi,Atromitos,1-0,0-0
2006-02-20,Kalamaria,Iraklis,2-0,1-0
2006-02-25,Iraklis,Xanthi,2-0,0-0
2006-02-25,Kallithea,Panionios,1-2,0-0
2006-02-26,AEK,Ionikos,2-1,1-1
2006-02-26,Akratitos,Panathinaikos,0-2,0-1
2006-02-26,Egaleo,Kalamaria,0-0,0-0
2006-02-26,Larisa,OFI,1-0,0-0
2006-02-26,Levadeiakos,Atromitos,1-0,1-0
2006-02-26,PAOK,Olympiakos,1-2,1-1
2006-03-04,Kallithea,Levadeiakos,3-2,1-0
2006-03-04,Xanthi,Egaleo,1-0,0-0
2006-03-05,Atromitos,Iraklis,3-2,1-2
2006-03-05,Ionikos,PAOK,1-1,0-1
