Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Apr 15 2023,16:00,-03 / UTC-0300,SE Palmeiras,2-1,1-1,Cuiabá EC,2023-04-15T19:00:00Z
1,Sat Apr 15 2023,16:00,-03 / UTC-0300,América Mineiro,0-3,0-0,Fluminense FC,2023-04-15T19:00:00Z
1,Sat Apr 15 2023,18:30,-03 / UTC-0300,Fortaleza EC,1-1,0-0,SC Internacional,2023-04-15T21:30:00Z
1,Sat Apr 15 2023,18:30,-03 / UTC-0300,CA Paranaense,2-0,1-0,Goiás EC,2023-04-15T21:30:00Z
1,Sat Apr 15 2023,18:30,-03 / UTC-0300,RB Bragantino,2-1,0-1,EC Bahia,2023-04-15T21:30:00Z
1,Sat Apr 15 2023,18:30,-03 / UTC-0300,Botafogo FR,2-1,1-1,São Paulo FC,2023-04-15T21:30:00Z
1,Sat Apr 15 2023,21:00,-03 / UTC-0300,CA Mineiro,1-2,1-2,CR Vasco da Gama,2023-04-16T00:00:00Z
1,Sun Apr 16 2023,16:00,-03 / UTC-0300,SC Corinthians Paulista,2-1,0-0,Cruzeiro EC,2023-04-16T19:00:00Z
1,Sun Apr 16 2023,16:00,-03 / UTC-0300,CR Flamengo,3-0,1-0,Coritiba FBC,2023-04-16T19:00:00Z
1,Sun Apr 16 2023,18:30,-03 / UTC-0300,Grêmio FBPA,1-0,1-0,Santos FC,2023-04-16T21:30:00Z
2,Sat Apr 22 2023,16:00,-03 / UTC-0300,Fluminense FC,2-0,1-0,CA Paranaense,2023-04-22T19:00:00Z
2,Sat Apr 22 2023,18:30,-03 / UTC-0300,Cuiabá EC,1-1,0-0,RB Bragantino,2023-04-22T21:30:00Z
2,Sat Apr 22 2023,18:30,-03 / UTC-0300,São Paulo FC,3-0,1-0,América Mineiro,2023-04-22T21:30:00Z
2,Sat Apr 22 2023,21:00,-03 / UTC-0300,Cruzeiro EC,1-0,0-0,Grêmio FBPA,2023-04-23T00:00:00Z
2,Sun Apr 23 2023,11:00,-03 / UTC-0300,SC Internacional,2-1,0-0,CR Flamengo,2023-04-23T14:00:00Z
2,Sun Apr 23 2023,16:00,-03 / UTC-0300,Santos FC,0-0,0-0,CA Mineiro,2023-04-23T19:00:00Z
2,Sun Apr 23 2023,16:00,-03 / UTC-0300,CR Vasco da Gama,2-2,2-1,SE Palmeiras,2023-04-23T19:00:00Z
2,Sun Apr 23 2023,18:30,-03 / UTC-0300,Coritiba FBC,0-3,0-0,Fortaleza EC,2023-04-23T21:30:00Z
2,Sun Apr 23 2023,19:00,-03 / UTC-0300,Goiás EC,3-1,1-1,SC Corinthians Paulista,2023-04-23T22:00:00Z
2,Mon Apr 24 2023,20:00,-03 / UTC-0300,EC Bahia,1-2,1-1,Botafogo FR,2023-04-24T23:00:00Z
3,Sat Apr 29 2023,16:30,-03 / UTC-0300,Coritiba FBC,1-1,1-0,São Paulo FC,2023-04-29T19:30:00Z
3,Sat Apr 29 2023,16:30,-03 / UTC-0300,Fortaleza EC,4-2,2-1,Fluminense FC,2023-04-29T19:30:00Z
3,Sat Apr 29 2023,18:30,-03 / UTC-0300,RB Bragantino,0-3,0-1,Cruzeiro EC,2023-04-29T21:30:00Z
3,Sat Apr 29 2023,18:30,-03 / UTC-0300,Santos FC,3-2,2-1,América Mineiro,2023-04-29T21:30:00Z
3,Sat Apr 29 2023,18:30,-03 / UTC-0300,SE Palmeiras,2-1,2-0,SC Corinthians Paulista,2023-04-29T21:30:00Z
3,Sat Apr 29 2023,21:00,-03 / UTC-0300,CA Mineiro,2-1,1-0,CA Paranaense,2023-04-30T00:00:00Z
