Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
3,Sun Apr 30 2023,16:00,-03 / UTC-0300,CR Flamengo,2-3,0-2,Botafogo FR,2023-04-30T19:00:00Z
3,Sun Apr 30 2023,18:30,-03 / UTC-0300,SC Internacional,1-0,0-0,Goiás EC,2023-04-30T21:30:00Z
3,Sun Apr 30 2023,18:30,-03 / UTC-0300,Cuiabá EC,1-2,1-1,Grêmio FBPA,2023-04-30T21:30:00Z
3,Mon May 1 2023,20:00,-03 / UTC-0300,CR Vasco da Gama,0-1,0-1,EC Bahia,2023-05-01T23:00:00Z
4,Sat May 6 2023,16:00,-03 / UTC-0300,Cruzeiro EC,2-1,1-0,Santos FC,2023-05-06T19:00:00Z
4,Sat May 6 2023,21:00,-03 / UTC-0300,Fluminense FC,1-1,0-1,CR Vasco da Gama,2023-05-07T00:00:00Z
4,Sun May 7 2023,11:00,-03 / UTC-0300,América Mineiro,1-2,1-0,Cuiabá EC,2023-05-07T14:00:00Z
4,Sun May 7 2023,16:00,-03 / UTC-0300,CA Paranaense,2-1,1-1,CR Flamengo,2023-05-07T19:00:00Z
4,Sun May 7 2023,16:00,-03 / UTC-0300,EC Bahia,3-1,1-0,Coritiba FBC,2023-05-07T19:00:00Z
4,Sun May 7 2023,16:00,-03 / UTC-0300,São Paulo FC,2-0,1-0,SC Internacional,2023-05-07T19:00:00Z
4,Sun May 7 2023,18:30,-03 / UTC-0300,Grêmio FBPA,3-3,1-1,RB Bragantino,2023-05-07T21:30:00Z
4,Sun May 7 2023,18:30,-03 / UTC-0300,Goiás EC,0-5,0-1,SE Palmeiras,2023-05-07T21:30:00Z
4,Sun May 7 2023,18:30,-03 / UTC-0300,Botafogo FR,2-0,1-0,CA Mineiro,2023-05-07T21:30:00Z
4,Mon May 8 2023,20:00,-03 / UTC-0300,SC Corinthians Paulista,1-1,0-0,Fortaleza EC,2023-05-08T23:00:00Z
5,Wed May 10 2023,19:00,-03 / UTC-0300,Santos FC,3-0,2-0,EC Bahia,2023-05-10T22:00:00Z
5,Wed May 10 2023,19:00,-03 / UTC-0300,RB Bragantino,2-2,2-1,América Mineiro,2023-05-10T22:00:00Z
5,Wed May 10 2023,19:00,-03 / UTC-0300,SC Internacional,0-2,0-0,CA Paranaense,2023-05-10T22:00:00Z
5,Wed May 10 2023,20:00,-03 / UTC-0300,CR Flamengo,2-0,1-0,Goiás EC,2023-05-10T23:00:00Z
5,Wed May 10 2023,20:00,-03 / UTC-0300,Cuiabá EC,0-4,0-1,CA Mineiro,2023-05-10T23:00:00Z
5,Wed May 10 2023,21:30,-03 / UTC-0300,SE Palmeiras,4-1,1-1,Grêmio FBPA,2023-05-11T00:30:00Z
5,Wed May 10 2023,21:30,-03 / UTC-0300,Cruzeiro EC,0-2,0-1,Fluminense FC,2023-05-11T00:30:00Z
5,Thu May 11 2023,19:00,-03 / UTC-0300,Coritiba FBC,1-1,1-0,CR Vasco da Gama,2023-05-11T22:00:00Z
5,Thu May 11 2023,19:30,-03 / UTC-0300,Botafogo FR,3-0,1-0,SC Corinthians Paulista,2023-05-11T22:30:00Z
5,Thu May 11 2023,20:00,-03 / UTC-0300,Fortaleza EC,0-0,0-0,São Paulo FC,2023-05-11T23:00:00Z
6,Sat May 13 2023,16:00,-03 / UTC-0300,EC Bahia,2-3,1-3,CR Flamengo,2023-05-13T19:00:00Z
6,Sat May 13 2023,18:30,-03 / UTC-0300,Fluminense FC,2-0,1-0,Cuiabá EC,2023-05-13T21:30:00Z
6,Sat May 13 2023,18:30,-03 / UTC-0300,SE Palmeiras,1-1,0-0,RB Bragantino,2023-05-13T21:30:00Z
6,Sat May 13 2023,21:00,-03 / UTC-0300,CA Mineiro,2-0,1-0,SC Internacional,2023-05-14T00:00:00Z
6,Sun May 14 2023,16:00,-03 / UTC-0300,Grêmio FBPA,0-0,0-0,Fortaleza EC,2023-05-14T19:00:00Z
6,Sun May 14 2023,16:00,-03 / UTC-0300,CR Vasco da Gama,0-1,0-1,Santos FC,2023-05-14T19:00:00Z
6,Sun May 14 2023,16:00,-03 / UTC-0300,SC Corinthians Paulista,1-1,1-1,São Paulo FC,2023-05-14T19:00:00Z
6,Sun May 14 2023,18:30,-03 / UTC-0300,América Mineiro,0-4,0-1,Cruzeiro EC,2023-05-14T21:30:00Z
6,Sun May 14 2023,18:30,-03 / UTC-0300,CA Paranaense,3-2,0-1,Coritiba FBC,2023-05-14T21:30:00Z
6,Sun May 14 2023,18:30,-03 / UTC-0300,Goiás EC,2-1,1-1,Botafogo FR,2023-05-14T21:30:00Z
7,Sat May 20 2023,16:00,-03 / UTC-0300,EC Bahia,1-1,1-1,Goiás EC,2023-05-20T19:00:00Z
7,Sat May 20 2023,18:30,-03 / UTC-0300,RB Bragantino,2-0,1-0,CA Paranaense,2023-05-20T21:30:00Z
7,Sat May 20 2023,18:30,-03 / UTC-0300,América Mineiro,2-1,2-1,Fortaleza EC,2023-05-20T21:30:00Z
7,Sat May 20 2023,18:30,-03 / UTC-0300,Coritiba FBC,1-2,1-1,CA Mineiro,2023-05-20T21:30:00Z
7,Sat May 20 2023,18:30,-03 / UTC-0300,Botafogo FR,1-0,0-0,Fluminense FC,2023-05-20T21:30:00Z
7,Sat May 20 2023,18:30,-03 / UTC-0300,São Paulo FC,4-2,2-1,CR Vasco da Gama,2023-05-20T21:30:00Z
7,Sat May 20 2023,21:00,-03 / UTC-0300,Santos FC,0-0,0-0,SE Palmeiras,2023-05-21T00:00:00Z
7,Sun May 21 2023,16:00,-03 / UTC-0300,CR Flamengo,1-0,0-0,SC Corinthians Paulista,2023-05-21T19:00:00Z
7,Sun May 21 2023,18:30,-03 / UTC-0300,Grêmio FBPA,3-1,2-0,SC Internacional,2023-05-21T21:30:00Z
7,Mon May 22 2023,20:00,-03 / UTC-0300,Cruzeiro EC,0-1,0-1,Cuiabá EC,2023-05-22T23:00:00Z
8,Sat May 27 2023,16:00,-03 / UTC-0300,Fortaleza EC,2-0,0-0,CR Vasco da Gama,2023-05-27T19:00:00Z
8,Sat May 27 2023,16:00,-03 / UTC-0300,CA Paranaense,1-2,1-1,Grêmio FBPA,2023-05-27T19:00:00Z
8,Sat May 27 2023,18:30,-03 / UTC-0300,Cuiabá EC,1-1,1-0,Coritiba FBC,2023-05-27T21:30:00Z
8,Sat May 27 2023,18:30,-03 / UTC-0300,CR Flamengo,1-1,1-1,Cruzeiro EC,2023-05-27T21:30:00Z
8,Sat May 27 2023,21:00,-03 / UTC-0300,São Paulo FC,2-1,0-1,Goiás EC,2023-05-28T00:00:00Z
8,Sun May 28 2023,16:00,-03 / UTC-0300,SC Internacional,2-0,0-0,EC Bahia,2023-05-28T19:00:00Z
8,Sun May 28 2023,16:00,-03 / UTC-0300,SC Corinthians Paulista,2-0,0-0,Fluminense FC,2023-05-28T19:00:00Z
8,Sun May 28 2023,18:30,-03 / UTC-0300,CA Mineiro,1-1,1-0,SE Palmeiras,2023-05-28T21:30:00Z
8,Sun May 28 2023,18:30,-03 / UTC-0300,RB Bragantino,2-0,1-0,Santos FC,2023-05-28T21:30:00Z
8,Sun May 28 2023,19:00,-03 / UTC-0300,Botafogo FR,2-0,1-0,América Mineiro,2023-05-28T22:00:00Z
9,Sat Jun 3 2023,16:00,-03 / UTC-0300,Fortaleza EC,0-0,0-0,EC Bahia,2023-06-03T19:00:00Z
9,Sat Jun 3 2023,18:30,-03 / UTC-0300,Cruzeiro EC,0-1,0-1,CA Mineiro,2023-06-03T21:30:00Z
9,Sat Jun 3 2023,18:30,-03 / UTC-0300,América Mineiro,2-0,0-0,SC Corinthians Paulista,2023-06-03T21:30:00Z
9,Sat Jun 3 2023,18:30,-03 / UTC-0300,CA Paranaense,1-0,1-0,Botafogo FR,2023-06-03T21:30:00Z
9,Sat Jun 3 2023,21:00,-03 / UTC-0300,Santos FC,1-1,1-1,SC Internacional,2023-06-04T00:00:00Z
9,Sun Jun 4 2023,16:00,-03 / UTC-0300,Fluminense FC,2-1,2-0,RB Bragantino,2023-06-04T19:00:00Z
9,Sun Jun 4 2023,16:00,-03 / UTC-0300,Grêmio FBPA,2-1,2-1,São Paulo FC,2023-06-04T19:00:00Z
9,Sun Jun 4 2023,18:30,-03 / UTC-0300,SE Palmeiras,3-1,2-0,Coritiba FBC,2023-06-04T21:30:00Z
9,Sun Jun 4 2023,18:30,-03 / UTC-0300,Goiás EC,0-1,0-0,Cuiabá EC,2023-06-04T21:30:00Z
9,Mon Jun 5 2023,20:00,-03 / UTC-0300,CR Vasco da Gama,1-4,0-4,CR Flamengo,2023-06-05T23:00:00Z
10,Sat Jun 10 2023,16:00,-03 / UTC-0300,Coritiba FBC,0-0,0-0,Santos FC,2023-06-10T19:00:00Z
10,Sat Jun 10 2023,18:30,-03 / UTC-0300,EC Bahia,2-2,1-2,Cruzeiro EC,2023-06-10T21:30:00Z
10,Sat Jun 10 2023,18:30,-03 / UTC-0300,CA Mineiro,1-1,1-1,RB Bragantino,2023-06-10T21:30:00Z
10,Sat Jun 10 2023,18:30,-03 / UTC-0300,SC Corinthians Paulista,1-1,0-0,Cuiabá EC,2023-06-10T21:30:00Z
10,Sat Jun 10 2023,21:00,-03 / UTC-0300,Botafogo FR,2-0,1-0,Fortaleza EC,2023-06-11T00:00:00Z
10,Sun Jun 11 2023,11:00,-03 / UTC-0300,América Mineiro,2-2,0-1,CA Paranaense,2023-06-11T14:00:00Z
10,Sun Jun 11 2023,16:00,-03 / UTC-0300,SC Internacional,2-1,2-1,CR Vasco da Gama,2023-06-11T19:00:00Z
10,Sun Jun 11 2023,16:00,-03 / UTC-0300,São Paulo FC,0-2,0-1,SE Palmeiras,2023-06-11T19:00:00Z
10,Sun Jun 11 2023,18:30,-03 / UTC-0300,Goiás EC,2-2,1-1,Fluminense FC,2023-06-11T21:30:00Z
10,Sun Jun 11 2023,18:30,-03 / UTC-0300,CR Flamengo,3-0,1-0,Grêmio FBPA,2023-06-11T21:30:00Z
11,Wed Jun 21 2023,19:00,-03 / UTC-0300,Cruzeiro EC,0-1,0-0,Fortaleza EC,2023-06-21T22:00:00Z
11,Wed Jun 21 2023,19:00,-03 / UTC-0300,São Paulo FC,2-1,1-1,CA Paranaense,2023-06-21T22:00:00Z
11,Wed Jun 21 2023,20:00,-03 / UTC-0300,Santos FC,0-2,0-2,SC Corinthians Paulista,2023-06-21T23:00:00Z
11,Wed Jun 21 2023,21:30,-03 / UTC-0300,EC Bahia,1-0,0-0,SE Palmeiras,2023-06-22T00:30:00Z
11,Wed Jun 21 2023,21:30,-03 / UTC-0300,Fluminense FC,1-1,1-1,CA Mineiro,2023-06-22T00:30:00Z
11,Thu Jun 22 2023,19:00,-03 / UTC-0300,Grêmio FBPA,3-1,1-1,América Mineiro,2023-06-22T22:00:00Z
11,Thu Jun 22 2023,20:00,-03 / UTC-0300,Cuiabá EC,0-1,0-0,Botafogo FR,2023-06-22T23:00:00Z
11,Thu Jun 22 2023,20:00,-03 / UTC-0300,Coritiba FBC,0-1,0-0,SC Internacional,2023-06-22T23:00:00Z
11,Thu Jun 22 2023,20:00,-03 / UTC-0300,CR Vasco da Gama,0-1,0-0,Goiás EC,2023-06-22T23:00:00Z
11,Thu Jun 22 2023,21:30,-03 / UTC-0300,RB Bragantino,4-0,1-0,CR Flamengo,2023-06-23T00:30:00Z
12,Sat Jun 24 2023,16:00,-03 / UTC-0300,CA Paranaense,1-0,1-0,SC Corinthians Paulista,2023-06-24T19:00:00Z
12,Sat Jun 24 2023,18:30,-03 / UTC-0300,Fortaleza EC,2-1,0-0,CA Mineiro,2023-06-24T21:30:00Z
12,Sat Jun 24 2023,18:30,-03 / UTC-0300,Fluminense FC,2-1,0-1,EC Bahia,2023-06-24T21:30:00Z
12,Sat Jun 24 2023,21:00,-03 / UTC-0300,Cruzeiro EC,1-0,1-0,São Paulo FC,2023-06-25T00:00:00Z
12,Sun Jun 25 2023,16:00,-03 / UTC-0300,Grêmio FBPA,5-1,1-1,Coritiba FBC,2023-06-25T19:00:00Z
12,Sun Jun 25 2023,16:00,-03 / UTC-0300,SE Palmeiras,0-1,0-1,Botafogo FR,2023-06-25T19:00:00Z
12,Sun Jun 25 2023,18:30,-03 / UTC-0300,América Mineiro,1-2,1-0,SC Internacional,2023-06-25T21:30:00Z
12,Sun Jun 25 2023,18:30,-03 / UTC-0300,RB Bragantino,2-0,2-0,Goiás EC,2023-06-25T21:30:00Z
12,Sun Jun 25 2023,18:30,-03 / UTC-0300,Santos FC,2-3,1-1,CR Flamengo,2023-06-25T21:30:00Z
12,Mon Jun 26 2023,21:00,-03 / UTC-0300,CR Vasco da Gama,1-0,0-0,Cuiabá EC,2023-06-27T00:00:00Z
13,Sat Jul 1 2023,16:00,-03 / UTC-0300,São Paulo FC,1-0,0-0,Fluminense FC,2023-07-01T19:00:00Z
13,Sat Jul 1 2023,18:30,-03 / UTC-0300,CR Flamengo,2-0,1-0,Fortaleza EC,2023-07-01T21:30:00Z
13,Sat Jul 1 2023,18:30,-03 / UTC-0300,EC Bahia,1-2,1-1,Grêmio FBPA,2023-07-01T21:30:00Z
13,Sat Jul 1 2023,21:00,-03 / UTC-0300,SC Internacional,0-0,0-0,Cruzeiro EC,2023-07-02T00:00:00Z
13,Sun Jul 2 2023,11:00,-03 / UTC-0300,SC Corinthians Paulista,0-1,0-1,RB Bragantino,2023-07-02T14:00:00Z
13,Sun Jul 2 2023,16:00,-03 / UTC-0300,Botafogo FR,2-0,0-0,CR Vasco da Gama,2023-07-02T19:00:00Z
13,Sun Jul 2 2023,16:00,-03 / UTC-0300,CA Paranaense,2-2,0-1,SE Palmeiras,2023-07-02T19:00:00Z
13,Sun Jul 2 2023,16:00,-03 / UTC-0300,CA Mineiro,2-2,2-0,América Mineiro,2023-07-02T19:00:00Z
13,Sun Jul 2 2023,18:30,-03 / UTC-0300,Cuiabá EC,3-0,0-0,Santos FC,2023-07-02T21:30:00Z
13,Mon Jul 3 2023,20:00,-03 / UTC-0300,Goiás EC,1-2,0-2,Coritiba FBC,2023-07-03T23:00:00Z
14,Sat Jul 8 2023,16:00,-03 / UTC-0300,Cuiabá EC,1-1,1-0,EC Bahia,2023-07-08T19:00:00Z
14,Sat Jul 8 2023,16:00,-03 / UTC-0300,CR Vasco da Gama,0-1,0-1,Cruzeiro EC,2023-07-08T19:00:00Z
14,Sat Jul 8 2023,18:30,-03 / UTC-0300,CA Mineiro,0-1,0-1,SC Corinthians Paulista,2023-07-08T21:30:00Z
14,Sat Jul 8 2023,18:30,-03 / UTC-0300,Coritiba FBC,3-1,2-1,América Mineiro,2023-07-08T21:30:00Z
14,Sat Jul 8 2023,21:00,-03 / UTC-0300,SE Palmeiras,1-1,1-0,CR Flamengo,2023-07-09T00:00:00Z
14,Sun Jul 9 2023,11:00,-03 / UTC-0300,Santos FC,4-3,3-1,Goiás EC,2023-07-09T14:00:00Z
14,Sun Jul 9 2023,16:00,-03 / UTC-0300,RB Bragantino,0-0,0-0,São Paulo FC,2023-07-09T19:00:00Z
14,Sun Jul 9 2023,16:00,-03 / UTC-0300,Fluminense FC,2-0,2-0,SC Internacional,2023-07-09T19:00:00Z
14,Sun Jul 9 2023,18:30,-03 / UTC-0300,Grêmio FBPA,0-2,0-0,Botafogo FR,2023-07-09T21:30:00Z
14,Sun Jul 9 2023,18:30,-03 / UTC-0300,Fortaleza EC,1-0,0-0,CA Paranaense,2023-07-09T21:30:00Z
15,Sat Jul 15 2023,21:00,-03 / UTC-0300,Botafogo FR,2-0,0-0,RB Bragantino,2023-07-16T00:00:00Z
15,Sun Jul 16 2023,11:00,-03 / UTC-0300,Cruzeiro EC,0-0,0-0,Coritiba FBC,2023-07-16T14:00:00Z
15,Sun Jul 16 2023,16:00,-03 / UTC-0300,Fortaleza EC,0-1,0-1,Cuiabá EC,2023-07-16T19:00:00Z
15,Sun Jul 16 2023,16:00,-03 / UTC-0300,São Paulo FC,4-1,2-0,Santos FC,2023-07-16T19:00:00Z
15,Sun Jul 16 2023,16:00,-03 / UTC-0300,Fluminense FC,0-0,0-0,CR Flamengo,2023-07-16T19:00:00Z
15,Sun Jul 16 2023,18:30,-03 / UTC-0300,CA Paranaense,2-0,2-0,EC Bahia,2023-07-16T21:30:00Z
15,Sun Jul 16 2023,18:30,-03 / UTC-0300,SC Internacional,0-0,0-0,SE Palmeiras,2023-07-16T21:30:00Z
15,Mon Jul 17 2023,20:00,-03 / UTC-0300,Goiás EC,0-0,0-0,CA Mineiro,2023-07-17T23:00:00Z
16,Sat Jul 22 2023,16:00,-03 / UTC-0300,SE Palmeiras,3-1,1-1,Fortaleza EC,2023-07-22T19:00:00Z
16,Sat Jul 22 2023,16:00,-03 / UTC-0300,CR Flamengo,1-1,0-0,América Mineiro,2023-07-22T19:00:00Z
16,Sat Jul 22 2023,18:30,-03 / UTC-0300,EC Bahia,0-0,0-0,SC Corinthians Paulista,2023-07-22T21:30:00Z
16,Sat Jul 22 2023,18:30,-03 / UTC-0300,Cuiabá EC,2-1,0-0,São Paulo FC,2023-07-22T21:30:00Z
16,Sat Jul 22 2023,21:00,-03 / UTC-0300,Grêmio FBPA,1-0,1-0,CA Mineiro,2023-07-23T00:00:00Z
16,Sun Jul 23 2023,16:00,-03 / UTC-0300,Cruzeiro EC,0-1,0-1,Goiás EC,2023-07-23T19:00:00Z
16,Sun Jul 23 2023,16:00,-03 / UTC-0300,Santos FC,2-2,1-0,Botafogo FR,2023-07-23T19:00:00Z
16,Sun Jul 23 2023,16:00,-03 / UTC-0300,RB Bragantino,0-0,0-0,SC Internacional,2023-07-23T19:00:00Z
16,Sun Jul 23 2023,18:30,-03 / UTC-0300,CR Vasco da Gama,0-2,0-0,CA Paranaense,2023-07-23T21:30:00Z
16,Mon Jul 24 2023,19:00,-03 / UTC-0300,Coritiba FBC,2-0,2-0,Fluminense FC,2023-07-24T22:00:00Z
17,Sat Jul 29 2023,16:00,-03 / UTC-0300,CA Paranaense,3-3,1-2,Cruzeiro EC,2023-07-29T19:00:00Z
17,Sat Jul 29 2023,16:00,-03 / UTC-0300,SC Internacional,1-2,1-1,Cuiabá EC,2023-07-29T19:00:00Z
17,Sat Jul 29 2023,16:00,-03 / UTC-0300,Fluminense FC,1-0,0-0,Santos FC,2023-07-29T19:00:00Z
17,Sat Jul 29 2023,18:30,-03 / UTC-0300,Fortaleza EC,0-3,0-1,RB Bragantino,2023-07-29T21:30:00Z
17,Sat Jul 29 2023,18:30,-03 / UTC-0300,SC Corinthians Paulista,3-1,1-0,CR Vasco da Gama,2023-07-29T21:30:00Z
17,Sat Jul 29 2023,21:00,-03 / UTC-0300,CA Mineiro,1-2,1-0,CR Flamengo,2023-07-30T00:00:00Z
17,Sun Jul 30 2023,11:00,-03 / UTC-0300,São Paulo FC,0-0,0-0,EC Bahia,2023-07-30T14:00:00Z
17,Sun Jul 30 2023,16:00,-03 / UTC-0300,América Mineiro,1-4,1-2,SE Palmeiras,2023-07-30T19:00:00Z
17,Sun Jul 30 2023,16:00,-03 / UTC-0300,Botafogo FR,4-1,3-1,Coritiba FBC,2023-07-30T19:00:00Z
17,Sun Jul 30 2023,18:30,-03 / UTC-0300,Goiás EC,1-1,0-0,Grêmio FBPA,2023-07-30T21:30:00Z
18,Sat Aug 5 2023,16:00,-03 / UTC-0300,Santos FC,1-1,0-1,CA Paranaense,2023-08-05T19:00:00Z
18,Sat Aug 5 2023,18:30,-03 / UTC-0300,SC Internacional,2-2,1-1,SC Corinthians Paulista,2023-08-05T21:30:00Z
18,Sat Aug 5 2023,18:30,-03 / UTC-0300,Goiás EC,1-0,0-0,Fortaleza EC,2023-08-05T21:30:00Z
18,Sat Aug 5 2023,21:00,-03 / UTC-0300,Fluminense FC,2-1,1-0,SE Palmeiras,2023-08-06T00:00:00Z
18,Sun Aug 6 2023,16:00,-03 / UTC-0300,São Paulo FC,0-2,0-1,CA Mineiro,2023-08-06T19:00:00Z
18,Sun Aug 6 2023,16:00,-03 / UTC-0300,CR Vasco da Gama,1-0,0-0,Grêmio FBPA,2023-08-06T19:00:00Z
18,Sun Aug 6 2023,18:30,-03 / UTC-0300,EC Bahia,3-1,1-0,América Mineiro,2023-08-06T21:30:00Z
18,Sun Aug 6 2023,18:30,-03 / UTC-0300,Coritiba FBC,0-1,0-1,RB Bragantino,2023-08-06T21:30:00Z
18,Sun Aug 6 2023,18:30,-03 / UTC-0300,Cruzeiro EC,0-0,0-0,Botafogo FR,2023-08-06T21:30:00Z
18,Sun Aug 6 2023,20:00,-03 / UTC-0300,Cuiabá EC,3-0,0-0,CR Flamengo,2023-08-06T23:00:00Z
19,Sat Aug 12 2023,21:00,-03 / UTC-0300,Botafogo FR,3-1,0-1,SC Internacional,2023-08-13T00:00:00Z
19,Sun Aug 13 2023,11:00,-03 / UTC-0300,CA Mineiro,1-0,0-0,EC Bahia,2023-08-13T14:00:00Z
19,Sun Aug 13 2023,16:00,-03 / UTC-0300,SC Corinthians Paulista,3-1,0-1,Coritiba FBC,2023-08-13T19:00:00Z
19,Sun Aug 13 2023,16:00,-03 / UTC-0300,Grêmio FBPA,2-1,2-1,Fluminense FC,2023-08-13T19:00:00Z
19,Sun Aug 13 2023,16:00,-03 / UTC-0300,América Mineiro,0-1,0-1,Goiás EC,2023-08-13T19:00:00Z
19,Sun Aug 13 2023,18:30,-03 / UTC-0300,CR Flamengo,1-1,0-1,São Paulo FC,2023-08-13T21:30:00Z
19,Sun Aug 13 2023,18:30,-03 / UTC-0300,Fortaleza EC,4-0,0-0,Santos FC,2023-08-13T21:30:00Z
19,Mon Aug 14 2023,19:00,-03 / UTC-0300,SE Palmeiras,1-0,0-0,Cruzeiro EC,2023-08-14T22:00:00Z
19,Mon Aug 14 2023,21:00,-03 / UTC-0300,RB Bragantino,1-1,1-1,CR Vasco da Gama,2023-08-15T00:00:00Z
19,Tue Aug 15 2023,20:00,-03 / UTC-0300,CA Paranaense,2-0,1-0,Cuiabá EC,2023-08-15T23:00:00Z
20,Sat Aug 19 2023,16:00,-03 / UTC-0300,SC Internacional,0-1,0-1,Fortaleza EC,2023-08-19T19:00:00Z
20,Sat Aug 19 2023,16:00,-03 / UTC-0300,São Paulo FC,0-0,0-0,Botafogo FR,2023-08-19T19:00:00Z
20,Sat Aug 19 2023,18:30,-03 / UTC-0300,Cuiabá EC,0-2,0-1,SE Palmeiras,2023-08-19T21:30:00Z
20,Sat Aug 19 2023,18:30,-03 / UTC-0300,Fluminense FC,3-1,0-0,América Mineiro,2023-08-19T21:30:00Z
20,Sat Aug 19 2023,21:00,-03 / UTC-0300,Cruzeiro EC,1-1,1-0,SC Corinthians Paulista,2023-08-20T00:00:00Z
20,Sun Aug 20 2023,11:00,-03 / UTC-0300,CR Vasco da Gama,1-0,1-0,CA Mineiro,2023-08-20T14:00:00Z
20,Sun Aug 20 2023,16:00,-03 / UTC-0300,EC Bahia,4-0,2-0,RB Bragantino,2023-08-20T19:00:00Z
20,Sun Aug 20 2023,16:00,-03 / UTC-0300,Coritiba FBC,2-3,1-2,CR Flamengo,2023-08-20T19:00:00Z
20,Sun Aug 20 2023,16:00,-03 / UTC-0300,Santos FC,2-1,0-0,Grêmio FBPA,2023-08-20T19:00:00Z
20,Mon Aug 21 2023,20:00,-03 / UTC-0300,Goiás EC,1-1,0-1,CA Paranaense,2023-08-21T23:00:00Z
21,Sat Aug 26 2023,18:30,-03 / UTC-0300,CR Flamengo,0-0,0-0,SC Internacional,2023-08-26T21:30:00Z
21,Sat Aug 26 2023,21:00,-03 / UTC-0300,SC Corinthians Paulista,1-1,0-0,Goiás EC,2023-08-27T00:00:00Z
21,Sun Aug 27 2023,11:00,-03 / UTC-0300,RB Bragantino,2-0,0-0,Cuiabá EC,2023-08-27T14:00:00Z
21,Sun Aug 27 2023,16:00,-03 / UTC-0300,América Mineiro,2-1,0-0,São Paulo FC,2023-08-27T19:00:00Z
21,Sun Aug 27 2023,16:00,-03 / UTC-0300,CA Mineiro,2-0,1-0,Santos FC,2023-08-27T19:00:00Z
