Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
1,Sat Apr 13 2024,18:30,-0300,SC Internacional,2-1,0-0,EC Bahia,,FINISHED,2024-04-13T21:30:00Z
1,Sat Apr 13 2024,18:30,-0300,Criciúma EC,1-1,1-0,EC Juventude,,FINISHED,2024-04-13T21:30:00Z
1,Sat Apr 13 2024,21:00,-0300,Fluminense FC,2-2,1-0,RB Bragantino,,FINISHED,2024-04-14T00:00:00Z
1,Sat Apr 13 2024,21:00,-0300,São Paulo FC,1-2,0-0,Fortaleza EC,,FINISHED,2024-04-14T00:00:00Z
1,Sun Apr 14 2024,16:00,-0300,CR Vasco da Gama,2-1,2-0,Grêmio FBPA,,FINISHED,2024-04-14T19:00:00Z
1,Sun Apr 14 2024,16:00,-0300,SC Corinthians Paulista,0-0,0-0,CA Mineiro,,FINISHED,2024-04-14T19:00:00Z
1,Sun Apr 14 2024,16:00,-0300,CA Paranaense,4-0,3-0,Cuiabá EC,,FINISHED,2024-04-14T19:00:00Z
1,Sun Apr 14 2024,16:00,-0300,AC Goianiense,1-2,0-1,CR Flamengo,,FINISHED,2024-04-14T19:00:00Z
1,Sun Apr 14 2024,17:00,-0300,Cruzeiro EC,3-2,1-1,Botafogo FR,,FINISHED,2024-04-14T20:00:00Z
1,Sun Apr 14 2024,18:30,-0300,EC Vitória,0-1,0-1,SE Palmeiras,,FINISHED,2024-04-14T21:30:00Z
2,Tue Apr 16 2024,21:30,-0300,EC Bahia,2-1,1-1,Fluminense FC,,FINISHED,2024-04-17T00:30:00Z
2,Wed Apr 17 2024,19:00,-0300,RB Bragantino,2-1,1-0,CR Vasco da Gama,,FINISHED,2024-04-17T22:00:00Z
2,Wed Apr 17 2024,19:00,-0300,Grêmio FBPA,2-0,1-0,CA Paranaense,,FINISHED,2024-04-17T22:00:00Z
2,Wed Apr 17 2024,20:00,-0300,CA Mineiro,1-1,1-0,Criciúma EC,,FINISHED,2024-04-17T23:00:00Z
2,Wed Apr 17 2024,20:00,-0300,Fortaleza EC,1-1,1-0,Cruzeiro EC,,FINISHED,2024-04-17T23:00:00Z
2,Wed Apr 17 2024,20:00,-0300,EC Juventude,2-0,0-0,SC Corinthians Paulista,,FINISHED,2024-04-17T23:00:00Z
2,Wed Apr 17 2024,20:00,-0300,SE Palmeiras,0-1,0-1,SC Internacional,,FINISHED,2024-04-17T23:00:00Z
2,Wed Apr 17 2024,21:30,-0300,CR Flamengo,2-1,1-0,São Paulo FC,,FINISHED,2024-04-18T00:30:00Z
2,Thu Apr 18 2024,21:30,-0300,Botafogo FR,1-0,1-0,AC Goianiense,,FINISHED,2024-04-19T00:30:00Z
3,Sat Apr 20 2024,16:00,-0300,Fluminense FC,2-1,1-0,CR Vasco da Gama,,FINISHED,2024-04-20T19:00:00Z
3,Sat Apr 20 2024,18:30,-0300,RB Bragantino,1-0,1-0,SC Corinthians Paulista,,FINISHED,2024-04-20T21:30:00Z
3,Sat Apr 20 2024,18:30,-0300,Grêmio FBPA,1-0,1-0,Cuiabá EC,,FINISHED,2024-04-20T21:30:00Z
3,Sat Apr 20 2024,21:00,-0300,CA Mineiro,3-0,3-0,Cruzeiro EC,,FINISHED,2024-04-21T00:00:00Z
3,Sun Apr 21 2024,16:00,-0300,CA Paranaense,1-0,0-0,SC Internacional,,FINISHED,2024-04-21T19:00:00Z
3,Sun Apr 21 2024,16:00,-0300,SE Palmeiras,0-0,0-0,CR Flamengo,,FINISHED,2024-04-21T19:00:00Z
3,Sun Apr 21 2024,16:00,-0300,EC Vitória,2-2,1-0,EC Bahia,,FINISHED,2024-04-21T19:00:00Z
3,Sun Apr 21 2024,18:30,-0300,AC Goianiense,0-3,0-1,São Paulo FC,,FINISHED,2024-04-21T21:30:00Z
3,Sun Apr 21 2024,18:30,-0300,Botafogo FR,5-1,2-0,EC Juventude,,FINISHED,2024-04-21T21:30:00Z
4,Sat Apr 27 2024,16:00,-0300,CR Vasco da Gama,0-4,0-1,Criciúma EC,,FINISHED,2024-04-27T19:00:00Z
4,Sat Apr 27 2024,18:30,-0300,Cuiabá EC,0-3,0-1,CA Mineiro,,FINISHED,2024-04-27T21:30:00Z
4,Sat Apr 27 2024,21:00,-0300,EC Bahia,1-0,1-0,Grêmio FBPA,,FINISHED,2024-04-28T00:00:00Z
4,Sun Apr 28 2024,11:00,-0300,CR Flamengo,0-2,0-0,Botafogo FR,,FINISHED,2024-04-28T14:00:00Z
4,Sun Apr 28 2024,16:00,-0300,SC Corinthians Paulista,3-0,2-0,Fluminense FC,,FINISHED,2024-04-28T19:00:00Z
