Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Group,A,1,Fri Jun 14 2024,21:00,CEST/+0200,Germany,5-1,3-0,Scotland,,,2024-06-14T19:00:00Z
Group,A,1,Sat Jun 15 2024,15:00,CEST/+0200,Hungary,1-3,0-2,Switzerland,,,2024-06-15T13:00:00Z
Group,B,1,Sat Jun 15 2024,18:00,CEST/+0200,Spain,3-0,3-0,Croatia,,,2024-06-15T16:00:00Z
Group,B,1,Sat Jun 15 2024,21:00,CEST/+0200,Italy,2-1,2-1,Albania,,,2024-06-15T19:00:00Z
Group,D,1,Sun Jun 16 2024,15:00,CEST/+0200,Poland,1-2,1-1,Netherlands,,,2024-06-16T13:00:00Z
Group,C,1,Sun Jun 16 2024,18:00,CEST/+0200,Slovenia,1-1,0-1,Denmark,,,2024-06-16T16:00:00Z
Group,C,1,Sun Jun 16 2024,21:00,CEST/+0200,Serbia,0-1,0-1,England,,,2024-06-16T19:00:00Z
Group,E,1,Mon Jun 17 2024,15:00,CEST/+0200,Romania,3-0,1-0,Ukraine,,,2024-06-17T13:00:00Z
Group,E,1,Mon Jun 17 2024,18:00,CEST/+0200,Belgium,0-1,0-1,Slovakia,,,2024-06-17T16:00:00Z
Group,D,1,Mon Jun 17 2024,21:00,CEST/+0200,Austria,0-1,0-1,France,,,2024-06-17T19:00:00Z
Group,F,1,Tue Jun 18 2024,18:00,CEST/+0200,Turkey,3-1,1-1,Georgia,,,2024-06-18T16:00:00Z
Group,F,1,Tue Jun 18 2024,21:00,CEST/+0200,Portugal,2-1,0-0,Czechia,,,2024-06-18T19:00:00Z
Group,B,2,Wed Jun 19 2024,15:00,CEST/+0200,Croatia,2-2,0-1,Albania,,,2024-06-19T13:00:00Z
Group,A,2,Wed Jun 19 2024,18:00,CEST/+0200,Germany,2-0,1-0,Hungary,,,2024-06-19T16:00:00Z
Group,A,2,Wed Jun 19 2024,21:00,CEST/+0200,Scotland,1-1,1-1,Switzerland,,,2024-06-19T19:00:00Z
Group,C,2,Thu Jun 20 2024,15:00,CEST/+0200,Slovenia,1-1,0-0,Serbia,,,2024-06-20T13:00:00Z
Group,C,2,Thu Jun 20 2024,18:00,CEST/+0200,Denmark,1-1,1-1,England,,,2024-06-20T16:00:00Z
Group,B,2,Thu Jun 20 2024,21:00,CEST/+0200,Spain,1-0,0-0,Italy,,,2024-06-20T19:00:00Z
Group,E,2,Fri Jun 21 2024,15:00,CEST/+0200,Slovakia,1-2,1-0,Ukraine,,,2024-06-21T13:00:00Z
Group,D,2,Fri Jun 21 2024,18:00,CEST/+0200,Poland,1-3,1-1,Austria,,,2024-06-21T16:00:00Z
Group,D,2,Fri Jun 21 2024,21:00,CEST/+0200,Netherlands,0-0,0-0,France,,,2024-06-21T19:00:00Z
Group,F,2,Sat Jun 22 2024,15:00,CEST/+0200,Georgia,1-1,1-0,Czechia,,,2024-06-22T13:00:00Z
Group,F,2,Sat Jun 22 2024,18:00,CEST/+0200,Turkey,0-3,0-2,Portugal,,,2024-06-22T16:00:00Z
Group,E,2,Sat Jun 22 2024,21:00,CEST/+0200,Belgium,2-0,1-0,Romania,,,2024-06-22T19:00:00Z
Group,A,3,Sun Jun 23 2024,21:00,CEST/+0200,Scotland,0-1,0-0,Hungary,,,2024-06-23T19:00:00Z
Group,A,3,Sun Jun 23 2024,21:00,CEST/+0200,Switzerland,1-1,1-0,Germany,,,2024-06-23T19:00:00Z
Group,B,3,Mon Jun 24 2024,21:00,CEST/+0200,Albania,0-1,0-1,Spain,,,2024-06-24T19:00:00Z
Group,B,3,Mon Jun 24 2024,21:00,CEST/+0200,Croatia,1-1,0-0,Italy,,,2024-06-24T19:00:00Z
Group,D,3,Tue Jun 25 2024,18:00,CEST/+0200,France,1-1,0-0,Poland,,,2024-06-25T16:00:00Z
Group,D,3,Tue Jun 25 2024,18:00,CEST/+0200,Netherlands,2-3,0-1,Austria,,,2024-06-25T16:00:00Z
Group,C,3,Tue Jun 25 2024,21:00,CEST/+0200,Denmark,0-0,0-0,Serbia,,,2024-06-25T19:00:00Z
Group,C,3,Tue Jun 25 2024,21:00,CEST/+0200,England,0-0,0-0,Slovenia,,,2024-06-25T19:00:00Z
Group,E,3,Wed Jun 26 2024,18:00,CEST/+0200,Ukraine,0-0,0-0,Belgium,,,2024-06-26T16:00:00Z
Group,E,3,Wed Jun 26 2024,18:00,CEST/+0200,Slovakia,1-1,1-1,Romania,,,2024-06-26T16:00:00Z
Group,F,3,Wed Jun 26 2024,21:00,CEST/+0200,Czechia,1-2,0-0,Turkey,,,2024-06-26T19:00:00Z
Group,F,3,Wed Jun 26 2024,21:00,CEST/+0200,Georgia,2-0,1-0,Portugal,,,2024-06-26T19:00:00Z
Finals,,Round of 16,Sat Jun 29 2024,18:00,CEST/+0200,Switzerland,2-0,1-0,Italy,,,2024-06-29T16:00:00Z
Finals,,Round of 16,Sat Jun 29 2024,21:00,CEST/+0200,Germany,2-0,0-0,Denmark,,,2024-06-29T19:00:00Z
Finals,,Round of 16,Sun Jun 30 2024,18:00,CEST/+0200,England,1-1,0-1,Slovakia,2-1,,2024-06-30T16:00:00Z
Finals,,Round of 16,Sun Jun 30 2024,21:00,CEST/+0200,Spain,4-1,1-1,Georgia,,,2024-06-30T19:00:00Z
Finals,,Round of 16,Mon Jul 1 2024,18:00,CEST/+0200,France,1-0,0-0,Belgium,,,2024-07-01T16:00:00Z
Finals,,Round of 16,Mon Jul 1 2024,21:00,CEST/+0200,Portugal,0-0,0-0,Slovenia,0-0,3-0,2024-07-01T19:00:00Z
Finals,,Round of 16,Tue Jul 2 2024,18:00,CEST/+0200,Romania,0-3,0-1,Netherlands,,,2024-07-02T16:00:00Z
Finals,,Round of 16,Tue Jul 2 2024,21:00,CEST/+0200,Austria,1-2,0-1,Turkey,,,2024-07-02T19:00:00Z
Finals,,Quarterfinals,Fri Jul 5 2024,18:00,CEST/+0200,Spain,1-1,0-0,Germany,2-1,,2024-07-05T16:00:00Z
Finals,,Quarterfinals,Fri Jul 5 2024,21:00,CEST/+0200,Portugal,0-0,0-0,France,0-0,3-5,2024-07-05T19:00:00Z
Finals,,Quarterfinals,Sat Jul 6 2024,18:00,CEST/+0200,England,1-1,0-0,Switzerland,1-1,5-3,2024-07-06T16:00:00Z
Finals,,Quarterfinals,Sat Jul 6 2024,21:00,CEST/+0200,Netherlands,2-1,0-1,Turkey,,,2024-07-06T19:00:00Z
Finals,,Semifinals,Tue Jul 9 2024,21:00,CEST/+0200,Spain,2-1,2-1,France,,,2024-07-09T19:00:00Z
Finals,,Semifinals,Wed Jul 10 2024,21:00,CEST/+0200,Netherlands,1-2,1-1,England,,,2024-07-10T19:00:00Z
Finals,,Final,Sun Jul 14 2024,21:00,CEST/+0200,Spain,2-1,0-0,England,,,2024-07-14T19:00:00Z
