Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
2,Sun Aug 20 2023,15:00,CEST / UTC+0200,FC Lorient,1-1,0-0,OGC Nice,2023-08-20T13:00:00Z
2,Sun Aug 20 2023,15:00,CEST / UTC+0200,Stade de Reims,2-0,1-0,Clermont Foot 63,2023-08-20T13:00:00Z
2,Sun Aug 20 2023,19:00,CEST / UTC+0200,AS Monaco FC,3-0,2-0,RC Strasbourg Alsace,2023-08-20T17:00:00Z
2,Sun Aug 20 2023,20:45,CEST / UTC+0200,Racing Club de Lens,1-1,1-0,Stade Rennais FC 1901,2023-08-20T18:45:00Z
3,Fri Aug 25 2023,21:00,CEST / UTC+0200,FC Nantes,3-3,2-1,AS Monaco FC,2023-08-25T19:00:00Z
3,Sat Aug 26 2023,19:00,CEST / UTC+0200,Olympique de Marseille,2-0,1-0,Stade Brestois 29,2023-08-26T17:00:00Z
3,Sat Aug 26 2023,21:00,CEST / UTC+0200,Paris Saint-Germain FC,3-1,1-0,Racing Club de Lens,2023-08-26T19:00:00Z
3,Sun Aug 27 2023,13:00,CEST / UTC+0200,Stade Rennais FC 1901,2-2,2-1,Le Havre AC,2023-08-27T11:00:00Z
3,Sun Aug 27 2023,15:00,CEST / UTC+0200,Clermont Foot 63,0-1,0-0,FC Metz,2023-08-27T13:00:00Z
3,Sun Aug 27 2023,15:00,CEST / UTC+0200,Montpellier HSC,1-3,1-2,Stade de Reims,2023-08-27T13:00:00Z
3,Sun Aug 27 2023,15:00,CEST / UTC+0200,RC Strasbourg Alsace,2-0,0-0,Toulouse FC,2023-08-27T13:00:00Z
3,Sun Aug 27 2023,17:05,CEST / UTC+0200,FC Lorient,4-1,2-0,Lille OSC,2023-08-27T15:05:00Z
3,Sun Aug 27 2023,20:45,CEST / UTC+0200,OGC Nice,0-0,0-0,Olympique Lyonnais,2023-08-27T18:45:00Z
4,Fri Sep 1 2023,21:00,CEST / UTC+0200,FC Nantes,1-1,1-1,Olympique de Marseille,2023-09-01T19:00:00Z
4,Sat Sep 2 2023,17:00,CEST / UTC+0200,Stade Brestois 29,0-0,0-0,Stade Rennais FC 1901,2023-09-02T15:00:00Z
4,Sat Sep 2 2023,21:00,CEST / UTC+0200,AS Monaco FC,3-0,2-0,Racing Club de Lens,2023-09-02T19:00:00Z
4,Sun Sep 3 2023,13:00,CEST / UTC+0200,Toulouse FC,2-2,2-1,Clermont Foot 63,2023-09-03T11:00:00Z
4,Sun Sep 3 2023,15:00,CEST / UTC+0200,Le Havre AC,3-0,0-0,FC Lorient,2023-09-03T13:00:00Z
4,Sun Sep 3 2023,15:00,CEST / UTC+0200,FC Metz,2-2,1-1,Stade de Reims,2023-09-03T13:00:00Z
4,Sun Sep 3 2023,15:00,CEST / UTC+0200,Lille OSC,1-0,1-0,Montpellier HSC,2023-09-03T13:00:00Z
