Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Group,F,1,Tue Sep 19 2023,18:45,CEST/+0200,AC Milan,0-0,0-0,Newcastle United FC,,,2023-09-19T16:45:00Z
Group,G,1,Tue Sep 19 2023,18:45,CEST/+0200,BSC Young Boys,1-3,1-1,RB Leipzig,,,2023-09-19T16:45:00Z
Group,E,1,Tue Sep 19 2023,21:00,CEST/+0200,SS Lazio,1-1,0-1,Club Atlético de Madrid,,,2023-09-19T19:00:00Z
Group,E,1,Tue Sep 19 2023,21:00,CEST/+0200,Feyenoord Rotterdam,2-0,1-0,Celtic FC,,,2023-09-19T19:00:00Z
Group,F,1,Tue Sep 19 2023,21:00,CEST/+0200,Paris Saint-Germain FC,2-0,0-0,Borussia Dortmund,,,2023-09-19T19:00:00Z
Group,G,1,Tue Sep 19 2023,21:00,CEST/+0200,Manchester City FC,3-1,0-1,FK Crvena Zvezda,,,2023-09-19T19:00:00Z
Group,H,1,Tue Sep 19 2023,21:00,CEST/+0200,FC Barcelona,5-0,3-0,Royal Antwerp FC,,,2023-09-19T19:00:00Z
Group,H,1,Tue Sep 19 2023,21:00,CEST/+0200,FK Shakhtar Donetsk,1-3,1-3,FC Porto,,,2023-09-19T19:00:00Z
Group,C,1,Wed Sep 20 2023,18:45,CEST/+0200,Real Madrid CF,1-0,0-0,1. FC Union Berlin,,,2023-09-20T16:45:00Z
Group,A,1,Wed Sep 20 2023,18:45,CEST/+0200,Galatasaray SK,2-2,0-1,FC København,,,2023-09-20T16:45:00Z
Group,B,1,Wed Sep 20 2023,21:00,CEST/+0200,Sevilla FC,1-1,1-1,Racing Club de Lens,,,2023-09-20T19:00:00Z
Group,C,1,Wed Sep 20 2023,21:00,CEST/+0200,Sporting Clube de Braga,1-2,0-1,SSC Napoli,,,2023-09-20T19:00:00Z
Group,D,1,Wed Sep 20 2023,21:00,CEST/+0200,Real Sociedad de Fútbol,1-1,1-0,FC Internazionale Milano,,,2023-09-20T19:00:00Z
Group,D,1,Wed Sep 20 2023,21:00,CEST/+0200,Sport Lisboa e Benfica,0-2,0-1,FC Red Bull Salzburg,,,2023-09-20T19:00:00Z
Group,A,1,Wed Sep 20 2023,21:00,CEST/+0200,FC Bayern München,4-3,2-0,Manchester United FC,,,2023-09-20T19:00:00Z
Group,B,1,Wed Sep 20 2023,21:00,CEST/+0200,Arsenal FC,4-0,3-0,PSV,,,2023-09-20T19:00:00Z
Group,C,2,Tue Oct 3 2023,18:45,CEST/+0200,1. FC Union Berlin,2-3,2-1,Sporting Clube de Braga,,,2023-10-03T16:45:00Z
Group,D,2,Tue Oct 3 2023,18:45,CEST/+0200,FC Red Bull Salzburg,0-2,0-2,Real Sociedad de Fútbol,,,2023-10-03T16:45:00Z
Group,C,2,Tue Oct 3 2023,21:00,CEST/+0200,SSC Napoli,2-3,1-2,Real Madrid CF,,,2023-10-03T19:00:00Z
Group,D,2,Tue Oct 3 2023,21:00,CEST/+0200,FC Internazionale Milano,1-0,0-0,Sport Lisboa e Benfica,,,2023-10-03T19:00:00Z
Group,A,2,Tue Oct 3 2023,21:00,CEST/+0200,FC København,1-2,0-0,FC Bayern München,,,2023-10-03T19:00:00Z
Group,A,2,Tue Oct 3 2023,21:00,CEST/+0200,Manchester United FC,2-3,1-1,Galatasaray SK,,,2023-10-03T19:00:00Z
Group,B,2,Tue Oct 3 2023,21:00,CEST/+0200,Racing Club de Lens,2-1,1-1,Arsenal FC,,,2023-10-03T19:00:00Z
Group,B,2,Tue Oct 3 2023,21:00,CEST/+0200,PSV,2-2,0-0,Sevilla FC,,,2023-10-03T19:00:00Z
Group,E,2,Wed Oct 4 2023,18:45,CEST/+0200,Club Atlético de Madrid,3-2,2-2,Feyenoord Rotterdam,,,2023-10-04T16:45:00Z
Group,H,2,Wed Oct 4 2023,18:45,CEST/+0200,Royal Antwerp FC,2-3,2-0,FK Shakhtar Donetsk,,,2023-10-04T16:45:00Z
Group,E,2,Wed Oct 4 2023,21:00,CEST/+0200,Celtic FC,1-2,1-1,SS Lazio,,,2023-10-04T19:00:00Z
Group,F,2,Wed Oct 4 2023,21:00,CEST/+0200,Borussia Dortmund,0-0,0-0,AC Milan,,,2023-10-04T19:00:00Z
Group,F,2,Wed Oct 4 2023,21:00,CEST/+0200,Newcastle United FC,4-1,2-0,Paris Saint-Germain FC,,,2023-10-04T19:00:00Z
Group,G,2,Wed Oct 4 2023,21:00,CEST/+0200,FK Crvena Zvezda,2-2,1-0,BSC Young Boys,,,2023-10-04T19:00:00Z
Group,G,2,Wed Oct 4 2023,21:00,CEST/+0200,RB Leipzig,1-3,0-1,Manchester City FC,,,2023-10-04T19:00:00Z
