Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 11 2023,20:15,WEST / UTC+0100,Sporting Clube de Braga,1-2,1-0,FC Famalicão,2023-08-11T19:15:00Z
1,Sat Aug 12 2023,15:30,WEST / UTC+0100,Gil Vicente FC,5-0,2-0,Portimonense SC,2023-08-12T14:30:00Z
1,Sat Aug 12 2023,18:00,WEST / UTC+0100,SC Farense,0-3,0-1,Casa Pia AC,2023-08-12T17:00:00Z
1,Sat Aug 12 2023,20:30,WEST / UTC+0100,Sporting Clube de Portugal,3-2,2-0,FC Vizela,2023-08-12T19:30:00Z
1,Sun Aug 13 2023,15:30,WEST / UTC+0100,Rio Ave FC,2-0,0-0,GD Chaves,2023-08-13T14:30:00Z
1,Sun Aug 13 2023,18:00,WEST / UTC+0100,CF Estrela da Amadora,0-1,0-1,Vitória Guimarães,2023-08-13T17:00:00Z
1,Sun Aug 13 2023,20:30,WEST / UTC+0100,FC Arouca,4-3,1-1,GD Estoril Praia,2023-08-13T19:30:00Z
1,Mon Aug 14 2023,18:45,WEST / UTC+0100,Moreirense FC,1-2,0-0,FC Porto,2023-08-14T17:45:00Z
1,Mon Aug 14 2023,20:45,WEST / UTC+0100,Boavista FC,3-2,0-1,Sport Lisboa e Benfica,2023-08-14T19:45:00Z
2,Fri Aug 18 2023,20:15,WEST / UTC+0100,Casa Pia AC,1-2,0-1,Sporting Clube de Portugal,2023-08-18T19:15:00Z
2,Sat Aug 19 2023,15:30,WEST / UTC+0100,Vitória Guimarães,2-1,0-0,Gil Vicente FC,2023-08-19T14:30:00Z
2,Sat Aug 19 2023,18:00,WEST / UTC+0100,GD Chaves,2-4,1-1,Sporting Clube de Braga,2023-08-19T17:00:00Z
2,Sat Aug 19 2023,20:30,WEST / UTC+0100,Sport Lisboa e Benfica,2-0,0-0,CF Estrela da Amadora,2023-08-19T19:30:00Z
2,Sat Aug 19 2023,20:30,WEST / UTC+0100,Portimonense SC,1-4,0-3,Boavista FC,2023-08-19T19:30:00Z
2,Sun Aug 20 2023,15:30,WEST / UTC+0100,GD Estoril Praia,2-0,0-0,Rio Ave FC,2023-08-20T14:30:00Z
2,Sun Aug 20 2023,18:00,WEST / UTC+0100,FC Porto,2-1,1-1,SC Farense,2023-08-20T17:00:00Z
2,Sun Aug 20 2023,20:30,WEST / UTC+0100,FC Vizela,2-2,1-1,FC Arouca,2023-08-20T19:30:00Z
2,Mon Aug 21 2023,20:15,WEST / UTC+0100,FC Famalicão,0-0,0-0,Moreirense FC,2023-08-21T19:15:00Z
3,Fri Aug 25 2023,20:15,WEST / UTC+0100,CF Estrela da Amadora,2-1,0-0,GD Estoril Praia,2023-08-25T19:15:00Z
3,Sat Aug 26 2023,15:30,WEST / UTC+0100,FC Arouca,1-1,0-1,Portimonense SC,2023-08-26T14:30:00Z
3,Sat Aug 26 2023,18:00,WEST / UTC+0100,SC Farense,5-0,4-0,GD Chaves,2023-08-26T17:00:00Z
3,Sat Aug 26 2023,20:30,WEST / UTC+0100,Gil Vicente FC,2-3,0-1,Sport Lisboa e Benfica,2023-08-26T19:30:00Z
3,Sun Aug 27 2023,15:30,WEST / UTC+0100,Boavista FC,1-1,0-1,Casa Pia AC,2023-08-27T14:30:00Z
3,Sun Aug 27 2023,18:00,WEST / UTC+0100,Vitória Guimarães,2-0,0-0,FC Vizela,2023-08-27T17:00:00Z
3,Sun Aug 27 2023,20:30,WEST / UTC+0100,Sporting Clube de Portugal,1-0,0-0,FC Famalicão,2023-08-27T19:30:00Z
3,Mon Aug 28 2023,20:15,WEST / UTC+0100,Rio Ave FC,1-2,0-0,FC Porto,2023-08-28T19:15:00Z
4,Fri Sep 1 2023,20:15,WEST / UTC+0100,FC Vizela,1-0,0-0,Gil Vicente FC,2023-09-01T19:15:00Z
4,Sat Sep 2 2023,15:30,WEST / UTC+0100,Casa Pia AC,1-1,1-0,Rio Ave FC,2023-09-02T14:30:00Z
4,Sat Sep 2 2023,18:00,WEST / UTC+0100,FC Famalicão,1-0,0-0,SC Farense,2023-09-02T17:00:00Z
4,Sat Sep 2 2023,18:00,WEST / UTC+0100,Portimonense SC,1-1,1-1,CF Estrela da Amadora,2023-09-02T17:00:00Z
4,Sat Sep 2 2023,20:30,WEST / UTC+0100,Sport Lisboa e Benfica,4-0,3-0,Vitória Guimarães,2023-09-02T19:30:00Z
4,Sun Sep 3 2023,15:30,WEST / UTC+0100,GD Chaves,1-2,0-1,Moreirense FC,2023-09-03T14:30:00Z
4,Sun Sep 3 2023,15:30,WEST / UTC+0100,GD Estoril Praia,1-2,1-2,Boavista FC,2023-09-03T14:30:00Z
4,Sun Sep 3 2023,18:00,WEST / UTC+0100,FC Porto,1-1,0-0,FC Arouca,2023-09-03T17:00:00Z
4,Sun Sep 3 2023,20:30,WEST / UTC+0100,Sporting Clube de Braga,1-1,0-1,Sporting Clube de Portugal,2023-09-03T19:30:00Z
3,Sat Sep 9 2023,18:00,WEST / UTC+0100,Moreirense FC,2-3,2-1,Sporting Clube de Braga,2023-09-09T17:00:00Z
5,Fri Sep 15 2023,19:15,WEST / UTC+0100,CF Estrela da Amadora,0-1,0-1,FC Porto,2023-09-15T18:15:00Z
5,Sat Sep 16 2023,15:30,WEST / UTC+0100,Rio Ave FC,1-1,0-1,FC Famalicão,2023-09-16T14:30:00Z
5,Sat Sep 16 2023,18:00,WEST / UTC+0100,SC Farense,3-1,2-0,Sporting Clube de Braga,2023-09-16T17:00:00Z
5,Sat Sep 16 2023,20:30,WEST / UTC+0100,FC Vizela,1-2,0-2,Sport Lisboa e Benfica,2023-09-16T19:30:00Z
5,Sun Sep 17 2023,15:30,WEST / UTC+0100,FC Arouca,0-1,0-0,Casa Pia AC,2023-09-17T14:30:00Z
5,Sun Sep 17 2023,15:30,WEST / UTC+0100,Gil Vicente FC,5-3,3-0,GD Estoril Praia,2023-09-17T14:30:00Z
5,Sun Sep 17 2023,18:00,WEST / UTC+0100,Vitória Guimarães,1-2,1-0,Portimonense SC,2023-09-17T17:00:00Z
5,Sun Sep 17 2023,20:30,WEST / UTC+0100,Sporting Clube de Portugal,3-0,0-0,Moreirense FC,2023-09-17T19:30:00Z
5,Mon Sep 18 2023,20:15,WEST / UTC+0100,Boavista FC,4-1,4-0,GD Chaves,2023-09-18T19:15:00Z
6,Fri Sep 22 2023,20:15,WEST / UTC+0100,FC Famalicão,1-0,1-0,FC Arouca,2023-09-22T19:15:00Z
6,Sat Sep 23 2023,15:30,WEST / UTC+0100,Moreirense FC,1-0,1-0,SC Farense,2023-09-23T14:30:00Z
6,Sat Sep 23 2023,15:30,WEST / UTC+0100,GD Estoril Praia,2-2,0-0,FC Vizela,2023-09-23T14:30:00Z
6,Sat Sep 23 2023,18:00,WEST / UTC+0100,Casa Pia AC,0-0,0-0,Vitória Guimarães,2023-09-23T17:00:00Z
6,Sat Sep 23 2023,20:30,WEST / UTC+0100,FC Porto,2-1,1-1,Gil Vicente FC,2023-09-23T19:30:00Z
6,Sun Sep 24 2023,15:30,WEST / UTC+0100,GD Chaves,2-2,0-1,CF Estrela da Amadora,2023-09-24T14:30:00Z
6,Sun Sep 24 2023,18:00,WEST / UTC+0100,Portimonense SC,1-3,0-2,Sport Lisboa e Benfica,2023-09-24T17:00:00Z
6,Sun Sep 24 2023,20:30,WEST / UTC+0100,Sporting Clube de Braga,4-1,2-1,Boavista FC,2023-09-24T19:30:00Z
6,Mon Sep 25 2023,20:15,WEST / UTC+0100,Sporting Clube de Portugal,2-0,2-0,Rio Ave FC,2023-09-25T19:15:00Z
7,Thu Sep 28 2023,20:15,WEST / UTC+0100,CF Estrela da Amadora,2-4,0-1,Sporting Clube de Braga,2023-09-28T19:15:00Z
7,Fri Sep 29 2023,20:15,WEST / UTC+0100,Sport Lisboa e Benfica,1-0,0-0,FC Porto,2023-09-29T19:15:00Z
7,Sat Sep 30 2023,15:30,WEST / UTC+0100,FC Vizela,2-3,0-2,Portimonense SC,2023-09-30T14:30:00Z
7,Sat Sep 30 2023,18:00,WEST / UTC+0100,Boavista FC,2-2,1-1,FC Famalicão,2023-09-30T17:00:00Z
7,Sat Sep 30 2023,20:30,WEST / UTC+0100,SC Farense,2-3,1-2,Sporting Clube de Portugal,2023-09-30T19:30:00Z
7,Sun Oct 1 2023,15:30,WEST / UTC+0100,FC Arouca,0-2,0-0,GD Chaves,2023-10-01T14:30:00Z
7,Sun Oct 1 2023,18:00,WEST / UTC+0100,Vitória Guimarães,3-2,0-2,GD Estoril Praia,2023-10-01T17:00:00Z
7,Sun Oct 1 2023,20:30,WEST / UTC+0100,Rio Ave FC,0-4,0-2,Moreirense FC,2023-10-01T19:30:00Z
7,Mon Oct 2 2023,20:15,WEST / UTC+0100,Gil Vicente FC,2-0,0-0,Casa Pia AC,2023-10-02T19:15:00Z
8,Fri Oct 6 2023,20:15,WEST / UTC+0100,Moreirense FC,1-1,1-1,Boavista FC,2023-10-06T19:15:00Z
8,Sat Oct 7 2023,15:30,WEST / UTC+0100,GD Chaves,4-2,1-2,Gil Vicente FC,2023-10-07T14:30:00Z
8,Sat Oct 7 2023,15:30,WEST / UTC+0100,SC Farense,0-0,0-0,FC Vizela,2023-10-07T14:30:00Z
8,Sat Oct 7 2023,18:00,WEST / UTC+0100,Sporting Clube de Braga,2-1,0-1,Rio Ave FC,2023-10-07T17:00:00Z
8,Sat Oct 7 2023,20:30,WEST / UTC+0100,GD Estoril Praia,0-1,0-0,Sport Lisboa e Benfica,2023-10-07T19:30:00Z
8,Sun Oct 8 2023,15:30,WEST / UTC+0100,Casa Pia AC,0-1,0-0,CF Estrela da Amadora,2023-10-08T14:30:00Z
8,Sun Oct 8 2023,15:30,WEST / UTC+0100,FC Famalicão,1-3,0-2,Vitória Guimarães,2023-10-08T14:30:00Z
8,Sun Oct 8 2023,18:00,WEST / UTC+0100,FC Porto,1-0,1-0,Portimonense SC,2023-10-08T17:00:00Z
8,Sun Oct 8 2023,20:30,WEST / UTC+0100,Sporting Clube de Portugal,2-1,1-0,FC Arouca,2023-10-08T19:30:00Z
9,Fri Oct 27 2023,20:15,WEST / UTC+0100,FC Arouca,0-1,0-1,Moreirense FC,2023-10-27T19:15:00Z
9,Sat Oct 28 2023,15:30,WEST / UTC+0100,Portimonense SC,1-0,1-0,GD Estoril Praia,2023-10-28T14:30:00Z
9,Sat Oct 28 2023,18:00,WEST / UTC+0100,Sport Lisboa e Benfica,1-1,1-0,Casa Pia AC,2023-10-28T17:00:00Z
9,Sat Oct 28 2023,18:00,WEST / UTC+0100,Vitória Guimarães,5-0,3-0,GD Chaves,2023-10-28T17:00:00Z
9,Sat Oct 28 2023,20:30,WEST / UTC+0100,Gil Vicente FC,3-3,1-0,Sporting Clube de Braga,2023-10-28T19:30:00Z
9,Sun Oct 29 2023,15:30,WET / UTC+0000,Rio Ave FC,3-4,2-2,SC Farense,2023-10-29T15:30:00Z
9,Sun Oct 29 2023,18:00,WET / UTC+0000,CF Estrela da Amadora,1-0,0-0,FC Famalicão,2023-10-29T18:00:00Z
9,Sun Oct 29 2023,20:30,WET / UTC+0000,FC Vizela,0-2,0-2,FC Porto,2023-10-29T20:30:00Z
9,Mon Oct 30 2023,20:15,WET / UTC+0000,Boavista FC,0-2,0-1,Sporting Clube de Portugal,2023-10-30T20:15:00Z
10,Fri Nov 3 2023,20:15,WET / UTC+0000,FC Porto,0-1,0-0,GD Estoril Praia,2023-11-03T20:15:00Z
10,Sat Nov 4 2023,15:30,WET / UTC+0000,GD Chaves,0-2,0-0,Sport Lisboa e Benfica,2023-11-04T15:30:00Z
10,Sat Nov 4 2023,18:00,WET / UTC+0000,FC Famalicão,3-1,2-0,Gil Vicente FC,2023-11-04T18:00:00Z
10,Sat Nov 4 2023,20:30,WET / UTC+0000,Sporting Clube de Braga,6-1,0-1,Portimonense SC,2023-11-04T20:30:00Z
10,Sun Nov 5 2023,15:30,WET / UTC+0000,Casa Pia AC,0-1,0-0,FC Vizela,2023-11-05T15:30:00Z
10,Sun Nov 5 2023,15:30,WET / UTC+0000,Moreirense FC,1-0,0-0,Vitória Guimarães,2023-11-05T15:30:00Z
10,Sun Nov 5 2023,18:00,WET / UTC+0000,Rio Ave FC,2-0,1-0,Boavista FC,2023-11-05T18:00:00Z
10,Sun Nov 5 2023,20:30,WET / UTC+0000,Sporting Clube de Portugal,3-2,1-0,CF Estrela da Amadora,2023-11-05T20:30:00Z
10,Mon Nov 6 2023,20:15,WET / UTC+0000,SC Farense,2-0,2-0,FC Arouca,2023-11-06T20:15:00Z
11,Fri Nov 10 2023,20:15,WET / UTC+0000,GD Estoril Praia,4-0,2-0,Casa Pia AC,2023-11-10T20:15:00Z
11,Sat Nov 11 2023,15:30,WET / UTC+0000,Portimonense SC,2-1,2-0,GD Chaves,2023-11-11T15:30:00Z
11,Sat Nov 11 2023,18:00,WET / UTC+0000,CF Estrela da Amadora,0-1,0-0,Moreirense FC,2023-11-11T18:00:00Z
11,Sat Nov 11 2023,18:00,WET / UTC+0000,FC Vizela,0-0,0-0,FC Famalicão,2023-11-11T18:00:00Z
11,Sat Nov 11 2023,20:30,WET / UTC+0000,Vitória Guimarães,1-2,1-1,FC Porto,2023-11-11T20:30:00Z
11,Sun Nov 12 2023,15:30,WET / UTC+0000,Boavista FC,1-3,0-1,SC Farense,2023-11-12T15:30:00Z
11,Sun Nov 12 2023,15:30,WET / UTC+0000,Gil Vicente FC,1-1,0-0,Rio Ave FC,2023-11-12T15:30:00Z
11,Sun Nov 12 2023,18:00,WET / UTC+0000,FC Arouca,0-1,0-1,Sporting Clube de Braga,2023-11-12T18:00:00Z
11,Sun Nov 12 2023,20:30,WET / UTC+0000,Sport Lisboa e Benfica,2-1,0-1,Sporting Clube de Portugal,2023-11-12T20:30:00Z
12,Fri Dec 1 2023,20:30,WET / UTC+0000,GD Chaves,2-1,1-1,FC Vizela,2023-12-01T20:30:00Z
12,Sat Dec 2 2023,15:30,WET / UTC+0000,Rio Ave FC,1-1,0-0,CF Estrela da Amadora,2023-12-02T15:30:00Z
12,Sat Dec 2 2023,15:30,WET / UTC+0000,SC Farense,1-2,0-1,Vitória Guimarães,2023-12-02T15:30:00Z
12,Sat Dec 2 2023,18:00,WET / UTC+0000,FC Famalicão,0-3,0-2,FC Porto,2023-12-02T18:00:00Z
12,Sat Dec 2 2023,20:30,WET / UTC+0000,Casa Pia AC,1-0,0-0,Portimonense SC,2023-12-02T20:30:00Z
12,Sun Dec 3 2023,15:30,WET / UTC+0000,Sporting Clube de Braga,3-1,1-1,GD Estoril Praia,2023-12-03T15:30:00Z
12,Sun Dec 3 2023,18:00,WET / UTC+0000,Moreirense FC,0-0,0-0,Sport Lisboa e Benfica,2023-12-03T18:00:00Z
12,Sun Dec 3 2023,20:30,WET / UTC+0000,Boavista FC,0-4,0-3,FC Arouca,2023-12-03T20:30:00Z
12,Mon Dec 4 2023,20:15,WET / UTC+0000,Sporting Clube de Portugal,3-1,1-1,Gil Vicente FC,2023-12-04T20:15:00Z
