Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Sep 18 2020,19:00,WEST/+0100,FC Famalicão,1-5,0-3,Sport Lisboa e Benfica,2020-09-18T18:00:00Z
1,Fri Sep 18 2020,21:15,WEST/+0100,Vitória Guimarães,0-1,0-0,Os Belenenses Futebol,2020-09-18T20:15:00Z
1,Sat Sep 19 2020,16:00,WEST/+0100,CD Nacional,3-3,2-2,Boavista FC,2020-09-19T15:00:00Z
1,Sat Sep 19 2020,21:00,WEST/+0100,FC Porto,3-1,2-1,Sporting Clube de Braga,2020-09-19T20:00:00Z
1,Sun Sep 20 2020,16:00,WEST/+0100,CD Santa Clara,2-0,0-0,CS Marítimo,2020-09-20T15:00:00Z
1,Sun Sep 20 2020,18:30,WEST/+0100,Moreirense FC,2-0,1-0,SC Farense,2020-09-20T17:30:00Z
1,Sun Sep 20 2020,21:00,WEST/+0100,CD Tondela,1-1,1-0,Rio Ave FC,2020-09-20T20:00:00Z
1,Mon Sep 21 2020,19:45,WEST/+0100,Portimonense SC,1-1,0-1,FC Paços de Ferreira,2020-09-21T18:45:00Z
2,Fri Sep 25 2020,20:30,WEST/+0100,Sporting Clube de Braga,0-1,0-1,CD Santa Clara,2020-09-25T19:30:00Z
2,Sat Sep 26 2020,15:30,WEST/+0100,CS Marítimo,2-1,2-1,CD Tondela,2020-09-26T14:30:00Z
2,Sat Sep 26 2020,18:30,WEST/+0100,Sport Lisboa e Benfica,2-0,1-0,Moreirense FC,2020-09-26T17:30:00Z
2,Sat Sep 26 2020,21:00,WEST/+0100,Boavista FC,0-5,0-0,FC Porto,2020-09-26T20:00:00Z
2,Sun Sep 27 2020,15:30,WEST/+0100,SC Farense,0-1,0-0,CD Nacional,2020-09-27T14:30:00Z
2,Sun Sep 27 2020,16:00,WEST/+0100,Gil Vicente FC,1-0,0-0,Portimonense SC,2020-09-27T15:00:00Z
2,Sun Sep 27 2020,18:30,WEST/+0100,FC Paços de Ferreira,0-2,0-1,Sporting Clube de Portugal,2020-09-27T17:30:00Z
2,Sun Sep 27 2020,21:00,WEST/+0100,Rio Ave FC,0-0,0-0,Vitória Guimarães,2020-09-27T20:00:00Z
2,Mon Sep 28 2020,19:45,WEST/+0100,Os Belenenses Futebol,1-2,1-0,FC Famalicão,2020-09-28T18:45:00Z
