Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
3,Sat Sep 26 2020,16:30,CEST/+0200,PEC Zwolle,4-0,1-0,Sparta Rotterdam,2020-09-26T14:30:00Z
3,Sat Sep 26 2020,18:45,CEST/+0200,Fortuna Sittard,3-3,1-1,AZ,2020-09-26T16:45:00Z
3,Sat Sep 26 2020,20:00,CEST/+0200,SC Heerenveen,1-0,1-0,VVV Venlo,2020-09-26T18:00:00Z
3,Sat Sep 26 2020,21:00,CEST/+0200,AFC Ajax,2-1,1-0,SBV Vitesse,2020-09-26T19:00:00Z
3,Sun Sep 27 2020,12:15,CEST/+0200,Feyenoord Rotterdam,4-2,1-1,ADO Den Haag,2020-09-27T10:15:00Z
3,Sun Sep 27 2020,14:30,CEST/+0200,FC Utrecht,3-1,1-0,RKC Waalwijk,2020-09-27T12:30:00Z
3,Sun Sep 27 2020,16:45,CEST/+0200,Heracles Almelo,1-1,1-0,PSV,2020-09-27T14:45:00Z
3,Sun Sep 27 2020,16:45,CEST/+0200,FC Emmen,1-1,1-1,Willem II Tilburg,2020-09-27T14:45:00Z
4,Fri Oct 2 2020,20:00,CEST/+0200,FC Utrecht,1-1,1-1,SC Heerenveen,2020-10-02T18:00:00Z
4,Sat Oct 3 2020,16:30,CEST/+0200,SBV Vitesse,3-0,2-0,Heracles Almelo,2020-10-03T14:30:00Z
4,Sat Oct 3 2020,20:00,CEST/+0200,VVV Venlo,1-2,1-1,ADO Den Haag,2020-10-03T18:00:00Z
4,Sat Oct 3 2020,21:00,CEST/+0200,FC Twente '65,1-1,0-0,FC Emmen,2020-10-03T19:00:00Z
4,Sun Oct 4 2020,12:15,CEST/+0200,FC Groningen,1-0,0-0,AFC Ajax,2020-10-04T10:15:00Z
4,Sun Oct 4 2020,14:30,CEST/+0200,Willem II Tilburg,1-4,1-1,Feyenoord Rotterdam,2020-10-04T12:30:00Z
4,Sun Oct 4 2020,14:30,CEST/+0200,Sparta Rotterdam,4-4,0-4,AZ,2020-10-04T12:30:00Z
4,Sun Oct 4 2020,16:45,CEST/+0200,PSV,2-0,1-0,Fortuna Sittard,2020-10-04T14:45:00Z
5,Sat Oct 17 2020,18:45,CEST/+0200,Heracles Almelo,0-1,0-1,RKC Waalwijk,2020-10-17T16:45:00Z
5,Sat Oct 17 2020,20:00,CEST/+0200,AZ,2-2,2-0,VVV Venlo,2020-10-17T18:00:00Z
5,Sat Oct 17 2020,21:00,CEST/+0200,Willem II Tilburg,0-3,0-1,FC Twente '65,2020-10-17T19:00:00Z
5,Sun Oct 18 2020,12:15,CEST/+0200,Feyenoord Rotterdam,1-1,1-0,Sparta Rotterdam,2020-10-18T10:15:00Z
5,Sun Oct 18 2020,14:30,CEST/+0200,AFC Ajax,5-1,3-0,SC Heerenveen,2020-10-18T12:30:00Z
5,Sun Oct 18 2020,14:30,CEST/+0200,ADO Den Haag,0-2,0-1,SBV Vitesse,2020-10-18T12:30:00Z
5,Sun Oct 18 2020,16:45,CEST/+0200,FC Groningen,0-0,0-0,FC Utrecht,2020-10-18T14:45:00Z
5,Sun Oct 18 2020,16:45,CEST/+0200,PEC Zwolle,0-3,0-3,PSV,2020-10-18T14:45:00Z
5,Sun Oct 18 2020,20:00,CEST/+0200,FC Emmen,2-2,0-2,Fortuna Sittard,2020-10-18T18:00:00Z
4,Wed Oct 21 2020,17:30,CEST/+0200,RKC Waalwijk,1-1,0-0,PEC Zwolle,2020-10-21T15:30:00Z
6,Sat Oct 24 2020,16:30,CEST/+0200,VVV Venlo,0-13,0-4,AFC Ajax,2020-10-24T14:30:00Z
6,Sat Oct 24 2020,18:45,CEST/+0200,FC Utrecht,2-1,1-1,FC Twente '65,2020-10-24T16:45:00Z
6,Sat Oct 24 2020,20:00,CEST/+0200,PEC Zwolle,0-0,0-0,Willem II Tilburg,2020-10-24T18:00:00Z
6,Sat Oct 24 2020,21:00,CEST/+0200,SC Heerenveen,4-0,2-0,FC Emmen,2020-10-24T19:00:00Z
6,Sun Oct 25 2020,12:15,CET/+0100,Fortuna Sittard,1-3,0-2,FC Groningen,2020-10-25T11:15:00Z
6,Sun Oct 25 2020,14:30,CET/+0100,SBV Vitesse,2-1,1-0,PSV,2020-10-25T13:30:00Z
6,Sun Oct 25 2020,14:30,CET/+0100,Sparta Rotterdam,1-1,0-0,Heracles Almelo,2020-10-25T13:30:00Z
6,Sun Oct 25 2020,16:45,CET/+0100,RKC Waalwijk,2-2,0-0,Feyenoord Rotterdam,2020-10-25T15:45:00Z
6,Sun Oct 25 2020,20:00,CET/+0100,ADO Den Haag,2-2,0-1,AZ,2020-10-25T19:00:00Z
7,Sat Oct 31 2020,18:45,CET/+0100,FC Twente '65,5-1,3-0,PEC Zwolle,2020-10-31T17:45:00Z
7,Sat Oct 31 2020,20:00,CET/+0100,AFC Ajax,5-2,2-1,Fortuna Sittard,2020-10-31T19:00:00Z
7,Sat Oct 31 2020,20:00,CET/+0100,FC Groningen,2-1,1-0,VVV Venlo,2020-10-31T19:00:00Z
7,Sat Oct 31 2020,21:00,CET/+0100,Willem II Tilburg,1-3,1-0,SBV Vitesse,2020-10-31T20:00:00Z
7,Sun Nov 1 2020,12:15,CET/+0100,Heracles Almelo,4-1,2-0,FC Utrecht,2020-11-01T11:15:00Z
7,Sun Nov 1 2020,14:30,CET/+0100,Sparta Rotterdam,1-4,0-3,SC Heerenveen,2020-11-01T13:30:00Z
7,Sun Nov 1 2020,14:30,CET/+0100,FC Emmen,2-3,2-2,Feyenoord Rotterdam,2020-11-01T13:30:00Z
7,Sun Nov 1 2020,16:45,CET/+0100,PSV,4-0,1-0,ADO Den Haag,2020-11-01T15:45:00Z
7,Sun Nov 1 2020,20:00,CET/+0100,AZ,3-0,1-0,RKC Waalwijk,2020-11-01T19:00:00Z
8,Fri Nov 6 2020,20:00,CET/+0100,Fortuna Sittard,2-2,2-1,PEC Zwolle,2020-11-06T19:00:00Z
8,Sat Nov 7 2020,16:30,CET/+0100,ADO Den Haag,2-4,0-1,FC Twente '65,2020-11-07T15:30:00Z
8,Sat Nov 7 2020,18:45,CET/+0100,VVV Venlo,3-2,0-1,Heracles Almelo,2020-11-07T17:45:00Z
8,Sat Nov 7 2020,21:00,CET/+0100,RKC Waalwijk,0-2,0-0,Sparta Rotterdam,2020-11-07T20:00:00Z
8,Sun Nov 8 2020,12:15,CET/+0100,FC Utrecht,0-3,0-0,AFC Ajax,2020-11-08T11:15:00Z
8,Sun Nov 8 2020,14:30,CET/+0100,SBV Vitesse,3-1,3-0,FC Emmen,2020-11-08T13:30:00Z
8,Sun Nov 8 2020,14:30,CET/+0100,Feyenoord Rotterdam,2-0,0-0,FC Groningen,2020-11-08T13:30:00Z
8,Sun Nov 8 2020,16:45,CET/+0100,SC Heerenveen,0-3,0-2,AZ,2020-11-08T15:45:00Z
8,Sun Nov 8 2020,20:00,CET/+0100,PSV,3-0,2-0,Willem II Tilburg,2020-11-08T19:00:00Z
9,Sat Nov 21 2020,18:45,CET/+0100,Willem II Tilburg,2-1,2-1,VVV Venlo,2020-11-21T17:45:00Z
9,Sat Nov 21 2020,20:00,CET/+0100,FC Groningen,1-1,1-1,SBV Vitesse,2020-11-21T19:00:00Z
9,Sat Nov 21 2020,21:00,CET/+0100,PEC Zwolle,1-1,1-0,FC Utrecht,2020-11-21T20:00:00Z
9,Sun Nov 22 2020,12:15,CET/+0100,AFC Ajax,5-0,3-0,Heracles Almelo,2020-11-22T11:15:00Z
9,Sun Nov 22 2020,14:30,CET/+0100,Sparta Rotterdam,6-0,1-0,ADO Den Haag,2020-11-22T13:30:00Z
9,Sun Nov 22 2020,14:30,CET/+0100,Fortuna Sittard,1-3,1-2,Feyenoord Rotterdam,2020-11-22T13:30:00Z
9,Sun Nov 22 2020,16:45,CET/+0100,FC Twente '65,1-1,0-1,PSV,2020-11-22T15:45:00Z
9,Sun Nov 22 2020,16:45,CET/+0100,RKC Waalwijk,1-1,0-1,SC Heerenveen,2020-11-22T15:45:00Z
9,Sun Nov 22 2020,20:00,CET/+0100,AZ,1-0,1-0,FC Emmen,2020-11-22T19:00:00Z
10,Fri Nov 27 2020,20:00,CET/+0100,FC Twente '65,0-2,0-2,RKC Waalwijk,2020-11-27T19:00:00Z
10,Sat Nov 28 2020,18:45,CET/+0100,FC Emmen,0-5,0-3,AFC Ajax,2020-11-28T17:45:00Z
10,Sat Nov 28 2020,20:00,CET/+0100,ADO Den Haag,1-1,1-1,SC Heerenveen,2020-11-28T19:00:00Z
10,Sat Nov 28 2020,21:00,CET/+0100,VVV Venlo,2-2,1-1,PEC Zwolle,2020-11-28T20:00:00Z
10,Sun Nov 29 2020,12:15,CET/+0100,SBV Vitesse,2-0,0-0,Fortuna Sittard,2020-11-29T11:15:00Z
10,Sun Nov 29 2020,14:30,CET/+0100,Feyenoord Rotterdam,1-1,0-0,FC Utrecht,2020-11-29T13:30:00Z
10,Sun Nov 29 2020,14:30,CET/+0100,FC Groningen,1-0,0-0,Willem II Tilburg,2020-11-29T13:30:00Z
10,Sun Nov 29 2020,16:45,CET/+0100,Heracles Almelo,1-2,0-2,AZ,2020-11-29T15:45:00Z
10,Sun Nov 29 2020,20:00,CET/+0100,PSV,1-0,0-0,Sparta Rotterdam,2020-11-29T19:00:00Z
11,Fri Dec 4 2020,20:00,CET/+0100,Sparta Rotterdam,2-1,1-0,FC Emmen,2020-12-04T19:00:00Z
11,Sat Dec 5 2020,16:30,CET/+0100,RKC Waalwijk,3-2,1-1,VVV Venlo,2020-12-05T15:30:00Z
11,Sat Dec 5 2020,18:45,CET/+0100,Fortuna Sittard,3-2,3-0,Willem II Tilburg,2020-12-05T17:45:00Z
11,Sat Dec 5 2020,20:00,CET/+0100,AFC Ajax,1-2,0-1,FC Twente '65,2020-12-05T19:00:00Z
11,Sat Dec 5 2020,21:00,CET/+0100,PEC Zwolle,2-1,0-1,SBV Vitesse,2020-12-05T20:00:00Z
11,Sun Dec 6 2020,12:15,CET/+0100,Feyenoord Rotterdam,0-0,0-0,Heracles Almelo,2020-12-06T11:15:00Z
11,Sun Dec 6 2020,14:30,CET/+0100,AZ,1-2,1-0,FC Groningen,2020-12-06T13:30:00Z
11,Sun Dec 6 2020,14:30,CET/+0100,FC Utrecht,1-1,0-0,ADO Den Haag,2020-12-06T13:30:00Z
11,Sun Dec 6 2020,16:45,CET/+0100,SC Heerenveen,2-2,0-1,PSV,2020-12-06T15:45:00Z
12,Fri Dec 11 2020,20:00,CET/+0100,Heracles Almelo,1-2,0-1,Fortuna Sittard,2020-12-11T19:00:00Z
12,Sat Dec 12 2020,16:30,CET/+0100,FC Groningen,2-0,0-0,RKC Waalwijk,2020-12-12T15:30:00Z
12,Sat Dec 12 2020,18:45,CET/+0100,FC Emmen,1-1,0-1,ADO Den Haag,2020-12-12T17:45:00Z
12,Sat Dec 12 2020,20:00,CET/+0100,AFC Ajax,4-0,3-0,PEC Zwolle,2020-12-12T19:00:00Z
12,Sun Dec 13 2020,12:15,CET/+0100,SBV Vitesse,1-1,1-0,SC Heerenveen,2020-12-13T11:15:00Z
12,Sun Dec 13 2020,14:30,CET/+0100,VVV Venlo,0-3,0-0,Feyenoord Rotterdam,2020-12-13T13:30:00Z
12,Sun Dec 13 2020,14:30,CET/+0100,Willem II Tilburg,1-3,0-2,Sparta Rotterdam,2020-12-13T13:30:00Z
12,Sun Dec 13 2020,16:45,CET/+0100,PSV,2-1,2-0,FC Utrecht,2020-12-13T15:45:00Z
12,Sun Dec 13 2020,20:00,CET/+0100,FC Twente '65,1-3,0-2,AZ,2020-12-13T19:00:00Z
13,Fri Dec 18 2020,20:00,CET/+0100,PEC Zwolle,0-0,0-0,FC Emmen,2020-12-18T19:00:00Z
13,Sat Dec 19 2020,16:30,CET/+0100,Sparta Rotterdam,2-3,1-1,FC Groningen,2020-12-19T15:30:00Z
13,Sat Dec 19 2020,18:45,CET/+0100,VVV Venlo,1-2,0-1,FC Twente '65,2020-12-19T17:45:00Z
13,Sat Dec 19 2020,20:00,CET/+0100,RKC Waalwijk,1-4,0-2,PSV,2020-12-19T19:00:00Z
13,Sat Dec 19 2020,21:00,CET/+0100,FC Utrecht,1-1,0-0,Fortuna Sittard,2020-12-19T20:00:00Z
13,Sun Dec 20 2020,12:15,CET/+0100,SBV Vitesse,1-0,1-0,Feyenoord Rotterdam,2020-12-20T11:15:00Z
13,Sun Dec 20 2020,14:30,CET/+0100,SC Heerenveen,1-2,0-1,Heracles Almelo,2020-12-20T13:30:00Z
13,Sun Dec 20 2020,14:30,CET/+0100,ADO Den Haag,2-4,0-4,AFC Ajax,2020-12-20T13:30:00Z
13,Sun Dec 20 2020,16:45,CET/+0100,AZ,5-3,2-2,Willem II Tilburg,2020-12-20T15:45:00Z
14,Tue Dec 22 2020,16:30,CET/+0100,Fortuna Sittard,2-1,1-1,RKC Waalwijk,2020-12-22T15:30:00Z
14,Tue Dec 22 2020,18:45,CET/+0100,FC Emmen,2-3,2-1,FC Utrecht,2020-12-22T17:45:00Z
14,Tue Dec 22 2020,20:00,CET/+0100,PSV,4-1,1-1,VVV Venlo,2020-12-22T19:00:00Z
14,Tue Dec 22 2020,21:00,CET/+0100,FC Twente '65,0-2,0-1,Sparta Rotterdam,2020-12-22T20:00:00Z
14,Wed Dec 23 2020,16:30,CET/+0100,AZ,3-1,2-0,SBV Vitesse,2020-12-23T15:30:00Z
14,Wed Dec 23 2020,18:45,CET/+0100,Willem II Tilburg,1-1,0-1,AFC Ajax,2020-12-23T17:45:00Z
14,Wed Dec 23 2020,20:00,CET/+0100,FC Groningen,0-1,0-0,Heracles Almelo,2020-12-23T19:00:00Z
14,Wed Dec 23 2020,20:00,CET/+0100,ADO Den Haag,0-2,0-0,PEC Zwolle,2020-12-23T19:00:00Z
14,Wed Dec 23 2020,21:00,CET/+0100,Feyenoord Rotterdam,3-0,0-0,SC Heerenveen,2020-12-23T20:00:00Z
1,Sun Dec 27 2020,14:30,CET/+0100,FC Utrecht,2-2,1-0,AZ,2020-12-27T13:30:00Z
15,Sat Jan 9 2021,16:30,CET/+0100,RKC Waalwijk,0-1,0-1,ADO Den Haag,2021-01-09T15:30:00Z
15,Sat Jan 9 2021,18:45,CET/+0100,FC Emmen,1-4,0-3,FC Twente '65,2021-01-09T17:45:00Z
15,Sat Jan 9 2021,20:00,CET/+0100,Heracles Almelo,0-2,0-1,SBV Vitesse,2021-01-09T19:00:00Z
15,Sat Jan 9 2021,20:00,CET/+0100,PEC Zwolle,1-1,1-0,AZ,2021-01-09T19:00:00Z
15,Sat Jan 9 2021,21:00,CET/+0100,FC Utrecht,2-2,1-2,FC Groningen,2021-01-09T20:00:00Z
15,Sun Jan 10 2021,12:15,CET/+0100,Sparta Rotterdam,0-2,0-1,Feyenoord Rotterdam,2021-01-10T11:15:00Z
15,Sun Jan 10 2021,14:30,CET/+0100,SC Heerenveen,1-3,0-3,Fortuna Sittard,2021-01-10T13:30:00Z
15,Sun Jan 10 2021,14:30,CET/+0100,VVV Venlo,2-1,0-1,Willem II Tilburg,2021-01-10T13:30:00Z
15,Sun Jan 10 2021,16:45,CET/+0100,AFC Ajax,2-2,1-2,PSV,2021-01-10T15:45:00Z
16,Tue Jan 12 2021,18:45,CET/+0100,SBV Vitesse,1-0,1-0,FC Utrecht,2021-01-12T17:45:00Z
16,Tue Jan 12 2021,21:00,CET/+0100,Heracles Almelo,4-0,2-0,FC Emmen,2021-01-12T20:00:00Z
16,Wed Jan 13 2021,18:45,CET/+0100,PSV,1-3,0-2,AZ,2021-01-13T17:45:00Z
16,Wed Jan 13 2021,20:00,CET/+0100,Fortuna Sittard,0-1,0-0,Sparta Rotterdam,2021-01-13T19:00:00Z
16,Wed Jan 13 2021,20:05,CET/+0100,ADO Den Haag,1-4,0-1,VVV Venlo,2021-01-13T19:05:00Z
16,Wed Jan 13 2021,21:00,CET/+0100,Feyenoord Rotterdam,1-0,0-0,PEC Zwolle,2021-01-13T20:00:00Z
16,Thu Jan 14 2021,18:45,CET/+0100,SC Heerenveen,1-1,1-0,RKC Waalwijk,2021-01-14T17:45:00Z
16,Thu Jan 14 2021,20:00,CET/+0100,FC Twente '65,1-3,0-1,AFC Ajax,2021-01-14T19:00:00Z
16,Thu Jan 14 2021,21:00,CET/+0100,Willem II Tilburg,2-3,0-0,FC Groningen,2021-01-14T20:00:00Z
17,Sat Jan 16 2021,16:30,CET/+0100,FC Emmen,1-4,0-2,SBV Vitesse,2021-01-16T15:30:00Z
17,Sat Jan 16 2021,18:45,CET/+0100,Sparta Rotterdam,3-5,1-1,PSV,2021-01-16T17:45:00Z
17,Sat Jan 16 2021,20:00,CET/+0100,FC Utrecht,2-0,1-0,Heracles Almelo,2021-01-16T19:00:00Z
17,Sat Jan 16 2021,20:00,CET/+0100,PEC Zwolle,0-2,0-0,Fortuna Sittard,2021-01-16T19:00:00Z
17,Sat Jan 16 2021,21:00,CET/+0100,AZ,2-1,0-0,ADO Den Haag,2021-01-16T20:00:00Z
17,Sun Jan 17 2021,12:15,CET/+0100,RKC Waalwijk,1-1,1-0,Willem II Tilburg,2021-01-17T11:15:00Z
17,Sun Jan 17 2021,14:30,CET/+0100,FC Groningen,2-2,0-2,FC Twente '65,2021-01-17T13:30:00Z
17,Sun Jan 17 2021,14:30,CET/+0100,VVV Venlo,1-1,0-0,SC Heerenveen,2021-01-17T13:30:00Z
17,Sun Jan 17 2021,16:45,CET/+0100,AFC Ajax,1-0,1-0,Feyenoord Rotterdam,2021-01-17T15:45:00Z
18,Fri Jan 22 2021,20:00,CET/+0100,Willem II Tilburg,1-3,1-0,PEC Zwolle,2021-01-22T19:00:00Z
18,Sat Jan 23 2021,16:30,CET/+0100,ADO Den Haag,0-0,0-0,FC Emmen,2021-01-23T15:30:00Z
18,Sat Jan 23 2021,18:45,CET/+0100,SBV Vitesse,1-0,1-0,FC Groningen,2021-01-23T17:45:00Z
18,Sat Jan 23 2021,20:00,CET/+0100,PSV,2-0,1-0,RKC Waalwijk,2021-01-23T19:00:00Z
18,Sat Jan 23 2021,21:00,CET/+0100,Heracles Almelo,1-0,0-0,SC Heerenveen,2021-01-23T20:00:00Z
18,Sun Jan 24 2021,12:15,CET/+0100,Fortuna Sittard,1-2,0-1,AFC Ajax,2021-01-24T11:15:00Z
18,Sun Jan 24 2021,14:30,CET/+0100,FC Twente '65,0-1,0-0,VVV Venlo,2021-01-24T13:30:00Z
18,Sun Jan 24 2021,14:30,CET/+0100,FC Utrecht,1-0,0-0,Sparta Rotterdam,2021-01-24T13:30:00Z
18,Sun Jan 24 2021,16:45,CET/+0100,Feyenoord Rotterdam,2-3,1-1,AZ,2021-01-24T15:45:00Z
19,Tue Jan 26 2021,18:45,CET/+0100,PEC Zwolle,2-2,0-2,Heracles Almelo,2021-01-26T17:45:00Z
19,Tue Jan 26 2021,20:00,CET/+0100,FC Emmen,0-2,0-0,PSV,2021-01-26T19:00:00Z
19,Tue Jan 26 2021,21:00,CET/+0100,FC Groningen,3-0,2-0,ADO Den Haag,2021-01-26T20:00:00Z
19,Wed Jan 27 2021,18:45,CET/+0100,AZ,0-1,0-0,FC Utrecht,2021-01-27T17:45:00Z
19,Wed Jan 27 2021,20:00,CET/+0100,RKC Waalwijk,1-2,0-0,Fortuna Sittard,2021-01-27T19:00:00Z
19,Wed Jan 27 2021,20:00,CET/+0100,VVV Venlo,4-1,3-0,SBV Vitesse,2021-01-27T19:00:00Z
19,Wed Jan 27 2021,21:00,CET/+0100,SC Heerenveen,3-0,2-0,Feyenoord Rotterdam,2021-01-27T20:00:00Z
19,Thu Jan 28 2021,18:45,CET/+0100,Sparta Rotterdam,0-0,0-0,FC Twente '65,2021-01-28T17:45:00Z
19,Thu Jan 28 2021,21:00,CET/+0100,AFC Ajax,3-1,0-0,Willem II Tilburg,2021-01-28T20:00:00Z
20,Sat Jan 30 2021,16:30,CET/+0100,Heracles Almelo,1-0,1-0,FC Groningen,2021-01-30T15:30:00Z
20,Sat Jan 30 2021,18:45,CET/+0100,FC Utrecht,3-3,1-2,PEC Zwolle,2021-01-30T17:45:00Z
20,Sat Jan 30 2021,20:00,CET/+0100,Fortuna Sittard,3-2,1-0,VVV Venlo,2021-01-30T19:00:00Z
20,Sat Jan 30 2021,21:00,CET/+0100,SBV Vitesse,1-1,0-0,RKC Waalwijk,2021-01-30T20:00:00Z
20,Sun Jan 31 2021,12:15,CET/+0100,FC Twente '65,0-0,0-0,SC Heerenveen,2021-01-31T11:15:00Z
20,Sun Jan 31 2021,14:30,CET/+0100,Feyenoord Rotterdam,3-1,3-0,PSV,2021-01-31T13:30:00Z
20,Sun Jan 31 2021,14:30,CET/+0100,Willem II Tilburg,2-0,1-0,FC Emmen,2021-01-31T13:30:00Z
20,Sun Jan 31 2021,16:45,CET/+0100,AZ,0-3,0-1,AFC Ajax,2021-01-31T15:45:00Z
20,Sun Jan 31 2021,16:45,CET/+0100,ADO Den Haag,1-1,1-0,Sparta Rotterdam,2021-01-31T15:45:00Z
21,Fri Feb 5 2021,20:00,CET/+0100,Fortuna Sittard,0-1,0-1,Heracles Almelo,2021-02-05T19:00:00Z
21,Sat Feb 6 2021,14:00,CET/+0100,PEC Zwolle,1-1,0-1,RKC Waalwijk,2021-02-06T13:00:00Z
21,Sat Feb 6 2021,14:00,CET/+0100,FC Emmen,0-1,0-0,AZ,2021-02-06T13:00:00Z
21,Sat Feb 6 2021,16:30,CET/+0100,PSV,3-0,2-0,FC Twente '65,2021-02-06T15:30:00Z
21,Sat Feb 6 2021,16:30,CET/+0100,SC Heerenveen,1-0,0-0,SBV Vitesse,2021-02-06T15:30:00Z
22,Fri Feb 12 2021,18:45,CET/+0100,RKC Waalwijk,1-0,0-0,FC Emmen,2021-02-12T17:45:00Z
22,Sat Feb 13 2021,12:00,CET/+0100,FC Groningen,1-0,1-0,PEC Zwolle,2021-02-13T11:00:00Z
22,Sat Feb 13 2021,14:15,CET/+0100,Sparta Rotterdam,1-2,1-1,Fortuna Sittard,2021-02-13T13:15:00Z
22,Sat Feb 13 2021,16:30,CET/+0100,ADO Den Haag,2-2,1-0,PSV,2021-02-13T15:30:00Z
22,Sat Feb 13 2021,18:45,CET/+0100,Heracles Almelo,0-2,0-1,AFC Ajax,2021-02-13T17:45:00Z
22,Sun Feb 14 2021,12:15,CET/+0100,AZ,3-1,1-0,SC Heerenveen,2021-02-14T11:15:00Z
22,Sun Feb 14 2021,14:30,CET/+0100,Feyenoord Rotterdam,5-0,1-0,Willem II Tilburg,2021-02-14T13:30:00Z
22,Sun Feb 14 2021,14:30,CET/+0100,FC Utrecht,3-1,0-0,VVV Venlo,2021-02-14T13:30:00Z
22,Sun Feb 14 2021,16:45,CET/+0100,SBV Vitesse,0-2,0-1,FC Twente '65,2021-02-14T15:45:00Z
23,Fri Feb 19 2021,20:00,CET/+0100,Willem II Tilburg,0-6,0-3,FC Utrecht,2021-02-19T19:00:00Z
23,Sat Feb 20 2021,18:45,CET/+0100,FC Emmen,3-2,2-1,PEC Zwolle,2021-02-20T17:45:00Z
23,Sat Feb 20 2021,20:00,CET/+0100,VVV Venlo,1-4,1-1,AZ,2021-02-20T19:00:00Z
23,Sat Feb 20 2021,21:00,CET/+0100,Fortuna Sittard,2-0,1-0,ADO Den Haag,2021-02-20T20:00:00Z
23,Sun Feb 21 2021,12:15,CET/+0100,FC Twente '65,2-2,2-1,Feyenoord Rotterdam,2021-02-21T11:15:00Z
23,Sun Feb 21 2021,14:30,CET/+0100,SC Heerenveen,1-1,1-0,FC Groningen,2021-02-21T13:30:00Z
23,Sun Feb 21 2021,14:30,CET/+0100,RKC Waalwijk,3-0,2-0,Heracles Almelo,2021-02-21T13:30:00Z
23,Sun Feb 21 2021,16:45,CET/+0100,PSV,3-1,0-1,SBV Vitesse,2021-02-21T15:45:00Z
23,Sun Feb 21 2021,20:00,CET/+0100,AFC Ajax,4-2,3-0,Sparta Rotterdam,2021-02-21T19:00:00Z
21,Wed Feb 24 2021,16:30,CET/+0100,Willem II Tilburg,1-1,0-0,ADO Den Haag,2021-02-24T15:30:00Z
21,Wed Feb 24 2021,18:45,CET/+0100,FC Groningen,0-0,0-0,Feyenoord Rotterdam,2021-02-24T17:45:00Z
24,Fri Feb 26 2021,20:00,CET/+0100,PEC Zwolle,4-1,0-1,SC Heerenveen,2021-02-26T19:00:00Z
24,Sat Feb 27 2021,16:30,CET/+0100,FC Utrecht,0-1,0-1,FC Emmen,2021-02-27T15:30:00Z
24,Sat Feb 27 2021,18:45,CET/+0100,ADO Den Haag,0-0,0-0,RKC Waalwijk,2021-02-27T17:45:00Z
24,Sat Feb 27 2021,20:00,CET/+0100,SBV Vitesse,4-1,1-1,VVV Venlo,2021-02-27T19:00:00Z
24,Sat Feb 27 2021,21:00,CET/+0100,Heracles Almelo,2-2,1-1,FC Twente '65,2021-02-27T20:00:00Z
24,Sun Feb 28 2021,12:15,CET/+0100,Sparta Rotterdam,0-2,0-0,Willem II Tilburg,2021-02-28T11:15:00Z
24,Sun Feb 28 2021,14:30,CET/+0100,PSV,1-1,1-0,AFC Ajax,2021-02-28T13:30:00Z
24,Sun Feb 28 2021,14:30,CET/+0100,FC Groningen,1-0,0-0,Fortuna Sittard,2021-02-28T13:30:00Z
