Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Sep 12 2020,18:45,CEST/+0200,SC Heerenveen,2-0,1-0,Willem II Tilburg,2020-09-12T16:45:00Z
1,Sat Sep 12 2020,20:00,CEST/+0200,PEC Zwolle,0-2,0-1,Feyenoord Rotterdam,2020-09-12T18:00:00Z
1,Sat Sep 12 2020,21:00,CEST/+0200,FC Twente '65,2-0,1-0,Fortuna Sittard,2020-09-12T19:00:00Z
1,Sun Sep 13 2020,12:15,CEST/+0200,FC Emmen,3-5,1-0,VVV Venlo,2020-09-13T10:15:00Z
1,Sun Sep 13 2020,14:30,CEST/+0200,Heracles Almelo,2-0,0-0,ADO Den Haag,2020-09-13T12:30:00Z
1,Sun Sep 13 2020,14:30,CEST/+0200,Sparta Rotterdam,0-1,0-1,AFC Ajax,2020-09-13T12:30:00Z
1,Sun Sep 13 2020,16:45,CEST/+0200,RKC Waalwijk,0-1,0-1,SBV Vitesse,2020-09-13T14:45:00Z
1,Sun Sep 13 2020,16:45,CEST/+0200,FC Groningen,1-3,0-1,PSV,2020-09-13T14:45:00Z
2,Fri Sep 18 2020,20:00,CEST/+0200,VVV Venlo,1-1,1-0,FC Utrecht,2020-09-18T18:00:00Z
2,Sat Sep 19 2020,16:30,CEST/+0200,AZ,1-1,0-1,PEC Zwolle,2020-09-19T14:30:00Z
2,Sat Sep 19 2020,18:45,CEST/+0200,SBV Vitesse,2-0,1-0,Sparta Rotterdam,2020-09-19T16:45:00Z
2,Sat Sep 19 2020,20:00,CEST/+0200,PSV,2-1,1-0,FC Emmen,2020-09-19T18:00:00Z
2,Sat Sep 19 2020,21:00,CEST/+0200,Fortuna Sittard,1-3,0-3,SC Heerenveen,2020-09-19T19:00:00Z
2,Sun Sep 20 2020,12:15,CEST/+0200,ADO Den Haag,0-1,0-1,FC Groningen,2020-09-20T10:15:00Z
2,Sun Sep 20 2020,14:30,CEST/+0200,Feyenoord Rotterdam,1-1,1-1,FC Twente '65,2020-09-20T12:30:00Z
2,Sun Sep 20 2020,14:30,CEST/+0200,Willem II Tilburg,4-0,0-0,Heracles Almelo,2020-09-20T12:30:00Z
2,Sun Sep 20 2020,16:45,CEST/+0200,AFC Ajax,3-0,2-0,RKC Waalwijk,2020-09-20T14:45:00Z
3,Fri Sep 25 2020,20:00,CEST/+0200,FC Twente '65,3-1,2-0,FC Groningen,2020-09-25T18:00:00Z
