Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Sep 18 2020,FC Bayern München,8-0,3-0,FC Schalke 04,
1,Sat Sep 19 2020,1. FC Köln,2-3,1-2,TSG 1899 Hoffenheim,
1,Sat Sep 19 2020,Eintracht Frankfurt,1-1,0-0,DSC Arminia Bielefeld,
1,Sat Sep 19 2020,VfB Stuttgart,2-3,0-2,SC Freiburg,
1,Sat Sep 19 2020,SV Werder Bremen,1-4,0-2,Hertha BSC,
1,Sat Sep 19 2020,1. FC Union Berlin,1-3,0-1,FC Augsburg,
1,Sat Sep 19 2020,BV Borussia 09 Dortmund,3-0,1-0,Borussia Mönchengladbach,
1,Sun Sep 20 2020,RB Leipzig,3-1,2-0,1. FSV Mainz 05,
1,Sun Sep 20 2020,VfL Wolfsburg,0-0,0-0,Bayer 04 Leverkusen,
2,Fri Sep 25 2020,Hertha BSC,1-3,0-2,Eintracht Frankfurt,
2,Sat Sep 26 2020,Borussia Mönchengladbach,1-1,0-0,1. FC Union Berlin,
2,Sat Sep 26 2020,DSC Arminia Bielefeld,1-0,0-0,1. FC Köln,
2,Sat Sep 26 2020,Bayer 04 Leverkusen,1-1,1-1,RB Leipzig,
2,Sat Sep 26 2020,1. FSV Mainz 05,1-4,1-1,VfB Stuttgart,
2,Sat Sep 26 2020,FC Augsburg,2-0,1-0,BV Borussia 09 Dortmund,
2,Sat Sep 26 2020,FC Schalke 04,1-3,0-2,SV Werder Bremen,
2,Sun Sep 27 2020,TSG 1899 Hoffenheim,4-1,2-1,FC Bayern München,
2,Sun Sep 27 2020,SC Freiburg,1-1,1-1,VfL Wolfsburg,
3,Fri Oct 2 2020,1. FC Union Berlin,4-0,1-0,1. FSV Mainz 05,
3,Sat Oct 3 2020,1. FC Köln,1-3,0-2,Borussia Mönchengladbach,
3,Sat Oct 3 2020,Eintracht Frankfurt,2-1,0-1,TSG 1899 Hoffenheim,
3,Sat Oct 3 2020,BV Borussia 09 Dortmund,4-0,1-0,SC Freiburg,
3,Sat Oct 3 2020,VfB Stuttgart,1-1,0-1,Bayer 04 Leverkusen,
3,Sat Oct 3 2020,SV Werder Bremen,1-0,1-0,DSC Arminia Bielefeld,
3,Sat Oct 3 2020,RB Leipzig,4-0,3-0,FC Schalke 04,
3,Sun Oct 4 2020,VfL Wolfsburg,0-0,0-0,FC Augsburg,
3,Sun Oct 4 2020,FC Bayern München,4-3,1-0,Hertha BSC,
4,Sat Oct 17 2020,Hertha BSC,0-2,0-1,VfB Stuttgart,
4,Sat Oct 17 2020,SC Freiburg,1-1,1-1,SV Werder Bremen,
4,Sat Oct 17 2020,1. FSV Mainz 05,0-1,0-1,Bayer 04 Leverkusen,
4,Sat Oct 17 2020,TSG 1899 Hoffenheim,0-1,0-0,BV Borussia 09 Dortmund,
4,Sat Oct 17 2020,FC Augsburg,0-2,0-1,RB Leipzig,
4,Sat Oct 17 2020,DSC Arminia Bielefeld,1-4,0-3,FC Bayern München,
4,Sat Oct 17 2020,Borussia Mönchengladbach,1-1,0-0,VfL Wolfsburg,
4,Sun Oct 18 2020,1. FC Köln,1-1,0-1,Eintracht Frankfurt,
4,Sun Oct 18 2020,FC Schalke 04,1-1,0-0,1. FC Union Berlin,
5,Fri Oct 23 2020,VfB Stuttgart,1-1,1-1,1. FC Köln,
5,Sat Oct 24 2020,FC Bayern München,5-0,2-0,Eintracht Frankfurt,
5,Sat Oct 24 2020,1. FSV Mainz 05,2-3,2-1,Borussia Mönchengladbach,
5,Sat Oct 24 2020,1. FC Union Berlin,1-1,1-1,SC Freiburg,
5,Sat Oct 24 2020,RB Leipzig,2-1,1-1,Hertha BSC,
5,Sat Oct 24 2020,BV Borussia 09 Dortmund,3-0,0-0,FC Schalke 04,
5,Sun Oct 25 2020,VfL Wolfsburg,2-1,2-0,DSC Arminia Bielefeld,
5,Sun Oct 25 2020,SV Werder Bremen,1-1,1-1,TSG 1899 Hoffenheim,
5,Mon Oct 26 2020,Bayer 04 Leverkusen,3-1,1-0,FC Augsburg,
6,Fri Oct 30 2020,FC Schalke 04,1-1,1-0,VfB Stuttgart,
6,Sat Oct 31 2020,1. FC Köln,1-2,0-2,FC Bayern München,
6,Sat Oct 31 2020,Eintracht Frankfurt,1-1,0-0,SV Werder Bremen,
6,Sat Oct 31 2020,DSC Arminia Bielefeld,0-2,0-0,BV Borussia 09 Dortmund,
6,Sat Oct 31 2020,FC Augsburg,3-1,1-0,1. FSV Mainz 05,
6,Sat Oct 31 2020,Borussia Mönchengladbach,1-0,0-0,RB Leipzig,
6,Sun Nov 1 2020,SC Freiburg,2-4,1-2,Bayer 04 Leverkusen,
6,Sun Nov 1 2020,Hertha BSC,1-1,1-1,VfL Wolfsburg,
6,Mon Nov 2 2020,TSG 1899 Hoffenheim,1-3,0-0,1. FC Union Berlin,
7,Fri Nov 6 2020,SV Werder Bremen,1-1,0-0,1. FC Köln,
7,Sat Nov 7 2020,VfB Stuttgart,2-2,2-0,Eintracht Frankfurt,
7,Sat Nov 7 2020,1. FSV Mainz 05,2-2,2-1,FC Schalke 04,
7,Sat Nov 7 2020,FC Augsburg,0-3,0-1,Hertha BSC,
7,Sat Nov 7 2020,1. FC Union Berlin,5-0,3-0,DSC Arminia Bielefeld,
7,Sat Nov 7 2020,RB Leipzig,3-0,1-0,SC Freiburg,
7,Sat Nov 7 2020,BV Borussia 09 Dortmund,2-3,1-1,FC Bayern München,
7,Sun Nov 8 2020,VfL Wolfsburg,2-1,2-0,TSG 1899 Hoffenheim,
7,Sun Nov 8 2020,Bayer 04 Leverkusen,4-3,2-2,Borussia Mönchengladbach,
8,Sat Nov 21 2020,FC Schalke 04,,,VfL Wolfsburg,
8,Sat Nov 21 2020,Borussia Mönchengladbach,,,FC Augsburg,
8,Sat Nov 21 2020,FC Bayern München,,,SV Werder Bremen,
8,Sat Nov 21 2020,DSC Arminia Bielefeld,,,Bayer 04 Leverkusen,
8,Sat Nov 21 2020,TSG 1899 Hoffenheim,,,VfB Stuttgart,
8,Sat Nov 21 2020,Eintracht Frankfurt,,,RB Leipzig,
8,Sat Nov 21 2020,Hertha BSC,,,BV Borussia 09 Dortmund,
8,Sun Nov 22 2020,SC Freiburg,,,1. FSV Mainz 05,
8,Sun Nov 22 2020,1. FC Köln,,,1. FC Union Berlin,
9,Fri Nov 27 2020,VfL Wolfsburg,,,SV Werder Bremen,
9,Sat Nov 28 2020,BV Borussia 09 Dortmund,,,1. FC Köln,
9,Sat Nov 28 2020,VfB Stuttgart,,,FC Bayern München,
9,Sat Nov 28 2020,FC Augsburg,,,SC Freiburg,
9,Sat Nov 28 2020,1. FC Union Berlin,,,Eintracht Frankfurt,
9,Sat Nov 28 2020,RB Leipzig,,,DSC Arminia Bielefeld,
9,Sat Nov 28 2020,Borussia Mönchengladbach,,,FC Schalke 04,
9,Sun Nov 29 2020,Bayer 04 Leverkusen,,,Hertha BSC,
9,Sun Nov 29 2020,1. FSV Mainz 05,,,TSG 1899 Hoffenheim,
10,Fri Dec 4 2020,Hertha BSC,,,1. FC Union Berlin,
10,Sat Dec 5 2020,1. FC Köln,,,VfL Wolfsburg,
10,Sat Dec 5 2020,Eintracht Frankfurt,,,BV Borussia 09 Dortmund,
10,Sat Dec 5 2020,DSC Arminia Bielefeld,,,1. FSV Mainz 05,
10,Sat Dec 5 2020,SC Freiburg,,,Borussia Mönchengladbach,
10,Sat Dec 5 2020,FC Bayern München,,,RB Leipzig,
10,Sun Dec 6 2020,SV Werder Bremen,,,VfB Stuttgart,
10,Sun Dec 6 2020,FC Schalke 04,,,Bayer 04 Leverkusen,
10,Mon Dec 7 2020,TSG 1899 Hoffenheim,,,FC Augsburg,
11,Fri Dec 11 2020,VfL Wolfsburg,,,Eintracht Frankfurt,
11,Sat Dec 12 2020,BV Borussia 09 Dortmund,,,VfB Stuttgart,
11,Sat Dec 12 2020,Borussia Mönchengladbach,,,Hertha BSC,
11,Sat Dec 12 2020,SC Freiburg,,,DSC Arminia Bielefeld,
11,Sat Dec 12 2020,1. FSV Mainz 05,,,1. FC Köln,
11,Sat Dec 12 2020,RB Leipzig,,,SV Werder Bremen,
11,Sat Dec 12 2020,1. FC Union Berlin,,,FC Bayern München,
11,Sun Dec 13 2020,FC Augsburg,,,FC Schalke 04,
11,Sun Dec 13 2020,Bayer 04 Leverkusen,,,TSG 1899 Hoffenheim,
12,Tue Dec 15 2020,Eintracht Frankfurt,,,Borussia Mönchengladbach,
12,Tue Dec 15 2020,SV Werder Bremen,,,BV Borussia 09 Dortmund,
12,Tue Dec 15 2020,Hertha BSC,,,1. FSV Mainz 05,
12,Tue Dec 15 2020,VfB Stuttgart,,,1. FC Union Berlin,
12,Wed Dec 16 2020,FC Schalke 04,,,SC Freiburg,
12,Wed Dec 16 2020,FC Bayern München,,,VfL Wolfsburg,
12,Wed Dec 16 2020,DSC Arminia Bielefeld,,,FC Augsburg,
12,Wed Dec 16 2020,TSG 1899 Hoffenheim,,,RB Leipzig,
12,Wed Dec 16 2020,1. FC Köln,,,Bayer 04 Leverkusen,
13,Fri Dec 18 2020,1. FC Union Berlin,,,BV Borussia 09 Dortmund,
13,Sat Dec 19 2020,FC Schalke 04,,,DSC Arminia Bielefeld,
13,Sat Dec 19 2020,Borussia Mönchengladbach,,,TSG 1899 Hoffenheim,
13,Sat Dec 19 2020,1. FSV Mainz 05,,,SV Werder Bremen,
13,Sat Dec 19 2020,FC Augsburg,,,Eintracht Frankfurt,
13,Sat Dec 19 2020,RB Leipzig,,,1. FC Köln,
13,Sat Dec 19 2020,Bayer 04 Leverkusen,,,FC Bayern München,
13,Sun Dec 20 2020,SC Freiburg,,,Hertha BSC,
13,Sun Dec 20 2020,VfL Wolfsburg,,,VfB Stuttgart,
14,Sat Jan 2 2021,1. FC Köln,,,FC Augsburg,
14,Sat Jan 2 2021,Eintracht Frankfurt,,,Bayer 04 Leverkusen,
14,Sat Jan 2 2021,SV Werder Bremen,,,1. FC Union Berlin,
14,Sat Jan 2 2021,DSC Arminia Bielefeld,,,Borussia Mönchengladbach,
14,Sat Jan 2 2021,TSG 1899 Hoffenheim,,,SC Freiburg,
14,Sat Jan 2 2021,Hertha BSC,,,FC Schalke 04,
14,Sat Jan 2 2021,VfB Stuttgart,,,RB Leipzig,
14,Sun Jan 3 2021,BV Borussia 09 Dortmund,,,VfL Wolfsburg,
14,Sun Jan 3 2021,FC Bayern München,,,1. FSV Mainz 05,
15,Fri Jan 8 2021,Borussia Mönchengladbach,,,FC Bayern München,
15,Sat Jan 9 2021,FC Schalke 04,,,TSG 1899 Hoffenheim,
15,Sat Jan 9 2021,Bayer 04 Leverkusen,,,SV Werder Bremen,
15,Sat Jan 9 2021,SC Freiburg,,,1. FC Köln,
15,Sat Jan 9 2021,1. FSV Mainz 05,,,Eintracht Frankfurt,
15,Sat Jan 9 2021,1. FC Union Berlin,,,VfL Wolfsburg,
15,Sat Jan 9 2021,RB Leipzig,,,BV Borussia 09 Dortmund,
15,Sun Jan 10 2021,FC Augsburg,,,VfB Stuttgart,
15,Sun Jan 10 2021,DSC Arminia Bielefeld,,,Hertha BSC,
16,Sun Jan 17 2021,1. FC Köln,,,Hertha BSC,
16,Sun Jan 17 2021,Eintracht Frankfurt,,,FC Schalke 04,
16,Sun Jan 17 2021,BV Borussia 09 Dortmund,,,1. FSV Mainz 05,
16,Sun Jan 17 2021,VfB Stuttgart,,,Borussia Mönchengladbach,
16,Sun Jan 17 2021,SV Werder Bremen,,,FC Augsburg,
16,Sun Jan 17 2021,FC Bayern München,,,SC Freiburg,
16,Sun Jan 17 2021,VfL Wolfsburg,,,RB Leipzig,
16,Sun Jan 17 2021,TSG 1899 Hoffenheim,,,DSC Arminia Bielefeld,
16,Sun Jan 17 2021,1. FC Union Berlin,,,Bayer 04 Leverkusen,
17,Thu Jan 21 2021,FC Schalke 04,,,1. FC Köln,
17,Thu Jan 21 2021,Hertha BSC,,,TSG 1899 Hoffenheim,
17,Thu Jan 21 2021,Borussia Mönchengladbach,,,SV Werder Bremen,
17,Thu Jan 21 2021,DSC Arminia Bielefeld,,,VfB Stuttgart,
