Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
1,Fri Aug 21 2020,19:00,CEST / UTC+0200,FC Girondins de Bordeaux,0-0,0-0,FC Nantes,,FINISHED,2020-08-21T17:00:00Z
1,Sat Aug 22 2020,17:00,CEST / UTC+0200,Dijon Football Côte d'Or,0-1,0-1,Angers SCO,,FINISHED,2020-08-22T15:00:00Z
1,Sat Aug 22 2020,21:00,CEST / UTC+0200,Lille OSC,1-1,1-0,Stade Rennais FC 1901,,FINISHED,2020-08-22T19:00:00Z
1,Sun Aug 23 2020,13:00,CEST / UTC+0200,AS Monaco FC,2-2,1-2,Stade de Reims,,FINISHED,2020-08-23T11:00:00Z
1,Sun Aug 23 2020,15:00,CEST / UTC+0200,FC Lorient,3-1,0-1,RC Strasbourg Alsace,,FINISHED,2020-08-23T13:00:00Z
1,Sun Aug 23 2020,15:00,CEST / UTC+0200,Nîmes Olympique,4-0,2-0,Stade Brestois 29,,FINISHED,2020-08-23T13:00:00Z
1,Sun Aug 23 2020,17:00,CEST / UTC+0200,OGC Nice,2-1,1-1,Racing Club de Lens,,FINISHED,2020-08-23T15:00:00Z
2,Fri Aug 28 2020,21:00,CEST / UTC+0200,Olympique Lyonnais,4-1,3-1,Dijon Football Côte d'Or,,FINISHED,2020-08-28T19:00:00Z
2,Sat Aug 29 2020,17:00,CEST / UTC+0200,Stade Rennais FC 1901,2-1,1-0,Montpellier HSC,,FINISHED,2020-08-29T15:00:00Z
2,Sat Aug 29 2020,21:00,CEST / UTC+0200,RC Strasbourg Alsace,0-2,0-1,OGC Nice,,FINISHED,2020-08-29T19:00:00Z
2,Sun Aug 30 2020,13:00,CEST / UTC+0200,Stade de Reims,0-1,0-1,Lille OSC,,FINISHED,2020-08-30T11:00:00Z
2,Sun Aug 30 2020,15:00,CEST / UTC+0200,AS Saint-Étienne,2-0,1-0,FC Lorient,,FINISHED,2020-08-30T13:00:00Z
2,Sun Aug 30 2020,15:00,CEST / UTC+0200,Angers SCO,0-2,0-2,FC Girondins de Bordeaux,,FINISHED,2020-08-30T13:00:00Z
2,Sun Aug 30 2020,15:00,CEST / UTC+0200,FC Nantes,2-1,2-0,Nîmes Olympique,,FINISHED,2020-08-30T13:00:00Z
2,Sun Aug 30 2020,15:00,CEST / UTC+0200,FC Metz,0-1,0-1,AS Monaco FC,,FINISHED,2020-08-30T13:00:00Z
2,Sun Aug 30 2020,21:00,CEST / UTC+0200,Stade Brestois 29,2-3,1-2,Olympique de Marseille,,FINISHED,2020-08-30T19:00:00Z
2,Thu Sep 10 2020,21:00,CEST / UTC+0200,Racing Club de Lens,1-0,0-0,Paris Saint-Germain FC,,FINISHED,2020-09-10T19:00:00Z
3,Fri Sep 11 2020,21:00,CEST / UTC+0200,FC Girondins de Bordeaux,0-0,0-0,Olympique Lyonnais,,FINISHED,2020-09-11T19:00:00Z
3,Sat Sep 12 2020,17:00,CEST / UTC+0200,Montpellier HSC,3-1,1-0,OGC Nice,,FINISHED,2020-09-12T15:00:00Z
3,Sat Sep 12 2020,21:00,CEST / UTC+0200,AS Saint-Étienne,2-0,0-0,RC Strasbourg Alsace,,FINISHED,2020-09-12T19:00:00Z
3,Sun Sep 13 2020,13:00,CEST / UTC+0200,Lille OSC,1-0,0-0,FC Metz,,FINISHED,2020-09-13T11:00:00Z
3,Sun Sep 13 2020,15:00,CEST / UTC+0200,FC Lorient,2-3,1-2,Racing Club de Lens,,FINISHED,2020-09-13T13:00:00Z
3,Sun Sep 13 2020,15:00,CEST / UTC+0200,Angers SCO,1-0,0-0,Stade de Reims,,FINISHED,2020-09-13T13:00:00Z
3,Sun Sep 13 2020,15:00,CEST / UTC+0200,Dijon Football Côte d'Or,0-2,0-1,Stade Brestois 29,,FINISHED,2020-09-13T13:00:00Z
