Matchday,Date,Team 1,FT,HT,Team 2,Comments
9,Sat Nov 28 2020,Atalanta BC,,,Hellas Verona FC,
9,Sun Nov 29 2020,SS Lazio,,,Udinese Calcio,
9,Sun Nov 29 2020,AC Milan,,,ACF Fiorentina,
9,Sun Nov 29 2020,Bologna FC 1909,,,FC Crotone,
9,Sun Nov 29 2020,Cagliari Calcio,,,Spezia Calcio,
9,Sun Nov 29 2020,SSC Napoli,,,AS Roma,
9,Mon Nov 30 2020,Torino FC,,,UC Sampdoria,
9,Mon Nov 30 2020,Genoa CFC,,,Parma Calcio 1913,
10,Sat Dec 5 2020,Spezia Calcio,,,SS Lazio,
10,Sat Dec 5 2020,Juventus FC,,,Torino FC,
10,Sat Dec 5 2020,FC Internazionale Milano,,,Bologna FC 1909,
10,Sun Dec 6 2020,Hellas Verona FC,,,Cagliari Calcio,
10,Sun Dec 6 2020,AS Roma,,,US Sassuolo Calcio,
10,Sun Dec 6 2020,Parma Calcio 1913,,,Benevento Calcio,
10,Sun Dec 6 2020,Udinese Calcio,,,Atalanta BC,
10,Sun Dec 6 2020,FC Crotone,,,SSC Napoli,
10,Sun Dec 6 2020,UC Sampdoria,,,AC Milan,
10,Mon Dec 7 2020,ACF Fiorentina,,,Genoa CFC,
11,Fri Dec 11 2020,US Sassuolo Calcio,,,Benevento Calcio,
11,Sat Dec 12 2020,FC Crotone,,,Spezia Calcio,
11,Sat Dec 12 2020,Torino FC,,,Udinese Calcio,
11,Sat Dec 12 2020,SS Lazio,,,Hellas Verona FC,
11,Sun Dec 13 2020,Cagliari Calcio,,,FC Internazionale Milano,
11,Sun Dec 13 2020,SSC Napoli,,,UC Sampdoria,
11,Sun Dec 13 2020,Atalanta BC,,,ACF Fiorentina,
11,Sun Dec 13 2020,Bologna FC 1909,,,AS Roma,
11,Sun Dec 13 2020,Genoa CFC,,,Juventus FC,
11,Sun Dec 13 2020,AC Milan,,,Parma Calcio 1913,
12,Tue Dec 15 2020,Udinese Calcio,,,FC Crotone,
12,Tue Dec 15 2020,Benevento Calcio,,,SS Lazio,
12,Wed Dec 16 2020,Juventus FC,,,Atalanta BC,
12,Wed Dec 16 2020,FC Internazionale Milano,,,SSC Napoli,
12,Wed Dec 16 2020,ACF Fiorentina,,,US Sassuolo Calcio,
12,Wed Dec 16 2020,Parma Calcio 1913,,,Cagliari Calcio,
12,Wed Dec 16 2020,Genoa CFC,,,AC Milan,
12,Wed Dec 16 2020,Spezia Calcio,,,Bologna FC 1909,
12,Wed Dec 16 2020,Hellas Verona FC,,,UC Sampdoria,
12,Thu Dec 17 2020,AS Roma,,,Torino FC,
13,Sat Dec 19 2020,ACF Fiorentina,,,Hellas Verona FC,
13,Sat Dec 19 2020,UC Sampdoria,,,FC Crotone,
13,Sat Dec 19 2020,Parma Calcio 1913,,,Juventus FC,
13,Sun Dec 20 2020,Torino FC,,,Bologna FC 1909,
13,Sun Dec 20 2020,FC Internazionale Milano,,,Spezia Calcio,
13,Sun Dec 20 2020,Cagliari Calcio,,,Udinese Calcio,
13,Sun Dec 20 2020,US Sassuolo Calcio,,,AC Milan,
13,Sun Dec 20 2020,Benevento Calcio,,,Genoa CFC,
13,Sun Dec 20 2020,Atalanta BC,,,AS Roma,
13,Sun Dec 20 2020,SS Lazio,,,SSC Napoli,
14,Tue Dec 22 2020,FC Crotone,,,Parma Calcio 1913,
14,Tue Dec 22 2020,Juventus FC,,,ACF Fiorentina,
14,Wed Dec 23 2020,Hellas Verona FC,,,FC Internazionale Milano,
14,Wed Dec 23 2020,SSC Napoli,,,Torino FC,
14,Wed Dec 23 2020,AS Roma,,,Cagliari Calcio,
14,Wed Dec 23 2020,AC Milan,,,SS Lazio,
14,Wed Dec 23 2020,Udinese Calcio,,,Benevento Calcio,
14,Wed Dec 23 2020,UC Sampdoria,,,US Sassuolo Calcio,
14,Wed Dec 23 2020,Bologna FC 1909,,,Atalanta BC,
14,Wed Dec 23 2020,Spezia Calcio,,,Genoa CFC,
15,Sun Jan 3 2021,FC Internazionale Milano,,,FC Crotone,
15,Sun Jan 3 2021,ACF Fiorentina,,,Bologna FC 1909,
15,Sun Jan 3 2021,AS Roma,,,UC Sampdoria,
15,Sun Jan 3 2021,Parma Calcio 1913,,,Torino FC,
15,Sun Jan 3 2021,Atalanta BC,,,US Sassuolo Calcio,
15,Sun Jan 3 2021,Cagliari Calcio,,,SSC Napoli,
15,Sun Jan 3 2021,Genoa CFC,,,SS Lazio,
15,Sun Jan 3 2021,Spezia Calcio,,,Hellas Verona FC,
15,Sun Jan 3 2021,Benevento Calcio,,,AC Milan,
15,Sun Jan 3 2021,Juventus FC,,,Udinese Calcio,
16,Wed Jan 6 2021,Cagliari Calcio,,,Benevento Calcio,
16,Wed Jan 6 2021,SS Lazio,,,ACF Fiorentina,
16,Wed Jan 6 2021,Atalanta BC,,,Parma Calcio 1913,
16,Wed Jan 6 2021,UC Sampdoria,,,FC Internazionale Milano,
16,Wed Jan 6 2021,Torino FC,,,Hellas Verona FC,
16,Wed Jan 6 2021,Bologna FC 1909,,,Udinese Calcio,
16,Wed Jan 6 2021,US Sassuolo Calcio,,,Genoa CFC,
16,Wed Jan 6 2021,FC Crotone,,,AS Roma,
16,Wed Jan 6 2021,SSC Napoli,,,Spezia Calcio,
16,Wed Jan 6 2021,AC Milan,,,Juventus FC,
17,Sat Jan 9 2021,AS Roma,,,FC Internazionale Milano,
17,Mon Jan 11 2021,Juventus FC,,,US Sassuolo Calcio,
17,Mon Jan 11 2021,ACF Fiorentina,,,Cagliari Calcio,
17,Mon Jan 11 2021,AC Milan,,,Torino FC,
17,Mon Jan 11 2021,Parma Calcio 1913,,,SS Lazio,
17,Mon Jan 11 2021,Udinese Calcio,,,SSC Napoli,
17,Mon Jan 11 2021,Genoa CFC,,,Bologna FC 1909,
17,Mon Jan 11 2021,Spezia Calcio,,,UC Sampdoria,
17,Mon Jan 11 2021,Hellas Verona FC,,,FC Crotone,
17,Mon Jan 11 2021,Benevento Calcio,,,Atalanta BC,
18,Mon Jan 18 2021,SS Lazio,,,AS Roma,
18,Mon Jan 18 2021,Atalanta BC,,,Genoa CFC,
18,Mon Jan 18 2021,UC Sampdoria,,,Udinese Calcio,
18,Mon Jan 18 2021,Cagliari Calcio,,,AC Milan,
18,Mon Jan 18 2021,Torino FC,,,Spezia Calcio,
18,Mon Jan 18 2021,Bologna FC 1909,,,Hellas Verona FC,
18,Mon Jan 18 2021,US Sassuolo Calcio,,,Parma Calcio 1913,
18,Mon Jan 18 2021,FC Crotone,,,Benevento Calcio,
18,Mon Jan 18 2021,SSC Napoli,,,ACF Fiorentina,
18,Sun Jan 17 2021,FC Internazionale Milano,,,Juventus FC,
19,Mon Jan 25 2021,Juventus FC,,,Bologna FC 1909,
