Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Sat Aug 8 2020,Fortaleza EC,0-2,0-2,CA Paranaense,
1,Sat Aug 8 2020,Coritiba FBC,0-1,0-0,SC Internacional,
1,Sun Aug 9 2020,SC Recife,3-2,3-1,Ceará SC,
1,Sun Aug 9 2020,Santos FC,1-1,0-0,RB Bragantino,
1,Sun Aug 9 2020,CR Flamengo,0-1,0-1,CA Mineiro,
1,Sun Aug 9 2020,Goiás EC,(*),,São Paulo FC,postponed
1,Sun Aug 9 2020,Grêmio FBPA,1-0,1-0,Fluminense FC,
1,Sun Aug 9 2020,SE Palmeiras,(*),,CR Vasco da Gama,postponed
2,Wed Aug 12 2020,CA Mineiro,3-2,0-2,SC Corinthians Paulista,
2,Wed Aug 12 2020,CA Paranaense,2-1,1-1,Goiás EC,
2,Wed Aug 12 2020,RB Bragantino,1-1,1-0,Botafogo FR,
2,Wed Aug 12 2020,AC Goianiense,3-0,2-0,CR Flamengo,
2,Wed Aug 12 2020,EC Bahia,1-0,1-0,Coritiba FBC,
2,Thu Aug 13 2020,Fluminense FC,1-1,1-1,SE Palmeiras,
2,Thu Aug 13 2020,Ceará SC,1-1,1-0,Grêmio FBPA,
2,Thu Aug 13 2020,São Paulo FC,1-0,1-0,Fortaleza EC,
2,Thu Aug 13 2020,SC Internacional,2-0,0-0,Santos FC,
2,Thu Aug 13 2020,CR Vasco da Gama,2-0,2-0,SC Recife,
3,Sat Aug 15 2020,Grêmio FBPA,0-0,0-0,SC Corinthians Paulista,
3,Sat Aug 15 2020,Coritiba FBC,0-1,0-1,CR Flamengo,
3,Sun Aug 16 2020,SE Palmeiras,1-1,1-1,Goiás EC,
3,Sun Aug 16 2020,CA Mineiro,2-0,0-0,Ceará SC,
3,Sun Aug 16 2020,EC Bahia,2-1,1-0,RB Bragantino,
3,Sun Aug 16 2020,CR Vasco da Gama,2-1,0-0,São Paulo FC,
3,Sun Aug 16 2020,Fluminense FC,2-1,1-1,SC Internacional,
3,Sun Aug 16 2020,AC Goianiense,1-1,1-0,SC Recife,
3,Sun Aug 16 2020,Fortaleza EC,0-0,0-0,Botafogo FR,
3,Sun Aug 16 2020,Santos FC,3-1,2-0,CA Paranaense,
4,Wed Aug 19 2020,CR Flamengo,1-1,0-1,Grêmio FBPA,
4,Wed Aug 19 2020,RB Bragantino,2-1,1-1,Fluminense FC,
4,Wed Aug 19 2020,CA Paranaense,0-1,0-0,SE Palmeiras,
4,Wed Aug 19 2020,SC Internacional,3-0,0-0,AC Goianiense,
4,Wed Aug 19 2020,Goiás EC,1-3,0-1,Fortaleza EC,
4,Thu Aug 20 2020,Botafogo FR,2-1,1-0,CA Mineiro,
4,Thu Aug 20 2020,SC Corinthians Paulista,3-1,1-1,Coritiba FBC,
4,Thu Aug 20 2020,SC Recife,0-1,0-0,Santos FC,
4,Thu Aug 20 2020,São Paulo FC,1-1,0-1,EC Bahia,
4,Thu Aug 20 2020,Ceará SC,0-3,0-0,CR Vasco da Gama,
5,Sat Aug 22 2020,CA Paranaense,0-1,0-1,Fluminense FC,
5,Sat Aug 22 2020,SC Internacional,1-0,1-0,CA Mineiro,
5,Sun Aug 23 2020,Goiás EC,2-0,1-0,AC Goianiense,
5,Sun Aug 23 2020,CR Flamengo,1-1,0-0,Botafogo FR,
5,Sun Aug 23 2020,CR Vasco da Gama,0-0,0-0,Grêmio FBPA,
5,Sun Aug 23 2020,SE Palmeiras,2-1,1-0,Santos FC,
5,Sun Aug 23 2020,RB Bragantino,1-2,1-1,Coritiba FBC,
5,Sun Aug 23 2020,SC Recife,0-1,0-1,São Paulo FC,
5,Sun Aug 23 2020,Ceará SC,2-0,1-0,EC Bahia,
11,Wed Aug 26 2020,São Paulo FC,1-0,0-0,CA Paranaense,
5,Thu Aug 27 2020,SC Corinthians Paulista,1-1,0-0,Fortaleza EC,
6,Sat Aug 29 2020,Botafogo FR,0-2,0-2,SC Internacional,
6,Sat Aug 29 2020,EC Bahia,1-1,0-0,SE Palmeiras,
6,Sat Aug 29 2020,Fluminense FC,2-1,1-0,CR Vasco da Gama,
6,Sun Aug 30 2020,Fortaleza EC,3-0,1-0,RB Bragantino,
6,Sun Aug 30 2020,São Paulo FC,2-1,1-1,SC Corinthians Paulista,
6,Sun Aug 30 2020,Santos FC,0-1,0-1,CR Flamengo,
6,Sun Aug 30 2020,Coritiba FBC,1-0,0-0,SC Recife,
6,Sun Aug 30 2020,AC Goianiense,0-2,0-0,Ceará SC,
7,Wed Sep 2 2020,Ceará SC,1-0,1-0,Fortaleza EC,
7,Wed Sep 2 2020,Goiás EC,1-2,0-1,SC Corinthians Paulista,
7,Wed Sep 2 2020,Fluminense FC,1-1,1-0,AC Goianiense,
7,Wed Sep 2 2020,Botafogo FR,0-0,0-0,Coritiba FBC,
7,Wed Sep 2 2020,EC Bahia,3-5,2-3,CR Flamengo,
7,Wed Sep 2 2020,CA Paranaense,1-1,1-1,RB Bragantino,
7,Thu Sep 3 2020,Santos FC,2-2,1-1,CR Vasco da Gama,
7,Thu Sep 3 2020,SE Palmeiras,1-1,0-0,SC Internacional,
7,Thu Sep 3 2020,Grêmio FBPA,1-2,0-1,SC Recife,
7,Thu Sep 3 2020,CA Mineiro,3-0,2-0,São Paulo FC,
8,Sat Sep 5 2020,CR Flamengo,2-1,1-1,Fortaleza EC,
8,Sat Sep 5 2020,SC Corinthians Paulista,2-2,1-1,Botafogo FR,
8,Sun Sep 6 2020,Ceará SC,0-1,0-1,Santos FC,
8,Sun Sep 6 2020,RB Bragantino,1-2,0-0,SE Palmeiras,
8,Sun Sep 6 2020,São Paulo FC,3-1,0-1,Fluminense FC,
8,Sun Sep 6 2020,SC Internacional,2-2,1-1,EC Bahia,
8,Sun Sep 6 2020,CR Vasco da Gama,1-0,1-0,CA Paranaense,
8,Sun Sep 6 2020,AC Goianiense,1-1,1-1,Grêmio FBPA,
8,Sun Sep 6 2020,Coritiba FBC,0-1,0-1,CA Mineiro,
8,Sun Sep 6 2020,SC Recife,2-1,0-0,Goiás EC,
9,Wed Sep 9 2020,CA Paranaense,1-1,0-0,Botafogo FR,
9,Wed Sep 9 2020,Goiás EC,3-3,1-2,Coritiba FBC,
9,Wed Sep 9 2020,Fortaleza EC,1-0,0-0,SC Recife,
9,Wed Sep 9 2020,São Paulo FC,1-1,0-0,RB Bragantino,
9,Thu Sep 10 2020,Santos FC,3-1,2-1,CA Mineiro,
9,Thu Sep 10 2020,Fluminense FC,1-2,0-2,CR Flamengo,
9,Thu Sep 10 2020,SC Internacional,2-0,1-0,Ceará SC,
9,Thu Sep 10 2020,EC Bahia,0-2,0-1,Grêmio FBPA,
9,Thu Sep 10 2020,SC Corinthians Paulista,0-2,0-1,SE Palmeiras,
9,Fri Sep 11 2020,CR Vasco da Gama,1-2,0-0,AC Goianiense,
10,Sat Sep 12 2020,CA Paranaense,1-0,1-0,Coritiba FBC,
10,Sat Sep 12 2020,Santos FC,2-2,1-2,São Paulo FC,
10,Sun Sep 13 2020,Grêmio FBPA,1-1,0-1,Fortaleza EC,
10,Sun Sep 13 2020,Fluminense FC,2-1,1-0,SC Corinthians Paulista,
10,Sun Sep 13 2020,EC Bahia,0-1,0-1,AC Goianiense,
10,Sun Sep 13 2020,CA Mineiro,2-1,1-0,RB Bragantino,
10,Sun Sep 13 2020,Ceará SC,2-0,0-0,CR Flamengo,
10,Sun Sep 13 2020,Goiás EC,1-0,1-0,SC Internacional,
10,Sun Sep 13 2020,SE Palmeiras,2-2,2-1,SC Recife,
10,Sun Sep 13 2020,Botafogo FR,2-3,0-1,CR Vasco da Gama,
11,Thu Sep 17 2020,SC Corinthians Paulista,3-2,2-1,EC Bahia,
11,Sat Sep 19 2020,Fortaleza EC,1-0,0-0,SC Internacional,
11,Sat Sep 19 2020,RB Bragantino,4-2,3-1,Ceará SC,
11,Sun Sep 20 2020,AC Goianiense,3-4,1-0,CA Mineiro,
11,Sun Sep 20 2020,Grêmio FBPA,1-1,0-0,SE Palmeiras,
11,Sun Sep 20 2020,Coritiba FBC,1-0,0-0,CR Vasco da Gama,
11,Sun Sep 20 2020,Botafogo FR,0-0,0-0,Santos FC,
11,Sun Sep 20 2020,SC Recife,1-0,1-0,Fluminense FC,
12,Thu Sep 24 2020,SC Recife,1-0,1-0,SC Corinthians Paulista,
12,Sat Sep 26 2020,SC Internacional,1-1,1-1,São Paulo FC,
12,Sat Sep 26 2020,CA Paranaense,1-0,0-0,EC Bahia,
12,Sun Sep 27 2020,CA Mineiro,3-1,1-0,Grêmio FBPA,
12,Sun Sep 27 2020,CR Vasco da Gama,1-1,0-0,RB Bragantino,
12,Sun Sep 27 2020,SE Palmeiras,1-1,0-0,CR Flamengo,
12,Sun Sep 27 2020,AC Goianiense,1-1,0-1,Botafogo FR,
12,Sun Sep 27 2020,Ceará SC,2-2,0-1,Goiás EC,
12,Sun Sep 27 2020,Santos FC,1-1,1-0,Fortaleza EC,
12,Mon Sep 28 2020,Fluminense FC,4-0,1-0,Coritiba FBC,
1,Thu Oct 1 2020,Botafogo FR,1-2,0-1,EC Bahia,
1,Thu Oct 1 2020,SC Corinthians Paulista,0-0,0-0,AC Goianiense,
13,Sat Oct 3 2020,Grêmio FBPA,1-1,0-0,SC Internacional,
13,Sat Oct 3 2020,SE Palmeiras,2-1,1-1,Ceará SC,
13,Sun Oct 4 2020,RB Bragantino,0-0,0-0,SC Corinthians Paulista,
13,Sun Oct 4 2020,Botafogo FR,1-1,0-1,Fluminense FC,
13,Sun Oct 4 2020,Coritiba FBC,1-1,1-0,São Paulo FC,
13,Sun Oct 4 2020,CR Flamengo,3-1,0-0,CA Paranaense,
13,Sun Oct 4 2020,EC Bahia,1-2,0-1,SC Recife,
13,Sun Oct 4 2020,Goiás EC,2-3,1-1,Santos FC,
13,Sun Oct 4 2020,Fortaleza EC,0-0,0-0,AC Goianiense,
13,Sun Oct 4 2020,CA Mineiro,4-1,4-1,CR Vasco da Gama,
14,Wed Oct 7 2020,SC Corinthians Paulista,1-1,1-1,Santos FC,
14,Wed Oct 7 2020,Grêmio FBPA,2-1,2-0,Coritiba FBC,
14,Wed Oct 7 2020,EC Bahia,3-0,3-0,CR Vasco da Gama,
14,Wed Oct 7 2020,CR Flamengo,3-0,0-0,SC Recife,
14,Wed Oct 7 2020,São Paulo FC,3-0,1-0,AC Goianiense,
14,Wed Oct 7 2020,Goiás EC,2-4,1-1,Fluminense FC,
14,Thu Oct 8 2020,Botafogo FR,2-1,0-0,SE Palmeiras,
14,Thu Oct 8 2020,Fortaleza EC,2-1,1-1,CA Mineiro,
14,Thu Oct 8 2020,CA Paranaense,0-0,0-0,Ceará SC,
14,Fri Oct 9 2020,RB Bragantino,0-2,0-2,SC Internacional,
15,Sat Oct 10 2020,CR Vasco da Gama,1-2,1-0,CR Flamengo,
15,Sat Oct 10 2020,Coritiba FBC,0-0,0-0,Fortaleza EC,
15,Sat Oct 10 2020,SE Palmeiras,0-2,0-0,São Paulo FC,
15,Sun Oct 11 2020,CA Mineiro,3-0,2-0,Goiás EC,
15,Sun Oct 11 2020,Santos FC,2-1,1-0,Grêmio FBPA,
15,Sun Oct 11 2020,Fluminense FC,1-0,0-0,EC Bahia,
15,Sun Oct 11 2020,AC Goianiense,2-1,1-1,RB Bragantino,
15,Sun Oct 11 2020,SC Recife,1-2,0-2,Botafogo FR,
15,Sun Oct 11 2020,SC Internacional,2-1,2-1,CA Paranaense,
15,Sun Oct 11 2020,Ceará SC,2-1,1-1,SC Corinthians Paulista,
11,Tue Oct 13 2020,CR Flamengo,2-1,1-1,Goiás EC,
16,Wed Oct 14 2020,SE Palmeiras,1-3,1-2,Coritiba FBC,
16,Wed Oct 14 2020,Grêmio FBPA,3-1,1-1,Botafogo FR,
16,Wed Oct 14 2020,Santos FC,0-1,0-0,AC Goianiense,
16,Thu Oct 15 2020,CA Mineiro,1-1,0-1,Fluminense FC,
16,Thu Oct 15 2020,SC Recife,3-5,1-2,SC Internacional,
16,Thu Oct 15 2020,CA Paranaense,0-1,0-0,SC Corinthians Paulista,
16,Thu Oct 15 2020,CR Flamengo,1-1,0-0,RB Bragantino,
16,Fri Oct 16 2020,Goiás EC,1-1,0-0,EC Bahia,
17,Sat Oct 17 2020,AC Goianiense,1-1,1-0,CA Paranaense,
17,Sat Oct 17 2020,Coritiba FBC,1-2,0-2,Santos FC,
17,Sat Oct 17 2020,Fluminense FC,2-2,1-1,Ceará SC,
17,Sun Oct 18 2020,São Paulo FC,0-0,0-0,Grêmio FBPA,
17,Sun Oct 18 2020,SC Corinthians Paulista,1-5,0-1,CR Flamengo,
