Date, League, Team 1, FT, Team 2
Tue Jun 2 2020, AT 1, SV Mattersburg, 1-1, SCR Altach
Tue Jun 2 2020, AT 1, WSG Tirol, 0-5, SKN St. Pölten
Tue Jun 2 2020, AT 1, FK Austria Wien, 1-0, FC Admira Wacker Mödling
Tue Jun 2 2020, DE 3, Würzburger Kickers, 0-1, 1. FC Magdeburg
Tue Jun 2 2020, DE 3, KFC Uerdingen, 0-0, SV Meppen
Tue Jun 2 2020, DE 3, FC Viktoria Köln, 3-0, FSV Zwickau
Tue Jun 2 2020, DE 3, SpVgg Unterhaching, 1-2, FC Ingolstadt 04
Tue Jun 2 2020, DE 3, Hansa Rostock, 0-1, SV Waldhof Mannheim
Wed Jun 3 2020, AT 1, SK Sturm Graz, 1-2, Wolfsberger AC
Wed Jun 3 2020, AT 1, LASK Linz, 1-2, TSV Hartberg
Wed Jun 3 2020, AT 1, FC RB Salzburg, 2-0, SK Rapid Wien
Wed Jun 3 2020, DE 1, Werder Bremen, 0-3, Eintracht Frankfurt
Wed Jun 3 2020, DE 2, Hannover 96, 3-0, Dynamo Dresden
Wed Jun 3 2020, DE 3, Bayern München II, 3-2, Preußen Münster
Wed Jun 3 2020, DE 3, MSV Duisburg, 1-1, FC Carl Zeiss Jena
Wed Jun 3 2020, DE 3, Hallescher FC, 0-1, Eintracht Braunschweig
Wed Jun 3 2020, DE 3, 1. FC Kaiserslautern, 1-1, TSV 1860 München
Wed Jun 3 2020, DE 3, Chemnitzer FC, 0-1, SG Großaspach
Fri Jun 5 2020, AT 2, SV Horn, 1-1, FC Liefering
Fri Jun 5 2020, AT 2, FC Dornbirn 1913, 0-4, SKU Amstetten
Fri Jun 5 2020, AT 2, Floridsdorfer AC, 0-0, SK Vorwärts Steyr
Fri Jun 5 2020, AT 2, Young Violets Austria Wien, 3-0, FC Blau-Weiß Linz
Fri Jun 5 2020, AT 2, SV Ried, 3-1, SV Lafnitz
Fri Jun 5 2020, DE 1, SC Freiburg, 1-0, Bor. Mönchengladbach
Fri Jun 5 2020, DE 2, SpVgg Greuther Fürth, 1-2, SV Sandhausen
Fri Jun 5 2020, DE 2, VfL Bochum, 2-0, FC St. Pauli
Fri Jun 5 2020, DE 3, 1. FC Magdeburg, 1-1, KFC Uerdingen
Sat Jun 6 2020, AT 1, SKN St. Pölten, 1-1, FK Austria Wien
Sat Jun 6 2020, AT 1, SCR Altach, 1-1, WSG Tirol
Sat Jun 6 2020, AT 1, FC Admira Wacker Mödling, 0-2, SV Mattersburg
Sat Jun 6 2020, AT 2, FC Juniors OÖ, 2-1, FC Wacker Innsbruck
Sat Jun 6 2020, AT 2, Grazer AK, 1-1, Austria Lustenau
Sat Jun 6 2020, DE 1, Fortuna Düsseldorf, 2-2, TSG 1899 Hoffenheim
Sat Jun 6 2020, DE 1, Eintracht Frankfurt, 0-2, 1. FSV Mainz 05
Sat Jun 6 2020, DE 1, RB Leipzig, 1-1, SC Paderborn 07
Sat Jun 6 2020, DE 1, Bayer 04 Leverkusen, 2-4, Bayern München
Sat Jun 6 2020, DE 1, Borussia Dortmund, 1-0, Hertha BSC
Sat Jun 6 2020, DE 2, SSV Jahn Regensburg, 3-0, SV Darmstadt 98
Sat Jun 6 2020, DE 2, SV Wehen Wiesbaden, 2-3, Dynamo Dresden
Sat Jun 6 2020, DE 2, Arminia Bielefeld, 1-1, 1. FC Nürnberg
Sat Jun 6 2020, DE 3, MSV Duisburg, 2-1, Chemnitzer FC
Sat Jun 6 2020, DE 3, SV Meppen, 0-3, Hansa Rostock
Sat Jun 6 2020, DE 3, TSV 1860 München, 1-2, Würzburger Kickers
Sat Jun 6 2020, DE 3, Eintracht Braunschweig, 1-1, Bayern München II
Sat Jun 6 2020, DE 3, FSV Zwickau, 5-1, Hallescher FC
Sat Jun 6 2020, DE 3, SV Waldhof Mannheim, 2-1, FC Viktoria Köln
Sun Jun 7 2020, AT 1, Wolfsberger AC, 3-3, LASK Linz
Sun Jun 7 2020, AT 1, TSV Hartberg, 0-6, FC RB Salzburg
Sun Jun 7 2020, AT 1, SK Rapid Wien, 4-0, SK Sturm Graz
Sun Jun 7 2020, AT 2, Austria Klagenfurt, 3-2, Kapfenberger SV
Sun Jun 7 2020, DE 1, Werder Bremen, 0-1, VfL Wolfsburg
Sun Jun 7 2020, DE 1, 1. FC Union Berlin, 1-1, FC Schalke 04
Sun Jun 7 2020, DE 1, FC Augsburg, 1-1, 1. FC Köln
Sun Jun 7 2020, DE 2, Hannover 96, 2-1, 1. FC Heidenheim
Sun Jun 7 2020, DE 2, FC Erzgebirge Aue, 1-0, Karlsruher SC
Sun Jun 7 2020, DE 2, VfB Stuttgart, 0-0, VfL Osnabrück
Sun Jun 7 2020, DE 3, Preußen Münster, 2-1, SpVgg Unterhaching
Sun Jun 7 2020, DE 3, FC Carl Zeiss Jena, 1-2, 1. FC Kaiserslautern
Sun Jun 7 2020, DE 3, FC Ingolstadt 04, 1-1, SG Großaspach
Mon Jun 8 2020, DE 2, Hamburger SV, 3-3, Holstein Kiel
