Date, League, Team 1, FT, Team 2
Sat May 16 2020, DE 1, Borussia Dortmund, 4-0, FC Schalke 04
Sat May 16 2020, DE 1, RB Leipzig, 1-1, SC Freiburg
Sat May 16 2020, DE 1, TSG 1899 Hoffenheim, 0-3, Hertha BSC
Sat May 16 2020, DE 1, FC Augsburg, 1-2, VfL Wolfsburg
Sat May 16 2020, DE 1, Fortuna Düsseldorf, 0-0, SC Paderborn 07
Sat May 16 2020, DE 1, Eintracht Frankfurt, 1-3, Bor. Mönchengladbach
Sat May 16 2020, DE 2, SSV Jahn Regensburg, 2-2, Holstein Kiel
Sat May 16 2020, DE 2, Karlsruher SC, 2-0, SV Darmstadt 98
Sat May 16 2020, DE 2, VfL Bochum, 3-0, 1. FC Heidenheim
Sat May 16 2020, DE 2, FC Erzgebirge Aue, 3-1, SV Sandhausen
Sun May 17 2020, DE 1, 1. FC Köln, 2-2, 1. FSV Mainz 05
Sun May 17 2020, DE 1, 1. FC Union Berlin, 0-2, Bayern München
Sun May 17 2020, DE 2, FC St. Pauli, 1-0, 1. FC Nürnberg
Sun May 17 2020, DE 2, SpVgg Greuther Fürth, 2-2, Hamburger SV
Sun May 17 2020, DE 2, SV Wehen Wiesbaden, 2-1, VfB Stuttgart
Sun May 17 2020, DE 2, Arminia Bielefeld, 1-1, VfL Osnabrück
Mon May 18 2020, DE 1, Werder Bremen, 1-4, Bayer 04 Leverkusen
