Date, League, Team 1, FT, Team 2
Tue Jun 9 2020, AT 1, SKN St. Pölten, 0-3, FC Admira Wacker Mödling
Tue Jun 9 2020, AT 1, WSG Tirol, 1-1, SV Mattersburg
Tue Jun 9 2020, AT 1, FK Austria Wien, 0-2, SCR Altach
Tue Jun 9 2020, DE 2, Dynamo Dresden, 1-1, SpVgg Greuther Fürth
Tue Jun 9 2020, DE 3, FC Viktoria Köln, 1-3, SV Meppen
Tue Jun 9 2020, DE 3, Bayern München II, 2-0, FSV Zwickau
Tue Jun 9 2020, DE 3, KFC Uerdingen, 1-3, TSV 1860 München
Tue Jun 9 2020, DE 3, Hansa Rostock, 3-1, 1. FC Magdeburg
Tue Jun 9 2020, DE 3, Hallescher FC, 3-0, SV Waldhof Mannheim
Wed Jun 10 2020, AT 1, LASK Linz, 0-1, SK Rapid Wien
Wed Jun 10 2020, AT 1, Wolfsberger AC, 2-4, TSV Hartberg
Wed Jun 10 2020, AT 1, SK Sturm Graz, 1-5, FC RB Salzburg
Wed Jun 10 2020, AT 2, Austria Lustenau, 2-2, FC Juniors OÖ
Wed Jun 10 2020, AT 2, SV Lafnitz, 0-0, Young Violets Austria Wien
Wed Jun 10 2020, AT 2, SK Vorwärts Steyr, 2-2, SV Horn
Wed Jun 10 2020, AT 2, Kapfenberger SV, 0-1, FC Dornbirn 1913
Wed Jun 10 2020, AT 2, SKU Amstetten, 2-3, FC Wacker Innsbruck
Wed Jun 10 2020, AT 2, Grazer AK, 4-2, SV Ried
Wed Jun 10 2020, DE 3, Chemnitzer FC, 0-1, FC Ingolstadt 04
Wed Jun 10 2020, DE 3, Würzburger Kickers, 4-2, FC Carl Zeiss Jena
Wed Jun 10 2020, DE 3, SG Großaspach, 0-0, Preußen Münster
Wed Jun 10 2020, DE 3, 1. FC Kaiserslautern, 1-3, MSV Duisburg
Wed Jun 10 2020, DE 3, SpVgg Unterhaching, 1-3, Eintracht Braunschweig
Thu Jun 11 2020, AT 2, FC Blau-Weiß Linz, 1-2, Austria Klagenfurt
Thu Jun 11 2020, AT 2, FC Liefering, 3-0, Floridsdorfer AC
Thu Jun 11 2020, ES 1, Sevilla FC, 2-0, Real Betis
