Date, League, Team 1, FT, Team 2
Fri May 22 2020, DE 1, Hertha BSC, 4-0, 1. FC Union Berlin
Fri May 22 2020, DE 2, 1. FC Nürnberg, 1-1, FC Erzgebirge Aue
Fri May 22 2020, DE 2, 1. FC Heidenheim, 1-0, SV Wehen Wiesbaden
Sat May 23 2020, DE 1, SC Freiburg, 0-1, Werder Bremen
Sat May 23 2020, DE 1, SC Paderborn 07, 1-1, TSG 1899 Hoffenheim
Sat May 23 2020, DE 1, VfL Wolfsburg, 0-2, Borussia Dortmund
Sat May 23 2020, DE 1, Bor. Mönchengladbach, 1-3, Bayer 04 Leverkusen
Sat May 23 2020, DE 1, Bayern München, 5-2, Eintracht Frankfurt
Sat May 23 2020, DE 2, SV Darmstadt 98, 4-0, FC St. Pauli
Sat May 23 2020, DE 2, SV Sandhausen, 0-0, SSV Jahn Regensburg
Sat May 23 2020, DE 2, VfL Osnabrück, 2-4, Hannover 96
Sun May 24 2020, DE 1, FC Schalke 04, 0-3, FC Augsburg
Sun May 24 2020, DE 1, 1. FSV Mainz 05, 0-5, RB Leipzig
Sun May 24 2020, DE 1, 1. FC Köln, 2-2, Fortuna Düsseldorf
Sun May 24 2020, DE 2, Hamburger SV, 0-0, Arminia Bielefeld
Sun May 24 2020, DE 2, Holstein Kiel, 3-2, VfB Stuttgart
Sun May 24 2020, DE 2, Karlsruher SC, 0-0, VfL Bochum
