Date,Team 1,Team 2,FT,HT
2006-08-19,AEK,PAOK,0-0,0-0
2006-08-19,Olympiakos,Xanthi,2-1,0-1
2006-08-20,Atromitos,OFI,2-2,0-2
2006-08-20,Egaleo,Panathinaikos,1-4,0-2
2006-08-20,Ergotelis,Ionikos,1-1,0-1
2006-08-20,Iraklis,Panionios,0-0,0-0
2006-08-20,Kerkyra,Kalamaria,2-1,1-0
2006-08-20,Larisa,Aris,1-1,0-1
2006-08-26,Panathinaikos,Ionikos,0-2,0-1
2006-08-26,PAOK,Iraklis,3-1,1-0
2006-08-27,Aris,Kerkyra,0-0,0-0
2006-08-27,Kalamaria,Egaleo,0-1,0-0
2006-08-27,Larisa,Atromitos,2-1,2-0
2006-08-27,OFI,AEK,1-1,0-1
2006-08-27,Panionios,Olympiakos,0-3,0-2
2006-08-27,Xanthi,Ergotelis,0-0,0-0
2006-09-09,Atromitos,AEK,1-1,0-0
2006-09-09,Olympiakos,PAOK,2-0,2-0
2006-09-09,Panathinaikos,Xanthi,1-0,0-0
2006-09-10,Egaleo,Aris,1-1,1-1
2006-09-10,Ergotelis,Panionios,2-1,0-0
2006-09-10,Ionikos,Kalamaria,1-0,1-0
2006-09-10,Iraklis,OFI,2-3,0-2
2006-09-10,Kerkyra,Larisa,0-0,0-0
2006-09-16,Aris,Ionikos,1-0,0-0
2006-09-16,PAOK,Ergotelis,1-0,0-0
2006-09-17,Kalamaria,Xanthi,2-0,1-0
2006-09-17,Kerkyra,Atromitos,1-0,1-0
2006-09-17,Larisa,Egaleo,2-2,2-1
2006-09-17,OFI,Olympiakos,1-2,1-0
2006-09-17,Panionios,Panathinaikos,0-1,0-0
2006-09-18,AEK,Iraklis,3-0,1-0
2006-09-23,Ergotelis,OFI,2-0,1-0
2006-09-23,Olympiakos,AEK,1-0,1-0
2006-09-24,Atromitos,Iraklis,2-2,1-0
2006-09-24,Egaleo,Kerkyra,2-1,1-1
2006-09-24,Ionikos,Larisa,1-2,1-0
2006-09-24,Kalamaria,Panionios,1-1,0-0
2006-09-24,Panathinaikos,PAOK,2-1,0-0
2006-09-24,Xanthi,Aris,1-1,1-0
2006-09-30,AEK,Ergotelis,3-1,0-1
2006-09-30,Aris,Panionios,2-2,0-0
2006-10-01,Egaleo,Atromitos,0-0,0-0
2006-10-01,Iraklis,Olympiakos,0-1,0-1
2006-10-01,Kerkyra,Ionikos,2-0,1-0
2006-10-01,Larisa,Xanthi,1-0,0-0
2006-10-01,OFI,Panathinaikos,3-3,2-0
2006-10-01,PAOK,Kalamaria,1-1,1-0
2006-10-21,Aris,PAOK,0-0,0-0
2006-10-21,Ergotelis,Iraklis,2-1,0-1
2006-10-21,Ionikos,Egaleo,0-1,0-0
2006-10-22,Atromitos,Olympiakos,1-0,0-0
2006-10-22,Kalamaria,OFI,0-0,0-0
2006-10-22,Panionios,Larisa,2-1,2-0
2006-10-22,Xanthi,Kerkyra,1-1,1-1
2006-10-23,Panathinaikos,AEK,1-2,1-1
2006-10-28,AEK,Kalamaria,1-0,1-0
2006-10-28,Olympiakos,Ergotelis,1-0,0-0
2006-10-29,Egaleo,Xanthi,1-0,0-0
2006-10-29,Ionikos,Atromitos,1-4,0-2
2006-10-29,Iraklis,Panathinaikos,0-1,0-0
2006-10-29,Kerkyra,Panionios,0-1,0-0
2006-10-29,Larisa,PAOK,1-2,1-0
2006-10-29,OFI,Aris,1-0,0-0
2006-11-04,OFI,Larisa,0-0,0-0
2006-11-04,PAOK,Kerkyra,1-0,1-0
2006-11-05,Aris,AEK,1-3,1-0
2006-11-05,Atromitos,Ergotelis,2-1,0-1
2006-11-05,Kalamaria,Iraklis,2-1,1-0
2006-11-05,Panathinaikos,Olympiakos,1-0,0-0
2006-11-05,Panionios,Egaleo,0-0,0-0
2006-11-05,Xanthi,Ionikos,2-0,1-0
2006-11-11,Egaleo,PAOK,0-2,0-0
2006-11-11,Iraklis,Aris,0-0,0-0
2006-11-12,AEK,Larisa,5-0,1-0
2006-11-12,Ergotelis,Panathinaikos,0-1,0-0
2006-11-12,Ionikos,Panionios,1-1,0-0
2006-11-12,Kerkyra,OFI,1-0,0-0
2006-11-12,Olympiakos,Kalamaria,5-0,1-0
2006-11-12,Xanthi,Atromitos,1-0,1-0
2006-11-18,AEK,Kerkyra,4-1,3-1
2006-11-18,Aris,Olympiakos,2-3,2-0
2006-11-19,Atromitos,Panathinaikos,0-4,0-1
2006-11-19,Kalamaria,Ergotelis,0-0,0-0
2006-11-19,Larisa,Iraklis,0-1,0-0
2006-11-19,OFI,Egaleo,1-0,0-0
2006-11-19,Panionios,Xanthi,0-2,0-0
2006-11-19,PAOK,Ionikos,3-0,0-0
2006-11-25,Egaleo,AEK,1-2,1-1
2006-11-25,Ergotelis,Aris,0-1,0-1
2006-11-26,Ionikos,OFI,0-2,0-0
2006-11-26,Iraklis,Kerkyra,1-0,0-0
2006-11-26,Olympiakos,Larisa,4-0,1-0
2006-11-26,Panathinaikos,Kalamaria,3-2,2-1
2006-11-26,Panionios,Atromitos,0-0,0-0
2006-11-26,Xanthi,PAOK,1-0,0-0
2006-12-02,AEK,Ionikos,2-0,1-0
2006-12-02,Kerkyra,Olympiakos,0-2,0-2
2006-12-03,Aris,Panathinaikos,1-0,0-0
2006-12-03,Atromitos,Kalamaria,1-1,1-0
2006-12-03,Iraklis,Egaleo,2-1,2-0
2006-12-03,Larisa,Ergotelis,2-1,1-1
2006-12-03,OFI,Xanthi,0-2,0-2
2006-12-03,PAOK,Panionios,1-1,1-1
2006-12-09,Ionikos,Iraklis,2-2,1-2
2006-12-09,Panathinaikos,Larisa,1-0,0-0
2006-12-10,Ergotelis,Kerkyra,1-1,1-1
2006-12-10,Kalamaria,Aris,1-1,0-1
2006-12-10,Olympiakos,Egaleo,3-2,0-1
2006-12-10,Panionios,OFI,1-0,0-0
2006-12-10,PAOK,Atromitos,0-3,0-2
2006-12-10,Xanthi,AEK,0-0,0-0
2006-12-16,Atromitos,Aris,1-1,1-1
2006-12-16,Iraklis,Xanthi,1-0,0-0
2006-12-16,Olympiakos,Ionikos,3-0,1-0
2006-12-17,AEK,Panionios,4-0,1-0
2006-12-17,Egaleo,Ergotelis,2-0,1-0
2006-12-17,Kerkyra,Panathinaikos,3-1,0-1
2006-12-17,Larisa,Kalamaria,0-1,0-0
2006-12-17,OFI,PAOK,1-0,0-0
2007-01-06,OFI,Atromitos,4-1,2-0
2007-01-06,PAOK,AEK,2-0,0-0
2007-01-07,Aris,Larisa,1-1,0-0
2007-01-07,Ionikos,Ergotelis,1-3,0-1
2007-01-07,Kalamaria,Kerkyra,1-0,0-0
2007-01-07,Panathinaikos,Egaleo,1-0,0-0
2007-01-07,Panionios,Iraklis,2-1,0-0
2007-01-07,Xanthi,Olympiakos,0-0,0-0
2007-01-13,Egaleo,Kalamaria,2-0,0-0
