Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 19 Aug 2006 (33),AEK Athens FC (1),0-0,0-0,PAOK FC (1)
?,(Sat) 19 Aug 2006 (33),Olympiacos FC (1),2-1,0-1,Xanthi FC (1)
?,(Sun) 20 Aug 2006 (33),Atromitos FC (1),2-2,0-2,OFI (1)
?,(Sun) 20 Aug 2006 (33),Egaleo (1),1-4,0-2,Panathinaikos FC (1)
?,(Sun) 20 Aug 2006 (33),Ergotelis (1),1-1,0-1,Ionikos (1)
?,(Sun) 20 Aug 2006 (33),Iraklis (1),0-0,0-0,Panionios GSS (1)
?,(Sun) 20 Aug 2006 (33),Kerkyra FC (1),2-1,1-0,Kalamaria (1)
?,(Sun) 20 Aug 2006 (33),AE Larissa FC (1),1-1,0-1,Aris (1)
?,(Sat) 26 Aug 2006 (34),Panathinaikos FC (2),0-2,0-1,Ionikos (2)
?,(Sat) 26 Aug 2006 (34),PAOK FC (2),3-1,1-0,Iraklis (2)
?,(Sun) 27 Aug 2006 (34),Aris (2),0-0,0-0,Kerkyra FC (2)
?,(Sun) 27 Aug 2006 (34),Kalamaria (2),0-1,0-0,Egaleo (2)
?,(Sun) 27 Aug 2006 (34),AE Larissa FC (2),2-1,2-0,Atromitos FC (2)
?,(Sun) 27 Aug 2006 (34),OFI (2),1-1,0-1,AEK Athens FC (2)
?,(Sun) 27 Aug 2006 (34),Panionios GSS (2),0-3,0-2,Olympiacos FC (2)
?,(Sun) 27 Aug 2006 (34),Xanthi FC (2),0-0,0-0,Ergotelis (2)
?,(Sat) 9 Sep 2006 (36),Atromitos FC (3),1-1,0-0,AEK Athens FC (3)
?,(Sat) 9 Sep 2006 (36),Olympiacos FC (3),2-0,2-0,PAOK FC (3)
?,(Sat) 9 Sep 2006 (36),Panathinaikos FC (3),1-0,0-0,Xanthi FC (3)
?,(Sun) 10 Sep 2006 (36),Egaleo (3),1-1,1-1,Aris (3)
?,(Sun) 10 Sep 2006 (36),Ergotelis (3),2-1,0-0,Panionios GSS (3)
?,(Sun) 10 Sep 2006 (36),Ionikos (3),1-0,1-0,Kalamaria (3)
?,(Sun) 10 Sep 2006 (36),Iraklis (3),2-3,0-2,OFI (3)
?,(Sun) 10 Sep 2006 (36),Kerkyra FC (3),0-0,0-0,AE Larissa FC (3)
?,(Sat) 16 Sep 2006 (37),Aris (4),1-0,0-0,Ionikos (4)
