Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 18 Sep 2004 (37),Ergotelis (1),0-1,0-0,Iraklis (1)
?,(Sat) 18 Sep 2004 (37),Xanthi FC (1),3-1,1-1,Aris (1)
?,(Sun) 19 Sep 2004 (37),Chalkidona (1),1-0,1-0,Panionios GSS (1)
?,(Sun) 19 Sep 2004 (37),Egaleo (1),1-1,0-0,AEK Athens FC (1)
?,(Sun) 19 Sep 2004 (37),Kalamaria (1),1-0,1-0,OFI (1)
?,(Sun) 19 Sep 2004 (37),Olympiacos FC (1),2-1,1-1,Kalithea (1)
?,(Sun) 19 Sep 2004 (37),Panathinaikos FC (1),3-0,2-0,Ionikos (1)
?,(Sun) 19 Sep 2004 (37),PAOK FC (1),1-0,0-0,Kerkyra FC (1)
?,(Sat) 25 Sep 2004 (38),Aris (2),0-1,0-0,Olympiacos FC (2)
?,(Sat) 25 Sep 2004 (38),Iraklis (2),1-0,0-0,Chalkidona (2)
?,(Sat) 25 Sep 2004 (38),Panathinaikos FC (2),3-1,2-1,Xanthi FC (2)
?,(Sun) 26 Sep 2004 (38),AEK Athens FC (2),2-0,1-0,Kerkyra FC (2)
?,(Sun) 26 Sep 2004 (38),Ionikos (2),2-0,1-0,Kalamaria (2)
?,(Sun) 26 Sep 2004 (38),Kalithea (2),3-0,2-0,Ergotelis (2)
?,(Sun) 26 Sep 2004 (38),OFI (2),0-1,0-0,Egaleo (2)
?,(Sun) 26 Sep 2004 (38),Panionios GSS (2),2-0,0-0,PAOK FC (2)
?,(Sat) 2 Oct 2004 (39),Chalkidona (3),4-2,2-1,Kalithea (3)
?,(Sat) 2 Oct 2004 (39),Kerkyra FC (3),1-1,0-0,OFI (3)
?,(Sun) 3 Oct 2004 (39),AEK Athens FC (3),2-0,0-0,Panionios GSS (3)
?,(Sun) 3 Oct 2004 (39),Egaleo (3),1-0,0-0,Ionikos (3)
?,(Sun) 3 Oct 2004 (39),Ergotelis (3),1-1,1-1,Aris (3)
?,(Sun) 3 Oct 2004 (39),Kalamaria (3),0-1,0-1,Panathinaikos FC (3)
?,(Sun) 3 Oct 2004 (39),PAOK FC (3),1-0,1-0,Iraklis (3)
?,(Sun) 3 Oct 2004 (39),Xanthi FC (3),2-1,0-1,Olympiacos FC (3)
?,(Sat) 16 Oct 2004 (41),OFI (4),2-0,1-0,Panionios GSS (4)
?,(Sat) 16 Oct 2004 (41),Olympiacos FC (4),2-0,1-0,Ergotelis (4)
?,(Sat) 16 Oct 2004 (41),Panathinaikos FC (4),0-0,0-0,Egaleo (4)
?,(Sun) 17 Oct 2004 (41),Aris (4),1-2,1-1,Chalkidona (4)
?,(Sun) 17 Oct 2004 (41),Ionikos (4),0-0,0-0,Kerkyra FC (4)
?,(Sun) 17 Oct 2004 (41),Iraklis (4),1-2,1-0,AEK Athens FC (4)
?,(Sun) 17 Oct 2004 (41),Kalamaria (4),1-1,1-0,Xanthi FC (4)
?,(Sun) 17 Oct 2004 (41),Kalithea (4),1-1,0-0,PAOK FC (4)
?,(Sat) 23 Oct 2004 (42),OFI (5),2-1,1-1,Iraklis (5)
?,(Sun) 24 Oct 2004 (42),AEK Athens FC (5),4-1,1-0,Kalithea (5)
?,(Sun) 24 Oct 2004 (42),Chalkidona (5),1-1,0-0,Olympiacos FC (5)
?,(Sun) 24 Oct 2004 (42),Egaleo (5),0-0,0-0,Kalamaria (5)
?,(Sun) 24 Oct 2004 (42),Kerkyra FC (5),2-0,2-0,Panathinaikos FC (5)
?,(Sun) 24 Oct 2004 (42),Panionios GSS (5),1-0,1-0,Ionikos (5)
?,(Sun) 24 Oct 2004 (42),PAOK FC (5),2-2,1-0,Aris (5)
?,(Sun) 24 Oct 2004 (42),Xanthi FC (5),3-0,2-0,Ergotelis (5)
?,(Sat) 30 Oct 2004 (43),Olympiacos FC (6),5-1,4-0,PAOK FC (6)
?,(Sat) 30 Oct 2004 (43),Panathinaikos FC (6),4-0,1-0,Panionios GSS (6)
?,(Sun) 31 Oct 2004 (43),Aris (6),1-1,1-0,AEK Athens FC (6)
?,(Sun) 31 Oct 2004 (43),Egaleo (6),1-1,1-1,Xanthi FC (6)
?,(Sun) 31 Oct 2004 (43),Ergotelis (6),1-1,0-0,Chalkidona (6)
?,(Sun) 31 Oct 2004 (43),Ionikos (6),1-0,0-0,Iraklis (6)
?,(Sun) 31 Oct 2004 (43),Kalamaria (6),3-0,1-0,Kerkyra FC (6)
?,(Sun) 31 Oct 2004 (43),Kalithea (6),3-1,2-0,OFI (6)
?,(Sat) 6 Nov 2004 (44),OFI (7),1-1,0-1,Aris (7)
?,(Sat) 6 Nov 2004 (44),Xanthi FC (7),2-0,2-0,Chalkidona (7)
?,(Sun) 7 Nov 2004 (44),AEK Athens FC (7),0-0,0-0,Olympiacos FC (7)
?,(Sun) 7 Nov 2004 (44),Ionikos (7),0-0,0-0,Kalithea (7)
?,(Sun) 7 Nov 2004 (44),Iraklis (7),0-4,0-2,Panathinaikos FC (7)
?,(Sun) 7 Nov 2004 (44),Kerkyra FC (7),0-1,0-1,Egaleo (7)
?,(Sun) 7 Nov 2004 (44),Panionios GSS (7),0-0,0-0,Kalamaria (7)
?,(Sun) 7 Nov 2004 (44),PAOK FC (7),0-2,0-0,Ergotelis (7)
?,(Sat) 20 Nov 2004 (46),Olympiacos FC (8),3-0,1-0,OFI (8)
?,(Sat) 20 Nov 2004 (46),Panathinaikos FC (8),1-0,1-0,Kalithea (8)
?,(Sun) 21 Nov 2004 (46),Aris (8),0-2,0-1,Ionikos (8)
?,(Sun) 21 Nov 2004 (46),Chalkidona (8),2-0,0-0,PAOK FC (8)
?,(Sun) 21 Nov 2004 (46),Egaleo (8),0-0,0-0,Panionios GSS (8)
?,(Sun) 21 Nov 2004 (46),Ergotelis (8),0-1,0-0,AEK Athens FC (8)
?,(Sun) 21 Nov 2004 (46),Kalamaria (8),1-3,1-1,Iraklis (8)
?,(Sun) 21 Nov 2004 (46),Kerkyra FC (8),3-0,2-0,Xanthi FC (8)
?,(Sat) 27 Nov 2004 (47),OFI (9),5-0,3-0,Ergotelis (9)
?,(Sat) 27 Nov 2004 (47),Panionios GSS (9),3-1,1-0,Kerkyra FC (9)
?,(Sun) 28 Nov 2004 (47),AEK Athens FC (9),1-0,1-0,Chalkidona (9)
?,(Sun) 28 Nov 2004 (47),Aris (9),1-1,0-0,Panathinaikos FC (9)
?,(Sun) 28 Nov 2004 (47),Ionikos (9),0-4,0-3,Olympiacos FC (9)
?,(Sun) 28 Nov 2004 (47),Iraklis (9),2-2,1-2,Egaleo (9)
?,(Sun) 28 Nov 2004 (47),Kalithea (9),1-1,0-0,Kalamaria (9)
?,(Sun) 28 Nov 2004 (47),Xanthi FC (9),0-2,0-0,PAOK FC (9)
?,(Sat) 4 Dec 2004 (48),Kerkyra FC (10),1-2,0-1,Iraklis (10)
?,(Sat) 4 Dec 2004 (48),Olympiacos FC (10),1-0,1-0,Panathinaikos FC (10)
?,(Sun) 5 Dec 2004 (48),Chalkidona (10),2-3,2-1,OFI (10)
?,(Sun) 5 Dec 2004 (48),Egaleo (10),1-2,1-1,Kalithea (10)
?,(Sun) 5 Dec 2004 (48),Ergotelis (10),2-3,1-2,Ionikos (10)
?,(Sun) 5 Dec 2004 (48),Kalamaria (10),0-1,0-1,Aris (10)
?,(Sun) 5 Dec 2004 (48),Panionios GSS (10),0-0,0-0,Xanthi FC (10)
?,(Sun) 5 Dec 2004 (48),PAOK FC (10),1-1,0-0,AEK Athens FC (10)
?,(Sat) 11 Dec 2004 (49),Aris (11),0-0,0-0,Egaleo (11)
?,(Sat) 11 Dec 2004 (49),Iraklis (11),0-1,0-1,Panionios GSS (11)
?,(Sat) 11 Dec 2004 (49),Xanthi FC (11),1-1,0-0,AEK Athens FC (11)
?,(Sun) 12 Dec 2004 (49),Ionikos (11),0-0,0-0,Chalkidona (11)
?,(Sun) 12 Dec 2004 (49),Kalithea (11),1-2,0-1,Kerkyra FC (11)
?,(Sun) 12 Dec 2004 (49),OFI (11),2-2,1-1,PAOK FC (11)
?,(Sun) 12 Dec 2004 (49),Olympiacos FC (11),2-0,1-0,Kalamaria (11)
?,(Sun) 12 Dec 2004 (49),Panathinaikos FC (11),1-0,0-0,Ergotelis (11)
?,(Sat) 18 Dec 2004 (50),Kerkyra FC (12),0-0,0-0,Aris (12)
?,(Sun) 19 Dec 2004 (50),AEK Athens FC (12),1-1,0-1,OFI (12)
?,(Sun) 19 Dec 2004 (50),Chalkidona (12),0-2,0-1,Panathinaikos FC (12)
?,(Sun) 19 Dec 2004 (50),Egaleo (12),2-2,0-1,Olympiacos FC (12)
?,(Sun) 19 Dec 2004 (50),Ergotelis (12),4-1,0-0,Kalamaria (12)
?,(Sun) 19 Dec 2004 (50),Iraklis (12),1-1,1-1,Xanthi FC (12)
?,(Sun) 19 Dec 2004 (50),Panionios GSS (12),1-1,1-0,Kalithea (12)
?,(Sun) 19 Dec 2004 (50),PAOK FC (12),3-0,1-0,Ionikos (12)
?,(Wed) 29 Dec 2004 (52),Aris (13),1-0,0-0,Panionios GSS (13)
?,(Wed) 29 Dec 2004 (52),Ergotelis (13),2-1,1-0,Egaleo (13)
?,(Wed) 29 Dec 2004 (52),Ionikos (13),2-3,1-2,AEK Athens FC (13)
?,(Wed) 29 Dec 2004 (52),Kalamaria (13),0-2,0-1,Chalkidona (13)
?,(Wed) 29 Dec 2004 (52),Kalithea (13),2-1,1-1,Iraklis (13)
?,(Wed) 29 Dec 2004 (52),Olympiacos FC (13),3-0,2-0,Kerkyra FC (13)
?,(Wed) 29 Dec 2004 (52),Panathinaikos FC (13),2-1,1-1,PAOK FC (13)
?,(Wed) 29 Dec 2004 (52),Xanthi FC (13),2-1,0-0,OFI (13)
?,(Sat) 8 Jan 2005 (1),Chalkidona (14),1-1,0-1,Egaleo (14)
?,(Sat) 8 Jan 2005 (1),Kalithea (14),2-3,0-0,Xanthi FC (14)
?,(Sun) 9 Jan 2005 (1),AEK Athens FC (14),1-0,0-0,Panathinaikos FC (14)
?,(Sun) 9 Jan 2005 (1),Iraklis (14),0-0,0-0,Aris (14)
?,(Sun) 9 Jan 2005 (1),Kerkyra FC (14),0-1,0-1,Ergotelis (14)
?,(Sun) 9 Jan 2005 (1),OFI (14),2-0,2-0,Ionikos (14)
?,(Sun) 9 Jan 2005 (1),PAOK FC (14),5-2,4-1,Kalamaria (14)
?,(Sat) 15 Jan 2005 (2),Egaleo (15),2-1,0-1,PAOK FC (15)
?,(Sat) 15 Jan 2005 (2),Kalamaria (15),2-1,2-0,AEK Athens FC (15)
?,(Sun) 16 Jan 2005 (2),Aris (15),2-2,1-1,Kalithea (15)
?,(Sun) 16 Jan 2005 (2),Chalkidona (15),0-0,0-0,Kerkyra FC (15)
?,(Sun) 16 Jan 2005 (2),Ergotelis (15),0-3,0-2,Panionios GSS (14)
?,(Sun) 16 Jan 2005 (2),Olympiacos FC (14),1-0,0-0,Iraklis (15)
?,(Sun) 16 Jan 2005 (2),Panathinaikos FC (15),5-1,2-0,OFI (15)
?,(Mon) 17 Jan 2005 (3),Xanthi FC (15),2-0,1-0,Ionikos (15)
?,(Sat) 22 Jan 2005 (3),Aris (16),2-1,1-0,Xanthi FC (16)
?,(Sat) 22 Jan 2005 (3),Panionios GSS (15),0-0,0-0,Chalkidona (16)
?,(Sun) 23 Jan 2005 (3),AEK Athens FC (16),1-0,0-0,Egaleo (16)
?,(Sun) 23 Jan 2005 (3),Ionikos (16),0-0,0-0,Panathinaikos FC (16)
?,(Sun) 23 Jan 2005 (3),Iraklis (16),2-0,1-0,Ergotelis (16)
?,(Sun) 23 Jan 2005 (3),Kalithea (16),1-1,0-1,Olympiacos FC (15)
?,(Sun) 23 Jan 2005 (3),Kerkyra FC (16),0-1,0-0,PAOK FC (16)
?,(Sun) 23 Jan 2005 (3),OFI (16),0-0,0-0,Kalamaria (16)
?,(Sat) 29 Jan 2005 (4),Kalamaria (17),1-1,1-0,Ionikos (17)
?,(Sat) 29 Jan 2005 (4),PAOK FC (17),1-0,0-0,Panionios GSS (16)
?,(Sun) 30 Jan 2005 (4),Chalkidona (17),0-0,0-0,Iraklis (17)
?,(Sun) 30 Jan 2005 (4),Egaleo (17),2-0,0-0,OFI (17)
?,(Sun) 30 Jan 2005 (4),Ergotelis (17),1-1,1-0,Kalithea (17)
?,(Sun) 30 Jan 2005 (4),Kerkyra FC (17),2-2,1-1,AEK Athens FC (17)
?,(Sun) 30 Jan 2005 (4),Olympiacos FC (16),2-1,1-1,Aris (17)
?,(Sun) 30 Jan 2005 (4),Xanthi FC (17),3-1,2-1,Panathinaikos FC (17)
?,(Sat) 5 Feb 2005 (5),Panionios GSS (17),0-2,0-0,Olympiacos FC (17)
?,(Sat) 12 Feb 2005 (6),Aris (18),1-1,0-1,Ergotelis (18)
?,(Sat) 12 Feb 2005 (6),Olympiacos FC (18),0-0,0-0,Xanthi FC (18)
?,(Sat) 12 Feb 2005 (6),Panathinaikos FC (18),5-1,3-0,Kalamaria (18)
?,(Sun) 13 Feb 2005 (6),Ionikos (18),1-1,0-1,Egaleo (18)
?,(Sun) 13 Feb 2005 (6),Iraklis (18),1-0,0-0,PAOK FC (18)
?,(Sun) 13 Feb 2005 (6),Kalithea (18),3-1,2-1,Chalkidona (18)
?,(Sun) 13 Feb 2005 (6),OFI (18),3-1,1-1,Kerkyra FC (18)
?,(Sun) 13 Feb 2005 (6),Panionios GSS (18),1-1,1-0,AEK Athens FC (18)
?,(Sat) 19 Feb 2005 (7),AEK Athens FC (19),2-1,0-0,Iraklis (19)
?,(Sat) 19 Feb 2005 (7),Kerkyra FC (19),2-2,0-1,Ionikos (19)
?,(Sat) 19 Feb 2005 (7),Xanthi FC (19),4-1,2-1,Kalamaria (19)
?,(Sun) 20 Feb 2005 (7),Chalkidona (19),1-0,0-0,Aris (19)
?,(Sun) 20 Feb 2005 (7),Egaleo (19),0-1,0-1,Panathinaikos FC (19)
?,(Sun) 20 Feb 2005 (7),Ergotelis (19),2-1,1-1,Olympiacos FC (19)
?,(Sun) 20 Feb 2005 (7),Panionios GSS (19),2-1,0-1,OFI (19)
?,(Sun) 20 Feb 2005 (7),PAOK FC (19),3-1,1-1,Kalithea (19)
?,(Sat) 26 Feb 2005 (8),Ionikos (20),0-0,0-0,Panionios GSS (20)
?,(Sat) 26 Feb 2005 (8),Kalamaria (20),1-1,1-1,Egaleo (20)
?,(Sat) 26 Feb 2005 (8),Kalithea (20),1-2,0-2,AEK Athens FC (20)
?,(Sun) 27 Feb 2005 (8),Aris (20),1-3,0-3,PAOK FC (20)
?,(Sun) 27 Feb 2005 (8),Ergotelis (20),0-2,0-1,Xanthi FC (20)
?,(Sun) 27 Feb 2005 (8),Iraklis (20),1-0,0-0,OFI (20)
?,(Sun) 27 Feb 2005 (8),Olympiacos FC (20),3-0,2-0,Chalkidona (20)
?,(Sun) 27 Feb 2005 (8),Panathinaikos FC (20),1-0,0-0,Kerkyra FC (20)
?,(Sat) 5 Mar 2005 (9),OFI (21),1-1,0-0,Kalithea (21)
?,(Sat) 5 Mar 2005 (9),Xanthi FC (21),2-0,1-0,Egaleo (21)
?,(Sun) 6 Mar 2005 (9),AEK Athens FC (21),1-0,0-0,Aris (21)
?,(Sun) 6 Mar 2005 (9),Chalkidona (21),2-0,1-0,Ergotelis (21)
?,(Sun) 6 Mar 2005 (9),Iraklis (21),2-0,1-0,Ionikos (21)
?,(Sun) 6 Mar 2005 (9),Kerkyra FC (21),0-2,0-1,Kalamaria (21)
?,(Sun) 6 Mar 2005 (9),Panionios GSS (21),0-1,0-1,Panathinaikos FC (21)
