Date,Team 1,Team 2,FT,HT
2004-09-18,,,0-1,0-0
2004-09-18,,,3-1,1-1
2004-09-19,,,1-0,1-0
2004-09-19,,,1-1,0-0
2004-09-19,,,1-0,1-0
2004-09-19,,,2-1,1-1
2004-09-19,,,3-0,2-0
2004-09-19,,,1-0,0-0
2004-09-25,,,0-1,0-0
2004-09-25,,,1-0,0-0
2004-09-25,,,3-1,2-1
2004-09-26,,,2-0,1-0
2004-09-26,,,2-0,1-0
2004-09-26,,,3-0,2-0
2004-09-26,,,0-1,0-0
2004-09-26,,,2-0,0-0
2004-10-02,,,4-2,2-1
2004-10-02,,,1-1,0-0
2004-10-03,,,2-0,0-0
2004-10-03,,,1-0,0-0
2004-10-03,,,1-1,1-1
2004-10-03,,,0-1,0-1
2004-10-03,,,1-0,1-0
2004-10-03,,,2-1,0-1
2004-10-16,,,2-0,1-0
2004-10-16,,,2-0,1-0
2004-10-16,,,0-0,0-0
2004-10-17,,,1-2,1-1
2004-10-17,,,0-0,0-0
2004-10-17,,,1-2,1-0
2004-10-17,,,1-1,1-0
2004-10-17,,,1-1,0-0
2004-10-23,,,2-1,1-1
2004-10-24,,,4-1,1-0
2004-10-24,,,1-1,0-0
2004-10-24,,,0-0,0-0
2004-10-24,,,2-0,2-0
2004-10-24,,,1-0,1-0
2004-10-24,,,2-2,1-0
2004-10-24,,,3-0,2-0
2004-10-30,,,5-1,4-0
2004-10-30,,,4-0,1-0
2004-10-31,,,1-1,1-0
2004-10-31,,,1-1,1-1
2004-10-31,,,1-1,0-0
2004-10-31,,,1-0,0-0
2004-10-31,,,3-0,1-0
2004-10-31,,,3-1,2-0
2004-11-06,,,1-1,0-1
2004-11-06,,,2-0,2-0
2004-11-07,,,0-0,0-0
2004-11-07,,,0-0,0-0
2004-11-07,,,0-4,0-2
2004-11-07,,,0-1,0-1
2004-11-07,,,0-0,0-0
2004-11-07,,,0-2,0-0
2004-11-20,,,3-0,1-0
2004-11-20,,,1-0,1-0
2004-11-21,,,0-2,0-1
2004-11-21,,,2-0,0-0
2004-11-21,,,0-0,0-0
2004-11-21,,,0-1,0-0
2004-11-21,,,1-3,1-1
2004-11-21,,,3-0,2-0
2004-11-27,,,5-0,3-0
2004-11-27,,,3-1,1-0
2004-11-28,,,1-0,1-0
2004-11-28,,,1-1,0-0
2004-11-28,,,0-4,0-3
2004-11-28,,,2-2,1-2
2004-11-28,,,1-1,0-0
2004-11-28,,,0-2,0-0
2004-12-04,,,1-2,0-1
2004-12-04,,,1-0,1-0
2004-12-05,,,2-3,2-1
2004-12-05,,,1-2,1-1
2004-12-05,,,2-3,1-2
2004-12-05,,,0-1,0-1
