Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Group,A,1,Sun Nov 20 2022,19:00,+0300,Qatar,0-2,0-2,Ecuador,,,2022-11-20T16:00:00Z
Group,B,1,Mon Nov 21 2022,16:00,+0300,England,6-2,3-0,Iran,,,2022-11-21T13:00:00Z
Group,A,1,Mon Nov 21 2022,19:00,+0300,Senegal,0-2,0-0,Netherlands,,,2022-11-21T16:00:00Z
Group,B,1,Mon Nov 21 2022,22:00,+0300,United States,1-1,1-0,Wales,,,2022-11-21T19:00:00Z
Group,C,1,Tue Nov 22 2022,13:00,+0300,Argentina,1-2,1-0,Saudi Arabia,,,2022-11-22T10:00:00Z
Group,D,1,Tue Nov 22 2022,16:00,+0300,Denmark,0-0,0-0,Tunisia,,,2022-11-22T13:00:00Z
Group,C,1,Tue Nov 22 2022,19:00,+0300,Mexico,0-0,0-0,Poland,,,2022-11-22T16:00:00Z
Group,D,1,Tue Nov 22 2022,22:00,+0300,France,4-1,2-1,Australia,,,2022-11-22T19:00:00Z
Group,F,1,Wed Nov 23 2022,13:00,+0300,Morocco,0-0,0-0,Croatia,,,2022-11-23T10:00:00Z
Group,E,1,Wed Nov 23 2022,16:00,+0300,Germany,1-2,1-0,Japan,,,2022-11-23T13:00:00Z
Group,E,1,Wed Nov 23 2022,19:00,+0300,Spain,7-0,3-0,Costa Rica,,,2022-11-23T16:00:00Z
Group,F,1,Wed Nov 23 2022,22:00,+0300,Belgium,1-0,1-0,Canada,,,2022-11-23T19:00:00Z
Group,G,1,Thu Nov 24 2022,13:00,+0300,Switzerland,1-0,0-0,Cameroon,,,2022-11-24T10:00:00Z
Group,H,1,Thu Nov 24 2022,16:00,+0300,Uruguay,0-0,0-0,South Korea,,,2022-11-24T13:00:00Z
Group,H,1,Thu Nov 24 2022,19:00,+0300,Portugal,3-2,0-0,Ghana,,,2022-11-24T16:00:00Z
Group,G,1,Thu Nov 24 2022,22:00,+0300,Brazil,2-0,0-0,Serbia,,,2022-11-24T19:00:00Z
Group,B,2,Fri Nov 25 2022,13:00,+0300,Wales,0-2,0-0,Iran,,,2022-11-25T10:00:00Z
Group,A,2,Fri Nov 25 2022,16:00,+0300,Qatar,1-3,0-1,Senegal,,,2022-11-25T13:00:00Z
Group,A,2,Fri Nov 25 2022,19:00,+0300,Netherlands,1-1,1-0,Ecuador,,,2022-11-25T16:00:00Z
Group,B,2,Fri Nov 25 2022,22:00,+0300,England,0-0,0-0,United States,,,2022-11-25T19:00:00Z
Group,D,2,Sat Nov 26 2022,13:00,+0300,Tunisia,0-1,0-1,Australia,,,2022-11-26T10:00:00Z
Group,C,2,Sat Nov 26 2022,16:00,+0300,Poland,2-0,1-0,Saudi Arabia,,,2022-11-26T13:00:00Z
Group,D,2,Sat Nov 26 2022,19:00,+0300,France,2-1,0-0,Denmark,,,2022-11-26T16:00:00Z
Group,C,2,Sat Nov 26 2022,22:00,+0300,Argentina,2-0,0-0,Mexico,,,2022-11-26T19:00:00Z
Group,E,2,Sun Nov 27 2022,13:00,+0300,Japan,0-1,0-0,Costa Rica,,,2022-11-27T10:00:00Z
Group,F,2,Sun Nov 27 2022,16:00,+0300,Belgium,0-2,0-0,Morocco,,,2022-11-27T13:00:00Z
Group,F,2,Sun Nov 27 2022,19:00,+0300,Croatia,4-1,2-1,Canada,,,2022-11-27T16:00:00Z
Group,E,2,Sun Nov 27 2022,22:00,+0300,Spain,1-1,0-0,Germany,,,2022-11-27T19:00:00Z
