Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Apr 9 2022,16:30,-0300,Fluminense FC,0-0,0-0,Santos FC,2022-04-09T19:30:00Z
1,Sat Apr 9 2022,19:00,-0300,AC Goianiense,1-1,0-0,CR Flamengo,2022-04-09T22:00:00Z
1,Sat Apr 9 2022,21:00,-0300,SE Palmeiras,2-3,1-2,Ceará SC,2022-04-10T00:00:00Z
1,Sun Apr 10 2022,11:00,-0300,Coritiba FBC,3-0,1-0,Goiás EC,2022-04-10T14:00:00Z
1,Sun Apr 10 2022,16:00,-0300,CA Mineiro,2-0,1-0,SC Internacional,2022-04-10T19:00:00Z
1,Sun Apr 10 2022,16:00,-0300,Botafogo FR,1-3,0-3,SC Corinthians Paulista,2022-04-10T19:00:00Z
1,Sun Apr 10 2022,18:00,-0300,Fortaleza EC,0-1,0-1,Cuiabá EC,2022-04-10T21:00:00Z
1,Sun Apr 10 2022,19:00,-0300,São Paulo FC,4-0,1-0,CA Paranaense,2022-04-10T22:00:00Z
1,Sun Apr 10 2022,19:00,-0300,Avaí FC,1-0,0-0,América Mineiro,2022-04-10T22:00:00Z
1,Mon Apr 11 2022,20:00,-0300,EC Juventude,2-2,1-1,RB Bragantino,2022-04-11T23:00:00Z
2,Sat Apr 16 2022,16:30,-0300,Goiás EC,1-1,0-0,SE Palmeiras,2022-04-16T19:30:00Z
2,Sat Apr 16 2022,19:00,-0300,América Mineiro,4-1,2-0,EC Juventude,2022-04-16T22:00:00Z
2,Sat Apr 16 2022,19:00,-0300,SC Corinthians Paulista,3-0,2-0,Avaí FC,2022-04-16T22:00:00Z
2,Sat Apr 16 2022,21:00,-0300,Cuiabá EC,0-1,0-0,Fluminense FC,2022-04-17T00:00:00Z
2,Sun Apr 17 2022,11:00,-0300,Santos FC,2-1,2-1,Coritiba FBC,2022-04-17T14:00:00Z
2,Sun Apr 17 2022,16:00,-0300,CR Flamengo,3-1,1-1,São Paulo FC,2022-04-17T19:00:00Z
2,Sun Apr 17 2022,18:00,-0300,SC Internacional,2-1,1-1,Fortaleza EC,2022-04-17T21:00:00Z
2,Sun Apr 17 2022,18:00,-0300,CA Paranaense,0-1,0-0,CA Mineiro,2022-04-17T21:00:00Z
