Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 24 Sep 1994 (38),AEK Athens FC (1),0-0,?,Athinaikos AS FC (1)
?,(Sat) 24 Sep 1994 (38),Apollon Smyrnis FC (1),2-3,?,Panathinaikos FC (1)
?,(Sat) 24 Sep 1994 (38),Doxa Dramas FC (1),0-1,?,Olympiacos Piraeus FC (1)
?,(Sat) 24 Sep 1994 (38),Edessaikos FC (1),1-0,?,Levadiakos FC (1)
?,(Sat) 24 Sep 1994 (38),Ethnikos Piraeus FC (1),1-1,?,OFI Crete FC (1)
?,(Sat) 24 Sep 1994 (38),Iraklis 1908 Thessaloniki FC (1),6-1,?,Ionikos FC (1)
?,(Sat) 24 Sep 1994 (38),AE Larissa FC (1),0-0,?,Aris Thessaloniki FC (1)
?,(Sat) 24 Sep 1994 (38),PAOK FC (1),4-0,?,Kavala FC (1)
?,(Sat) 24 Sep 1994 (38),Xanthi FC (1),4-1,?,Panionios GSS (1)
?,(Sat) 1 Oct 1994 (39),Aris Thessaloniki FC (2),3-1,?,Doxa Dramas FC (2)
?,(Sat) 1 Oct 1994 (39),Athinaikos AS FC (2),1-1,?,Ethnikos Piraeus FC (2)
?,(Sat) 1 Oct 1994 (39),Ionikos FC (2),2-0,?,Levadiakos FC (2)
?,(Sat) 1 Oct 1994 (39),Kavala FC (2),0-0,?,AEK Athens FC (2)
?,(Sat) 1 Oct 1994 (39),OFI Crete FC (2),2-1,?,Iraklis 1908 Thessaloniki FC (2)
?,(Sat) 1 Oct 1994 (39),Olympiacos Piraeus FC (2),3-1,?,Apollon Smyrnis FC (2)
?,(Sat) 1 Oct 1994 (39),Panathinaikos FC (2),4-1,?,Edessaikos FC (2)
?,(Sat) 1 Oct 1994 (39),Panionios GSS (2),2-1,?,AE Larissa FC (2)
?,(Sat) 1 Oct 1994 (39),PAOK FC (2),2-0,?,Xanthi FC (2)
?,(Sat) 8 Oct 1994 (40),AEK Athens FC (3),4-3,?,PAOK FC (3)
?,(Sat) 8 Oct 1994 (40),Apollon Smyrnis FC (3),2-0,?,Aris Thessaloniki FC (3)
?,(Sat) 8 Oct 1994 (40),Doxa Dramas FC (3),1-1,?,Panionios GSS (3)
?,(Sat) 8 Oct 1994 (40),Edessaikos FC (3),1-1,?,Olympiacos Piraeus FC (3)
?,(Sat) 8 Oct 1994 (40),Ethnikos Piraeus FC (3),4-0,?,Kavala FC (3)
?,(Sat) 8 Oct 1994 (40),Ionikos FC (3),2-5,?,Panathinaikos FC (3)
?,(Sat) 8 Oct 1994 (40),Iraklis 1908 Thessaloniki FC (3),2-0,?,Athinaikos AS FC (3)
?,(Sat) 8 Oct 1994 (40),Levadiakos FC (3),1-3,?,OFI Crete FC (3)
?,(Sat) 8 Oct 1994 (40),Xanthi FC (3),2-3,?,AE Larissa FC (3)
?,(Sat) 15 Oct 1994 (41),AEK Athens FC (4),1-1,?,Xanthi FC (4)
?,(Sat) 15 Oct 1994 (41),Aris Thessaloniki FC (4),4-0,?,Edessaikos FC (4)
?,(Sat) 15 Oct 1994 (41),Athinaikos AS FC (4),2-0,?,Levadiakos FC (4)
?,(Sat) 15 Oct 1994 (41),Kavala FC (4),0-1,?,Iraklis 1908 Thessaloniki FC (4)
?,(Sat) 15 Oct 1994 (41),AE Larissa FC (4),3-1,?,Doxa Dramas FC (4)
?,(Sat) 15 Oct 1994 (41),OFI Crete FC (4),0-2,?,Panathinaikos FC (4)
?,(Sat) 15 Oct 1994 (41),Olympiacos Piraeus FC (4),6-1,?,Ionikos FC (4)
?,(Sat) 15 Oct 1994 (41),Panionios GSS (4),0-0,?,Apollon Smyrnis FC (4)
?,(Sat) 15 Oct 1994 (41),PAOK FC (4),4-0,?,Ethnikos Piraeus FC (4)
?,(Sat) 22 Oct 1994 (42),Apollon Smyrnis FC (5),2-1,?,AE Larissa FC (5)
?,(Sat) 22 Oct 1994 (42),Edessaikos FC (5),0-0,?,Panionios GSS (5)
?,(Sat) 22 Oct 1994 (42),Ethnikos Piraeus FC (5),0-2,?,AEK Athens FC (5)
?,(Sat) 22 Oct 1994 (42),Ionikos FC (5),2-0,?,Aris Thessaloniki FC (5)
?,(Sat) 22 Oct 1994 (42),Iraklis 1908 Thessaloniki FC (5),1-2,?,PAOK FC (5)
?,(Sat) 22 Oct 1994 (42),Levadiakos FC (5),2-1,?,Kavala FC (5)
?,(Sat) 22 Oct 1994 (42),OFI Crete FC (5),1-0,?,Olympiacos Piraeus FC (5)
?,(Sat) 22 Oct 1994 (42),Panathinaikos FC (5),1-0,?,Athinaikos AS FC (5)
?,(Sat) 22 Oct 1994 (42),Xanthi FC (5),5-1,?,Doxa Dramas FC (5)
?,(Sat) 29 Oct 1994 (43),AEK Athens FC (6),4-1,?,Iraklis 1908 Thessaloniki FC (6)
?,(Sat) 29 Oct 1994 (43),Aris Thessaloniki FC (6),0-1,?,OFI Crete FC (6)
?,(Sat) 29 Oct 1994 (43),Athinaikos AS FC (6),1-0,?,Olympiacos Piraeus FC (6)
?,(Sat) 29 Oct 1994 (43),Doxa Dramas FC (6),2-1,?,Apollon Smyrnis FC (6)
?,(Sat) 29 Oct 1994 (43),Ethnikos Piraeus FC (6),0-0,?,Xanthi FC (6)
?,(Sat) 29 Oct 1994 (43),Kavala FC (6),1-5,?,Panathinaikos FC (6)
?,(Sat) 29 Oct 1994 (43),AE Larissa FC (6),0-1,?,Edessaikos FC (6)
?,(Sat) 29 Oct 1994 (43),Panionios GSS (6),4-2,?,Ionikos FC (6)
?,(Sat) 29 Oct 1994 (43),PAOK FC (6),0-0,?,Levadiakos FC (6)
?,(Sat) 5 Nov 1994 (44),Athinaikos AS FC (7),0-1,?,Aris Thessaloniki FC (7)
?,(Sat) 5 Nov 1994 (44),Edessaikos FC (7),5-1,?,Doxa Dramas FC (7)
?,(Sat) 5 Nov 1994 (44),Ionikos FC (7),0-0,?,AE Larissa FC (7)
