Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 9 2019,AS Monaco FC,0-3,0-2,Olympique Lyonnais,
1,Sat Aug 10 2019,Olympique de Marseille,0-2,0-0,Stade de Reims,
1,Sat Aug 10 2019,Montpellier HSC,0-1,0-1,Stade Rennais FC 1901,
1,Sat Aug 10 2019,OGC Nice,2-1,1-0,Amiens SC,
1,Sat Aug 10 2019,Stade Brestois 29,1-1,1-0,Toulouse FC,
1,Sat Aug 10 2019,Angers SCO,3-1,3-1,FC Girondins de Bordeaux,
1,Sat Aug 10 2019,Dijon Football Côte d'Or,1-2,1-2,AS Saint-Étienne,
1,Sun Aug 11 2019,Lille OSC,2-1,1-0,FC Nantes,
1,Sun Aug 11 2019,RC Strasbourg Alsace,1-1,1-0,FC Metz,
1,Sun Aug 11 2019,Paris Saint-Germain FC,3-0,1-0,Nîmes Olympique,
2,Fri Aug 16 2019,Olympique Lyonnais,6-0,3-0,Angers SCO,
2,Sat Aug 17 2019,FC Nantes,0-0,0-0,Olympique de Marseille,
2,Sat Aug 17 2019,FC Girondins de Bordeaux,1-1,0-1,Montpellier HSC,
2,Sat Aug 17 2019,Toulouse FC,1-0,0-0,Dijon Football Côte d'Or,
2,Sat Aug 17 2019,Nîmes Olympique,1-2,1-2,OGC Nice,
2,Sat Aug 17 2019,FC Metz,3-0,1-0,AS Monaco FC,
2,Sat Aug 17 2019,Amiens SC,1-0,0-0,Lille OSC,
2,Sun Aug 18 2019,AS Saint-Étienne,1-1,0-1,Stade Brestois 29,
2,Sun Aug 18 2019,Stade de Reims,0-0,0-0,RC Strasbourg Alsace,
2,Sun Aug 18 2019,Stade Rennais FC 1901,2-1,1-1,Paris Saint-Germain FC,
3,Sat Aug 24 2019,Stade Brestois 29,1-0,0-0,Stade de Reims,
3,Sat Aug 24 2019,Angers SCO,3-0,2-0,FC Metz,
3,Sat Aug 24 2019,Dijon Football Côte d'Or,0-2,0-1,FC Girondins de Bordeaux,
3,Sat Aug 24 2019,Amiens SC,1-2,0-0,FC Nantes,
3,Sun Aug 25 2019,AS Monaco FC,2-2,2-0,Nîmes Olympique,
3,Sun Aug 25 2019,RC Strasbourg Alsace,0-2,0-1,Stade Rennais FC 1901,
3,Sun Aug 25 2019,Paris Saint-Germain FC,4-0,0-0,Toulouse FC,
3,Tue Aug 27 2019,Montpellier HSC,1-0,1-0,Olympique Lyonnais,
3,Wed Aug 28 2019,Lille OSC,3-0,1-0,AS Saint-Étienne,
3,Wed Aug 28 2019,OGC Nice,1-2,0-1,Olympique de Marseille,
4,Fri Aug 30 2019,FC Metz,0-2,0-2,Paris Saint-Germain FC,
4,Sat Aug 31 2019,Olympique Lyonnais,1-1,1-0,FC Girondins de Bordeaux,
4,Sat Aug 31 2019,Toulouse FC,2-0,0-0,Amiens SC,
4,Sat Aug 31 2019,Angers SCO,2-0,0-0,Dijon Football Côte d'Or,
4,Sat Aug 31 2019,FC Nantes,1-0,0-0,Montpellier HSC,
4,Sat Aug 31 2019,Nîmes Olympique,3-0,2-0,Stade Brestois 29,
4,Sun Sep 1 2019,Stade Rennais FC 1901,1-2,1-0,OGC Nice,
4,Sun Sep 1 2019,Stade de Reims,2-0,0-0,Lille OSC,
4,Sun Sep 1 2019,RC Strasbourg Alsace,2-2,1-2,AS Monaco FC,
4,Sun Sep 1 2019,Olympique de Marseille,1-0,1-0,AS Saint-Étienne,
5,Fri Sep 13 2019,Lille OSC,2-1,1-0,Angers SCO,
5,Fri Sep 13 2019,Amiens SC,2-2,1-2,Olympique Lyonnais,
5,Sat Sep 14 2019,Paris Saint-Germain FC,1-0,0-0,RC Strasbourg Alsace,
5,Sat Sep 14 2019,Montpellier HSC,2-1,1-1,OGC Nice,
5,Sat Sep 14 2019,FC Girondins de Bordeaux,2-0,2-0,FC Metz,
5,Sat Sep 14 2019,Stade Brestois 29,0-0,0-0,Stade Rennais FC 1901,
5,Sat Sep 14 2019,Dijon Football Côte d'Or,0-0,0-0,Nîmes Olympique,
5,Sun Sep 15 2019,FC Nantes,1-0,0-0,Stade de Reims,
5,Sun Sep 15 2019,AS Saint-Étienne,2-2,1-2,Toulouse FC,
5,Sun Sep 15 2019,AS Monaco FC,3-4,2-2,Olympique de Marseille,
6,Fri Sep 20 2019,RC Strasbourg Alsace,2-1,0-1,FC Nantes,
6,Sat Sep 21 2019,Olympique de Marseille,1-1,0-1,Montpellier HSC,
6,Sat Sep 21 2019,FC Girondins de Bordeaux,2-2,1-2,Stade Brestois 29,
6,Sat Sep 21 2019,OGC Nice,2-1,1-1,Dijon Football Côte d'Or,
6,Sat Sep 21 2019,Stade de Reims,0-0,0-0,AS Monaco FC,
6,Sat Sep 21 2019,Nîmes Olympique,1-0,1-0,Toulouse FC,
6,Sat Sep 21 2019,FC Metz,1-2,0-1,Amiens SC,
6,Sun Sep 22 2019,Stade Rennais FC 1901,1-1,0-0,Lille OSC,
6,Sun Sep 22 2019,Angers SCO,4-1,0-1,AS Saint-Étienne,
6,Sun Sep 22 2019,Olympique Lyonnais,0-1,0-0,Paris Saint-Germain FC,
7,Tue Sep 24 2019,Dijon Football Côte d'Or,0-0,0-0,Olympique de Marseille,
7,Tue Sep 24 2019,AS Monaco FC,3-1,1-0,OGC Nice,
7,Wed Sep 25 2019,Montpellier HSC,1-0,1-0,Nîmes Olympique,
7,Wed Sep 25 2019,Lille OSC,2-0,1-0,RC Strasbourg Alsace,
7,Wed Sep 25 2019,AS Saint-Étienne,0-1,0-1,FC Metz,
7,Wed Sep 25 2019,Toulouse FC,0-2,0-0,Angers SCO,
7,Wed Sep 25 2019,Stade Brestois 29,2-2,1-1,Olympique Lyonnais,
7,Wed Sep 25 2019,FC Nantes,1-0,0-0,Stade Rennais FC 1901,
7,Wed Sep 25 2019,Amiens SC,1-3,1-2,FC Girondins de Bordeaux,
7,Wed Sep 25 2019,Paris Saint-Germain FC,0-2,0-1,Stade de Reims,
8,Sat Sep 28 2019,Olympique Lyonnais,0-1,0-0,FC Nantes,
8,Sat Sep 28 2019,FC Girondins de Bordeaux,0-1,0-0,Paris Saint-Germain FC,
8,Sat Sep 28 2019,OGC Nice,1-1,1-1,Lille OSC,
8,Sat Sep 28 2019,Stade de Reims,1-2,1-1,Dijon Football Côte d'Or,
8,Sat Sep 28 2019,Angers SCO,1-1,0-1,Amiens SC,
8,Sat Sep 28 2019,AS Monaco FC,4-1,1-0,Stade Brestois 29,
8,Sat Sep 28 2019,FC Metz,2-2,1-0,Toulouse FC,
8,Sun Sep 29 2019,RC Strasbourg Alsace,1-0,1-0,Montpellier HSC,
8,Sun Sep 29 2019,Nîmes Olympique,0-1,0-0,AS Saint-Étienne,
8,Sun Sep 29 2019,Olympique de Marseille,1-1,0-1,Stade Rennais FC 1901,
9,Fri Oct 4 2019,Amiens SC,3-1,2-1,Olympique de Marseille,
9,Sat Oct 5 2019,Paris Saint-Germain FC,4-0,2-0,Angers SCO,
9,Sat Oct 5 2019,Montpellier HSC,3-1,2-0,AS Monaco FC,
9,Sat Oct 5 2019,Toulouse FC,1-3,0-2,FC Girondins de Bordeaux,
9,Sat Oct 5 2019,Stade Brestois 29,2-0,2-0,FC Metz,
9,Sat Oct 5 2019,FC Nantes,1-0,0-0,OGC Nice,
9,Sat Oct 5 2019,Dijon Football Côte d'Or,1-0,1-0,RC Strasbourg Alsace,
9,Sun Oct 6 2019,Lille OSC,2-2,1-1,Nîmes Olympique,
9,Sun Oct 6 2019,Stade Rennais FC 1901,0-1,0-0,Stade de Reims,
9,Sun Oct 6 2019,AS Saint-Étienne,1-0,0-0,Olympique Lyonnais,
10,Fri Oct 18 2019,OGC Nice,1-4,0-2,Paris Saint-Germain FC,
10,Sat Oct 19 2019,Olympique Lyonnais,0-0,0-0,Dijon Football Côte d'Or,
10,Sat Oct 19 2019,Toulouse FC,2-1,0-0,Lille OSC,
10,Sat Oct 19 2019,Stade de Reims,1-0,1-0,Montpellier HSC,
10,Sat Oct 19 2019,Angers SCO,0-1,0-0,Stade Brestois 29,
10,Sat Oct 19 2019,Nîmes Olympique,1-1,1-0,Amiens SC,
10,Sat Oct 19 2019,FC Metz,1-0,0-0,FC Nantes,
10,Sun Oct 20 2019,FC Girondins de Bordeaux,0-1,0-0,AS Saint-Étienne,
10,Sun Oct 20 2019,AS Monaco FC,3-2,1-1,Stade Rennais FC 1901,
10,Sun Oct 20 2019,Olympique de Marseille,2-0,1-0,RC Strasbourg Alsace,
11,Fri Oct 25 2019,FC Nantes,0-1,0-1,AS Monaco FC,
11,Sat Oct 26 2019,Lille OSC,3-0,1-0,FC Girondins de Bordeaux,
11,Sat Oct 26 2019,Montpellier HSC,0-0,0-0,Angers SCO,
11,Sat Oct 26 2019,Olympique Lyonnais,2-0,2-0,FC Metz,
11,Sat Oct 26 2019,Stade Brestois 29,2-0,0-0,Dijon Football Côte d'Or,
11,Sat Oct 26 2019,Stade de Reims,0-0,0-0,Nîmes Olympique,
11,Sat Oct 26 2019,RC Strasbourg Alsace,1-0,1-0,OGC Nice,
11,Sun Oct 27 2019,Stade Rennais FC 1901,3-2,2-1,Toulouse FC,
11,Sun Oct 27 2019,AS Saint-Étienne,2-2,1-0,Amiens SC,
11,Sun Oct 27 2019,Paris Saint-Germain FC,4-0,4-0,Olympique de Marseille,
12,Fri Nov 1 2019,Dijon Football Côte d'Or,2-1,1-1,Paris Saint-Germain FC,
12,Sat Nov 2 2019,Olympique de Marseille,2-1,0-0,Lille OSC,
12,Sat Nov 2 2019,Angers SCO,1-0,1-0,RC Strasbourg Alsace,
12,Sat Nov 2 2019,FC Metz,2-2,1-0,Montpellier HSC,
12,Sat Nov 2 2019,Amiens SC,1-0,1-0,Stade Brestois 29,
12,Sat Nov 2 2019,Toulouse FC,2-3,1-1,Olympique Lyonnais,
12,Sun Nov 3 2019,FC Girondins de Bordeaux,2-0,1-0,FC Nantes,
12,Sun Nov 3 2019,OGC Nice,2-0,2-0,Stade de Reims,
12,Sun Nov 3 2019,AS Saint-Étienne,1-0,0-0,AS Monaco FC,
13,Fri Nov 8 2019,OGC Nice,1-1,1-0,FC Girondins de Bordeaux,
13,Sat Nov 9 2019,Stade Brestois 29,1-2,0-1,Paris Saint-Germain FC,
13,Sat Nov 9 2019,Lille OSC,0-0,0-0,FC Metz,
13,Sat Nov 9 2019,Stade de Reims,0-0,0-0,Angers SCO,
13,Sat Nov 9 2019,AS Monaco FC,1-0,1-0,Dijon Football Côte d'Or,
13,Sat Nov 9 2019,RC Strasbourg Alsace,4-1,2-0,Nîmes Olympique,
13,Sun Nov 10 2019,Stade Rennais FC 1901,3-1,1-1,Amiens SC,
13,Sun Nov 10 2019,Montpellier HSC,3-0,1-0,Toulouse FC,
13,Sun Nov 10 2019,FC Nantes,2-3,2-2,AS Saint-Étienne,
13,Sun Nov 10 2019,Olympique de Marseille,2-1,2-0,Olympique Lyonnais,
14,Fri Nov 22 2019,Paris Saint-Germain FC,2-0,2-0,Lille OSC,
14,Sat Nov 23 2019,Olympique Lyonnais,2-1,2-0,OGC Nice,
14,Sat Nov 23 2019,Stade Brestois 29,1-1,0-1,FC Nantes,
14,Sat Nov 23 2019,Angers SCO,1-0,0-0,Nîmes Olympique,
14,Sat Nov 23 2019,Dijon Football Côte d'Or,2-1,0-0,Stade Rennais FC 1901,
14,Sat Nov 23 2019,FC Metz,1-1,0-1,Stade de Reims,
14,Sat Nov 23 2019,Amiens SC,0-4,0-1,RC Strasbourg Alsace,
14,Sun Nov 24 2019,FC Girondins de Bordeaux,2-1,1-1,AS Monaco FC,
14,Sun Nov 24 2019,AS Saint-Étienne,0-0,0-0,Montpellier HSC,
14,Sun Nov 24 2019,Toulouse FC,0-2,0-0,Olympique de Marseille,
15,Fri Nov 29 2019,Olympique de Marseille,2-1,0-0,Stade Brestois 29,
15,Sat Nov 30 2019,RC Strasbourg Alsace,1-2,1-1,Olympique Lyonnais,
15,Sat Nov 30 2019,Montpellier HSC,4-2,1-1,Amiens SC,
15,Sat Nov 30 2019,Lille OSC,1-0,1-0,Dijon Football Côte d'Or,
15,Sat Nov 30 2019,OGC Nice,3-1,1-1,Angers SCO,
15,Sat Nov 30 2019,Stade de Reims,1-1,0-1,FC Girondins de Bordeaux,
15,Sat Nov 30 2019,Nîmes Olympique,1-1,0-1,FC Metz,
15,Sun Dec 1 2019,FC Nantes,2-1,1-0,Toulouse FC,
15,Sun Dec 1 2019,Stade Rennais FC 1901,2-1,1-1,AS Saint-Étienne,
16,Tue Dec 3 2019,FC Girondins de Bordeaux,6-0,2-0,Nîmes Olympique,
16,Tue Dec 3 2019,Stade Brestois 29,5-0,2-0,RC Strasbourg Alsace,
16,Tue Dec 3 2019,Angers SCO,0-2,0-2,Olympique de Marseille,
16,Tue Dec 3 2019,Olympique Lyonnais,0-1,0-0,Lille OSC,
16,Wed Dec 4 2019,AS Saint-Étienne,4-1,3-1,OGC Nice,
16,Wed Dec 4 2019,Toulouse FC,1-2,1-1,AS Monaco FC,
16,Wed Dec 4 2019,Dijon Football Côte d'Or,2-2,1-2,Montpellier HSC,
16,Wed Dec 4 2019,FC Metz,0-1,0-1,Stade Rennais FC 1901,
16,Wed Dec 4 2019,Paris Saint-Germain FC,2-0,0-0,FC Nantes,
17,Fri Dec 6 2019,Lille OSC,1-0,1-0,Stade Brestois 29,
17,Fri Dec 6 2019,Nîmes Olympique,0-4,0-1,Olympique Lyonnais,
17,Sat Dec 7 2019,Montpellier HSC,1-3,1-0,Paris Saint-Germain FC,
17,Sat Dec 7 2019,Stade Rennais FC 1901,2-1,1-0,Angers SCO,
17,Sat Dec 7 2019,OGC Nice,4-1,2-0,FC Metz,
17,Sat Dec 7 2019,AS Monaco FC,3-0,0-0,Amiens SC,
17,Sat Dec 7 2019,RC Strasbourg Alsace,4-2,2-1,Toulouse FC,
17,Sun Dec 8 2019,Stade de Reims,3-1,1-0,AS Saint-Étienne,
17,Sun Dec 8 2019,FC Nantes,1-0,0-0,Dijon Football Côte d'Or,
17,Sun Dec 8 2019,Olympique de Marseille,3-1,0-1,FC Girondins de Bordeaux,
18,Fri Dec 13 2019,Lille OSC,2-1,1-0,Montpellier HSC,
18,Sat Dec 14 2019,FC Metz,1-1,1-0,Olympique de Marseille,
18,Sat Dec 14 2019,Toulouse FC,0-1,0-1,Stade de Reims,
18,Sat Dec 14 2019,Stade Brestois 29,0-0,0-0,OGC Nice,
18,Sat Dec 14 2019,Angers SCO,0-0,0-0,AS Monaco FC,
