Matchday,Date,Team 1,FT,HT,Team 2,Comments
16,Fri Dec 6 2019,AFC Ajax,0-2,0-1,Willem II Tilburg,
16,Sat Dec 7 2019,ADO Den Haag,0-0,0-0,FC Twente '65,
16,Sat Dec 7 2019,PSV,5-0,3-0,Fortuna Sittard,
16,Sat Dec 7 2019,VVV Venlo,2-0,1-0,FC Emmen,
16,Sat Dec 7 2019,PEC Zwolle,0-3,0-2,AZ,
16,Sun Dec 8 2019,SBV Vitesse,0-0,0-0,Feyenoord Rotterdam,
16,Sun Dec 8 2019,RKC Waalwijk,1-3,0-1,SC Heerenveen,
16,Sun Dec 8 2019,FC Groningen,0-1,0-0,FC Utrecht,
16,Sun Dec 8 2019,Sparta Rotterdam,0-0,0-0,Heracles Almelo,
17,Fri Dec 13 2019,SC Heerenveen,1-2,1-2,Willem II Tilburg,
17,Sat Dec 14 2019,ADO Den Haag,1-1,1-1,FC Groningen,
17,Sat Dec 14 2019,VVV Venlo,1-2,0-2,PEC Zwolle,
17,Sat Dec 14 2019,Fortuna Sittard,3-2,2-2,RKC Waalwijk,
17,Sat Dec 14 2019,FC Twente '65,0-3,0-0,SBV Vitesse,
17,Sun Dec 15 2019,FC Emmen,2-0,2-0,Sparta Rotterdam,
17,Sun Dec 15 2019,Feyenoord Rotterdam,3-1,2-0,PSV,
17,Sun Dec 15 2019,AZ,1-0,0-0,AFC Ajax,
17,Sun Dec 15 2019,Heracles Almelo,1-3,1-0,FC Utrecht,
18,Fri Dec 20 2019,RKC Waalwijk,3-0,1-0,FC Twente '65,
18,Sat Dec 21 2019,SC Heerenveen,1-1,0-0,Heracles Almelo,
18,Sat Dec 21 2019,PSV,4-1,2-1,PEC Zwolle,
18,Sat Dec 21 2019,Sparta Rotterdam,3-0,2-0,AZ,
18,Sat Dec 21 2019,Willem II Tilburg,0-0,0-0,Fortuna Sittard,
18,Sun Dec 22 2019,AFC Ajax,6-1,4-0,ADO Den Haag,
18,Sun Dec 22 2019,FC Utrecht,1-2,1-1,Feyenoord Rotterdam,
18,Sun Dec 22 2019,FC Groningen,2-0,0-0,FC Emmen,
18,Sun Dec 22 2019,SBV Vitesse,3-0,2-0,VVV Venlo,
19,Fri Jan 17 2020,PEC Zwolle,3-3,1-1,FC Utrecht,
19,Sat Jan 18 2020,Fortuna Sittard,1-3,0-2,SBV Vitesse,
19,Sat Jan 18 2020,FC Twente '65,0-0,0-0,FC Groningen,
19,Sat Jan 18 2020,Feyenoord Rotterdam,3-1,3-1,SC Heerenveen,
19,Sat Jan 18 2020,AZ,1-3,1-0,Willem II Tilburg,
19,Sun Jan 19 2020,VVV Venlo,1-1,0-0,PSV,
19,Sun Jan 19 2020,AFC Ajax,2-1,1-0,Sparta Rotterdam,
19,Sun Jan 19 2020,FC Emmen,1-0,1-0,Heracles Almelo,
19,Sun Jan 19 2020,ADO Den Haag,2-0,1-0,RKC Waalwijk,
20,Fri Jan 24 2020,FC Utrecht,4-0,1-0,ADO Den Haag,
20,Sat Jan 25 2020,SC Heerenveen,1-2,0-1,AZ,
20,Sat Jan 25 2020,RKC Waalwijk,1-2,1-0,VVV Venlo,
20,Sat Jan 25 2020,Heracles Almelo,2-3,1-0,Feyenoord Rotterdam,
20,Sat Jan 25 2020,Sparta Rotterdam,1-1,0-1,Fortuna Sittard,
20,Sun Jan 26 2020,SBV Vitesse,1-1,1-0,FC Emmen,
20,Sun Jan 26 2020,FC Groningen,2-1,1-0,AFC Ajax,
20,Sun Jan 26 2020,Willem II Tilburg,0-0,0-0,PEC Zwolle,
20,Sun Jan 26 2020,PSV,1-1,0-0,FC Twente '65,
21,Fri Jan 31 2020,AZ,4-0,2-0,RKC Waalwijk,
21,Sat Feb 1 2020,ADO Den Haag,0-0,0-0,SBV Vitesse,
21,Sat Feb 1 2020,Feyenoord Rotterdam,3-0,1-0,FC Emmen,
21,Sat Feb 1 2020,FC Twente '65,2-0,0-0,Sparta Rotterdam,
21,Sat Feb 1 2020,PEC Zwolle,1-0,1-0,FC Groningen,
21,Sun Feb 2 2020,Willem II Tilburg,1-0,1-0,Heracles Almelo,
21,Sun Feb 2 2020,VVV Venlo,1-1,0-0,FC Utrecht,
21,Sun Feb 2 2020,Fortuna Sittard,2-1,1-1,SC Heerenveen,
21,Sun Feb 2 2020,AFC Ajax,1-0,1-0,PSV,
22,Fri Feb 7 2020,Heracles Almelo,2-0,1-0,Fortuna Sittard,
22,Sat Feb 8 2020,FC Groningen,1-0,1-0,SBV Vitesse,
22,Sat Feb 8 2020,PSV,3-0,1-0,Willem II Tilburg,
22,Sat Feb 8 2020,SC Heerenveen,1-1,0-0,VVV Venlo,
22,Sat Feb 8 2020,RKC Waalwijk,0-0,0-0,PEC Zwolle,
22,Tue Feb 11 2020,FC Emmen,2-0,1-0,FC Twente '65,
22,Tue Feb 11 2020,Sparta Rotterdam,4-2,3-1,ADO Den Haag,
23,Fri Feb 14 2020,VVV Venlo,1-0,1-0,Heracles Almelo,
23,Sat Feb 15 2020,FC Twente '65,2-0,2-0,AZ,
23,Sat Feb 15 2020,ADO Den Haag,0-3,0-1,PSV,
23,Sat Feb 15 2020,Fortuna Sittard,0-0,0-0,FC Emmen,
23,Sun Feb 16 2020,SBV Vitesse,4-2,2-2,SC Heerenveen,
23,Sun Feb 16 2020,AFC Ajax,3-0,1-0,RKC Waalwijk,
23,Sun Feb 16 2020,Sparta Rotterdam,1-2,0-2,FC Groningen,
23,Sun Feb 16 2020,Willem II Tilburg,1-1,0-1,FC Utrecht,
23,Sun Feb 16 2020,PEC Zwolle,3-4,2-1,Feyenoord Rotterdam,
24,Fri Feb 21 2020,RKC Waalwijk,0-1,0-1,Sparta Rotterdam,
24,Sat Feb 22 2020,FC Emmen,4-2,1-0,Willem II Tilburg,
24,Sat Feb 22 2020,Feyenoord Rotterdam,2-1,0-0,Fortuna Sittard,
24,Sat Feb 22 2020,SC Heerenveen,2-2,1-2,ADO Den Haag,
24,Sat Feb 22 2020,FC Groningen,0-1,0-0,VVV Venlo,
24,Sun Feb 23 2020,FC Utrecht,2-1,0-0,FC Twente '65,
24,Sun Feb 23 2020,AZ,2-0,0-0,PEC Zwolle,
24,Sun Feb 23 2020,SBV Vitesse,1-2,0-0,PSV,
24,Sun Feb 23 2020,Heracles Almelo,1-0,0-0,AFC Ajax,
25,Fri Feb 28 2020,Willem II Tilburg,3-1,2-0,FC Groningen,
25,Sat Feb 29 2020,ADO Den Haag,0-0,0-0,Heracles Almelo,
25,Sat Feb 29 2020,VVV Venlo,0-0,0-0,Fortuna Sittard,
25,Sat Feb 29 2020,PEC Zwolle,4-3,1-2,SBV Vitesse,
25,Sat Feb 29 2020,FC Twente '65,2-3,0-1,SC Heerenveen,
25,Sun Mar 1 2020,RKC Waalwijk,2-1,0-1,FC Utrecht,
25,Sun Mar 1 2020,PSV,1-1,0-1,Feyenoord Rotterdam,
25,Sun Mar 1 2020,Sparta Rotterdam,5-1,3-0,FC Emmen,
25,Sun Mar 1 2020,AFC Ajax,0-2,0-1,AZ,
26,Fri Mar 6 2020,Fortuna Sittard,1-1,0-0,PEC Zwolle,
26,Sat Mar 7 2020,AZ,4-0,2-0,ADO Den Haag,
26,Sat Mar 7 2020,FC Emmen,3-0,0-0,VVV Venlo,
26,Sat Mar 7 2020,SBV Vitesse,1-0,0-0,FC Twente '65,
26,Sat Mar 7 2020,SC Heerenveen,1-3,0-0,AFC Ajax,
26,Sun Mar 8 2020,FC Utrecht,5-1,1-0,Sparta Rotterdam,
26,Sun Mar 8 2020,Feyenoord Rotterdam,2-0,2-0,Willem II Tilburg,
26,Sun Mar 8 2020,Heracles Almelo,4-2,2-2,RKC Waalwijk,
26,Sun Mar 8 2020,FC Groningen,0-1,0-1,PSV,
27,Fri Mar 13 2020,ADO Den Haag,(*),,Fortuna Sittard,canceled
27,Sat Mar 14 2020,Willem II Tilburg,(*),,SC Heerenveen,canceled
27,Sat Mar 14 2020,PEC Zwolle,(*),,Heracles Almelo,canceled
27,Sat Mar 14 2020,PSV,(*),,FC Emmen,canceled
27,Sat Mar 14 2020,FC Utrecht,(*),,SBV Vitesse,canceled
27,Sun Mar 15 2020,Sparta Rotterdam,(*),,Feyenoord Rotterdam,canceled
27,Sun Mar 15 2020,AFC Ajax,(*),,FC Twente '65,canceled
27,Sun Mar 15 2020,RKC Waalwijk,(*),,FC Groningen,canceled
27,Sun Mar 15 2020,VVV Venlo,(*),,AZ,canceled
28,Fri Mar 20 2020,Heracles Almelo,(*),,Sparta Rotterdam,canceled
28,Sat Mar 21 2020,FC Twente '65,(*),,ADO Den Haag,canceled
28,Sat Mar 21 2020,SBV Vitesse,(*),,Willem II Tilburg,canceled
28,Sat Mar 21 2020,PEC Zwolle,(*),,VVV Venlo,canceled
28,Sat Mar 21 2020,SC Heerenveen,(*),,RKC Waalwijk,canceled
28,Sun Mar 22 2020,Fortuna Sittard,(*),,PSV,canceled
28,Sun Mar 22 2020,Feyenoord Rotterdam,(*),,AFC Ajax,canceled
28,Sun Mar 22 2020,FC Emmen,(*),,FC Utrecht,canceled
28,Sun Mar 22 2020,FC Groningen,(*),,AZ,canceled
29,Sat Apr 4 2020,Sparta Rotterdam,(*),,SC Heerenveen,canceled
29,Sat Apr 4 2020,PSV,(*),,Heracles Almelo,canceled
29,Sat Apr 4 2020,VVV Venlo,(*),,Willem II Tilburg,canceled
29,Sat Apr 4 2020,AZ,(*),,SBV Vitesse,canceled
29,Sat Apr 4 2020,FC Utrecht,(*),,FC Groningen,canceled
29,Sun Apr 5 2020,RKC Waalwijk,(*),,Feyenoord Rotterdam,canceled
29,Sun Apr 5 2020,AFC Ajax,(*),,PEC Zwolle,canceled
29,Sun Apr 5 2020,ADO Den Haag,(*),,FC Emmen,canceled
29,Sun Apr 5 2020,FC Twente '65,(*),,Fortuna Sittard,canceled
22,Wed Apr 8 2020,AZ,(*),,Feyenoord Rotterdam,canceled
22,Thu Apr 9 2020,FC Utrecht,(*),,AFC Ajax,canceled
30,Fri Apr 10 2020,FC Groningen,(*),,SC Heerenveen,canceled
30,Sat Apr 11 2020,SBV Vitesse,(*),,RKC Waalwijk,canceled
30,Sat Apr 11 2020,Feyenoord Rotterdam,(*),,VVV Venlo,canceled
30,Sat Apr 11 2020,Heracles Almelo,(*),,AZ,canceled
30,Sat Apr 11 2020,Willem II Tilburg,(*),,ADO Den Haag,canceled
30,Sun Apr 12 2020,PSV,(*),,Sparta Rotterdam,canceled
30,Sun Apr 12 2020,Fortuna Sittard,(*),,FC Utrecht,canceled
30,Sun Apr 12 2020,FC Emmen,(*),,AFC Ajax,canceled
30,Sun Apr 12 2020,PEC Zwolle,(*),,FC Twente '65,canceled
31,Tue Apr 21 2020,AZ,(*),,PSV,canceled
31,Tue Apr 21 2020,Sparta Rotterdam,(*),,PEC Zwolle,canceled
31,Wed Apr 22 2020,RKC Waalwijk,(*),,Willem II Tilburg,canceled
31,Wed Apr 22 2020,ADO Den Haag,(*),,Feyenoord Rotterdam,canceled
31,Wed Apr 22 2020,FC Groningen,(*),,Fortuna Sittard,canceled
31,Wed Apr 22 2020,SC Heerenveen,(*),,FC Emmen,canceled
31,Wed Apr 22 2020,FC Utrecht,(*),,Heracles Almelo,canceled
31,Thu Apr 23 2020,FC Twente '65,(*),,VVV Venlo,canceled
31,Thu Apr 23 2020,AFC Ajax,(*),,SBV Vitesse,canceled
32,Sat Apr 25 2020,PSV,(*),,FC Utrecht,canceled
32,Sat Apr 25 2020,Fortuna Sittard,(*),,AZ,canceled
32,Sat Apr 25 2020,FC Emmen,(*),,RKC Waalwijk,canceled
32,Sat Apr 25 2020,Feyenoord Rotterdam,(*),,FC Groningen,canceled
32,Sat Apr 25 2020,PEC Zwolle,(*),,SC Heerenveen,canceled
32,Sun Apr 26 2020,Heracles Almelo,(*),,FC Twente '65,canceled
32,Sun Apr 26 2020,VVV Venlo,(*),,ADO Den Haag,canceled
32,Sun Apr 26 2020,Willem II Tilburg,(*),,AFC Ajax,canceled
32,Sun Apr 26 2020,SBV Vitesse,(*),,Sparta Rotterdam,canceled
33,Sun May 3 2020,AFC Ajax,(*),,VVV Venlo,canceled
33,Sun May 3 2020,AZ,(*),,FC Utrecht,canceled
33,Sun May 3 2020,SC Heerenveen,(*),,PSV,canceled
33,Sun May 3 2020,FC Twente '65,(*),,Feyenoord Rotterdam,canceled
33,Sun May 3 2020,SBV Vitesse,(*),,Heracles Almelo,canceled
33,Sun May 3 2020,RKC Waalwijk,(*),,Fortuna Sittard,canceled
33,Sun May 3 2020,FC Groningen,(*),,ADO Den Haag,canceled
33,Sun May 3 2020,PEC Zwolle,(*),,FC Emmen,canceled
33,Sun May 3 2020,Sparta Rotterdam,(*),,Willem II Tilburg,canceled
34,Sun May 10 2020,PSV,(*),,RKC Waalwijk,canceled
34,Sun May 10 2020,Feyenoord Rotterdam,(*),,SBV Vitesse,canceled
34,Sun May 10 2020,FC Utrecht,(*),,SC Heerenveen,canceled
34,Sun May 10 2020,Heracles Almelo,(*),,FC Groningen,canceled
34,Sun May 10 2020,ADO Den Haag,(*),,PEC Zwolle,canceled
34,Sun May 10 2020,VVV Venlo,(*),,Sparta Rotterdam,canceled
34,Sun May 10 2020,Willem II Tilburg,(*),,FC Twente '65,canceled
34,Sun May 10 2020,Fortuna Sittard,(*),,AFC Ajax,canceled
34,Sun May 10 2020,FC Emmen,(*),,AZ,canceled
