Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 2 2019,PEC Zwolle,1-3,1-1,Willem II Tilburg,
1,Sat Aug 3 2019,SBV Vitesse,2-2,1-1,AFC Ajax,
1,Sat Aug 3 2019,FC Emmen,0-1,0-0,FC Groningen,
1,Sat Aug 3 2019,FC Twente '65,1-1,1-0,PSV,
1,Sat Aug 3 2019,VVV Venlo,3-1,0-1,RKC Waalwijk,
1,Sun Aug 4 2019,Heracles Almelo,0-4,0-3,SC Heerenveen,
1,Sun Aug 4 2019,Feyenoord Rotterdam,2-2,0-0,Sparta Rotterdam,
1,Sun Aug 4 2019,ADO Den Haag,2-4,2-2,FC Utrecht,
1,Sun Aug 4 2019,AZ,4-0,0-0,Fortuna Sittard,
2,Fri Aug 9 2019,Sparta Rotterdam,4-1,0-1,VVV Venlo,
2,Sat Aug 10 2019,FC Groningen,1-3,0-0,FC Twente '65,
2,Sat Aug 10 2019,AFC Ajax,5-0,1-0,FC Emmen,
2,Sat Aug 10 2019,Willem II Tilburg,0-2,0-0,SBV Vitesse,
2,Sun Aug 11 2019,Fortuna Sittard,1-1,0-0,Heracles Almelo,
2,Sun Aug 11 2019,SC Heerenveen,1-1,0-1,Feyenoord Rotterdam,
2,Sun Aug 11 2019,RKC Waalwijk,0-2,0-2,AZ,
2,Sun Aug 11 2019,FC Utrecht,3-1,0-1,PEC Zwolle,
2,Sun Aug 11 2019,PSV,3-1,1-1,ADO Den Haag,
3,Fri Aug 16 2019,SBV Vitesse,3-0,0-0,PEC Zwolle,
3,Sat Aug 17 2019,ADO Den Haag,1-2,0-2,Sparta Rotterdam,
3,Sat Aug 17 2019,VVV Venlo,1-4,0-1,AFC Ajax,
3,Sat Aug 17 2019,FC Emmen,2-0,2-0,SC Heerenveen,
3,Sun Aug 18 2019,Fortuna Sittard,2-3,1-3,Willem II Tilburg,
3,Sun Aug 18 2019,FC Twente '65,3-3,0-1,RKC Waalwijk,
3,Sun Aug 18 2019,Feyenoord Rotterdam,1-1,0-1,FC Utrecht,
3,Sun Aug 18 2019,AZ,0-0,0-0,FC Groningen,
3,Sun Aug 18 2019,Heracles Almelo,0-2,0-1,PSV,
4,Sat Aug 24 2019,Willem II Tilburg,2-1,1-0,FC Emmen,
4,Sat Aug 24 2019,Heracles Almelo,1-1,0-0,SBV Vitesse,
4,Sat Aug 24 2019,SC Heerenveen,0-0,0-0,FC Twente '65,
4,Sun Aug 25 2019,RKC Waalwijk,0-3,0-1,ADO Den Haag,
4,Sun Aug 25 2019,FC Utrecht,1-2,0-2,VVV Venlo,
4,Sun Aug 25 2019,PEC Zwolle,2-2,1-1,Sparta Rotterdam,
5,Fri Aug 30 2019,FC Emmen,1-3,1-3,PEC Zwolle,
5,Sat Aug 31 2019,SC Heerenveen,1-1,1-1,Fortuna Sittard,
5,Sat Aug 31 2019,FC Groningen,1-2,0-1,Heracles Almelo,
5,Sat Aug 31 2019,ADO Den Haag,1-0,1-0,VVV Venlo,
5,Sun Sep 1 2019,FC Twente '65,3-1,1-0,FC Utrecht,
5,Sun Sep 1 2019,Sparta Rotterdam,1-4,0-2,AFC Ajax,
5,Sun Sep 1 2019,Willem II Tilburg,0-1,0-0,Feyenoord Rotterdam,
5,Sun Sep 1 2019,SBV Vitesse,2-1,1-1,AZ,
5,Sun Sep 1 2019,RKC Waalwijk,1-3,1-0,PSV,
6,Sat Sep 14 2019,AZ,5-1,4-1,Sparta Rotterdam,
6,Sat Sep 14 2019,AFC Ajax,4-1,2-1,SC Heerenveen,
6,Sat Sep 14 2019,VVV Venlo,2-1,1-1,FC Groningen,
6,Sat Sep 14 2019,PSV,5-0,2-0,SBV Vitesse,
6,Sat Sep 14 2019,FC Utrecht,3-1,1-0,FC Emmen,
6,Sun Sep 15 2019,PEC Zwolle,6-2,1-2,RKC Waalwijk,
6,Sun Sep 15 2019,Feyenoord Rotterdam,3-2,3-0,ADO Den Haag,
6,Sun Sep 15 2019,Heracles Almelo,4-1,2-1,Willem II Tilburg,
6,Sun Sep 15 2019,Fortuna Sittard,2-3,0-2,FC Twente '65,
7,Fri Sep 20 2019,FC Twente '65,2-3,1-2,Heracles Almelo,
7,Sat Sep 21 2019,Sparta Rotterdam,4-0,2-0,RKC Waalwijk,
7,Sat Sep 21 2019,FC Groningen,2-0,1-0,PEC Zwolle,
7,Sat Sep 21 2019,Willem II Tilburg,1-0,1-0,VVV Venlo,
7,Sat Sep 21 2019,SBV Vitesse,4-2,0-1,Fortuna Sittard,
7,Sun Sep 22 2019,SC Heerenveen,1-1,1-1,FC Utrecht,
7,Sun Sep 22 2019,FC Emmen,3-3,2-2,Feyenoord Rotterdam,
7,Sun Sep 22 2019,ADO Den Haag,0-1,0-0,AZ,
7,Sun Sep 22 2019,PSV,1-1,0-0,AFC Ajax,
4,Wed Sep 25 2019,PSV,3-1,2-0,FC Groningen,
4,Wed Sep 25 2019,AFC Ajax,5-0,0-0,Fortuna Sittard,
4,Thu Sep 26 2019,Feyenoord Rotterdam,0-3,0-1,AZ,
8,Fri Sep 27 2019,FC Emmen,3-0,1-0,ADO Den Haag,
8,Sat Sep 28 2019,VVV Venlo,0-3,0-2,SC Heerenveen,
8,Sat Sep 28 2019,AFC Ajax,2-0,0-0,FC Groningen,
8,Sat Sep 28 2019,Fortuna Sittard,0-0,0-0,Sparta Rotterdam,
8,Sun Sep 29 2019,RKC Waalwijk,1-2,0-1,SBV Vitesse,
8,Sun Sep 29 2019,PEC Zwolle,0-4,0-1,PSV,
8,Sun Sep 29 2019,FC Utrecht,2-0,0-0,Willem II Tilburg,
8,Sun Sep 29 2019,AZ,2-0,0-0,Heracles Almelo,
8,Sun Sep 29 2019,Feyenoord Rotterdam,5-1,2-1,FC Twente '65,
9,Fri Oct 4 2019,FC Groningen,3-0,2-0,RKC Waalwijk,
9,Sat Oct 5 2019,Heracles Almelo,2-0,1-0,FC Emmen,
9,Sat Oct 5 2019,Sparta Rotterdam,2-1,0-0,FC Twente '65,
9,Sat Oct 5 2019,SBV Vitesse,2-1,1-1,FC Utrecht,
9,Sat Oct 5 2019,SC Heerenveen,1-0,1-0,PEC Zwolle,
9,Sun Oct 6 2019,ADO Den Haag,0-2,0-1,AFC Ajax,
9,Sun Oct 6 2019,Fortuna Sittard,4-2,3-1,Feyenoord Rotterdam,
9,Sun Oct 6 2019,PSV,4-1,0-0,VVV Venlo,
9,Sun Oct 6 2019,Willem II Tilburg,1-1,1-1,AZ,
10,Sat Oct 19 2019,AZ,2-4,1-3,SC Heerenveen,
10,Sat Oct 19 2019,RKC Waalwijk,1-2,0-0,AFC Ajax,
10,Sat Oct 19 2019,FC Twente '65,0-1,0-1,Willem II Tilburg,
10,Sat Oct 19 2019,FC Utrecht,3-0,0-0,PSV,
10,Sat Oct 19 2019,VVV Venlo,0-4,0-3,SBV Vitesse,
10,Sun Oct 20 2019,PEC Zwolle,3-1,1-1,ADO Den Haag,
10,Sun Oct 20 2019,FC Emmen,2-1,0-1,Fortuna Sittard,
10,Sun Oct 20 2019,FC Groningen,2-0,0-0,Sparta Rotterdam,
10,Sun Oct 20 2019,Feyenoord Rotterdam,1-1,1-0,Heracles Almelo,
11,Fri Oct 25 2019,FC Twente '65,4-1,3-0,FC Emmen,
11,Sat Oct 26 2019,Willem II Tilburg,2-1,2-1,RKC Waalwijk,
11,Sat Oct 26 2019,SBV Vitesse,0-2,0-2,ADO Den Haag,
11,Sat Oct 26 2019,Fortuna Sittard,4-1,2-0,VVV Venlo,
11,Sat Oct 26 2019,Heracles Almelo,4-0,1-0,PEC Zwolle,
11,Sun Oct 27 2019,SC Heerenveen,1-1,1-0,FC Groningen,
11,Sun Oct 27 2019,PSV,0-4,0-2,AZ,
11,Sun Oct 27 2019,Sparta Rotterdam,1-2,1-2,FC Utrecht,
11,Sun Oct 27 2019,AFC Ajax,4-0,4-0,Feyenoord Rotterdam,
12,Fri Nov 1 2019,PEC Zwolle,2-4,1-3,AFC Ajax,
12,Sat Nov 2 2019,RKC Waalwijk,2-0,1-0,Heracles Almelo,
12,Sat Nov 2 2019,Sparta Rotterdam,2-2,1-0,PSV,
12,Sat Nov 2 2019,AZ,3-0,1-0,FC Twente '65,
12,Sun Nov 3 2019,FC Emmen,2-1,2-1,SBV Vitesse,
12,Sun Nov 3 2019,FC Utrecht,6-0,3-0,Fortuna Sittard,
12,Sun Nov 3 2019,VVV Venlo,0-3,0-2,Feyenoord Rotterdam,
12,Sun Nov 3 2019,FC Groningen,2-0,1-0,Willem II Tilburg,
12,Sun Nov 3 2019,ADO Den Haag,1-1,0-0,SC Heerenveen,
13,Fri Nov 8 2019,SBV Vitesse,1-2,0-2,FC Groningen,
13,Sat Nov 9 2019,SC Heerenveen,2-1,0-1,Sparta Rotterdam,
13,Sat Nov 9 2019,Fortuna Sittard,1-0,1-0,ADO Den Haag,
13,Sat Nov 9 2019,Heracles Almelo,6-1,2-0,VVV Venlo,
13,Sun Nov 10 2019,AFC Ajax,4-0,3-0,FC Utrecht,
13,Sun Nov 10 2019,Willem II Tilburg,2-1,1-0,PSV,
13,Sun Nov 10 2019,FC Twente '65,2-1,2-0,PEC Zwolle,
13,Sun Nov 10 2019,Feyenoord Rotterdam,3-2,2-2,RKC Waalwijk,
13,Sun Nov 10 2019,AZ,3-0,2-0,FC Emmen,
14,Sat Nov 23 2019,FC Utrecht,0-3,0-2,AZ,
14,Sat Nov 23 2019,PEC Zwolle,3-1,1-0,Fortuna Sittard,
14,Sat Nov 23 2019,AFC Ajax,4-1,1-0,Heracles Almelo,
14,Sat Nov 23 2019,ADO Den Haag,3-3,0-2,Willem II Tilburg,
14,Sun Nov 24 2019,FC Groningen,1-1,0-1,Feyenoord Rotterdam,
14,Sun Nov 24 2019,PSV,2-1,2-0,SC Heerenveen,
14,Sun Nov 24 2019,RKC Waalwijk,1-1,0-1,FC Emmen,
14,Sun Nov 24 2019,VVV Venlo,2-1,2-1,FC Twente '65,
14,Sun Nov 24 2019,Sparta Rotterdam,2-0,1-0,SBV Vitesse,
15,Fri Nov 29 2019,SC Heerenveen,3-2,1-2,SBV Vitesse,
15,Sat Nov 30 2019,Willem II Tilburg,4-0,3-0,Sparta Rotterdam,
15,Sat Nov 30 2019,Fortuna Sittard,1-0,0-0,FC Groningen,
15,Sat Nov 30 2019,Heracles Almelo,4-0,2-0,ADO Den Haag,
15,Sun Dec 1 2019,FC Twente '65,2-5,2-1,AFC Ajax,
15,Sun Dec 1 2019,FC Utrecht,0-1,0-0,RKC Waalwijk,
15,Sun Dec 1 2019,Feyenoord Rotterdam,1-0,1-0,PEC Zwolle,
15,Sun Dec 1 2019,AZ,1-0,1-0,VVV Venlo,
15,Sun Dec 1 2019,FC Emmen,1-1,0-1,PSV,
