Matchday,Date,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 9 2019,Portimonense SC,0-0,0-0,Os Belenenses Futebol,
1,Sat Aug 10 2019,CD Santa Clara,0-2,0-1,FC Famalicão,
1,Sat Aug 10 2019,Gil Vicente FC,2-1,0-0,FC Porto,
1,Sat Aug 10 2019,Sport Lisboa e Benfica,5-0,2-0,FC Paços de Ferreira,
1,Sun Aug 11 2019,Boavista FC,2-1,1-1,CD Aves,
1,Sun Aug 11 2019,CS Marítimo,1-1,1-1,Sporting Clube de Portugal,
1,Sun Aug 11 2019,Sporting Clube de Braga,3-1,1-0,Moreirense FC,
1,Mon Aug 12 2019,Vitória Setúbal,0-0,0-0,CD Tondela,
2,Fri Aug 16 2019,FC Famalicão,1-0,0-0,Rio Ave FC,
2,Sat Aug 17 2019,Moreirense FC,3-0,2-0,Gil Vicente FC,
2,Sat Aug 17 2019,Os Belenenses Futebol,0-2,0-0,Sport Lisboa e Benfica,
2,Sat Aug 17 2019,FC Porto,4-0,2-0,Vitória Setúbal,
2,Sun Aug 18 2019,FC Paços de Ferreira,0-1,0-1,CD Santa Clara,
2,Sun Aug 18 2019,CD Aves,3-1,2-1,CS Marítimo,
2,Sun Aug 18 2019,Vitória Guimarães,1-1,1-0,Boavista FC,
2,Sun Aug 18 2019,Sporting Clube de Portugal,2-1,2-0,Sporting Clube de Braga,
2,Mon Aug 19 2019,CD Tondela,1-2,0-2,Portimonense SC,
3,Fri Aug 23 2019,Vitória Setúbal,0-0,0-0,Moreirense FC,
3,Fri Aug 23 2019,Rio Ave FC,5-1,2-0,CD Aves,
3,Sat Aug 24 2019,Sport Lisboa e Benfica,0-2,0-1,FC Porto,
3,Sat Aug 24 2019,Boavista FC,1-1,1-1,FC Paços de Ferreira,
3,Sun Aug 25 2019,CS Marítimo,2-3,0-1,CD Tondela,
3,Sun Aug 25 2019,CD Santa Clara,0-0,0-0,Os Belenenses Futebol,
3,Sun Aug 25 2019,Portimonense SC,1-3,1-2,Sporting Clube de Portugal,
3,Sun Aug 25 2019,Gil Vicente FC,1-1,0-1,Sporting Clube de Braga,
3,Sun Aug 25 2019,Vitória Guimarães,1-1,0-0,FC Famalicão,
4,Fri Aug 30 2019,Moreirense FC,1-0,1-0,Portimonense SC,
4,Fri Aug 30 2019,Os Belenenses Futebol,0-1,0-0,Boavista FC,
4,Sat Aug 31 2019,FC Paços de Ferreira,0-1,0-0,CS Marítimo,
4,Sat Aug 31 2019,CD Aves,2-3,1-1,FC Famalicão,
4,Sat Aug 31 2019,Sporting Clube de Portugal,2-3,1-1,Rio Ave FC,
4,Sat Aug 31 2019,Gil Vicente FC,0-0,0-0,Vitória Setúbal,
4,Sun Sep 1 2019,CD Tondela,0-0,0-0,CD Santa Clara,
4,Sun Sep 1 2019,FC Porto,3-0,1-0,Vitória Guimarães,
4,Sun Sep 1 2019,Sporting Clube de Braga,0-4,0-1,Sport Lisboa e Benfica,
1,Sun Sep 8 2019,Rio Ave FC,1-1,1-1,Vitória Guimarães,
5,Fri Sep 13 2019,Vitória Setúbal,1-0,0-0,Sporting Clube de Braga,
5,Sat Sep 14 2019,FC Famalicão,4-2,1-0,FC Paços de Ferreira,
5,Sat Sep 14 2019,Sport Lisboa e Benfica,2-0,1-0,Gil Vicente FC,
5,Sat Sep 14 2019,Vitória Guimarães,5-1,2-1,CD Aves,
5,Sun Sep 15 2019,CS Marítimo,1-3,0-2,Os Belenenses Futebol,
5,Sun Sep 15 2019,Rio Ave FC,2-4,1-2,CD Tondela,
5,Sun Sep 15 2019,CD Santa Clara,2-0,1-0,Moreirense FC,
5,Sun Sep 15 2019,Portimonense SC,2-3,0-2,FC Porto,
5,Sun Sep 15 2019,Boavista FC,1-1,1-0,Sporting Clube de Portugal,
6,Fri Sep 20 2019,FC Paços de Ferreira,2-1,0-1,CD Aves,
6,Sat Sep 21 2019,Os Belenenses Futebol,0-2,0-1,Rio Ave FC,
6,Sat Sep 21 2019,Moreirense FC,1-2,0-0,Sport Lisboa e Benfica,
6,Sun Sep 22 2019,Gil Vicente FC,0-0,0-0,Boavista FC,
6,Sun Sep 22 2019,Vitória Setúbal,0-0,0-0,Portimonense SC,
6,Sun Sep 22 2019,CD Tondela,1-3,1-3,Vitória Guimarães,
6,Sun Sep 22 2019,FC Porto,2-0,2-0,CD Santa Clara,
6,Mon Sep 23 2019,Sporting Clube de Braga,2-2,0-1,CS Marítimo,
6,Mon Sep 23 2019,Sporting Clube de Portugal,1-2,1-0,FC Famalicão,
7,Fri Sep 27 2019,Boavista FC,0-0,0-0,CD Tondela,
7,Sat Sep 28 2019,CS Marítimo,2-1,0-0,Moreirense FC,
7,Sat Sep 28 2019,Sport Lisboa e Benfica,1-0,0-0,Vitória Setúbal,
7,Sat Sep 28 2019,FC Famalicão,3-1,0-1,Os Belenenses Futebol,
7,Sun Sep 29 2019,Vitória Guimarães,1-0,0-0,FC Paços de Ferreira,
7,Sun Sep 29 2019,CD Santa Clara,1-0,0-0,Gil Vicente FC,
7,Sun Sep 29 2019,Portimonense SC,0-1,0-1,Sporting Clube de Braga,
7,Sun Sep 29 2019,Rio Ave FC,0-1,0-1,FC Porto,
7,Mon Sep 30 2019,CD Aves,0-1,0-0,Sporting Clube de Portugal,
9,Sat Oct 5 2019,CD Aves,0-1,0-0,CD Tondela,
8,Fri Oct 25 2019,FC Paços de Ferreira,0-0,0-0,Rio Ave FC,
8,Sat Oct 26 2019,Gil Vicente FC,1-1,1-1,Portimonense SC,
8,Sat Oct 26 2019,Os Belenenses Futebol,3-2,2-2,CD Aves,
8,Sat Oct 26 2019,Vitória Setúbal,0-0,0-0,CS Marítimo,
8,Sat Oct 26 2019,Moreirense FC,1-1,1-0,Boavista FC,
8,Sun Oct 27 2019,CD Tondela,0-1,0-1,Sport Lisboa e Benfica,
8,Sun Oct 27 2019,FC Porto,3-0,1-0,FC Famalicão,
8,Sun Oct 27 2019,Sporting Clube de Portugal,3-1,2-0,Vitória Guimarães,
8,Mon Oct 28 2019,Sporting Clube de Braga,2-0,1-0,CD Santa Clara,
9,Wed Oct 30 2019,Rio Ave FC,1-1,0-1,Moreirense FC,
9,Wed Oct 30 2019,CS Marítimo,1-1,1-0,FC Porto,
9,Wed Oct 30 2019,Vitória Guimarães,5-0,2-0,Os Belenenses Futebol,
9,Wed Oct 30 2019,Sport Lisboa e Benfica,4-0,1-0,Portimonense SC,
9,Wed Oct 30 2019,FC Famalicão,2-1,1-0,Gil Vicente FC,
9,Thu Oct 31 2019,FC Paços de Ferreira,1-2,0-1,Sporting Clube de Portugal,
9,Thu Oct 31 2019,CD Santa Clara,1-1,1-1,Vitória Setúbal,
9,Thu Oct 31 2019,Boavista FC,2-0,1-0,Sporting Clube de Braga,
