Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Qualifying,,Round 2,Wed Jul 28 2021,19:00,CEST/+0200,Neftçi PFK,0-1,0-1,PAE Olympiakos SFP,,,2021-07-28T17:00:00Z
Qualifying,,Round 2,Wed Jul 28 2021,19:30,CEST/+0200,FC CFR 1907 Cluj,2-0,1-0,Lincoln Red Imps FC,,,2021-07-28T17:30:00Z
Qualifying,,Round 2,Wed Jul 28 2021,19:45,CEST/+0200,FC Midtjylland,1-1,0-0,Celtic FC,2-1,,2021-07-28T17:45:00Z
Qualifying,,Round 2,Wed Jul 28 2021,20:00,CEST/+0200,Galatasaray SK,1-2,0-1,PSV,,,2021-07-28T18:00:00Z
Qualifying,,Round 2,Wed Jul 28 2021,20:00,CEST/+0200,PFK Ludogorets 1945 Razgrad,3-1,1-0,NŠ Mura,,,2021-07-28T18:00:00Z
Qualifying,,Round 2,Wed Jul 28 2021,20:15,CEST/+0200,BSC Young Boys,3-2,2-0,ŠK Slovan Bratislava,,,2021-07-28T18:15:00Z
Qualifying,,Round 2,Wed Jul 28 2021,20:30,CEST/+0200,AC Sparta Praha,2-0,1-0,SK Rapid Wien,,,2021-07-28T18:30:00Z
Qualifying,,Round 2,Wed Jul 28 2021,20:30,CEST/+0200,FK Crvena Zvezda,5-0,3-0,Qaırat Almaty FK,,,2021-07-28T18:30:00Z
Qualifying,,Round 3,Tue Aug 3 2021,19:00,CEST/+0200,AC Sparta Praha,0-2,0-1,AS Monaco FC,,,2021-08-03T17:00:00Z
Qualifying,,Round 3,Tue Aug 3 2021,19:00,CEST/+0200,Malmö FF,2-1,0-0,Rangers FC,,,2021-08-03T17:00:00Z
Qualifying,,Round 3,Tue Aug 3 2021,20:00,CEST/+0200,KRC Genk,1-2,1-0,FK Shakhtar Donetsk,,,2021-08-03T18:00:00Z
Qualifying,,Round 3,Tue Aug 3 2021,20:00,CEST/+0200,PSV,3-0,3-0,FC Midtjylland,,,2021-08-03T18:00:00Z
Qualifying,,Round 3,Tue Aug 3 2021,20:00,CEST/+0200,FC CFR 1907 Cluj,1-1,1-0,BSC Young Boys,,,2021-08-03T18:00:00Z
Qualifying,,Round 3,Tue Aug 3 2021,21:00,CEST/+0200,FK Crvena Zvezda,1-1,1-1,FC Sheriff Tiraspol,,,2021-08-03T19:00:00Z
Qualifying,,Round 3,Tue Aug 3 2021,21:00,CEST/+0200,PAE Olympiakos SFP,1-1,0-0,PFK Ludogorets 1945 Razgrad,,,2021-08-03T19:00:00Z
Qualifying,,Round 3,Wed Aug 4 2021,19:00,CEST/+0200,FK Spartak Moskva,0-2,0-0,Sport Lisboa e Benfica,,,2021-08-04T17:00:00Z
Qualifying,,Round 3,Wed Aug 4 2021,20:00,CEST/+0200,Ferencvárosi TC,2-0,1-0,SK Slavia Praha,,,2021-08-04T18:00:00Z
Qualifying,,Round 3,Wed Aug 4 2021,20:00,CEST/+0200,GNK Dinamo Zagreb,1-1,0-0,Legia Warszawa,,,2021-08-04T18:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,19:00,CEST/+0200,FC Sheriff Tiraspol,1-0,1-0,FK Crvena Zvezda,,,2021-08-10T17:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,19:00,CEST/+0200,SK Slavia Praha,1-0,1-0,Ferencvárosi TC,,,2021-08-10T17:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,19:30,CEST/+0200,FK Shakhtar Donetsk,2-1,1-0,KRC Genk,,,2021-08-10T17:30:00Z
Qualifying,,Round 3,Tue Aug 10 2021,20:00,CEST/+0200,FC Midtjylland,0-1,0-0,PSV,,,2021-08-10T18:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,20:00,CEST/+0200,AS Monaco FC,3-1,0-0,AC Sparta Praha,,,2021-08-10T18:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,20:00,CEST/+0200,PFK Ludogorets 1945 Razgrad,2-2,0-1,PAE Olympiakos SFP,2-2,4-1,2021-08-10T18:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,20:30,CEST/+0200,BSC Young Boys,3-1,3-1,FC CFR 1907 Cluj,,,2021-08-10T18:30:00Z
Qualifying,,Round 3,Tue Aug 10 2021,21:00,CEST/+0200,Sport Lisboa e Benfica,2-0,0-0,FK Spartak Moskva,,,2021-08-10T19:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,21:00,CEST/+0200,Legia Warszawa,0-1,0-1,GNK Dinamo Zagreb,,,2021-08-10T19:00:00Z
Qualifying,,Round 3,Tue Aug 10 2021,21:00,CEST/+0200,Rangers FC,1-2,1-0,Malmö FF,,,2021-08-10T19:00:00Z
Qualifying,,Playoff Round,Tue Aug 17 2021,21:00,CEST/+0200,AS Monaco FC,0-1,0-1,FK Shakhtar Donetsk,,,2021-08-17T19:00:00Z
Qualifying,,Playoff Round,Tue Aug 17 2021,21:00,CEST/+0200,FC Sheriff Tiraspol,3-0,1-0,GNK Dinamo Zagreb,,,2021-08-17T19:00:00Z
Qualifying,,Playoff Round,Tue Aug 17 2021,21:00,CEST/+0200,FC Red Bull Salzburg,2-1,0-1,Brøndby IF,,,2021-08-17T19:00:00Z
Qualifying,,Playoff Round,Wed Aug 18 2021,21:00,CEST/+0200,Sport Lisboa e Benfica,2-1,2-0,PSV,,,2021-08-18T19:00:00Z
Qualifying,,Playoff Round,Wed Aug 18 2021,21:00,CEST/+0200,Malmö FF,2-0,1-0,PFK Ludogorets 1945 Razgrad,,,2021-08-18T19:00:00Z
Qualifying,,Playoff Round,Wed Aug 18 2021,21:00,CEST/+0200,BSC Young Boys,3-2,2-1,Ferencvárosi TC,,,2021-08-18T19:00:00Z
Qualifying,,Playoff Round,Tue Aug 24 2021,21:00,CEST/+0200,PSV,0-0,0-0,Sport Lisboa e Benfica,,,2021-08-24T19:00:00Z
Qualifying,,Playoff Round,Tue Aug 24 2021,21:00,CEST/+0200,PFK Ludogorets 1945 Razgrad,2-1,1-1,Malmö FF,,,2021-08-24T19:00:00Z
Qualifying,,Playoff Round,Tue Aug 24 2021,21:00,CEST/+0200,Ferencvárosi TC,2-3,2-1,BSC Young Boys,,,2021-08-24T19:00:00Z
Qualifying,,Playoff Round,Wed Aug 25 2021,21:00,CEST/+0200,Brøndby IF,1-2,0-2,FC Red Bull Salzburg,,,2021-08-25T19:00:00Z
Qualifying,,Playoff Round,Wed Aug 25 2021,21:00,CEST/+0200,FK Shakhtar Donetsk,1-2,0-2,AS Monaco FC,2-2,,2021-08-25T19:00:00Z
Qualifying,,Playoff Round,Wed Aug 25 2021,21:00,CEST/+0200,GNK Dinamo Zagreb,0-0,0-0,FC Sheriff Tiraspol,,,2021-08-25T19:00:00Z
Group,F,1,Tue Sep 14 2021,18:45,CEST/+0200,BSC Young Boys,2-1,0-1,Manchester United FC,,,2021-09-14T16:45:00Z
Group,G,1,Tue Sep 14 2021,18:45,CEST/+0200,Sevilla FC,1-1,1-1,FC Red Bull Salzburg,,,2021-09-14T16:45:00Z
Group,E,1,Tue Sep 14 2021,21:00,CEST/+0200,FK Dynamo Kyiv,0-0,0-0,Sport Lisboa e Benfica,,,2021-09-14T19:00:00Z
Group,E,1,Tue Sep 14 2021,21:00,CEST/+0200,FC Barcelona,0-3,0-1,FC Bayern München,,,2021-09-14T19:00:00Z
Group,F,1,Tue Sep 14 2021,21:00,CEST/+0200,Villarreal CF,2-2,1-1,Atalanta BC,,,2021-09-14T19:00:00Z
Group,G,1,Tue Sep 14 2021,21:00,CEST/+0200,Lille OSC,0-0,0-0,VfL Wolfsburg,,,2021-09-14T19:00:00Z
Group,H,1,Tue Sep 14 2021,21:00,CEST/+0200,Malmö FF,0-3,0-3,Juventus FC,,,2021-09-14T19:00:00Z
Group,H,1,Tue Sep 14 2021,21:00,CEST/+0200,Chelsea FC,1-0,0-0,FK Zenit Sankt-Petersburg,,,2021-09-14T19:00:00Z
Group,C,1,Wed Sep 15 2021,18:45,CEST/+0200,Beşiktaş JK,1-2,0-2,Borussia Dortmund,,,2021-09-15T16:45:00Z
Group,D,1,Wed Sep 15 2021,18:45,CEST/+0200,FC Sheriff Tiraspol,2-0,1-0,FK Shakhtar Donetsk,,,2021-09-15T16:45:00Z
Group,A,1,Wed Sep 15 2021,21:00,CEST/+0200,Club Brugge KV,1-1,1-1,Paris Saint-Germain FC,,,2021-09-15T19:00:00Z
Group,A,1,Wed Sep 15 2021,21:00,CEST/+0200,Manchester City FC,6-3,3-1,RB Leipzig,,,2021-09-15T19:00:00Z
Group,B,1,Wed Sep 15 2021,21:00,CEST/+0200,Liverpool FC,3-2,1-2,AC Milan,,,2021-09-15T19:00:00Z
Group,B,1,Wed Sep 15 2021,21:00,CEST/+0200,Club Atlético de Madrid,0-0,0-0,FC Porto,,,2021-09-15T19:00:00Z
Group,C,1,Wed Sep 15 2021,21:00,CEST/+0200,Sporting Clube de Portugal,1-5,1-3,AFC Ajax,,,2021-09-15T19:00:00Z
Group,D,1,Wed Sep 15 2021,21:00,CEST/+0200,FC Internazionale Milano,0-1,0-0,Real Madrid CF,,,2021-09-15T19:00:00Z
Group,C,2,Tue Sep 28 2021,18:45,CEST/+0200,AFC Ajax,2-0,2-0,Beşiktaş JK,,,2021-09-28T16:45:00Z
Group,D,2,Tue Sep 28 2021,18:45,CEST/+0200,FK Shakhtar Donetsk,0-0,0-0,FC Internazionale Milano,,,2021-09-28T16:45:00Z
Group,A,2,Tue Sep 28 2021,21:00,CEST/+0200,RB Leipzig,1-2,1-2,Club Brugge KV,,,2021-09-28T19:00:00Z
Group,A,2,Tue Sep 28 2021,21:00,CEST/+0200,Paris Saint-Germain FC,2-0,1-0,Manchester City FC,,,2021-09-28T19:00:00Z
