Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
1,Fri Aug 6 2021,20:15,WEST / UTC+0100,Sporting Clube de Portugal,3-0,0-0,FC Vizela,,FINISHED,2021-08-06T19:15:00Z
1,Sat Aug 7 2021,12:45,WEST / UTC+0100,FC Arouca,0-2,0-1,GD Estoril Praia,,FINISHED,2021-08-07T11:45:00Z
1,Sat Aug 7 2021,18:00,WEST / UTC+0100,Moreirense FC,1-2,1-2,Sport Lisboa e Benfica,,FINISHED,2021-08-07T17:00:00Z
1,Sat Aug 7 2021,20:30,WEST / UTC+0100,CS Marítimo,0-2,0-0,Sporting Clube de Braga,,FINISHED,2021-08-07T19:30:00Z
1,Sun Aug 8 2021,15:30,WEST / UTC+0100,CD Tondela,3-0,1-0,CD Santa Clara,,FINISHED,2021-08-08T14:30:00Z
1,Sun Aug 8 2021,15:30,WEST / UTC+0100,Vitória Guimarães,0-1,0-0,Portimonense SC,,FINISHED,2021-08-08T14:30:00Z
1,Sun Aug 8 2021,18:00,WEST / UTC+0100,FC Porto,2-0,1-0,Os Belenenses Futebol,,FINISHED,2021-08-08T17:00:00Z
1,Sun Aug 8 2021,20:30,WEST / UTC+0100,FC Paços de Ferreira,2-0,0-0,FC Famalicão,,FINISHED,2021-08-08T19:30:00Z
1,Mon Aug 9 2021,20:15,WEST / UTC+0100,Gil Vicente FC,3-0,2-0,Boavista FC,,FINISHED,2021-08-09T19:15:00Z
2,Fri Aug 13 2021,20:15,WEST / UTC+0100,GD Estoril Praia,0-0,0-0,Vitória Guimarães,,FINISHED,2021-08-13T19:15:00Z
2,Sat Aug 14 2021,15:30,WEST / UTC+0100,FC Vizela,2-1,0-1,CD Tondela,,FINISHED,2021-08-14T14:30:00Z
2,Sat Aug 14 2021,18:00,WEST / UTC+0100,Sport Lisboa e Benfica,2-0,2-0,FC Arouca,,FINISHED,2021-08-14T17:00:00Z
2,Sat Aug 14 2021,20:30,WEST / UTC+0100,Sporting Clube de Braga,1-2,0-1,Sporting Clube de Portugal,,FINISHED,2021-08-14T19:30:00Z
