Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
2,Sun Aug 15 2021,15:30,WEST / UTC+0100,Portimonense SC,0-1,0-0,Gil Vicente FC,,FINISHED,2021-08-15T14:30:00Z
2,Sun Aug 15 2021,18:00,WEST / UTC+0100,FC Famalicão,1-2,0-2,FC Porto,,FINISHED,2021-08-15T17:00:00Z
2,Sun Aug 15 2021,20:30,WEST / UTC+0100,CD Santa Clara,2-2,0-0,Moreirense FC,,FINISHED,2021-08-15T19:30:00Z
2,Mon Aug 16 2021,19:00,WEST / UTC+0100,Boavista FC,3-0,1-0,FC Paços de Ferreira,,FINISHED,2021-08-16T18:00:00Z
2,Mon Aug 16 2021,21:15,WEST / UTC+0100,Os Belenenses Futebol,1-2,1-2,CS Marítimo,,FINISHED,2021-08-16T20:15:00Z
3,Fri Aug 20 2021,19:00,WEST / UTC+0100,FC Arouca,2-1,0-1,FC Famalicão,,FINISHED,2021-08-20T18:00:00Z
3,Fri Aug 20 2021,21:15,WEST / UTC+0100,Moreirense FC,2-3,0-2,Sporting Clube de Braga,,FINISHED,2021-08-20T20:15:00Z
3,Sat Aug 21 2021,18:00,WEST / UTC+0100,Gil Vicente FC,0-2,0-0,Sport Lisboa e Benfica,,FINISHED,2021-08-21T17:00:00Z
3,Sat Aug 21 2021,20:30,WEST / UTC+0100,Sporting Clube de Portugal,2-0,1-0,Os Belenenses Futebol,,FINISHED,2021-08-21T19:30:00Z
3,Sun Aug 22 2021,15:30,WEST / UTC+0100,CD Tondela,0-3,0-2,Portimonense SC,,FINISHED,2021-08-22T14:30:00Z
3,Sun Aug 22 2021,18:00,WEST / UTC+0100,CS Marítimo,1-1,1-1,FC Porto,,FINISHED,2021-08-22T17:00:00Z
3,Sun Aug 22 2021,20:30,WEST / UTC+0100,Vitória Guimarães,4-0,0-0,FC Vizela,,FINISHED,2021-08-22T19:30:00Z
3,Mon Aug 23 2021,19:00,WEST / UTC+0100,FC Paços de Ferreira,1-3,1-1,GD Estoril Praia,,FINISHED,2021-08-23T18:00:00Z
3,Mon Aug 23 2021,21:15,WEST / UTC+0100,Boavista FC,2-0,1-0,CD Santa Clara,,FINISHED,2021-08-23T20:15:00Z
4,Fri Aug 27 2021,19:00,WEST / UTC+0100,Os Belenenses Futebol,1-1,1-0,Moreirense FC,,FINISHED,2021-08-27T18:00:00Z
4,Fri Aug 27 2021,21:15,WEST / UTC+0100,GD Estoril Praia,2-1,1-1,CS Marítimo,,FINISHED,2021-08-27T20:15:00Z
4,Sat Aug 28 2021,15:30,WEST / UTC+0100,FC Vizela,1-1,0-0,Boavista FC,,FINISHED,2021-08-28T14:30:00Z
4,Sat Aug 28 2021,18:00,WEST / UTC+0100,FC Porto,3-0,2-0,FC Arouca,,FINISHED,2021-08-28T17:00:00Z
4,Sat Aug 28 2021,20:30,WEST / UTC+0100,FC Famalicão,1-1,0-0,Sporting Clube de Portugal,,FINISHED,2021-08-28T19:30:00Z
4,Sun Aug 29 2021,18:00,WEST / UTC+0100,Sporting Clube de Braga,0-0,0-0,Vitória Guimarães,,FINISHED,2021-08-29T17:00:00Z
4,Sun Aug 29 2021,18:00,WEST / UTC+0100,Sport Lisboa e Benfica,2-1,0-1,CD Tondela,,FINISHED,2021-08-29T17:00:00Z
4,Sun Aug 29 2021,20:30,WEST / UTC+0100,Portimonense SC,0-1,0-1,FC Paços de Ferreira,,FINISHED,2021-08-29T19:30:00Z
4,Sun Aug 29 2021,20:30,WEST / UTC+0100,CD Santa Clara,1-0,1-0,Gil Vicente FC,,FINISHED,2021-08-29T19:30:00Z
5,Sat Sep 11 2021,15:30,WEST / UTC+0100,FC Paços de Ferreira,0-0,0-0,Sporting Clube de Braga,,FINISHED,2021-09-11T14:30:00Z
5,Sat Sep 11 2021,18:00,WEST / UTC+0100,CD Santa Clara,0-5,0-1,Sport Lisboa e Benfica,,FINISHED,2021-09-11T17:00:00Z
5,Sat Sep 11 2021,20:30,WEST / UTC+0100,Sporting Clube de Portugal,1-1,1-0,FC Porto,,FINISHED,2021-09-11T19:30:00Z
5,Sun Sep 12 2021,15:30,WEST / UTC+0100,Moreirense FC,2-2,1-1,FC Famalicão,,FINISHED,2021-09-12T14:30:00Z
5,Sun Sep 12 2021,18:00,WEST / UTC+0100,Boavista FC,1-1,0-1,Portimonense SC,,FINISHED,2021-09-12T17:00:00Z
5,Sun Sep 12 2021,18:00,WEST / UTC+0100,Gil Vicente FC,2-2,0-1,FC Vizela,,FINISHED,2021-09-12T17:00:00Z
5,Sun Sep 12 2021,20:30,WEST / UTC+0100,Vitória Guimarães,0-0,0-0,Os Belenenses Futebol,,FINISHED,2021-09-12T19:30:00Z
5,Mon Sep 13 2021,19:00,WEST / UTC+0100,CS Marítimo,2-2,2-1,FC Arouca,,FINISHED,2021-09-13T18:00:00Z
5,Mon Sep 13 2021,21:15,WEST / UTC+0100,CD Tondela,1-2,0-2,GD Estoril Praia,,FINISHED,2021-09-13T20:15:00Z
6,Fri Sep 17 2021,20:15,WEST / UTC+0100,Portimonense SC,2-1,2-1,CD Santa Clara,,FINISHED,2021-09-17T19:15:00Z
6,Sat Sep 18 2021,15:30,WEST / UTC+0100,FC Famalicão,0-0,0-0,CS Marítimo,,FINISHED,2021-09-18T14:30:00Z
6,Sat Sep 18 2021,18:00,WEST / UTC+0100,Os Belenenses Futebol,1-1,0-0,Gil Vicente FC,,FINISHED,2021-09-18T17:00:00Z
6,Sat Sep 18 2021,20:30,WEST / UTC+0100,FC Arouca,2-2,0-1,Vitória Guimarães,,FINISHED,2021-09-18T19:30:00Z
6,Sun Sep 19 2021,15:30,WEST / UTC+0100,FC Vizela,1-1,1-0,FC Paços de Ferreira,,FINISHED,2021-09-19T14:30:00Z
6,Sun Sep 19 2021,18:00,WEST / UTC+0100,FC Porto,5-0,1-0,Moreirense FC,,FINISHED,2021-09-19T17:00:00Z
6,Sun Sep 19 2021,20:30,WEST / UTC+0100,GD Estoril Praia,0-1,0-0,Sporting Clube de Portugal,,FINISHED,2021-09-19T19:30:00Z
6,Mon Sep 20 2021,19:00,WEST / UTC+0100,Sport Lisboa e Benfica,3-1,2-1,Boavista FC,,FINISHED,2021-09-20T18:00:00Z
6,Mon Sep 20 2021,21:15,WEST / UTC+0100,Sporting Clube de Braga,3-1,0-0,CD Tondela,,FINISHED,2021-09-20T20:15:00Z
7,Fri Sep 24 2021,19:00,WEST / UTC+0100,Sporting Clube de Portugal,1-0,0-0,CS Marítimo,,FINISHED,2021-09-24T18:00:00Z
7,Fri Sep 24 2021,21:15,WEST / UTC+0100,Gil Vicente FC,1-2,1-1,FC Porto,,FINISHED,2021-09-24T20:15:00Z
7,Sat Sep 25 2021,15:30,WEST / UTC+0100,Moreirense FC,2-1,1-0,FC Arouca,,FINISHED,2021-09-25T14:30:00Z
7,Sat Sep 25 2021,18:00,WEST / UTC+0100,Vitória Guimarães,1-3,0-2,Sport Lisboa e Benfica,,FINISHED,2021-09-25T17:00:00Z
7,Sat Sep 25 2021,20:30,WEST / UTC+0100,CD Tondela,3-2,1-1,FC Famalicão,,FINISHED,2021-09-25T19:30:00Z
7,Sun Sep 26 2021,18:00,WEST / UTC+0100,CD Santa Clara,1-1,0-0,Sporting Clube de Braga,,FINISHED,2021-09-26T17:00:00Z
7,Sun Sep 26 2021,20:30,WEST / UTC+0100,Portimonense SC,0-0,0-0,FC Vizela,,FINISHED,2021-09-26T19:30:00Z
7,Mon Sep 27 2021,19:00,WEST / UTC+0100,FC Paços de Ferreira,2-2,2-0,Os Belenenses Futebol,,FINISHED,2021-09-27T18:00:00Z
7,Mon Sep 27 2021,21:15,WEST / UTC+0100,Boavista FC,1-1,1-0,GD Estoril Praia,,FINISHED,2021-09-27T20:15:00Z
8,Fri Oct 1 2021,19:00,WEST / UTC+0100,CS Marítimo,0-0,0-0,Moreirense FC,,FINISHED,2021-10-01T18:00:00Z
8,Fri Oct 1 2021,21:15,WEST / UTC+0100,FC Famalicão,1-2,1-1,Vitória Guimarães,,FINISHED,2021-10-01T20:15:00Z
8,Sat Oct 2 2021,15:30,WEST / UTC+0100,FC Vizela,1-1,0-0,CD Santa Clara,,FINISHED,2021-10-02T14:30:00Z
8,Sat Oct 2 2021,18:00,WEST / UTC+0100,FC Porto,2-1,1-1,FC Paços de Ferreira,,FINISHED,2021-10-02T17:00:00Z
8,Sat Oct 2 2021,20:30,WEST / UTC+0100,FC Arouca,1-2,0-1,Sporting Clube de Portugal,,FINISHED,2021-10-02T19:30:00Z
8,Sun Oct 3 2021,15:30,WEST / UTC+0100,Os Belenenses Futebol,0-2,0-1,CD Tondela,,FINISHED,2021-10-03T14:30:00Z
8,Sun Oct 3 2021,18:00,WEST / UTC+0100,GD Estoril Praia,2-2,2-1,Gil Vicente FC,,FINISHED,2021-10-03T17:00:00Z
8,Sun Oct 3 2021,18:00,WEST / UTC+0100,Sport Lisboa e Benfica,0-1,0-0,Portimonense SC,,FINISHED,2021-10-03T17:00:00Z
8,Sun Oct 3 2021,20:30,WEST / UTC+0100,Sporting Clube de Braga,2-2,1-1,Boavista FC,,FINISHED,2021-10-03T19:30:00Z
9,Fri Oct 22 2021,20:15,WEST / UTC+0100,Vitória Guimarães,2-1,0-0,CS Marítimo,,FINISHED,2021-10-22T19:15:00Z
9,Sat Oct 23 2021,15:30,WEST / UTC+0100,CD Santa Clara,0-2,0-1,FC Famalicão,,FINISHED,2021-10-23T14:30:00Z
9,Sat Oct 23 2021,18:00,WEST / UTC+0100,CD Tondela,1-3,1-2,FC Porto,,FINISHED,2021-10-23T17:00:00Z
9,Sat Oct 23 2021,20:30,WEST / UTC+0100,Sporting Clube de Portugal,1-0,1-0,Moreirense FC,,FINISHED,2021-10-23T19:30:00Z
9,Sun Oct 24 2021,15:30,WEST / UTC+0100,FC Paços de Ferreira,0-0,0-0,FC Arouca,,FINISHED,2021-10-24T14:30:00Z
9,Sun Oct 24 2021,18:00,WEST / UTC+0100,FC Vizela,0-1,0-0,Sport Lisboa e Benfica,,FINISHED,2021-10-24T17:00:00Z
9,Sun Oct 24 2021,20:30,WEST / UTC+0100,Portimonense SC,0-2,0-0,GD Estoril Praia,,FINISHED,2021-10-24T19:30:00Z
9,Mon Oct 25 2021,19:00,WEST / UTC+0100,Gil Vicente FC,0-1,0-1,Sporting Clube de Braga,,FINISHED,2021-10-25T18:00:00Z
9,Mon Oct 25 2021,21:15,WEST / UTC+0100,Boavista FC,0-0,0-0,Os Belenenses Futebol,,FINISHED,2021-10-25T20:15:00Z
10,Fri Oct 29 2021,20:15,WEST / UTC+0100,FC Arouca,2-0,1-0,CD Tondela,,FINISHED,2021-10-29T19:15:00Z
10,Sat Oct 30 2021,17:00,WEST / UTC+0100,FC Porto,4-1,2-1,Boavista FC,,FINISHED,2021-10-30T16:00:00Z
10,Sat Oct 30 2021,19:00,WEST / UTC+0100,GD Estoril Praia,1-1,0-1,Sport Lisboa e Benfica,,FINISHED,2021-10-30T18:00:00Z
10,Sat Oct 30 2021,21:15,WEST / UTC+0100,Sporting Clube de Portugal,1-0,1-0,Vitória Guimarães,,FINISHED,2021-10-30T20:15:00Z
10,Sun Oct 31 2021,15:30,WET / UTC+0000,CS Marítimo,1-2,1-1,Gil Vicente FC,,FINISHED,2021-10-31T15:30:00Z
10,Sun Oct 31 2021,18:00,WET / UTC+0000,Os Belenenses Futebol,2-1,1-0,CD Santa Clara,,FINISHED,2021-10-31T18:00:00Z
10,Sun Oct 31 2021,20:30,WET / UTC+0000,FC Famalicão,1-1,0-0,FC Vizela,,FINISHED,2021-10-31T20:30:00Z
10,Mon Nov 1 2021,19:00,WET / UTC+0000,Sporting Clube de Braga,3-0,1-0,Portimonense SC,,FINISHED,2021-11-01T19:00:00Z
10,Mon Nov 1 2021,21:15,WET / UTC+0000,Moreirense FC,1-1,0-0,FC Paços de Ferreira,,FINISHED,2021-11-01T21:15:00Z
11,Fri Nov 5 2021,19:00,WET / UTC+0000,Gil Vicente FC,1-1,0-1,FC Arouca,,FINISHED,2021-11-05T19:00:00Z
11,Fri Nov 5 2021,21:15,WET / UTC+0000,Boavista FC,2-5,1-3,FC Famalicão,,FINISHED,2021-11-05T21:15:00Z
11,Sat Nov 6 2021,15:30,WET / UTC+0000,FC Vizela,1-1,0-0,GD Estoril Praia,,FINISHED,2021-11-06T15:30:00Z
11,Sat Nov 6 2021,18:00,WET / UTC+0000,Portimonense SC,2-0,1-0,Os Belenenses Futebol,,FINISHED,2021-11-06T18:00:00Z
11,Sat Nov 6 2021,20:30,WET / UTC+0000,Vitória Guimarães,2-1,1-0,Moreirense FC,,FINISHED,2021-11-06T20:30:00Z
11,Sun Nov 7 2021,14:00,WET / UTC+0000,CD Tondela,4-2,3-0,CS Marítimo,,FINISHED,2021-11-07T14:00:00Z
11,Sun Nov 7 2021,17:00,WET / UTC+0000,CD Santa Clara,0-3,0-1,FC Porto,,FINISHED,2021-11-07T17:00:00Z
11,Sun Nov 7 2021,19:00,WET / UTC+0000,FC Paços de Ferreira,0-2,0-0,Sporting Clube de Portugal,,FINISHED,2021-11-07T19:00:00Z
11,Sun Nov 7 2021,21:15,WET / UTC+0000,Sport Lisboa e Benfica,6-1,4-1,Sporting Clube de Braga,,FINISHED,2021-11-07T21:15:00Z
12,Fri Nov 26 2021,20:15,WET / UTC+0000,Moreirense FC,2-2,0-0,Gil Vicente FC,,FINISHED,2021-11-26T20:15:00Z
12,Sat Nov 27 2021,15:30,WET / UTC+0000,FC Famalicão,0-3,0-2,Portimonense SC,,FINISHED,2021-11-27T15:30:00Z
12,Sat Nov 27 2021,18:00,WET / UTC+0000,FC Arouca,2-1,1-0,Boavista FC,,FINISHED,2021-11-27T18:00:00Z
12,Sat Nov 27 2021,20:30,WET / UTC+0000,Os Belenenses Futebol,0-7,0-7,Sport Lisboa e Benfica,,FINISHED,2021-11-27T20:30:00Z
12,Sun Nov 28 2021,15:30,WET / UTC+0000,CS Marítimo,2-0,0-0,FC Paços de Ferreira,,FINISHED,2021-11-28T15:30:00Z
12,Sun Nov 28 2021,18:00,WET / UTC+0000,Sporting Clube de Portugal,2-0,1-0,CD Tondela,,FINISHED,2021-11-28T18:00:00Z
12,Sun Nov 28 2021,20:30,WET / UTC+0000,FC Porto,2-1,1-1,Vitória Guimarães,,FINISHED,2021-11-28T20:30:00Z
12,Mon Nov 29 2021,20:15,WET / UTC+0000,GD Estoril Praia,2-2,1-1,CD Santa Clara,,FINISHED,2021-11-29T20:15:00Z
12,Tue Nov 30 2021,20:15,WET / UTC+0000,Sporting Clube de Braga,4-1,2-0,FC Vizela,,FINISHED,2021-11-30T20:15:00Z
13,Fri Dec 3 2021,19:00,WET / UTC+0000,Portimonense SC,0-3,0-1,FC Porto,,FINISHED,2021-12-03T19:00:00Z
13,Fri Dec 3 2021,21:15,WET / UTC+0000,Sport Lisboa e Benfica,1-3,0-1,Sporting Clube de Portugal,,FINISHED,2021-12-03T21:15:00Z
13,Sat Dec 4 2021,18:00,WET / UTC+0000,Boavista FC,1-1,1-0,CS Marítimo,,FINISHED,2021-12-04T18:00:00Z
13,Sat Dec 4 2021,20:30,WET / UTC+0000,FC Paços de Ferreira,1-2,1-0,Vitória Guimarães,,FINISHED,2021-12-04T20:30:00Z
13,Sun Dec 5 2021,15:30,WET / UTC+0000,CD Santa Clara,2-1,2-1,FC Arouca,,FINISHED,2021-12-05T15:30:00Z
13,Sun Dec 5 2021,18:00,WET / UTC+0000,Gil Vicente FC,4-0,3-0,FC Famalicão,,FINISHED,2021-12-05T18:00:00Z
13,Sun Dec 5 2021,20:30,WET / UTC+0000,Sporting Clube de Braga,2-0,2-0,GD Estoril Praia,,FINISHED,2021-12-05T20:30:00Z
14,Fri Dec 10 2021,20:15,WET / UTC+0000,FC Paços de Ferreira,0-1,0-0,Gil Vicente FC,,FINISHED,2021-12-10T20:15:00Z
14,Sat Dec 11 2021,15:30,WET / UTC+0000,CS Marítimo,4-1,2-1,CD Santa Clara,,FINISHED,2021-12-11T15:30:00Z
14,Sat Dec 11 2021,18:00,WET / UTC+0000,Vitória Guimarães,5-2,2-2,CD Tondela,,FINISHED,2021-12-11T18:00:00Z
14,Sat Dec 11 2021,20:30,WET / UTC+0000,Sporting Clube de Portugal,2-0,0-0,Boavista FC,,FINISHED,2021-12-11T20:30:00Z
14,Sun Dec 12 2021,15:30,WET / UTC+0000,Os Belenenses Futebol,0-1,0-1,GD Estoril Praia,,FINISHED,2021-12-12T15:30:00Z
14,Sun Dec 12 2021,15:30,WET / UTC+0000,Moreirense FC,0-1,0-0,Portimonense SC,,FINISHED,2021-12-12T15:30:00Z
14,Sun Dec 12 2021,18:00,WET / UTC+0000,FC Famalicão,1-4,1-2,Sport Lisboa e Benfica,,FINISHED,2021-12-12T18:00:00Z
14,Sun Dec 12 2021,20:30,WET / UTC+0000,FC Porto,1-0,1-0,Sporting Clube de Braga,,FINISHED,2021-12-12T20:30:00Z
14,Mon Dec 13 2021,20:15,WET / UTC+0000,FC Arouca,1-4,0-4,FC Vizela,,FINISHED,2021-12-13T20:15:00Z
15,Fri Dec 17 2021,19:00,WET / UTC+0000,CD Santa Clara,1-0,1-0,Vitória Guimarães,,FINISHED,2021-12-17T19:00:00Z
15,Fri Dec 17 2021,21:15,WET / UTC+0000,GD Estoril Praia,2-2,2-1,FC Famalicão,,FINISHED,2021-12-17T21:15:00Z
15,Sat Dec 18 2021,15:30,WET / UTC+0000,Portimonense SC,1-1,0-0,FC Arouca,,FINISHED,2021-12-18T15:30:00Z
15,Sat Dec 18 2021,15:30,WET / UTC+0000,CD Tondela,0-1,0-0,FC Paços de Ferreira,,FINISHED,2021-12-18T15:30:00Z
15,Sat Dec 18 2021,20:30,WET / UTC+0000,Gil Vicente FC,0-3,0-0,Sporting Clube de Portugal,,FINISHED,2021-12-18T20:30:00Z
15,Sun Dec 19 2021,17:00,WET / UTC+0000,Boavista FC,1-0,1-0,Moreirense FC,,FINISHED,2021-12-19T17:00:00Z
15,Sun Dec 19 2021,17:00,WET / UTC+0000,Sport Lisboa e Benfica,7-1,3-0,CS Marítimo,,FINISHED,2021-12-19T17:00:00Z
15,Sun Dec 19 2021,19:00,WET / UTC+0000,FC Vizela,0-4,0-2,FC Porto,,FINISHED,2021-12-19T19:00:00Z
15,Sun Dec 19 2021,21:00,WET / UTC+0000,Sporting Clube de Braga,1-0,1-0,Os Belenenses Futebol,,FINISHED,2021-12-19T21:00:00Z
16,Tue Dec 28 2021,17:00,WET / UTC+0000,CD Tondela,0-3,0-0,Gil Vicente FC,,FINISHED,2021-12-28T17:00:00Z
16,Tue Dec 28 2021,19:00,WET / UTC+0000,CS Marítimo,2-0,0-0,FC Vizela,,FINISHED,2021-12-28T19:00:00Z
16,Tue Dec 28 2021,21:00,WET / UTC+0000,Moreirense FC,1-0,1-0,GD Estoril Praia,,FINISHED,2021-12-28T21:00:00Z
16,Wed Dec 29 2021,19:00,WET / UTC+0000,Vitória Guimarães,1-1,0-0,Boavista FC,,FINISHED,2021-12-29T19:00:00Z
16,Wed Dec 29 2021,21:00,WET / UTC+0000,Sporting Clube de Portugal,3-2,0-1,Portimonense SC,,FINISHED,2021-12-29T21:00:00Z
16,Thu Dec 30 2021,17:00,WET / UTC+0000,FC Paços de Ferreira,2-1,0-1,CD Santa Clara,,FINISHED,2021-12-30T17:00:00Z
16,Thu Dec 30 2021,19:00,WET / UTC+0000,FC Arouca,0-6,0-3,Sporting Clube de Braga,,FINISHED,2021-12-30T19:00:00Z
16,Thu Dec 30 2021,21:00,WET / UTC+0000,FC Porto,3-1,2-0,Sport Lisboa e Benfica,,FINISHED,2021-12-30T21:00:00Z
13,Sun Jan 2 2022,18:30,WET / UTC+0000,FC Vizela,2-0,2-0,Os Belenenses Futebol,,FINISHED,2022-01-02T18:30:00Z
13,Mon Jan 3 2022,20:15,WET / UTC+0000,CD Tondela,2-1,0-1,Moreirense FC,,FINISHED,2022-01-03T20:15:00Z
17,Fri Jan 7 2022,18:30,WET / UTC+0000,CD Santa Clara,3-2,1-1,Sporting Clube de Portugal,,FINISHED,2022-01-07T18:30:00Z
17,Sat Jan 8 2022,15:30,WET / UTC+0000,FC Vizela,0-1,0-0,Moreirense FC,,FINISHED,2022-01-08T15:30:00Z
17,Sat Jan 8 2022,18:00,WET / UTC+0000,GD Estoril Praia,2-3,2-0,FC Porto,,FINISHED,2022-01-08T18:00:00Z
17,Sat Jan 8 2022,20:30,WET / UTC+0000,Boavista FC,1-1,0-0,CD Tondela,,FINISHED,2022-01-08T20:30:00Z
17,Sun Jan 9 2022,15:30,WET / UTC+0000,Portimonense SC,1-2,0-1,CS Marítimo,,FINISHED,2022-01-09T15:30:00Z
17,Sun Jan 9 2022,18:00,WET / UTC+0000,Sporting Clube de Braga,2-2,1-1,FC Famalicão,,FINISHED,2022-01-09T18:00:00Z
17,Sun Jan 9 2022,18:00,WET / UTC+0000,Sport Lisboa e Benfica,2-0,1-0,FC Paços de Ferreira,,FINISHED,2022-01-09T18:00:00Z
17,Sun Jan 9 2022,20:30,WET / UTC+0000,Os Belenenses Futebol,2-1,0-1,FC Arouca,,FINISHED,2022-01-09T20:30:00Z
17,Mon Jan 10 2022,20:15,WET / UTC+0000,Gil Vicente FC,3-2,1-0,Vitória Guimarães,,FINISHED,2022-01-10T20:15:00Z
16,Thu Jan 13 2022,18:00,WET / UTC+0000,FC Famalicão,1-0,0-0,Os Belenenses Futebol,,FINISHED,2022-01-13T18:00:00Z
18,Sat Jan 15 2022,15:30,WET / UTC+0000,Boavista FC,1-1,1-0,Gil Vicente FC,,FINISHED,2022-01-15T15:30:00Z
18,Sat Jan 15 2022,18:00,WET / UTC+0000,Sporting Clube de Braga,0-1,0-0,CS Marítimo,,FINISHED,2022-01-15T18:00:00Z
18,Sat Jan 15 2022,18:00,WET / UTC+0000,Sport Lisboa e Benfica,1-1,0-0,Moreirense FC,,FINISHED,2022-01-15T18:00:00Z
18,Sun Jan 16 2022,15:30,WET / UTC+0000,CD Santa Clara,2-2,2-0,CD Tondela,,FINISHED,2022-01-16T15:30:00Z
18,Sun Jan 16 2022,18:00,WET / UTC+0000,FC Vizela,0-2,0-2,Sporting Clube de Portugal,,FINISHED,2022-01-16T18:00:00Z
18,Sun Jan 16 2022,18:30,WET / UTC+0000,FC Famalicão,0-0,0-0,FC Paços de Ferreira,,FINISHED,2022-01-16T18:30:00Z
18,Sun Jan 16 2022,20:30,WET / UTC+0000,Os Belenenses Futebol,1-4,1-1,FC Porto,,FINISHED,2022-01-16T20:30:00Z
18,Mon Jan 17 2022,20:15,WET / UTC+0000,Portimonense SC,1-1,0-1,Vitória Guimarães,,FINISHED,2022-01-17T20:15:00Z
19,Fri Jan 21 2022,19:00,WET / UTC+0000,FC Arouca,0-2,0-1,Sport Lisboa e Benfica,,FINISHED,2022-01-21T19:00:00Z
19,Fri Jan 21 2022,21:15,WET / UTC+0000,FC Paços de Ferreira,1-1,1-0,Boavista FC,,FINISHED,2022-01-21T21:15:00Z
19,Sat Jan 22 2022,15:30,WET / UTC+0000,Moreirense FC,0-2,0-1,CD Santa Clara,,FINISHED,2022-01-22T15:30:00Z
19,Sat Jan 22 2022,18:00,WET / UTC+0000,CD Tondela,2-3,2-1,FC Vizela,,FINISHED,2022-01-22T18:00:00Z
19,Sat Jan 22 2022,20:30,WET / UTC+0000,Sporting Clube de Portugal,1-2,1-0,Sporting Clube de Braga,,FINISHED,2022-01-22T20:30:00Z
19,Sun Jan 23 2022,15:30,WET / UTC+0000,Vitória Guimarães,3-1,0-1,GD Estoril Praia,,FINISHED,2022-01-23T15:30:00Z
19,Sun Jan 23 2022,15:30,WET / UTC+0000,CS Marítimo,1-1,1-1,Os Belenenses Futebol,,FINISHED,2022-01-23T15:30:00Z
19,Sun Jan 23 2022,18:00,WET / UTC+0000,Gil Vicente FC,1-0,0-0,Portimonense SC,,FINISHED,2022-01-23T18:00:00Z
19,Sun Jan 23 2022,20:30,WET / UTC+0000,FC Porto,3-1,2-0,FC Famalicão,,FINISHED,2022-01-23T20:30:00Z
18,Thu Jan 27 2022,20:15,WET / UTC+0000,GD Estoril Praia,1-2,1-0,FC Arouca,,FINISHED,2022-01-27T20:15:00Z
20,Sun Jan 30 2022,15:30,WET / UTC+0000,Portimonense SC,1-2,1-0,CD Tondela,,FINISHED,2022-01-30T15:30:00Z
20,Sun Jan 30 2022,15:30,WET / UTC+0000,FC Vizela,3-2,1-1,Vitória Guimarães,,FINISHED,2022-01-30T15:30:00Z
20,Sun Jan 30 2022,18:00,WET / UTC+0000,Sporting Clube de Braga,2-0,0-0,Moreirense FC,,FINISHED,2022-01-30T18:00:00Z
20,Sun Jan 30 2022,20:30,WET / UTC+0000,FC Porto,2-1,1-0,CS Marítimo,,FINISHED,2022-01-30T20:30:00Z
20,Mon Jan 31 2022,19:00,WET / UTC+0000,GD Estoril Praia,0-0,0-0,FC Paços de Ferreira,,FINISHED,2022-01-31T19:00:00Z
20,Mon Jan 31 2022,21:15,WET / UTC+0000,FC Famalicão,0-0,0-0,FC Arouca,,FINISHED,2022-01-31T21:15:00Z
20,Tue Feb 1 2022,20:15,WET / UTC+0000,CD Santa Clara,2-1,1-1,Boavista FC,,FINISHED,2022-02-01T20:15:00Z
20,Wed Feb 2 2022,19:00,WET / UTC+0000,Sport Lisboa e Benfica,1-2,0-1,Gil Vicente FC,,FINISHED,2022-02-02T19:00:00Z
20,Wed Feb 2 2022,20:45,WET / UTC+0000,Os Belenenses Futebol,1-4,1-3,Sporting Clube de Portugal,,FINISHED,2022-02-02T20:45:00Z
