Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
1,Fri Aug 6 2021,21:00,CEST / UTC+0200,AS Monaco FC,1-1,1-1,FC Nantes,,FINISHED,2021-08-06T19:00:00Z
1,Sat Aug 7 2021,17:00,CEST / UTC+0200,Olympique Lyonnais,1-1,0-1,Stade Brestois 29,,FINISHED,2021-08-07T15:00:00Z
1,Sat Aug 7 2021,21:00,CEST / UTC+0200,ES Troyes AC,1-2,1-2,Paris Saint-Germain FC,,FINISHED,2021-08-07T19:00:00Z
1,Sun Aug 8 2021,13:00,CEST / UTC+0200,Stade Rennais FC 1901,1-1,1-1,Racing Club de Lens,,FINISHED,2021-08-08T11:00:00Z
1,Sun Aug 8 2021,15:00,CEST / UTC+0200,RC Strasbourg Alsace,0-2,0-0,Angers SCO,,FINISHED,2021-08-08T13:00:00Z
1,Sun Aug 8 2021,15:00,CEST / UTC+0200,AS Saint-Étienne,1-1,0-0,FC Lorient,,FINISHED,2021-08-08T13:00:00Z
1,Sun Aug 8 2021,15:00,CEST / UTC+0200,OGC Nice,0-0,0-0,Stade de Reims,,FINISHED,2021-08-08T13:00:00Z
1,Sun Aug 8 2021,15:00,CEST / UTC+0200,FC Girondins de Bordeaux,0-2,0-0,Clermont Foot 63,,FINISHED,2021-08-08T13:00:00Z
1,Sun Aug 8 2021,17:00,CEST / UTC+0200,FC Metz,3-3,2-1,Lille OSC,,FINISHED,2021-08-08T15:00:00Z
1,Sun Aug 8 2021,20:45,CEST / UTC+0200,Montpellier HSC,2-3,2-0,Olympique de Marseille,,FINISHED,2021-08-08T18:45:00Z
2,Fri Aug 13 2021,21:00,CEST / UTC+0200,FC Lorient,1-0,1-0,AS Monaco FC,,FINISHED,2021-08-13T19:00:00Z
2,Sat Aug 14 2021,17:00,CEST / UTC+0200,Lille OSC,0-4,0-3,OGC Nice,,FINISHED,2021-08-14T15:00:00Z
2,Sat Aug 14 2021,21:00,CEST / UTC+0200,Paris Saint-Germain FC,4-2,3-0,RC Strasbourg Alsace,,FINISHED,2021-08-14T19:00:00Z
2,Sun Aug 15 2021,13:00,CEST / UTC+0200,Angers SCO,3-0,1-0,Olympique Lyonnais,,FINISHED,2021-08-15T11:00:00Z
2,Sun Aug 15 2021,15:00,CEST / UTC+0200,Stade de Reims,3-3,2-3,Montpellier HSC,,FINISHED,2021-08-15T13:00:00Z
2,Sun Aug 15 2021,15:00,CEST / UTC+0200,FC Nantes,2-0,1-0,FC Metz,,FINISHED,2021-08-15T13:00:00Z
2,Sun Aug 15 2021,15:00,CEST / UTC+0200,Clermont Foot 63,2-0,0-0,ES Troyes AC,,FINISHED,2021-08-15T13:00:00Z
2,Sun Aug 15 2021,15:00,CEST / UTC+0200,Stade Brestois 29,1-1,0-0,Stade Rennais FC 1901,,FINISHED,2021-08-15T13:00:00Z
2,Sun Aug 15 2021,17:00,CEST / UTC+0200,Racing Club de Lens,2-2,1-1,AS Saint-Étienne,,FINISHED,2021-08-15T15:00:00Z
2,Sun Aug 15 2021,20:45,CEST / UTC+0200,Olympique de Marseille,2-2,2-0,FC Girondins de Bordeaux,,FINISHED,2021-08-15T18:45:00Z
