Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
1,Fri Aug 13 2021,20:00,CEST / UTC+0200,Go Ahead Eagles,0-1,0-1,SC Heerenveen,,FINISHED,2021-08-13T18:00:00Z
1,Sat Aug 14 2021,16:30,CEST / UTC+0200,RKC Waalwijk,1-0,1-0,AZ,,FINISHED,2021-08-14T14:30:00Z
1,Sat Aug 14 2021,18:45,CEST / UTC+0200,Heracles Almelo,0-2,0-1,PSV,,FINISHED,2021-08-14T16:45:00Z
1,Sat Aug 14 2021,20:00,CEST / UTC+0200,Fortuna Sittard,2-1,0-1,FC Twente '65,,FINISHED,2021-08-14T18:00:00Z
1,Sat Aug 14 2021,21:00,CEST / UTC+0200,AFC Ajax,5-0,5-0,NEC,,FINISHED,2021-08-14T19:00:00Z
1,Sun Aug 15 2021,12:15,CEST / UTC+0200,SC Cambuur-Leeuwarden,1-2,0-1,FC Groningen,,FINISHED,2021-08-15T10:15:00Z
1,Sun Aug 15 2021,14:30,CEST / UTC+0200,FC Utrecht,4-0,1-0,Sparta Rotterdam,,FINISHED,2021-08-15T12:30:00Z
1,Sun Aug 15 2021,14:30,CEST / UTC+0200,PEC Zwolle,0-1,0-1,SBV Vitesse,,FINISHED,2021-08-15T12:30:00Z
1,Sun Aug 15 2021,16:45,CEST / UTC+0200,Willem II Tilburg,0-4,0-2,Feyenoord Rotterdam,,FINISHED,2021-08-15T14:45:00Z
2,Fri Aug 20 2021,20:00,CEST / UTC+0200,NEC,2-0,2-0,PEC Zwolle,,FINISHED,2021-08-20T18:00:00Z
2,Sat Aug 21 2021,18:45,CEST / UTC+0200,SC Heerenveen,3-2,3-0,RKC Waalwijk,,FINISHED,2021-08-21T16:45:00Z
2,Sat Aug 21 2021,20:00,CEST / UTC+0200,Sparta Rotterdam,1-1,1-0,Heracles Almelo,,FINISHED,2021-08-21T18:00:00Z
2,Sat Aug 21 2021,20:00,CEST / UTC+0200,PSV,4-1,2-0,SC Cambuur-Leeuwarden,,FINISHED,2021-08-21T18:00:00Z
2,Sat Aug 21 2021,21:00,CEST / UTC+0200,FC Groningen,0-0,0-0,FC Utrecht,,FINISHED,2021-08-21T19:00:00Z
2,Sun Aug 22 2021,12:15,CEST / UTC+0200,FC Twente '65,1-1,0-0,AFC Ajax,,FINISHED,2021-08-22T10:15:00Z
2,Sun Aug 22 2021,14:30,CEST / UTC+0200,Feyenoord Rotterdam,2-0,0-0,Go Ahead Eagles,,FINISHED,2021-08-22T12:30:00Z
2,Sun Aug 22 2021,16:45,CEST / UTC+0200,SBV Vitesse,0-3,0-2,Willem II Tilburg,,FINISHED,2021-08-22T14:45:00Z
3,Fri Aug 27 2021,20:00,CEST / UTC+0200,Fortuna Sittard,2-2,1-1,RKC Waalwijk,,FINISHED,2021-08-27T18:00:00Z
3,Sat Aug 28 2021,18:45,CEST / UTC+0200,SC Cambuur-Leeuwarden,2-0,0-0,FC Twente '65,,FINISHED,2021-08-28T16:45:00Z
3,Sat Aug 28 2021,20:00,CEST / UTC+0200,PSV,5-2,3-2,FC Groningen,,FINISHED,2021-08-28T18:00:00Z
3,Sat Aug 28 2021,20:00,CEST / UTC+0200,Go Ahead Eagles,2-0,1-0,Sparta Rotterdam,,FINISHED,2021-08-28T18:00:00Z
3,Sat Aug 28 2021,21:00,CEST / UTC+0200,Willem II Tilburg,1-0,0-0,PEC Zwolle,,FINISHED,2021-08-28T19:00:00Z
3,Sun Aug 29 2021,12:15,CEST / UTC+0200,FC Utrecht,3-1,1-1,Feyenoord Rotterdam,,FINISHED,2021-08-29T10:15:00Z
3,Sun Aug 29 2021,14:30,CEST / UTC+0200,Heracles Almelo,0-1,0-0,NEC,,FINISHED,2021-08-29T12:30:00Z
3,Sun Aug 29 2021,14:30,CEST / UTC+0200,AFC Ajax,5-0,3-0,SBV Vitesse,,FINISHED,2021-08-29T12:30:00Z
3,Sun Aug 29 2021,16:45,CEST / UTC+0200,SC Heerenveen,1-3,1-1,AZ,,FINISHED,2021-08-29T14:45:00Z
4,Sat Sep 11 2021,16:30,CEST / UTC+0200,FC Twente '65,1-0,0-0,FC Utrecht,,FINISHED,2021-09-11T14:30:00Z
4,Sat Sep 11 2021,18:45,CEST / UTC+0200,SC Cambuur-Leeuwarden,5-2,1-1,Go Ahead Eagles,,FINISHED,2021-09-11T16:45:00Z
4,Sat Sep 11 2021,18:45,CEST / UTC+0200,PEC Zwolle,0-2,0-1,AFC Ajax,,FINISHED,2021-09-11T16:45:00Z
4,Sat Sep 11 2021,21:00,CEST / UTC+0200,AZ,0-3,0-1,PSV,,FINISHED,2021-09-11T19:00:00Z
4,Sun Sep 12 2021,12:15,CEST / UTC+0200,NEC,0-0,0-0,Willem II Tilburg,,FINISHED,2021-09-12T10:15:00Z
4,Sun Sep 12 2021,14:30,CEST / UTC+0200,FC Groningen,1-1,0-1,SC Heerenveen,,FINISHED,2021-09-12T12:30:00Z
4,Sun Sep 12 2021,14:30,CEST / UTC+0200,Sparta Rotterdam,3-1,2-0,Fortuna Sittard,,FINISHED,2021-09-12T12:30:00Z
4,Sun Sep 12 2021,16:45,CEST / UTC+0200,RKC Waalwijk,1-2,1-1,SBV Vitesse,,FINISHED,2021-09-12T14:45:00Z
5,Fri Sep 17 2021,20:00,CEST / UTC+0200,Sparta Rotterdam,1-1,1-1,NEC,,FINISHED,2021-09-17T18:00:00Z
5,Sat Sep 18 2021,16:30,CEST / UTC+0200,SC Heerenveen,1-0,1-0,Fortuna Sittard,,FINISHED,2021-09-18T14:30:00Z
5,Sat Sep 18 2021,18:45,CEST / UTC+0200,Willem II Tilburg,2-1,2-0,FC Groningen,,FINISHED,2021-09-18T16:45:00Z
5,Sat Sep 18 2021,20:00,CEST / UTC+0200,AFC Ajax,9-0,4-0,SC Cambuur-Leeuwarden,,FINISHED,2021-09-18T18:00:00Z
5,Sat Sep 18 2021,21:00,CEST / UTC+0200,FC Utrecht,2-2,1-2,RKC Waalwijk,,FINISHED,2021-09-18T19:00:00Z
5,Sun Sep 19 2021,12:15,CEST / UTC+0200,Go Ahead Eagles,1-0,0-0,PEC Zwolle,,FINISHED,2021-09-19T10:15:00Z
5,Sun Sep 19 2021,14:30,CEST / UTC+0200,PSV,0-4,0-1,Feyenoord Rotterdam,,FINISHED,2021-09-19T12:30:00Z
5,Sun Sep 19 2021,16:45,CEST / UTC+0200,Heracles Almelo,3-2,1-1,AZ,,FINISHED,2021-09-19T14:45:00Z
5,Sun Sep 19 2021,16:45,CEST / UTC+0200,SBV Vitesse,1-4,0-2,FC Twente '65,,FINISHED,2021-09-19T14:45:00Z
