Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 21 2021,18:30,CEST/+0200,FC Internazionale Milano,4-0,2-0,Genoa CFC,2021-08-21T16:30:00Z
1,Sat Aug 21 2021,18:30,CEST/+0200,Hellas Verona FC,2-3,0-1,US Sassuolo Calcio,2021-08-21T16:30:00Z
1,Sat Aug 21 2021,20:45,CEST/+0200,Torino FC,1-2,0-1,Atalanta BC,2021-08-21T18:45:00Z
1,Sat Aug 21 2021,20:45,CEST/+0200,Empoli FC,1-3,1-3,SS Lazio,2021-08-21T18:45:00Z
1,Sun Aug 22 2021,18:30,CEST/+0200,Udinese Calcio,2-2,0-2,Juventus FC,2021-08-22T16:30:00Z
1,Sun Aug 22 2021,18:30,CEST/+0200,Bologna FC 1909,3-2,0-0,US Salernitana 1919,2021-08-22T16:30:00Z
1,Sun Aug 22 2021,20:45,CEST/+0200,AS Roma,3-1,1-0,ACF Fiorentina,2021-08-22T18:45:00Z
1,Sun Aug 22 2021,20:45,CEST/+0200,SSC Napoli,2-0,0-0,Venezia FC,2021-08-22T18:45:00Z
1,Mon Aug 23 2021,18:30,CEST/+0200,Cagliari Calcio,2-2,0-1,Spezia Calcio,2021-08-23T16:30:00Z
1,Mon Aug 23 2021,20:45,CEST/+0200,UC Sampdoria,0-1,0-1,AC Milan,2021-08-23T18:45:00Z
2,Fri Aug 27 2021,18:30,CEST/+0200,Udinese Calcio,3-0,1-0,Venezia FC,2021-08-27T16:30:00Z
2,Fri Aug 27 2021,20:45,CEST/+0200,Hellas Verona FC,1-3,1-0,FC Internazionale Milano,2021-08-27T18:45:00Z
2,Sat Aug 28 2021,18:30,CEST/+0200,SS Lazio,6-1,3-1,Spezia Calcio,2021-08-28T16:30:00Z
2,Sat Aug 28 2021,18:30,CEST/+0200,Atalanta BC,0-0,0-0,Bologna FC 1909,2021-08-28T16:30:00Z
2,Sat Aug 28 2021,20:45,CEST/+0200,Juventus FC,0-1,0-1,Empoli FC,2021-08-28T18:45:00Z
2,Sat Aug 28 2021,20:45,CEST/+0200,ACF Fiorentina,2-1,1-0,Torino FC,2021-08-28T18:45:00Z
2,Sun Aug 29 2021,18:30,CEST/+0200,US Sassuolo Calcio,0-0,0-0,UC Sampdoria,2021-08-29T16:30:00Z
2,Sun Aug 29 2021,18:30,CEST/+0200,Genoa CFC,1-2,0-1,SSC Napoli,2021-08-29T16:30:00Z
2,Sun Aug 29 2021,20:45,CEST/+0200,US Salernitana 1919,0-4,0-0,AS Roma,2021-08-29T18:45:00Z
2,Sun Aug 29 2021,20:45,CEST/+0200,AC Milan,4-1,4-1,Cagliari Calcio,2021-08-29T18:45:00Z
