Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 25 Aug 2012 (34),AEK Athens FC (1),0-1,0-0,Asteras Tripolis FC (1)
?,(Sat) 25 Aug 2012 (34),PAS Giannina FC (1),0-0,0-0,Platanias FC (1)
?,(Sat) 25 Aug 2012 (34),Levadiakos FC (1),0-1,0-1,Panathinaikos FC (1)
?,(Sun) 26 Aug 2012 (34),Kerkyra FC (1),0-2,0-2,Atromitos FC (1)
?,(Sun) 26 Aug 2012 (34),OFI Crete FC (1),0-0,0-0,Xanthi FC (1)
?,(Sun) 26 Aug 2012 (34),PAOK FC (1),1-0,0-0,Panthrakikos FC (1)
?,(Sun) 26 Aug 2012 (34),Veria FC (1),1-2,1-2,Olympiacos Piraeus FC (1)
?,(Mon) 27 Aug 2012 (35),Panionios GSS (1),1-0,1-0,Aris Thessaloniki FC (1)
?,(Fri) 31 Aug 2012 (35),Panathinaikos FC (2),1-1,1-1,PAS Giannina FC (2)
?,(Sat) 1 Sep 2012 (35),Platanias FC (2),2-0,2-0,Panthrakikos FC (2)
?,(Sat) 1 Sep 2012 (35),Veria FC (2),0-1,0-0,Panionios GSS (2)
?,(Sat) 1 Sep 2012 (35),Xanthi FC (2),1-0,0-0,AEK Athens FC (2)
?,(Sun) 2 Sep 2012 (35),Aris Thessaloniki FC (2),0-0,0-0,OFI Crete FC (2)
?,(Sun) 2 Sep 2012 (35),Asteras Tripolis FC (2),3-0,0-0,Kerkyra FC (2)
?,(Sun) 2 Sep 2012 (35),Olympiacos Piraeus FC (2),4-0,2-0,Levadiakos FC (2)
?,(Mon) 3 Sep 2012 (36),Atromitos FC (2),1-0,0-0,PAOK FC (2)
?,(Sat) 15 Sep 2012 (37),PAS Giannina FC (3),1-2,0-0,Olympiacos Piraeus FC (3)
?,(Sat) 15 Sep 2012 (37),Levadiakos FC (3),0-0,0-0,Veria FC (3)
?,(Sat) 15 Sep 2012 (37),Panthrakikos FC (3),1-0,0-0,Panathinaikos FC (3)
?,(Sun) 16 Sep 2012 (37),AEK Athens FC (3),1-1,0-0,Aris Thessaloniki FC (3)
?,(Sun) 16 Sep 2012 (37),Kerkyra FC (3),1-1,0-0,Xanthi FC (3)
?,(Sun) 16 Sep 2012 (37),PAOK FC (3),2-1,0-1,Asteras Tripolis FC (3)
?,(Sun) 16 Sep 2012 (37),Platanias FC (3),0-0,0-0,Atromitos FC (3)
?,(Mon) 17 Sep 2012 (38),Panionios GSS (3),2-1,1-0,OFI Crete FC (3)
?,(Sat) 22 Sep 2012 (38),Asteras Tripolis FC (4),2-1,1-0,Platanias FC (4)
?,(Sat) 22 Sep 2012 (38),Levadiakos FC (4),3-0,3-0,Panionios GSS (4)
?,(Sat) 22 Sep 2012 (38),Xanthi FC (4),0-3,0-1,PAOK FC (4)
?,(Sun) 23 Sep 2012 (38),Aris Thessaloniki FC (4),1-0,0-0,Kerkyra FC (4)
?,(Sun) 23 Sep 2012 (38),OFI Crete FC (4),2-1,2-1,AEK Athens FC (4)
?,(Sun) 23 Sep 2012 (38),Olympiacos Piraeus FC (4),4-1,3-0,Panthrakikos FC (4)
?,(Sun) 23 Sep 2012 (38),Veria FC (4),1-0,0-0,PAS Giannina FC (4)
?,(Mon) 24 Sep 2012 (39),Panathinaikos FC (4),1-1,1-0,Atromitos FC (4)
?,(Sat) 29 Sep 2012 (39),Atromitos FC (5),0-1,0-1,Olympiacos Piraeus FC (5)
?,(Sat) 29 Sep 2012 (39),Kerkyra FC (5),2-1,2-0,OFI Crete FC (5)
?,(Sat) 29 Sep 2012 (39),Panionios GSS (5),1-0,1-0,AEK Athens FC (5)
?,(Sun) 30 Sep 2012 (39),Panathinaikos FC (5),0-0,0-0,Asteras Tripolis FC (5)
?,(Sun) 30 Sep 2012 (39),Panthrakikos FC (5),0-1,0-0,Veria FC (5)
?,(Sun) 30 Sep 2012 (39),PAOK FC (5),4-1,4-1,Aris Thessaloniki FC (5)
?,(Sun) 30 Sep 2012 (39),Platanias FC (5),3-2,0-1,Xanthi FC (5)
?,(Mon) 1 Oct 2012 (40),PAS Giannina FC (5),1-0,0-0,Levadiakos FC (5)
?,(Sat) 6 Oct 2012 (40),AEK Athens FC (6),1-1,0-1,Kerkyra FC (6)
?,(Sat) 6 Oct 2012 (40),OFI Crete FC (6),1-1,1-1,PAOK FC (6)
?,(Sat) 6 Oct 2012 (40),Veria FC (6),2-2,0-2,Atromitos FC (6)
?,(Sun) 7 Oct 2012 (40),Aris Thessaloniki FC (6),0-2,0-1,Platanias FC (6)
?,(Sun) 7 Oct 2012 (40),PAS Giannina FC (6),1-2,1-1,Panionios GSS (6)
?,(Sun) 7 Oct 2012 (40),Olympiacos Piraeus FC (6),1-0,1-0,Asteras Tripolis FC (6)
?,(Sun) 7 Oct 2012 (40),Xanthi FC (6),1-2,1-2,Panathinaikos FC (6)
?,(Mon) 8 Oct 2012 (41),Levadiakos FC (6),0-3,0-2,Panthrakikos FC (6)
?,(Sat) 20 Oct 2012 (42),Olympiacos Piraeus FC (7),4-0,1-0,Xanthi FC (7)
?,(Sat) 20 Oct 2012 (42),Panionios GSS (7),0-1,0-0,Kerkyra FC (7)
?,(Sat) 20 Oct 2012 (42),PAOK FC (7),1-0,0-0,AEK Athens FC (7)
?,(Sun) 21 Oct 2012 (42),Asteras Tripolis FC (7),3-0,0-0,Veria FC (7)
?,(Sun) 21 Oct 2012 (42),Atromitos FC (7),0-0,0-0,Levadiakos FC (7)
?,(Sun) 21 Oct 2012 (42),Panathinaikos FC (7),1-1,0-0,Aris Thessaloniki FC (7)
?,(Sun) 21 Oct 2012 (42),Panthrakikos FC (7),0-3,0-2,PAS Giannina FC (7)
?,(Mon) 22 Oct 2012 (43),Platanias FC (7),1-2,0-1,OFI Crete FC (7)
?,(Sat) 27 Oct 2012 (43),Kerkyra FC (8),0-0,0-0,PAOK FC (8)
?,(Sat) 27 Oct 2012 (43),Levadiakos FC (8),0-0,0-0,Asteras Tripolis FC (8)
?,(Sat) 27 Oct 2012 (43),Panthrakikos FC (8),1-2,0-1,Panionios GSS (8)
?,(Sun) 28 Oct 2012 (43),AEK Athens FC (8),1-0,0-0,Platanias FC (8)
?,(Sun) 28 Oct 2012 (43),PAS Giannina FC (8),0-0,0-0,Atromitos FC (8)
?,(Sun) 28 Oct 2012 (43),Veria FC (8),0-0,0-0,Xanthi FC (8)
?,(Mon) 29 Oct 2012 (44),Aris Thessaloniki FC (8),2-2,1-1,Olympiacos Piraeus FC (8)
?,(Mon) 29 Oct 2012 (44),OFI Crete FC (8),2-2,1-2,Panathinaikos FC (8)
?,(Sat) 3 Nov 2012 (44),Atromitos FC (9),2-1,1-1,Panthrakikos FC (9)
?,(Sat) 3 Nov 2012 (44),Olympiacos Piraeus FC (9),2-0,1-0,OFI Crete FC (9)
?,(Sat) 3 Nov 2012 (44),Platanias FC (9),1-1,1-0,Kerkyra FC (9)
?,(Sun) 4 Nov 2012 (44),Asteras Tripolis FC (9),2-0,1-0,PAS Giannina FC (9)
?,(Sun) 4 Nov 2012 (44),Panathinaikos FC (9),1-0,1-0,AEK Athens FC (9)
?,(Sun) 4 Nov 2012 (44),Panionios GSS (9),1-2,0-2,PAOK FC (9)
?,(Sun) 4 Nov 2012 (44),Xanthi FC (9),1-0,0-0,Levadiakos FC (9)
?,(Mon) 5 Nov 2012 (45),Aris Thessaloniki FC (9),2-1,0-1,Veria FC (9)
?,(Sat) 10 Nov 2012 (45),PAS Giannina FC (10),1-0,1-0,Xanthi FC (10)
?,(Sat) 10 Nov 2012 (45),Levadiakos FC (10),2-1,2-1,Aris Thessaloniki FC (10)
?,(Sat) 10 Nov 2012 (45),OFI Crete FC (10),2-0,1-0,Veria FC (10)
?,(Sun) 11 Nov 2012 (45),AEK Athens FC (10),0-4,0-1,Olympiacos Piraeus FC (10)
?,(Sun) 11 Nov 2012 (45),Atromitos FC (10),1-0,1-0,Panionios GSS (10)
?,(Sun) 11 Nov 2012 (45),Panthrakikos FC (10),1-0,1-0,Asteras Tripolis FC (10)
?,(Sun) 11 Nov 2012 (45),PAOK FC (10),2-0,0-0,Platanias FC (10)
?,(Mon) 12 Nov 2012 (46),Kerkyra FC (10),0-0,0-0,Panathinaikos FC (10)
?,(Sat) 17 Nov 2012 (46),Aris Thessaloniki FC (11),1-2,0-2,PAS Giannina FC (11)
?,(Sat) 17 Nov 2012 (46),Olympiacos Piraeus FC (11),2-0,1-0,Kerkyra FC (11)
?,(Sat) 17 Nov 2012 (46),Panionios GSS (11),4-0,3-0,Platanias FC (11)
?,(Sun) 18 Nov 2012 (46),OFI Crete FC (11),0-2,0-1,Levadiakos FC (11)
?,(Sun) 18 Nov 2012 (46),Panathinaikos FC (11),2-0,0-0,PAOK FC (11)
?,(Sun) 18 Nov 2012 (46),Veria FC (11),0-4,0-2,AEK Athens FC (11)
?,(Sun) 18 Nov 2012 (46),Xanthi FC (11),0-0,0-0,Panthrakikos FC (11)
?,(Mon) 19 Nov 2012 (47),Asteras Tripolis FC (11),3-0,2-0,Atromitos FC (11)
?,(Sat) 24 Nov 2012 (47),AEK Athens FC (12),0-1,0-0,Levadiakos FC (12)
?,(Sat) 24 Nov 2012 (47),Atromitos FC (12),1-0,0-0,Xanthi FC (12)
?,(Sat) 24 Nov 2012 (47),PAS Giannina FC (12),1-0,1-0,OFI Crete FC (12)
?,(Sun) 25 Nov 2012 (47),Asteras Tripolis FC (12),2-1,2-0,Panionios GSS (12)
?,(Sun) 25 Nov 2012 (47),Kerkyra FC (12),1-1,1-0,Veria FC (12)
?,(Sun) 25 Nov 2012 (47),PAOK FC (12),1-1,0-1,Olympiacos Piraeus FC (12)
?,(Sun) 25 Nov 2012 (47),Platanias FC (12),2-1,1-0,Panathinaikos FC (12)
?,(Mon) 26 Nov 2012 (48),Panthrakikos FC (12),4-0,2-0,Aris Thessaloniki FC (12)
?,(Sat) 1 Dec 2012 (48),Aris Thessaloniki FC (13),1-1,1-0,Atromitos FC (13)
?,(Sat) 1 Dec 2012 (48),Olympiacos Piraeus FC (13),2-1,2-1,Platanias FC (13)
?,(Sat) 1 Dec 2012 (48),Xanthi FC (13),1-1,1-0,Asteras Tripolis FC (13)
?,(Sun) 2 Dec 2012 (48),Levadiakos FC (13),2-0,0-0,Kerkyra FC (13)
?,(Sun) 2 Dec 2012 (48),OFI Crete FC (13),1-1,0-0,Panthrakikos FC (13)
?,(Sun) 2 Dec 2012 (48),Panionios GSS (13),1-2,0-2,Panathinaikos FC (13)
?,(Sun) 2 Dec 2012 (48),Veria FC (13),0-0,0-0,PAOK FC (13)
?,(Mon) 3 Dec 2012 (49),AEK Athens FC (13),2-1,1-1,PAS Giannina FC (13)
?,(Sat) 8 Dec 2012 (49),Atromitos FC (14),3-2,1-1,OFI Crete FC (14)
?,(Sat) 8 Dec 2012 (49),Kerkyra FC (14),0-2,0-0,PAS Giannina FC (14)
?,(Sat) 8 Dec 2012 (49),PAOK FC (14),1-0,0-0,Levadiakos FC (14)
?,(Sun) 9 Dec 2012 (49),Asteras Tripolis FC (14),1-1,0-1,Aris Thessaloniki FC (14)
?,(Sun) 9 Dec 2012 (49),Panathinaikos FC (14),2-2,1-2,Olympiacos Piraeus FC (14)
?,(Sun) 9 Dec 2012 (49),Platanias FC (14),0-0,0-0,Veria FC (14)
?,(Sun) 9 Dec 2012 (49),Xanthi FC (14),4-0,3-0,Panionios GSS (14)
?,(Mon) 10 Dec 2012 (50),Panthrakikos FC (14),1-0,0-0,AEK Athens FC (14)
?,(Sat) 15 Dec 2012 (50),Kerkyra FC (15),0-2,0-1,Panthrakikos FC (15)
?,(Sat) 15 Dec 2012 (50),OFI Crete FC (15),2-0,1-0,Asteras Tripolis FC (15)
?,(Sat) 15 Dec 2012 (50),Panionios GSS (15),1-2,1-1,Olympiacos Piraeus FC (15)
?,(Sun) 16 Dec 2012 (50),AEK Athens FC (15),1-1,0-0,Atromitos FC (15)
?,(Sun) 16 Dec 2012 (50),Aris Thessaloniki FC (15),0-0,0-0,Xanthi FC (15)
?,(Sun) 16 Dec 2012 (50),Levadiakos FC (15),1-0,1-0,Platanias FC (15)
?,(Sun) 16 Dec 2012 (50),Veria FC (15),3-0,2-0,Panathinaikos FC (15)
?,(Mon) 17 Dec 2012 (51),PAS Giannina FC (15),1-3,0-2,PAOK FC (15)
?,(Sat) 5 Jan 2013 (0),Asteras Tripolis FC (16),3-1,1-1,AEK Athens FC (16)
?,(Sat) 5 Jan 2013 (0),Panathinaikos FC (16),1-2,1-1,Levadiakos FC (16)
?,(Sat) 5 Jan 2013 (0),Platanias FC (16),1-1,1-1,PAS Giannina FC (16)
?,(Sun) 6 Jan 2013 (0),Aris Thessaloniki FC (16),2-1,1-1,Panionios GSS (16)
?,(Sun) 6 Jan 2013 (0),Atromitos FC (16),2-0,2-0,Kerkyra FC (16)
?,(Sun) 6 Jan 2013 (0),Olympiacos Piraeus FC (16),3-0,0-0,Veria FC (16)
?,(Sun) 6 Jan 2013 (0),Panthrakikos FC (16),1-4,1-0,PAOK FC (16)
?,(Mon) 7 Jan 2013 (1),Xanthi FC (16),3-0,2-0,OFI Crete FC (16)
?,(Sat) 12 Jan 2013 (1),AEK Athens FC (17),1-0,0-0,Xanthi FC (17)
?,(Sat) 12 Jan 2013 (1),Levadiakos FC (17),0-1,0-0,Olympiacos Piraeus FC (17)
?,(Sat) 12 Jan 2013 (1),Panthrakikos FC (17),1-1,0-0,Platanias FC (17)
?,(Sun) 13 Jan 2013 (1),PAS Giannina FC (17),0-0,0-0,Panathinaikos FC (17)
?,(Sun) 13 Jan 2013 (1),OFI Crete FC (17),2-0,1-0,Aris Thessaloniki FC (17)
?,(Sun) 13 Jan 2013 (1),Panionios GSS (17),1-1,0-0,Veria FC (17)
?,(Sun) 13 Jan 2013 (1),PAOK FC (17),0-0,0-0,Atromitos FC (17)
?,(Mon) 14 Jan 2013 (2),Kerkyra FC (17),0-1,0-1,Asteras Tripolis FC (17)
?,(Sat) 19 Jan 2013 (2),Asteras Tripolis FC (18),1-0,1-0,PAOK FC (18)
