Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
1,Fri Aug 5 2022,21:00,CEST / UTC+0200,Olympique Lyonnais,2-1,2-1,AC Ajaccio,,FINISHED,2022-08-05T19:00:00Z
1,Sat Aug 6 2022,17:00,CEST / UTC+0200,RC Strasbourg Alsace,1-2,0-1,AS Monaco FC,,FINISHED,2022-08-06T15:00:00Z
1,Sat Aug 6 2022,21:00,CEST / UTC+0200,Clermont Foot 63,0-5,0-3,Paris Saint-Germain FC,,FINISHED,2022-08-06T19:00:00Z
1,Sun Aug 7 2022,13:00,CEST / UTC+0200,Toulouse FC,1-1,1-0,OGC Nice,,FINISHED,2022-08-07T11:00:00Z
1,Sun Aug 7 2022,15:00,CEST / UTC+0200,Racing Club de Lens,3-2,1-0,Stade Brestois 29,,FINISHED,2022-08-07T13:00:00Z
1,Sun Aug 7 2022,15:00,CEST / UTC+0200,Montpellier HSC,3-2,2-2,ES Troyes AC,,FINISHED,2022-08-07T13:00:00Z
1,Sun Aug 7 2022,15:00,CEST / UTC+0200,Lille OSC,4-1,3-0,AJ Auxerre,,FINISHED,2022-08-07T13:00:00Z
1,Sun Aug 7 2022,15:00,CEST / UTC+0200,Angers SCO,0-0,0-0,FC Nantes,,FINISHED,2022-08-07T13:00:00Z
1,Sun Aug 7 2022,17:05,CEST / UTC+0200,Stade Rennais FC 1901,0-1,0-0,FC Lorient,,FINISHED,2022-08-07T15:05:00Z
1,Sun Aug 7 2022,20:45,CEST / UTC+0200,Olympique de Marseille,4-1,2-0,Stade de Reims,,FINISHED,2022-08-07T18:45:00Z
2,Fri Aug 12 2022,21:00,CEST / UTC+0200,FC Nantes,1-1,1-0,Lille OSC,,FINISHED,2022-08-12T19:00:00Z
2,Sat Aug 13 2022,17:00,CEST / UTC+0200,AS Monaco FC,1-1,0-0,Stade Rennais FC 1901,,FINISHED,2022-08-13T15:00:00Z
2,Sat Aug 13 2022,21:00,CEST / UTC+0200,Paris Saint-Germain FC,5-2,2-0,Montpellier HSC,,FINISHED,2022-08-13T19:00:00Z
2,Sun Aug 14 2022,15:00,CEST / UTC+0200,ES Troyes AC,0-3,0-1,Toulouse FC,,FINISHED,2022-08-14T13:00:00Z
2,Sun Aug 14 2022,15:00,CEST / UTC+0200,Stade de Reims,2-4,2-0,Clermont Foot 63,,FINISHED,2022-08-14T13:00:00Z
2,Sun Aug 14 2022,15:00,CEST / UTC+0200,AJ Auxerre,2-2,2-1,Angers SCO,,FINISHED,2022-08-14T13:00:00Z
2,Sun Aug 14 2022,15:00,CEST / UTC+0200,AC Ajaccio,0-0,0-0,Racing Club de Lens,,FINISHED,2022-08-14T13:00:00Z
2,Sun Aug 14 2022,17:05,CEST / UTC+0200,OGC Nice,1-1,1-0,RC Strasbourg Alsace,,FINISHED,2022-08-14T15:05:00Z
2,Sun Aug 14 2022,20:45,CEST / UTC+0200,Stade Brestois 29,1-1,0-1,Olympique de Marseille,,FINISHED,2022-08-14T18:45:00Z
3,Fri Aug 19 2022,21:00,CEST / UTC+0200,Olympique Lyonnais,4-1,1-1,ES Troyes AC,,FINISHED,2022-08-19T19:00:00Z
3,Sat Aug 20 2022,17:00,CEST / UTC+0200,AS Monaco FC,1-4,1-2,Racing Club de Lens,,FINISHED,2022-08-20T15:00:00Z
3,Sat Aug 20 2022,21:00,CEST / UTC+0200,Olympique de Marseille,2-1,0-0,FC Nantes,,FINISHED,2022-08-20T19:00:00Z
3,Sun Aug 21 2022,13:00,CEST / UTC+0200,RC Strasbourg Alsace,1-1,1-0,Stade de Reims,,FINISHED,2022-08-21T11:00:00Z
3,Sun Aug 21 2022,15:00,CEST / UTC+0200,Toulouse FC,2-2,1-1,FC Lorient,,FINISHED,2022-08-21T13:00:00Z
3,Sun Aug 21 2022,15:00,CEST / UTC+0200,Montpellier HSC,1-2,1-0,AJ Auxerre,,FINISHED,2022-08-21T13:00:00Z
3,Sun Aug 21 2022,15:00,CEST / UTC+0200,Clermont Foot 63,1-0,1-0,OGC Nice,,FINISHED,2022-08-21T13:00:00Z
3,Sun Aug 21 2022,15:00,CEST / UTC+0200,Angers SCO,1-3,0-2,Stade Brestois 29,,FINISHED,2022-08-21T13:00:00Z
3,Sun Aug 21 2022,17:05,CEST / UTC+0200,Stade Rennais FC 1901,2-1,1-0,AC Ajaccio,,FINISHED,2022-08-21T15:05:00Z
3,Sun Aug 21 2022,20:45,CEST / UTC+0200,Lille OSC,1-7,0-4,Paris Saint-Germain FC,,FINISHED,2022-08-21T18:45:00Z
4,Fri Aug 26 2022,21:00,CEST / UTC+0200,AC Ajaccio,1-3,0-2,Lille OSC,,FINISHED,2022-08-26T19:00:00Z
4,Sat Aug 27 2022,17:00,CEST / UTC+0200,AJ Auxerre,1-0,1-0,RC Strasbourg Alsace,,FINISHED,2022-08-27T15:00:00Z
4,Sat Aug 27 2022,21:00,CEST / UTC+0200,Racing Club de Lens,2-1,0-0,Stade Rennais FC 1901,,FINISHED,2022-08-27T19:00:00Z
4,Sun Aug 28 2022,13:00,CEST / UTC+0200,FC Nantes,3-1,0-1,Toulouse FC,,FINISHED,2022-08-28T11:00:00Z
4,Sun Aug 28 2022,15:00,CEST / UTC+0200,ES Troyes AC,3-1,1-0,Angers SCO,,FINISHED,2022-08-28T13:00:00Z
4,Sun Aug 28 2022,15:00,CEST / UTC+0200,Stade Brestois 29,0-7,0-5,Montpellier HSC,,FINISHED,2022-08-28T13:00:00Z
4,Sun Aug 28 2022,15:00,CEST / UTC+0200,OGC Nice,0-3,0-3,Olympique de Marseille,,FINISHED,2022-08-28T13:00:00Z
4,Sun Aug 28 2022,15:00,CEST / UTC+0200,FC Lorient,2-1,2-0,Clermont Foot 63,,FINISHED,2022-08-28T13:00:00Z
4,Sun Aug 28 2022,17:05,CEST / UTC+0200,Stade de Reims,1-1,1-0,Olympique Lyonnais,,FINISHED,2022-08-28T15:05:00Z
4,Sun Aug 28 2022,20:45,CEST / UTC+0200,Paris Saint-Germain FC,1-1,0-1,AS Monaco FC,,FINISHED,2022-08-28T18:45:00Z
5,Wed Aug 31 2022,19:00,CEST / UTC+0200,RC Strasbourg Alsace,1-1,1-0,FC Nantes,,FINISHED,2022-08-31T17:00:00Z
