Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 5 2022,20:00,CEST/+0200,SC Heerenveen,0-0,0-0,Sparta Rotterdam,2022-08-05T18:00:00Z
1,Sat Aug 6 2022,16:30,CEST/+0200,Fortuna Sittard,2-3,1-0,AFC Ajax,2022-08-06T14:30:00Z
1,Sat Aug 6 2022,18:45,CEST/+0200,SC Cambuur-Leeuwarden,0-2,0-2,SBV Excelsior,2022-08-06T16:45:00Z
1,Sat Aug 6 2022,20:00,CEST/+0200,PSV,4-1,3-0,FC Emmen,2022-08-06T18:00:00Z
1,Sat Aug 6 2022,21:00,CEST/+0200,RKC Waalwijk,2-2,2-0,FC Utrecht,2022-08-06T19:00:00Z
1,Sun Aug 7 2022,12:15,CEST/+0200,FC Groningen,2-2,2-1,FC Volendam,2022-08-07T10:15:00Z
1,Sun Aug 7 2022,14:30,CEST/+0200,NEC,0-1,0-0,FC Twente '65,2022-08-07T12:30:00Z
1,Sun Aug 7 2022,14:30,CEST/+0200,SBV Vitesse,2-5,1-2,Feyenoord Rotterdam,2022-08-07T12:30:00Z
1,Sun Aug 7 2022,16:45,CEST/+0200,AZ,2-0,0-0,Go Ahead Eagles,2022-08-07T14:45:00Z
2,Fri Aug 12 2022,20:00,CEST/+0200,SBV Excelsior,3-1,2-1,SBV Vitesse,2022-08-12T18:00:00Z
2,Sat Aug 13 2022,18:45,CEST/+0200,Go Ahead Eagles,2-5,1-3,PSV,2022-08-13T16:45:00Z
2,Sat Aug 13 2022,20:00,CEST/+0200,FC Utrecht,0-0,0-0,SC Cambuur-Leeuwarden,2022-08-13T18:00:00Z
2,Sat Aug 13 2022,20:00,CEST/+0200,FC Emmen,1-1,0-0,RKC Waalwijk,2022-08-13T18:00:00Z
2,Sat Aug 13 2022,21:00,CEST/+0200,Feyenoord Rotterdam,0-0,0-0,SC Heerenveen,2022-08-13T19:00:00Z
2,Sun Aug 14 2022,12:15,CEST/+0200,FC Volendam,1-4,1-2,NEC,2022-08-14T10:15:00Z
2,Sun Aug 14 2022,14:30,CEST/+0200,FC Twente '65,3-0,2-0,Fortuna Sittard,2022-08-14T12:30:00Z
2,Sun Aug 14 2022,14:30,CEST/+0200,AFC Ajax,6-1,3-1,FC Groningen,2022-08-14T12:30:00Z
2,Sun Aug 14 2022,16:45,CEST/+0200,Sparta Rotterdam,2-3,1-1,AZ,2022-08-14T14:45:00Z
3,Sat Aug 20 2022,16:30,CEST/+0200,SBV Vitesse,0-4,0-2,SC Heerenveen,2022-08-20T14:30:00Z
3,Sat Aug 20 2022,18:45,CEST/+0200,Fortuna Sittard,1-4,1-0,SC Cambuur-Leeuwarden,2022-08-20T16:45:00Z
3,Sat Aug 20 2022,21:00,CEST/+0200,FC Emmen,3-2,1-2,FC Utrecht,2022-08-20T19:00:00Z
3,Sun Aug 21 2022,12:15,CEST/+0200,FC Groningen,1-0,1-0,Go Ahead Eagles,2022-08-21T10:15:00Z
3,Sun Aug 21 2022,14:30,CEST/+0200,Sparta Rotterdam,0-1,0-1,AFC Ajax,2022-08-21T12:30:00Z
3,Sun Aug 21 2022,16:45,CEST/+0200,RKC Waalwijk,0-1,0-0,Feyenoord Rotterdam,2022-08-21T14:45:00Z
4,Fri Aug 26 2022,20:00,CEST/+0200,NEC,1-1,0-0,FC Groningen,2022-08-26T18:00:00Z
4,Sat Aug 27 2022,16:30,CEST/+0200,Go Ahead Eagles,0-1,0-1,Sparta Rotterdam,2022-08-27T14:30:00Z
4,Sat Aug 27 2022,18:45,CEST/+0200,SBV Vitesse,2-2,0-1,RKC Waalwijk,2022-08-27T16:45:00Z
4,Sat Aug 27 2022,20:00,CEST/+0200,Feyenoord Rotterdam,4-0,0-0,FC Emmen,2022-08-27T18:00:00Z
4,Sat Aug 27 2022,21:00,CEST/+0200,SC Heerenveen,2-1,2-0,Fortuna Sittard,2022-08-27T19:00:00Z
4,Sun Aug 28 2022,12:20,CEST/+0200,FC Utrecht,0-2,0-2,AFC Ajax,2022-08-28T10:20:00Z
4,Sun Aug 28 2022,14:30,CEST/+0200,FC Volendam,1-0,0-0,FC Twente '65,2022-08-28T12:30:00Z
4,Sun Aug 28 2022,14:30,CEST/+0200,SBV Excelsior,1-6,0-3,PSV,2022-08-28T12:30:00Z
4,Sun Aug 28 2022,16:45,CEST/+0200,SC Cambuur-Leeuwarden,0-1,0-0,AZ,2022-08-28T14:45:00Z
3,Wed Aug 31 2022,18:45,CEST/+0200,PSV,7-1,3-1,FC Volendam,2022-08-31T16:45:00Z
3,Wed Aug 31 2022,21:00,CEST/+0200,FC Twente '65,4-0,2-0,SBV Excelsior,2022-08-31T19:00:00Z
3,Thu Sep 1 2022,20:00,CEST/+0200,AZ,1-1,0-0,NEC,2022-09-01T18:00:00Z
5,Fri Sep 2 2022,20:00,CEST/+0200,Fortuna Sittard,3-4,0-0,FC Utrecht,2022-09-02T18:00:00Z
5,Sat Sep 3 2022,16:30,CEST/+0200,AFC Ajax,4-0,2-0,SC Cambuur-Leeuwarden,2022-09-03T14:30:00Z
5,Sat Sep 3 2022,18:45,CEST/+0200,FC Twente '65,2-1,2-0,PSV,2022-09-03T16:45:00Z
5,Sat Sep 3 2022,20:00,CEST/+0200,Sparta Rotterdam,4-0,1-0,FC Volendam,2022-09-03T18:00:00Z
5,Sat Sep 3 2022,21:00,CEST/+0200,Go Ahead Eagles,3-4,2-2,Feyenoord Rotterdam,2022-09-03T19:00:00Z
5,Sun Sep 4 2022,12:15,CEST/+0200,RKC Waalwijk,5-2,1-2,SBV Excelsior,2022-09-04T10:15:00Z
5,Sun Sep 4 2022,14:30,CEST/+0200,SC Heerenveen,0-0,0-0,NEC,2022-09-04T12:30:00Z
5,Sun Sep 4 2022,14:30,CEST/+0200,FC Emmen,0-3,0-3,AZ,2022-09-04T12:30:00Z
5,Sun Sep 4 2022,16:45,CEST/+0200,FC Groningen,0-1,0-0,SBV Vitesse,2022-09-04T14:45:00Z
6,Fri Sep 9 2022,20:00,CEST/+0200,FC Volendam,2-3,1-1,Go Ahead Eagles,2022-09-09T18:00:00Z
6,Sat Sep 10 2022,16:30,CEST/+0200,NEC,1-1,0-0,Fortuna Sittard,2022-09-10T14:30:00Z
6,Sat Sep 10 2022,18:45,CEST/+0200,AFC Ajax,5-0,2-0,SC Heerenveen,2022-09-10T16:45:00Z
6,Sat Sep 10 2022,21:00,CEST/+0200,SBV Excelsior,2-1,0-1,FC Emmen,2022-09-10T19:00:00Z
6,Sun Sep 11 2022,12:15,CEST/+0200,FC Utrecht,1-0,0-0,SBV Vitesse,2022-09-11T10:15:00Z
6,Sun Sep 11 2022,14:30,CEST/+0200,SC Cambuur-Leeuwarden,0-1,0-0,FC Groningen,2022-09-11T12:30:00Z
6,Sun Sep 11 2022,14:30,CEST/+0200,PSV,1-0,0-0,RKC Waalwijk,2022-09-11T12:30:00Z
6,Sun Sep 11 2022,16:45,CEST/+0200,AZ,1-1,0-0,FC Twente '65,2022-09-11T14:45:00Z
6,Sun Sep 11 2022,20:00,CEST/+0200,Feyenoord Rotterdam,3-0,2-0,Sparta Rotterdam,2022-09-11T18:00:00Z
7,Fri Sep 16 2022,20:00,CEST/+0200,FC Utrecht,0-0,0-0,NEC,2022-09-16T18:00:00Z
7,Sat Sep 17 2022,16:30,CEST/+0200,Sparta Rotterdam,2-1,0-0,FC Groningen,2022-09-17T14:30:00Z
7,Sat Sep 17 2022,18:45,CEST/+0200,SBV Vitesse,1-1,0-1,FC Volendam,2022-09-17T16:45:00Z
7,Sat Sep 17 2022,20:00,CEST/+0200,RKC Waalwijk,5-1,1-1,SC Cambuur-Leeuwarden,2022-09-17T18:00:00Z
7,Sat Sep 17 2022,21:00,CEST/+0200,Fortuna Sittard,1-0,0-0,SBV Excelsior,2022-09-17T19:00:00Z
7,Sun Sep 18 2022,12:15,CEST/+0200,Go Ahead Eagles,2-0,1-0,FC Emmen,2022-09-18T10:15:00Z
7,Sun Sep 18 2022,14:30,CEST/+0200,SC Heerenveen,2-1,2-1,FC Twente '65,2022-09-18T12:30:00Z
7,Sun Sep 18 2022,14:30,CEST/+0200,PSV,4-3,2-2,Feyenoord Rotterdam,2022-09-18T12:30:00Z
7,Sun Sep 18 2022,16:45,CEST/+0200,AZ,2-1,2-1,AFC Ajax,2022-09-18T14:45:00Z
8,Sat Oct 1 2022,16:30,CEST/+0200,SC Cambuur-Leeuwarden,3-0,0-0,PSV,2022-10-01T14:30:00Z
8,Sat Oct 1 2022,18:45,CEST/+0200,FC Groningen,1-4,1-2,AZ,2022-10-01T16:45:00Z
8,Sat Oct 1 2022,20:00,CEST/+0200,AFC Ajax,1-1,1-0,Go Ahead Eagles,2022-10-01T18:00:00Z
8,Sat Oct 1 2022,21:00,CEST/+0200,FC Twente '65,3-0,1-0,SBV Vitesse,2022-10-01T19:00:00Z
8,Sun Oct 2 2022,12:15,CEST/+0200,Fortuna Sittard,2-0,2-0,FC Volendam,2022-10-02T10:15:00Z
8,Sun Oct 2 2022,14:30,CEST/+0200,NEC,1-1,1-1,Feyenoord Rotterdam,2022-10-02T12:30:00Z
8,Sun Oct 2 2022,14:30,CEST/+0200,SBV Excelsior,0-1,0-1,FC Utrecht,2022-10-02T12:30:00Z
