Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,Status,UTC
1,Fri Aug 5 2022,20:15,WEST / UTC+0100,Sport Lisboa e Benfica,4-0,3-0,FC Arouca,,FINISHED,2022-08-05T19:15:00Z
1,Sat Aug 6 2022,15:30,WEST / UTC+0100,Rio Ave FC,0-1,0-0,FC Vizela,,FINISHED,2022-08-06T14:30:00Z
1,Sat Aug 6 2022,18:00,WEST / UTC+0100,GD Estoril Praia,2-0,2-0,FC Famalicão,,FINISHED,2022-08-06T17:00:00Z
1,Sat Aug 6 2022,20:30,WEST / UTC+0100,FC Porto,5-1,3-0,CS Marítimo,,FINISHED,2022-08-06T19:30:00Z
1,Sun Aug 7 2022,15:30,WEST / UTC+0100,CD Santa Clara,0-0,0-0,Casa Pia AC,,FINISHED,2022-08-07T14:30:00Z
1,Sun Aug 7 2022,18:00,WEST / UTC+0100,Sporting Clube de Braga,3-3,2-2,Sporting Clube de Portugal,,FINISHED,2022-08-07T17:00:00Z
1,Sun Aug 7 2022,20:30,WEST / UTC+0100,GD Chaves,0-1,0-1,Vitória Guimarães,,FINISHED,2022-08-07T19:30:00Z
1,Sun Aug 7 2022,20:30,WEST / UTC+0100,Portimonense SC,0-1,0-1,Boavista FC,,FINISHED,2022-08-07T19:30:00Z
1,Mon Aug 8 2022,20:15,WEST / UTC+0100,Gil Vicente FC,1-0,0-0,FC Paços de Ferreira,,FINISHED,2022-08-08T19:15:00Z
2,Fri Aug 12 2022,20:15,WEST / UTC+0100,FC Famalicão,0-3,0-2,Sporting Clube de Braga,,FINISHED,2022-08-12T19:15:00Z
2,Sat Aug 13 2022,18:00,WEST / UTC+0100,Casa Pia AC,0-1,0-0,Sport Lisboa e Benfica,,FINISHED,2022-08-13T17:00:00Z
2,Sat Aug 13 2022,20:30,WEST / UTC+0100,Sporting Clube de Portugal,3-0,1-0,Rio Ave FC,,FINISHED,2022-08-13T19:30:00Z
2,Sun Aug 14 2022,15:30,WEST / UTC+0100,Boavista FC,2-1,0-1,CD Santa Clara,,FINISHED,2022-08-14T14:30:00Z
2,Sun Aug 14 2022,18:00,WEST / UTC+0100,FC Vizela,0-1,0-0,FC Porto,,FINISHED,2022-08-14T17:00:00Z
2,Sun Aug 14 2022,20:30,WEST / UTC+0100,Vitória Guimarães,1-0,1-0,GD Estoril Praia,,FINISHED,2022-08-14T19:30:00Z
2,Mon Aug 15 2022,15:30,WEST / UTC+0100,CS Marítimo,1-2,1-0,GD Chaves,,FINISHED,2022-08-15T14:30:00Z
2,Mon Aug 15 2022,18:00,WEST / UTC+0100,FC Arouca,1-0,1-0,Gil Vicente FC,,FINISHED,2022-08-15T17:00:00Z
2,Mon Aug 15 2022,20:30,WEST / UTC+0100,FC Paços de Ferreira,0-3,0-1,Portimonense SC,,FINISHED,2022-08-15T19:30:00Z
3,Fri Aug 19 2022,20:15,WEST / UTC+0100,GD Estoril Praia,2-2,1-0,Rio Ave FC,,FINISHED,2022-08-19T19:15:00Z
3,Sat Aug 20 2022,15:30,WEST / UTC+0100,CD Santa Clara,1-2,0-0,FC Arouca,,FINISHED,2022-08-20T14:30:00Z
3,Sat Aug 20 2022,18:00,WEST / UTC+0100,GD Chaves,1-1,1-1,FC Vizela,,FINISHED,2022-08-20T17:00:00Z
3,Sat Aug 20 2022,20:30,WEST / UTC+0100,FC Porto,3-0,1-0,Sporting Clube de Portugal,,FINISHED,2022-08-20T19:30:00Z
3,Sun Aug 21 2022,15:30,WEST / UTC+0100,Casa Pia AC,2-0,0-0,Boavista FC,,FINISHED,2022-08-21T14:30:00Z
3,Sun Aug 21 2022,18:00,WEST / UTC+0100,Sporting Clube de Braga,5-0,2-0,CS Marítimo,,FINISHED,2022-08-21T17:00:00Z
3,Sun Aug 21 2022,20:30,WEST / UTC+0100,Portimonense SC,2-1,0-0,Vitória Guimarães,,FINISHED,2022-08-21T19:30:00Z
3,Mon Aug 22 2022,20:15,WEST / UTC+0100,Gil Vicente FC,0-0,0-0,FC Famalicão,,FINISHED,2022-08-22T19:15:00Z
4,Fri Aug 26 2022,20:15,WEST / UTC+0100,FC Paços de Ferreira,0-3,0-2,GD Estoril Praia,,FINISHED,2022-08-26T19:15:00Z
4,Sat Aug 27 2022,15:30,WEST / UTC+0100,CS Marítimo,0-1,0-1,Portimonense SC,,FINISHED,2022-08-27T14:30:00Z
