Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 27 Aug 2011 (34),PAS Giannina FC (1),0-0,0-0,Aris (1)
?,(Sat) 27 Aug 2011 (34),OFI (1),1-1,0-1,Atromitos FC (1)
?,(Sun) 28 Aug 2011 (34),Kerkyra FC (1),0-2,0-0,Panathinaikos FC (1)
?,(Sun) 28 Aug 2011 (34),Panionios GSS (1),2-2,1-0,Ergotelis (1)
?,(Sun) 28 Aug 2011 (34),PAOK FC (1),1-0,1-0,Xanthi FC (1)
?,(Sat) 10 Sep 2011 (36),Ergotelis (2),2-1,0-0,PAOK FC (2)
?,(Sat) 10 Sep 2011 (36),Panetolikos GFS (1),0-1,0-1,Panionios GSS (2)
?,(Sun) 11 Sep 2011 (36),Aris (2),0-1,0-1,Atromitos FC (2)
?,(Sun) 11 Sep 2011 (36),Asteras Tripolis FC (1),0-0,0-0,Kerkyra FC (2)
?,(Sun) 11 Sep 2011 (36),Panathinaikos FC (2),3-1,2-0,PAS Giannina FC (2)
?,(Wed) 14 Sep 2011 (37),Panetolikos GFS (2),1-0,0-0,Asteras Tripolis FC (2)
?,(Sat) 17 Sep 2011 (37),Atromitos FC (3),1-1,0-0,Panathinaikos FC (3)
?,(Sat) 17 Sep 2011 (37),Kerkyra FC (3),2-3,1-0,Panetolikos GFS (3)
?,(Sun) 18 Sep 2011 (37),AEK Athens FC (1),1-0,1-0,Ergotelis (3)
?,(Sun) 18 Sep 2011 (37),PAS Giannina FC (3),3-1,1-1,Asteras Tripolis FC (3)
?,(Sun) 18 Sep 2011 (37),Olympiacos FC (1),2-1,0-1,Xanthi FC (2)
?,(Sun) 18 Sep 2011 (37),Panionios GSS (3),1-2,1-1,PAOK FC (3)
?,(Wed) 21 Sep 2011 (38),Xanthi FC (3),3-4,1-2,AEK Athens FC (2)
?,(Sat) 24 Sep 2011 (38),Ergotelis (4),2-3,0-2,Olympiacos FC (2)
?,(Sat) 24 Sep 2011 (38),Kerkyra FC (4),0-3,0-1,Panionios GSS (4)
?,(Sun) 25 Sep 2011 (38),Asteras Tripolis FC (4),0-0,0-0,Atromitos FC (4)
?,(Sun) 25 Sep 2011 (38),Panetolikos GFS (4),2-2,2-2,PAS Giannina FC (4)
?,(Sun) 25 Sep 2011 (38),PAOK FC (4),3-0,3-0,AEK Athens FC (3)
?,(Sun) 25 Sep 2011 (38),Xanthi FC (4),3-1,1-0,OFI (2)
?,(Sat) 1 Oct 2011 (39),Atromitos FC (5),2-1,1-0,Panetolikos GFS (5)
?,(Sat) 1 Oct 2011 (39),OFI (3),1-0,1-0,Ergotelis (5)
?,(Sun) 2 Oct 2011 (39),Aris (3),0-0,0-0,Xanthi FC (5)
?,(Sun) 2 Oct 2011 (39),PAS Giannina FC (5),2-1,1-1,Kerkyra FC (5)
?,(Sun) 2 Oct 2011 (39),Olympiacos FC (3),2-1,2-1,PAOK FC (5)
?,(Sun) 2 Oct 2011 (39),Panionios GSS (5),0-1,0-0,AEK Athens FC (4)
?,(Sat) 15 Oct 2011 (41),AEK Athens FC (5),1-1,1-1,Olympiacos FC (4)
?,(Sat) 15 Oct 2011 (41),Kerkyra FC (6),2-2,1-1,Atromitos FC (6)
?,(Sun) 16 Oct 2011 (41),Ergotelis (6),1-1,0-1,Aris (4)
?,(Sun) 16 Oct 2011 (41),PAS Giannina FC (6),0-0,0-0,Panionios GSS (6)
?,(Sun) 16 Oct 2011 (41),PAOK FC (6),0-0,0-0,OFI (4)
?,(Sun) 16 Oct 2011 (41),Xanthi FC (6),2-3,0-2,Panathinaikos FC (4)
?,(Sat) 22 Oct 2011 (42),Asteras Tripolis FC (5),1-1,1-1,Xanthi FC (7)
?,(Sat) 22 Oct 2011 (42),Atromitos FC (7),1-0,1-0,PAS Giannina FC (7)
?,(Sat) 22 Oct 2011 (42),Panathinaikos FC (5),4-0,3-0,Ergotelis (7)
?,(Sun) 23 Oct 2011 (42),Aris (5),1-1,1-0,PAOK FC (7)
?,(Sun) 23 Oct 2011 (42),OFI (5),3-1,1-0,AEK Athens FC (6)
?,(Sun) 23 Oct 2011 (42),Panionios GSS (7),0-3,0-2,Olympiacos FC (5)
?,(Sat) 29 Oct 2011 (43),Atromitos FC (8),2-1,0-0,Panionios GSS (8)
?,(Sat) 29 Oct 2011 (43),Olympiacos FC (6),2-2,1-0,OFI (6)
?,(Sat) 29 Oct 2011 (43),Panetolikos GFS (6),2-0,1-0,Xanthi FC (8)
?,(Sun) 30 Oct 2011 (43),AEK Athens FC (7),3-0,2-0,Aris (6)
?,(Sun) 30 Oct 2011 (43),Ergotelis (8),2-0,2-0,Asteras Tripolis FC (6)
?,(Sun) 30 Oct 2011 (43),PAOK FC (8),1-3,0-1,Panathinaikos FC (6)
?,(Sat) 5 Nov 2011 (44),Aris (7),2-3,0-2,Olympiacos FC (7)
?,(Sat) 5 Nov 2011 (44),Panionios GSS (9),1-3,0-2,OFI (7)
?,(Sun) 6 Nov 2011 (44),Asteras Tripolis FC (7),1-0,1-0,PAOK FC (9)
?,(Sun) 6 Nov 2011 (44),Ergotelis (9),0-0,0-0,Panetolikos GFS (7)
?,(Sun) 6 Nov 2011 (44),Panathinaikos FC (7),3-2,2-0,AEK Athens FC (8)
?,(Sun) 6 Nov 2011 (44),Xanthi FC (9),1-0,0-0,Kerkyra FC (7)
?,(Sat) 19 Nov 2011 (46),AEK Athens FC (9),2-0,1-0,Asteras Tripolis FC (8)
?,(Sat) 19 Nov 2011 (46),Kerkyra FC (8),2-1,1-1,Ergotelis (10)
?,(Sat) 19 Nov 2011 (46),Olympiacos FC (8),1-1,0-1,Panathinaikos FC (8)
?,(Sun) 20 Nov 2011 (46),Atromitos FC (9),1-1,1-0,Levadiakos FC (1)
?,(Sun) 20 Nov 2011 (46),Doxa Dramas (1),0-0,0-0,Panionios GSS (10)
?,(Sun) 20 Nov 2011 (46),PAS Giannina FC (8),0-2,0-1,Xanthi FC (10)
?,(Sun) 20 Nov 2011 (46),OFI (8),0-1,0-1,Aris (8)
?,(Sun) 20 Nov 2011 (46),PAOK FC (10),3-0,1-0,Panetolikos GFS (8)
?,(Wed) 23 Nov 2011 (47),AEK Athens FC (10),2-1,1-0,Levadiakos FC (2)
?,(Sat) 26 Nov 2011 (47),Ergotelis (11),2-1,1-0,PAS Giannina FC (9)
?,(Sat) 26 Nov 2011 (47),Panetolikos GFS (9),0-2,0-1,AEK Athens FC (11)
?,(Sat) 26 Nov 2011 (47),PAOK FC (11),0-0,0-0,Kerkyra FC (9)
?,(Sun) 27 Nov 2011 (47),Asteras Tripolis FC (9),2-0,1-0,Olympiacos FC (9)
?,(Sun) 27 Nov 2011 (47),Levadiakos FC (3),1-0,0-0,Doxa Dramas (2)
?,(Sun) 27 Nov 2011 (47),Panathinaikos FC (9),3-1,1-0,OFI (9)
?,(Sun) 27 Nov 2011 (47),Panionios GSS (11),2-1,1-0,Aris (9)
?,(Sun) 27 Nov 2011 (47),Xanthi FC (11),3-0,2-0,Atromitos FC (10)
?,(Wed) 30 Nov 2011 (48),Olympiacos FC (10),6-0,2-0,Doxa Dramas (3)
?,(Sat) 3 Dec 2011 (48),Atromitos FC (11),1-0,1-0,Ergotelis (12)
?,(Sat) 3 Dec 2011 (48),OFI (10),3-0,0-0,Asteras Tripolis FC (10)
?,(Sat) 3 Dec 2011 (48),Olympiacos FC (11),2-0,0-0,Panetolikos GFS (10)
?,(Sun) 4 Dec 2011 (48),AEK Athens FC (12),1-0,0-0,Kerkyra FC (10)
?,(Sun) 4 Dec 2011 (48),Aris (10),3-1,2-1,Panathinaikos FC (10)
?,(Sun) 4 Dec 2011 (48),Doxa Dramas (4),0-2,0-1,Xanthi FC (12)
?,(Sun) 4 Dec 2011 (48),PAS Giannina FC (10),2-2,1-1,PAOK FC (12)
?,(Sun) 4 Dec 2011 (48),Levadiakos FC (4),0-0,0-0,Panionios GSS (12)
?,(Wed) 7 Dec 2011 (49),Doxa Dramas (5),0-1,0-1,OFI (11)
?,(Sat) 10 Dec 2011 (49),AEK Athens FC (13),2-1,1-0,PAS Giannina FC (11)
?,(Sat) 10 Dec 2011 (49),PAOK FC (13),3-1,2-0,Atromitos FC (12)
?,(Sat) 10 Dec 2011 (49),Xanthi FC (13),1-1,0-0,Levadiakos FC (5)
?,(Sun) 11 Dec 2011 (49),Asteras Tripolis FC (11),1-0,1-0,Aris (11)
?,(Sun) 11 Dec 2011 (49),Ergotelis (13),2-1,1-1,Doxa Dramas (6)
?,(Sun) 11 Dec 2011 (49),Kerkyra FC (11),0-4,0-3,Olympiacos FC (12)
?,(Sun) 11 Dec 2011 (49),Panetolikos GFS (11),1-0,0-0,OFI (12)
?,(Sun) 11 Dec 2011 (49),Panionios GSS (13),1-2,1-0,Panathinaikos FC (11)
